$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26972694$狐妖小红娘剧场版：月红篇$胡二$2018-04-23 22:22:49$65$主线CP果然是最崇高虐人
156$26972694$狐妖小红娘剧场版：月红篇$离离如星辰$2022-05-13 21:12:30$0$比前两篇还是要好看一些的
157$26972694$狐妖小红娘剧场版：月红篇$[未注销]$2018-01-06 07:49:52$0$东方月初和涂山红红 你的手穿透我这整个胸膛 我想永远跟妖仙姐姐在一起 前世我叫你妖仙姐姐 今世我叫你道士哥哥 小蠢货可是我的童养媳 我想要的只是涂山苏苏而已 穿透他的胸膛 爱不是捆绑和克制 而我不知不觉把自己遗忘 只想为你完成那个梦想
158$26972694$狐妖小红娘剧场版：月红篇$禅麟K1$2018-03-01 00:12:44$0$看不懂。。。
159$26972694$狐妖小红娘剧场版：月红篇$林小鹿$2018-04-28 22:16:48$0$童养媳，哈哈哈哈~中二不失温情啊~
160$26972694$狐妖小红娘剧场版：月红篇$星空棒棒糖$2021-11-13 10:46:24$0$世间最痛苦的事情有很多，其中最虐心的无非是爱而不得，想爱已晚，如果一个人可以为了你背井离乡，为了你扬名立万，为了完成你的梦想，付出一切，那么我觉得他是值得你爱的人，而你也为了他，放弃了所有选择，变成一个蠢货，这样的爱情真的很让人动容
161$26972694$狐妖小红娘剧场版：月红篇$serendipity$2022-10-16 14:28:59$0$"此生所至，此情不渝。
东方月初为了涂山红红，入了他曾经厌恶至极的世间，为了她，离开涂山，为了她，扬名立万，只为了那个当初眼里容不下他的，她。
“我愿意，五十年前就愿意了。”那日，他轻轻地回应道。
悔吗?在生命将尽的一刻，他才真正觉得，所有为你而行的空幻梦想，都不及最后与你许下的愿望。

繁花开尽，为爱远走。
前生你叫我一声妖仙姐姐，今生我唤你一声道士哥哥，可好？
那熊熊的火焰背后，曾经的她还念着他，曾经的他早已成魂魄，一世又一世地轮转，却再也回不到当年。
也许多年后，人们会忘了他们，忘了五百年前，忘了苦情树下许过的诺言，忘了独身翻越黑暗的勇气，可他们会记得那一个梦，记得波澜中生生难忘的方向，记得还有人曾无惧无畏过，记得付出一切也要赌赢的那一回。
他们的时代已经过去，可他们的梦想，还在继续。"
162$26972694$狐妖小红娘剧场版：月红篇$9¾$2018-03-31 22:55:40$2$因为月红我始终无法接受南国公主，东方月初的转世带着红红全部的妖力却爱上了别人，想骂街
163$26972694$狐妖小红娘剧场版：月红篇$说好了不动情$2020-04-19 17:59:18$0$很好看，喜欢
164$26972694$狐妖小红娘剧场版：月红篇$白菜馅饺子$2017-04-10 18:04:29$0$真爱月初！
165$26972694$狐妖小红娘剧场版：月红篇$曜世$2020-01-11 03:43:01$0$涂山红红和东方月初。
166$26972694$狐妖小红娘剧场版：月红篇$苞米花🌸$2018-04-15 08:12:22$0$前世今生，命运纠葛！
167$26972694$狐妖小红娘剧场版：月红篇$白渔$2018-05-21 12:39:29$0$最喜欢的一篇
168$26972694$狐妖小红娘剧场版：月红篇$行者SY$2021-08-21 15:03:17$0$事实证明啊好故事才是立身之本，月红篇不错的，差不多讲清楚了红红和东方月初的往事，还插播了石宽和公主的姻缘故事，还是挺感动的。
169$26972694$狐妖小红娘剧场版：月红篇$专注算命二十年$2022-07-10 17:30:41$0$补标
170$26972694$狐妖小红娘剧场版：月红篇$向阳而生$2021-12-03 14:40:14$0$喜欢
171$26972694$狐妖小红娘剧场版：月红篇$Linlin$2020-03-03 17:18:27$1$主角的故事一直讲得不是太好
172$26972694$狐妖小红娘剧场版：月红篇$Fun心$2017-08-27 14:32:04$0$恢复了法力的苏苏
173$26972694$狐妖小红娘剧场版：月红篇$unique$2017-09-21 21:49:36$0$系列最爱的一对cp月红没有之一，不过他们俩的故事根本没看够，无论如何都最喜欢看到红红（苏苏）雅雅容容还有东方月初在一起打打闹闹，还有王（权）富贵跟他的清瞳。
174$26972694$狐妖小红娘剧场版：月红篇$叽叽喳喳🦜$2020-11-17 03:14:38$0$最喜欢的还是王权篇 但是月红也很好！可是我总觉得没讲完
175$26972694$狐妖小红娘剧场版：月红篇$远见$2020-08-01 23:45:26$1$明明不好看，那些人却骗我看了119集金晨曦，全看完了。确实不好看，很尴尬，到了高潮的时候硬是插入尴尬又不好笑的笑点，很差，不想让那些尬吹去骗人，所以每一部都打1星，拉低平均值，让它回归该有的普通分数。不能让这部电影拿这么高的评分去骗人。
176$26972694$狐妖小红娘剧场版：月红篇$平凡的顾西$2021-01-31 02:03:57$0$一个叫道士哥哥，一个叫二货道士
177$26972694$狐妖小红娘剧场版：月红篇$老妖$2019-06-16 12:20:11$0$什么时候在一起？
178$26972694$狐妖小红娘剧场版：月红篇$安英$2018-02-13 17:46:47$0$这篇真的是大高潮，精彩，虽然设定仍老套，但还是被苏的不行~真的超喜欢红红和东方月初这对啊。
179$26972694$狐妖小红娘剧场版：月红篇$精红$2020-07-29 13:10:59$0$东方月初和涂山红红之恋的故事
180$26972694$狐妖小红娘剧场版：月红篇$予亘$2019-06-26 14:55:09$0$6-26-19-14-555
181$26972694$狐妖小红娘剧场版：月红篇$卡瓦利耶$2020-02-22 10:58:44$0$绝世爱情 每一世都很任性
182$26972694$狐妖小红娘剧场版：月红篇$西区苛刻$2022-04-15 17:27:43$1$"东方月初简直是活泼类偶男天花板，但是我觉得好惨，其实月红最后还是be了，白苏很好但是白苏不是月红啊，看得我泪汪汪。红红一辈子只杀了一个人，后悔了一辈子，月初一辈子都是为了红红，虽然他只是个翘着呆毛指使漫山遍野为他开花的孩子，也可以衣冠不整地披上道袍成为天下第一道人，绝美爱情，kswl"
183$26972694$狐妖小红娘剧场版：月红篇$Seashell这样啊$2017-07-09 21:17:00$1$为月红疯狂打call！嘤嘤求让他俩HE！
184$26972694$狐妖小红娘剧场版：月红篇$feiwuu$2020-02-26 09:47:02$0$这把坑是越挖越大了。
185$26972694$狐妖小红娘剧场版：月红篇$全村最靓的崽$2020-03-14 16:25:35$0$前几天还跟一个同学聊起它来着，满满的怀念啊
186$26972694$狐妖小红娘剧场版：月红篇$爱吃大豆爱放屁$2021-01-07 21:56:47$0$五星啊，最喜欢这一篇
187$26972694$狐妖小红娘剧场版：月红篇$12Hz$2019-07-29 01:05:08$0$这章很虐，but，有点不懂为啥不聊开啊
188$26972694$狐妖小红娘剧场版：月红篇$空条橙$2018-02-10 09:24:32$0$狐妖里最喜欢的剧情线了，月初粉
189$26972694$狐妖小红娘剧场版：月红篇$momo$2021-12-12 17:04:40$0$月红篇还是可以的！
190$26972694$狐妖小红娘剧场版：月红篇$花开半夏$2017-04-03 19:02:10$13$苏苏简直是萝莉版赵灵儿啊
191$26972694$狐妖小红娘剧场版：月红篇$棵青$2022-12-18 17:25:57$0$这版表明了作者是在探讨一些有趣的问题而不只是简单的言情
192$26972694$狐妖小红娘剧场版：月红篇$静$2021-11-03 01:26:21$0$毛茸茸的好可爱
193$26972694$狐妖小红娘剧场版：月红篇$红叶祭$2020-04-20 21:31:37$0$月红是不是永远不会在一起了( •̥́ ˍ •̀ू )
194$26972694$狐妖小红娘剧场版：月红篇$温馨$2020-05-13 02:29:11$0$最后那一吻太帅了吧！爱她那就成全她吧
195$26972694$狐妖小红娘剧场版：月红篇$Miuenchanted$2018-05-21 17:42:59$0$这部剧情很给力，还是很不错的。鼓励五星。喜欢苏苏和白月初，上辈子的事情真的很烦。
196$26972694$狐妖小红娘剧场版：月红篇$栖念$2021-03-05 10:32:51$0$连着看就是爽！
197$26972694$狐妖小红娘剧场版：月红篇$秋天$2017-06-18 23:59:40$1$我愿意呀，五十年前就愿意了。
198$26972694$狐妖小红娘剧场版：月红篇$汤圆儿$2018-07-10 00:45:50$0$《狐妖》的故事里，最喜欢的一对儿，总是牺牲自己去成全别人，至死才得以剖白心迹，许下一句转世续缘的誓言，苦苦等待，相见却遥遥无期，甚至灰飞烟灭。前世，你叫我妖仙姐姐；今生，我叫你道士哥哥。我的身后，你伸来的手，铃音依旧，伴我停靠此刻美丽的灯火。
199$26972694$狐妖小红娘剧场版：月红篇$随你$2019-02-16 23:39:08$0$最爱月红cp了(ToT)/~~~
200$26972694$狐妖小红娘剧场版：月红篇$雪藏蜗牛壳$2017-06-11 15:30:13$0$后面北山妖帝那段有些注水啦
201$26972694$狐妖小红娘剧场版：月红篇$小狗七号$2018-02-22 12:34:12$0$妖仙姐姐和二货道士，小蠢货和道士哥哥。
202$26972694$狐妖小红娘剧场版：月红篇$洛漓淅$2021-05-11 14:18:53$0$系列里最爱的cp没有之一！月红我滴妈简直意难平！！！
203$26972694$狐妖小红娘剧场版：月红篇$鱼鱼鱼$2019-01-11 23:17:45$0$作者发春，每个出场人物都有感情戏…
204$26972694$狐妖小红娘剧场版：月红篇$叠个千纸鹤$2019-05-17 10:27:37$0$我们红红和月初，下辈子要永远在一起
205$26972694$狐妖小红娘剧场版：月红篇$臧淼$2020-10-12 19:43:00$0$已看
206$26972694$狐妖小红娘剧场版：月红篇$小张$2019-09-26 11:11:54$0$还可以
207$26972694$狐妖小红娘剧场版：月红篇$SUYI$2020-03-24 04:50:05$0$前面笑死后面哭死
208$26972694$狐妖小红娘剧场版：月红篇$乌衣巷$2021-02-12 16:43:27$0$这部故事讲述力比较好
209$26972694$狐妖小红娘剧场版：月红篇$和寂寞一起悬空$2020-01-10 22:19:26$1$心疼北山妖帝
210$26972694$狐妖小红娘剧场版：月红篇$正在输入姓名$2019-07-14 18:12:09$0$喜欢
211$26972694$狐妖小红娘剧场版：月红篇$豆友r0Z_d7sh58$2021-12-19 15:22:01$0$月红就yyds！！！
212$26972694$狐妖小红娘剧场版：月红篇$绕圈圈$2017-12-06 01:06:21$0$这也能在电影列表...那就让它也在我的电影列表里吧
213$26972694$狐妖小红娘剧场版：月红篇$含羞草$2018-07-01 08:32:15$0$月红算是我最喜欢的二次元西皮了，二货道士和妖仙姐姐的转世续缘隔了五百年，他们最终可能只能以小蠢货与道士哥哥的形式在一起了吧。
214$26972694$狐妖小红娘剧场版：月红篇$装甲连小炮手$2021-08-22 16:28:48$0$讲述月初和红红的恋情，很赞，白月初和苏苏的相恋。
215$26972694$狐妖小红娘剧场版：月红篇$Tart_coffee$2017-12-26 16:47:13$0$甜若蜜糖，苦似莲心
216$26972694$狐妖小红娘剧场版：月红篇$莫挨老子$2019-08-16 02:57:46$0$月红真是又虐 又发自内心地感动。
217$26972694$狐妖小红娘剧场版：月红篇$豆友208880345$2021-04-18 20:07:27$0$知道你要被毁了
218$26972694$狐妖小红娘剧场版：月红篇$李秀满$2019-05-13 19:47:53$0$系列最爱
219$26972694$狐妖小红娘剧场版：月红篇$第一统$2020-02-04 22:21:10$0$标
220$26972694$狐妖小红娘剧场版：月红篇$豆腐脑袋空空$2021-06-13 16:12:01$0$月红啊😭😭😭我的意难平
221$26972694$狐妖小红娘剧场版：月红篇$★☆端木蓉☆★$2018-09-03 01:26:38$0$啥都不说了，最喜欢这个！
222$26972694$狐妖小红娘剧场版：月红篇$南边来了五只猫$2022-07-12 03:35:43$2$“我把一辈子都压在那个赌注上，可喜的是，我赌赢了。”
223$26972694$狐妖小红娘剧场版：月红篇$开玩笑的吧$2021-06-06 11:57:24$0$463。渐入佳境的一篇，剧情上有了很大补全。
224$26972694$狐妖小红娘剧场版：月红篇$透明的二水$2021-08-04 01:22:31$0$虽然离当时看已经过了很久了，但是在现在更新的新篇章里看见他们总是会勾起一点点的回忆…手穿心 “妖仙姐姐”“二货道士” 月红yyds
225$26972694$狐妖小红娘剧场版：月红篇$弦知$2020-12-27 03:44:52$0$很萌【为你名扬天下】的设定。
226$26972694$狐妖小红娘剧场版：月红篇$管他什么ID$2020-12-24 10:20:43$0$妖仙姐姐和二货道士，这一对好虐啊😭 这对的故事是全剧里最好的
227$26972694$狐妖小红娘剧场版：月红篇$90river$2017-08-10 09:42:06$0$啊啊啊啊啊啊啊啊我的少女心！！！！！！！
228$26972694$狐妖小红娘剧场版：月红篇$御疯剪刀手$2017-04-28 15:42:08$0$我月初人性魅力总算出来了
229$26972694$狐妖小红娘剧场版：月红篇$夏生与酒$2018-10-01 10:34:08$0$想要和妖仙姐姐永远在一起的小道士，那个叼着冰糖葫芦好不正经的少年郎，那个为爱远走名动天下的东方月初。
230$26972694$狐妖小红娘剧场版：月红篇$小神龙俱乐部$2020-04-18 14:39:29$0$补标
231$26972694$狐妖小红娘剧场版：月红篇$阁中帝子今何在$2019-03-08 21:50:35$0$表白笑鱼老师。
232$26972694$狐妖小红娘剧场版：月红篇$小董同学呐$2019-05-06 20:12:51$0$永永远远的在一起吧
233$26972694$狐妖小红娘剧场版：月红篇$良莠$2020-05-21 19:41:21$0$大爱涂山红红！
234$26972694$狐妖小红娘剧场版：月红篇$雨$2022-07-08 00:12:16$0$诶我真的是为了听配音…
235$26972694$狐妖小红娘剧场版：月红篇$劇荒呀$2018-07-02 19:39:40$0$超喜歡這一篇的~~~喜歡紅紅
236$26972694$狐妖小红娘剧场版：月红篇$猫真可爱$2020-03-04 21:41:44$0$这地方，我罩的
237$26972694$狐妖小红娘剧场版：月红篇$jsmzn$2019-01-25 14:27:00$0$你的手穿过我的胸膛
238$26972694$狐妖小红娘剧场版：月红篇$Alice$2019-02-15 10:42:13$0$好看
239$26972694$狐妖小红娘剧场版：月红篇$lvldy$2018-01-28 20:27:14$0$喜欢红红～～
240$26972694$狐妖小红娘剧场版：月红篇$東風$2021-05-30 20:57:51$0$主角往事
241$26972694$狐妖小红娘剧场版：月红篇$空空那个悟$2019-05-28 23:05:27$0$东方月初
242$26972694$狐妖小红娘剧场版：月红篇$有一天$2019-12-08 09:56:31$0$苏苏敲可爱
243$26972694$狐妖小红娘剧场版：月红篇$黑海灾星说太岁$2019-07-07 18:06:01$0$上一次我赌赢了！
244$26972694$狐妖小红娘剧场版：月红篇$蛋挞不吃蛋挞！$2020-02-11 23:06:09$0$之前看的，我只想知道他们之间的故事，没完总让我很不舒服！
245$26972694$狐妖小红娘剧场版：月红篇$崇孚雪舟$2018-06-27 14:23:15$0$作为自己的权力与爱。
246$26972694$狐妖小红娘剧场版：月红篇$Myrtle$2022-12-03 19:41:47$0$可能…我不是受众😅
247$26972694$狐妖小红娘剧场版：月红篇$koko$2020-11-09 16:54:49$0$最喜欢的一篇，因为是官配
248$26972694$狐妖小红娘剧场版：月红篇$冰糖葫芦$2019-07-20 10:44:51$0$终于看了传说中的狐妖小红娘，还不错，但也不精彩，可能是我不太能被这种感情打动。
249$26972694$狐妖小红娘剧场版：月红篇$阿雫$2018-08-09 20:07:09$0$“我不知不觉把自己遗忘 只为完成你当初的梦想” 其实月红的故事已经结束了 遗憾又美好 动人又唏嘘 婉转而甜蜜 这一世 是属于白苏的故事 可是又有什么好纠结的呢 白苏的故事也会有结局 每一份真挚的爱情都是这样百转千回
250$26972694$狐妖小红娘剧场版：月红篇$龙颢$2021-11-14 22:54:16$0$好家伙，史上最长国漫电影?
251$26972694$狐妖小红娘剧场版：月红篇$Euphoria$2022-05-24 22:00:02$0$填完月红的坑我再回来打五星。
252$26972694$狐妖小红娘剧场版：月红篇$mrlp$2020-04-02 23:50:15$0$CP
253$26972694$狐妖小红娘剧场版：月红篇$瑄小璧$2018-09-05 06:17:50$0$喜欢红红也喜欢苏苏, 并且并没有觉得她们是两个人.
254$26972694$狐妖小红娘剧场版：月红篇$Jude$2021-08-12 15:42:23$0$月初一代为了红红的理想拼尽一生，白月初也为了小蠢货的梦想在努力，感天动地
255$26972694$狐妖小红娘剧场版：月红篇$锅碗瓢盆$2017-12-08 14:24:42$0$国漫最高，月红其实是整个狐妖里最喜欢的一对啊，东方月初太苏了
256$26972694$狐妖小红娘剧场版：月红篇$:Daywilldawn$2021-08-17 19:09:27$0$你赌赢了
257$26972694$狐妖小红娘剧场版：月红篇$momo$2021-02-01 16:29:25$0$可以说是国漫白月光了
258$26972694$狐妖小红娘剧场版：月红篇$休对离人$2019-07-29 08:48:29$0$"lj
止步月红总篇二
"
259$26972694$狐妖小红娘剧场版：月红篇$已注销$2022-05-18 20:34:46$0$豆瓣你什么时候悄悄分了P！
260$26972694$狐妖小红娘剧场版：月红篇$夏樹$2017-08-08 13:54:03$0$最爱红总！
261$26972694$狐妖小红娘剧场版：月红篇$qqqqccccx$2018-07-02 21:28:06$1$"一开始有点看不懂，明白了东方月初为了涂山红红的梦想离开涂山，名扬天下，尽力阻止妖人厮杀，只为了当时心里容不下他的她之后，心里真的很感动

红红:到了来生，你还会记得我是谁吗？
（这句话可能写错惹）

有一句歌词让我特别记忆犹新:
“我不知不觉把自己遗忘
 只为完成你当初的梦想”
"
262$26972694$狐妖小红娘剧场版：月红篇$言心$2017-06-26 23:23:15$0$"有点狗血
嘛，看在感人的份上"
263$26972694$狐妖小红娘剧场版：月红篇$你们别打啦$2017-11-27 21:00:25$0$很良心的国漫
264$26972694$狐妖小红娘剧场版：月红篇$陈欢喜$2020-06-12 15:44:22$0$涂山红红，心里的结最后也会被打开的，成为妖仙姐姐，东方月初努力成长到很强，强到能和你一起并肩作战。
265$26972694$狐妖小红娘剧场版：月红篇$一只小海绵$2022-07-19 23:15:51$0$这篇还蛮好看的，拍成剧是不是会把现代线完全砍掉啊？毕竟不允许转世和建国后成精，所以苏苏应该不会存在了吧？否则杨幂演苏苏那简直是灾难～不过话说回来，苏苏这种角色，但凡要是找个贴脸的，剧组真的很容易被抓进警察局啊！
266$26972694$狐妖小红娘剧场版：月红篇$meme$2017-05-02 18:53:17$0$啥都不说了，月红一生推
267$26972694$狐妖小红娘剧场版：月红篇$一碗刀削面$2021-10-31 10:03:10$0$也算整的不错了
268$26972694$狐妖小红娘剧场版：月红篇$湫兮如风$2021-06-08 00:05:21$0$感觉没什么亮点，他们俩的cp我真不磕
269$26972694$狐妖小红娘剧场版：月红篇$隔壁老张$2018-01-01 00:53:35$0$国产动漫为什么一定要强行搞笑啊，正经一点不好吗
270$26972694$狐妖小红娘剧场版：月红篇$柠e月$2018-08-17 16:25:17$0$月红篇是最好看的一个篇章了
271$26972694$狐妖小红娘剧场版：月红篇$霜轩落笔$2019-12-29 22:31:29$0$这一个篇章可以说是整部作品的最核心部分，但同时也是最感人的部分，也最让每一个读者动容。道士哥哥和涂山红红的羁绊由此产生，也借着这个系列讲述给读者倾听。整部作品还是很流畅的，内容也充满了各种温情元素，很棒！
272$26972694$狐妖小红娘剧场版：月红篇$洛铭希$2019-04-22 01:07:53$0$感人
273$26972694$狐妖小红娘剧场版：月红篇$紫菜荷叶$2021-05-07 19:41:24$0$"反派黑狐逐渐浮出水面，前几章对于白月初与涂山苏苏前世的线索也进行了整合，月红党狂喜！涂山雅雅是个姐控？
东方月初和涂山红红意难平啊！"
274$26972694$狐妖小红娘剧场版：月红篇$季叶青衿$2017-03-28 09:24:42$1$朋友和我说王权富贵是迄今为止最精彩的，可我觉得月红也很好看啊！！！
275$26972694$狐妖小红娘剧场版：月红篇$方丝萦$2019-12-02 20:16:12$0$"“为了我，你离开涂山，为了我，扬名立万，为了我，你全力阻止人妖间的厮杀。”
“就为了一个当年心中，容不下你的我。”

前世你是我的妖仙姐姐，我是你的童养夫/贰货道士；今生我是你的道士哥哥，你是我的童养媳/小蠢货❤️
最最最最最爱的一篇！月红的爱太让人动容，又太让人心疼😭最伤的是五百年以后红红还在，但东方月初却再也回不来了……就算白白是东方美人的转世又能怎么样呢，早就是两个不同的人了😭而且白苏怎么办，难道要苏苏消失吗，可是我也很喜欢白苏啊，这两对我都舍不得，但又都希望能he😭
越看越心疼白苏，除了他俩以外其他人都把他们当做是月红的替代品，但他们也是独立的人，也有自己的思想和感情啊……最后白白为了完成苏苏的梦想帮助苏苏逃婚简直像极了当年的东方美人55555太帅了！！！！不愧是我女婿！！！！"
276$26972694$狐妖小红娘剧场版：月红篇$青椒居士$2023-03-22 09:34:58$0$"个人感觉一般般
真的，还多地方都不合理……服辣"
277$26972694$狐妖小红娘剧场版：月红篇$张起灵$2021-08-02 00:23:04$0$这两位真的是慕强的最爱啊，还带点be
278$26972694$狐妖小红娘剧场版：月红篇$银子弹$2023-03-27 22:28:57$0$你的背影伴随着涔涔铃音，仿佛从未远去，喜欢红红
279$26972694$狐妖小红娘剧场版：月红篇$曼谛阁$2018-06-09 22:59:51$0$爱上一个受过伤的女人
280$26972694$狐妖小红娘剧场版：月红篇$期书$2017-04-07 20:01:55$1$月红篇和王权篇果真是经典之作
281$26972694$狐妖小红娘剧场版：月红篇$安安$2020-04-04 15:03:25$0$补标。大概也是高考之后看的吧。东方月初我是可的，姐弟恋这个不是很吃。
282$26972694$狐妖小红娘剧场版：月红篇$格小格哇酷哇酷$2022-11-10 22:58:38$0$意难平系列……
283$26972694$狐妖小红娘剧场版：月红篇$从那以后$2017-10-17 17:44:52$0$老铁，这次真的扎心了！
284$26972694$狐妖小红娘剧场版：月红篇$希格斯场$2021-05-07 20:38:50$0$说实话我还看过这些就离谱
285$26972694$狐妖小红娘剧场版：月红篇$浅蓝色的向日葵$2021-06-25 03:27:43$0$月红，给他们一个结果吧，不那么悲伤的结果。
286$26972694$狐妖小红娘剧场版：月红篇$摸鱼闲聊人士$2021-12-02 00:26:52$0$有点难以捉摸不透啊
287$26972694$狐妖小红娘剧场版：月红篇$满天星$2020-09-05 13:57:59$0$很喜欢这对cp的故事
288$26972694$狐妖小红娘剧场版：月红篇$Hodur$2019-09-06 11:28:28$0$主线cp是我的最爱！月红cp是top！
289$26972694$狐妖小红娘剧场版：月红篇$知殊$2019-09-08 03:31:44$0$还是不错的
290$26972694$狐妖小红娘剧场版：月红篇$咖喱咖喱龙$2017-12-05 22:04:35$0$哭啊 好好看。虽然月红注重回忆，可是也是爱到骨子里啊。
291$26972694$狐妖小红娘剧场版：月红篇$姜太公钓什么鱼$2020-04-03 21:40:41$0$国漫加油
292$26972694$狐妖小红娘剧场版：月红篇$求不得$2020-03-03 15:44:58$0$补标
293$26972694$狐妖小红娘剧场版：月红篇$Nicole Jo$2022-06-11 18:21:34$0$东方月初的两根呆毛真的好像蟑螂哈哈哈哈哈哈
294$26972694$狐妖小红娘剧场版：月红篇$猫猫不淘气$2019-10-23 23:40:55$0$逗比与真情同在。
295$26972694$狐妖小红娘剧场版：月红篇$崇光$2022-09-03 22:33:45$0$月红一生推呜呜呜
296$26972694$狐妖小红娘剧场版：月红篇$在安河桥北$2020-12-17 09:44:13$0$"东方月初和红红的爱情真让人感动😭

希望大结局是
白月初和苏苏转世续缘
东方月初和红红的灵魂永远在一起"
297$26972694$狐妖小红娘剧场版：月红篇$手肿咋办$2021-02-16 21:14:22$0$月红篇还是很经典的
298$26972694$狐妖小红娘剧场版：月红篇$几维$2017-12-11 19:32:09$0$欢乐中的苦涩
299$26972694$狐妖小红娘剧场版：月红篇$Narcissusyuan$2022-09-05 15:01:34$0$东方月初当年只能自杀的设计有点bug，处心积虑计划那么久，就这。。。
300$26972694$狐妖小红娘剧场版：月红篇$Tuppence$2022-04-01 17:24:55$0$转世一场非你不可的梦。
301$26972694$狐妖小红娘剧场版：月红篇$夜夜$2017-06-29 11:11:30$0$太棒了，男女主前世的故事好感人。
302$26972694$狐妖小红娘剧场版：月红篇$邻居的耳朵$2019-10-29 00:34:52$0$7分
303$26972694$狐妖小红娘剧场版：月红篇$银桑的发际线$2018-03-20 14:02:38$0$太感人了！！！！！！！！！！东方美人嫁我！！！！
304$26972694$狐妖小红娘剧场版：月红篇$大水风$2022-06-15 14:44:37$1$2016年，真是奇迹
305$26972694$狐妖小红娘剧场版：月红篇$待希慈$2020-04-28 07:04:17$0$可能一集一集看会好一点，总集篇三四个小时连着看，会觉得情节散了点。我还是不喜欢逗逼。
306$26972694$狐妖小红娘剧场版：月红篇$不知道起什么ID$2017-04-15 23:13:27$1$月红篇好虐，最喜欢的一篇
307$26972694$狐妖小红娘剧场版：月红篇$西湖道奶迪$2021-10-28 08:23:12$0$"8.3

不管是月红还是王权我都只喜欢前世的故事，涂山红红东方月初王权富贵每个人都又飒又拽，实在不能接受转世之后一个个那么废，完全失去了魅力啊，而且转世后的配音也不太好听。下沙篇完全比不上王权篇和月红篇，估计这两个故事是狐妖的巅峰吧。"
308$26972694$狐妖小红娘剧场版：月红篇$竹兮💚$2022-06-12 10:33:11$0$东方月初和涂山红红～
309$26972694$狐妖小红娘剧场版：月红篇$Ka在减速带上🚜$2018-05-24 16:54:11$0$"话不多说
良心国漫，你值得拥有"
310$26972694$狐妖小红娘剧场版：月红篇$弗兰肯斯坦$2022-07-24 22:04:55$0$补星。
311$26972694$狐妖小红娘剧场版：月红篇$衡奕$2021-10-31 14:00:14$0$只是觉得没那么有意思
312$26972694$狐妖小红娘剧场版：月红篇$發條橙$2021-11-14 19:03:53$0$4.0。补标。
313$26972694$狐妖小红娘剧场版：月红篇$asdfghjkl$2021-11-28 17:36:18$0$整部作品最爱的两个角色：东方月初和王权霸业，最爱到两对cp：月红和竹业~
314$26972694$狐妖小红娘剧场版：月红篇$Monster$2022-03-31 15:09:56$0$比王权篇节奏更好 哭了好几次哭惨了..
315$26972694$狐妖小红娘剧场版：月红篇$超级无敌小豆芽$2018-12-10 15:08:04$0$二货道士真的，好帅！！！不好意思我的少女心炸了
316$26972694$狐妖小红娘剧场版：月红篇$许我爱你儒参商$2018-01-23 17:02:22$0$想拍成
317$26972694$狐妖小红娘剧场版：月红篇$蓝桥秦岭$2022-08-26 14:12:22$0$白苏多甜月红多虐
318$26972694$狐妖小红娘剧场版：月红篇$Janet Craig$2020-03-08 21:18:11$0$回归主线，看起来还是很过瘾的。
319$26972694$狐妖小红娘剧场版：月红篇$Homeros$2022-09-12 07:06:09$0$妖仙姐姐。
320$26972694$狐妖小红娘剧场版：月红篇$给你一锭子$2020-12-11 22:47:26$0$狐妖里面最爱月红篇，没有之一！！！！
321$26972694$狐妖小红娘剧场版：月红篇$💚🌴🍂$2022-07-10 12:21:52$1$白苏和月红本就是不同的吧，转世续缘只是一种无望的执念。
322$26972694$狐妖小红娘剧场版：月红篇$niji$2019-05-06 22:27:06$0$水了三集 最后一集满分！
323$26972694$狐妖小红娘剧场版：月红篇$珈$2020-04-06 20:52:49$0$"我很喜欢月红CP，但不得不说与千颜、竹业相比，他们的感情铺垫不够、显得突兀…看到后面脑海里两个字缓缓浮现：“就这！？”我所期待的荡气回肠的爱情呢？
主题曲我很喜欢，三星支持一下~"
324$26972694$狐妖小红娘剧场版：月红篇$豆瓣流浪儿$2019-10-12 23:08:00$0$涂山，我罩的，懂？
325$26972694$狐妖小红娘剧场版：月红篇$猪覀覀$2020-01-27 17:19:15$0$没感觉出来用情至深呀？
326$26972694$狐妖小红娘剧场版：月红篇$momo🍋$2020-02-09 00:14:18$0$"打卡。月红篇真是让人起鸡皮疙瘩，再看才明白苏苏是苏苏，红红是红红，白月初也不是东方月初。-前世我喊你妖仙姐姐，今生你叫我道士哥哥。-不知不觉把自己遗忘，只想为你完成那个梦想。"
327$26972694$狐妖小红娘剧场版：月红篇$nwcjraoigc$2020-07-09 22:13:35$0$我好喜欢这个故事 不管是东方月初和涂山红红 还是白月初和涂山苏苏都kswlkswl！！！！！
328$26972694$狐妖小红娘剧场版：月红篇$tataasura$2021-08-21 08:33:10$0$总觉得说得不清不楚
329$26972694$狐妖小红娘剧场版：月红篇$云胡不喜$2018-12-29 22:24:25$1$月红必须拥有姓名，里面最喜欢的片段就是像梦回环里的那句歌词的写照:你的手穿过我的胸膛
330$26972694$狐妖小红娘剧场版：月红篇$几英里花火$2022-08-05 21:27:35$0$红红也不会想到在失手杀死“恩人”内疚的数年后会出现一个东方月初治愈她爱她处处为她吧。真的好虐
331$26972694$狐妖小红娘剧场版：月红篇$秋木苏$2021-11-23 23:49:52$0$我愿意，五十年前就愿意了。
