$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$34964209$“黄河之水天上来”国宝音乐会$眯眯眼的敏敏$2020-02-08 00:22:40$7$很爱两首国乐，特别喜欢开场的象王行。黄河的主题挑的很好，表演和文物也相辅相成。P.S. 这个词条是我加的哟，嘻嘻！
1$34964209$“黄河之水天上来”国宝音乐会$Nova_W$2020-02-10 15:30:08$14$「昏君的快乐是你们无法想象」
146$34964209$“黄河之水天上来”国宝音乐会$本草纲目$2020-09-10 23:54:14$0$终于等到这个词条了。水准真的太高了！！！果然专业表演者比明星有感染力得多。目瞪口呆地看完，全程鼻子发酸嗓子眼发紧，终于在治理黄河那一段哭出来了。这种时候不免会觉得自己特别幸运，能够诞生在这样的民族和文化的怀抱里，能如此置身其中地感受它的沧桑和伟大。特别特别喜欢“唐三彩载乐骆驼俑”那段！美人风韵，胡乐新声，驼背上都能窥见盛世气象。
147$34964209$“黄河之水天上来”国宝音乐会$甜橙西柚（&gt;؂&lt;$2021-07-08 16:28:13$0$真的是国宝音乐会
148$34964209$“黄河之水天上来”国宝音乐会$去吧皮卡丘$2020-03-05 14:42:40$0$精彩纷呈
149$34964209$“黄河之水天上来”国宝音乐会$Song$2021-05-01 00:31:53$0$近3个小时的视听盛宴，贯穿着一黄九省近五千年的历史文化速写，分量十足，质量上乘，很是享受。任何一个章节都可以拿来作为其对应省份的文化宣传片，比现在城市宣传片千篇一律的调性要好看太多。若是各地博物馆都能如此演绎文物，该是有多动人。还是第一次意识到黄河九曲第一道弯是在四川，我一直以为是青海…这个弯太神奇——三省交界。个人觉得最惊艳的一章是《东汉七盘舞画像砖》，复原出的盘鼓舞是第一次见，能跳出『汉代的天地观和宇宙观，把日月星辰踩在脚下，飞舞而作歌』…古人脑子里到底装了什么…PS. 居然看到宗次郎本尊演奏《故乡的原风景》…
150$34964209$“黄河之水天上来”国宝音乐会$mpwylfly$2020-02-10 20:03:27$0$    这个节目简直是我在这个春节里唯一的慰藉，心情不好就去B站随意点个地方看，每次都有新感觉。    主题是随着黄河源头至入海途径的每个省份选取宝物，以宝物为灵感创作的音乐及歌舞节目，由此介绍文化和历史。    喜欢青海的锅庄课间操和广场舞，喜欢四川的我们把日月星辰踩在脚下的汉朝舞，喜欢甘肃的宗次郎《大黄河》，喜欢宁夏的胡旋舞，喜欢内蒙古的马头琴，喜欢陕西的丝路音乐会（我要举报他们用中央民族乐团和古丽老师这样的国家队），喜欢山西的大鼓，喜欢河南的治河京剧（也要举报他们用国家队于魁智老师），喜欢山东的幽兰操，每一个节目都好喜欢！    超爱001号讲解员，我们的开心果果粒老师，最后我们的母亲河环节真的是泪目，黄河是我们中华民族的母亲河。君不见，黄河之水天上来！
151$34964209$“黄河之水天上来”国宝音乐会$嘉禾$2021-02-25 00:47:19$0$泪奔！我九州礼乐，冠绝寰宇。一曲象王行，声闻于天！
152$34964209$“黄河之水天上来”国宝音乐会$Renee.$2020-11-21 17:37:33$1$一首曲子 一件陶器 舞者的一个回礼 都能让人泪目盘鼓舞好绝 陶笛声音真好听最后黄河取水环节真的厉害人有多渺小 人又有多伟大爱上国家宝藏的文案！想追全剧了！
153$34964209$“黄河之水天上来”国宝音乐会$桃之夭夭$2020-10-04 11:35:26$0$太棒了！！太棒了！！太棒了！！！
154$34964209$“黄河之水天上来”国宝音乐会$是球球啊$2022-10-03 13:45:38$0$黄河母亲河，生于此长于此，想家了
155$34964209$“黄河之水天上来”国宝音乐会$轻松小熊$2020-02-24 00:30:21$0$爱了(⑉°з°)-♡
156$34964209$“黄河之水天上来”国宝音乐会$木匆tina$2020-11-15 09:55:51$0$讲真，前半部分真不错，后半部分有点冗长。不过确实精彩。
157$34964209$“黄河之水天上来”国宝音乐会$.$2020-05-09 16:53:26$0$和朋友在家一起看的。以黄河为线索展开的国宝展示和音乐盛典，好喜欢结尾把黄河各个河段的水串联在一起那一段，真的太震撼了
158$34964209$“黄河之水天上来”国宝音乐会$www🌻$2020-03-07 20:52:39$0$依旧是那么好看，那么让人感动～
159$34964209$“黄河之水天上来”国宝音乐会$雨在$2021-12-08 13:53:57$0$太棒了，我太爱了。文案一级，音乐一级。因为这个另外搜了陶笛和舞剧《孔子》。都好爱啊，mua～
160$34964209$“黄河之水天上来”国宝音乐会$Chebyshev$2021-08-19 20:22:45$0$君不见黄河之水天上来，奔流到海不复回。音乐、故事、舞美、文案都无可挑剔，视觉盛宴
161$34964209$“黄河之水天上来”国宝音乐会$下下下下$2021-02-04 12:09:41$0$视听享受
162$34964209$“黄河之水天上来”国宝音乐会$黄沙$2020-02-08 16:22:55$0$非常喜欢唐三彩载乐骆驼俑和演奏今生乐章的演奏家们～
163$34964209$“黄河之水天上来”国宝音乐会$pinellia$2020-02-10 17:43:52$0$舞台效果棒！还是熟悉的味道！期待第三季！
164$34964209$“黄河之水天上来”国宝音乐会$做个有理想的人$2020-02-12 19:29:39$0$一如既往的高质量
165$34964209$“黄河之水天上来”国宝音乐会$墨韵$2020-02-08 10:11:09$0$希望第三季快些到来
166$34964209$“黄河之水天上来”国宝音乐会$关山月$2020-02-13 22:50:51$0$禹迹九州铸华夏，生于忧患五千年。黄河宁，天下平。愿今后，河清海晏，岁岁安澜。
167$34964209$“黄河之水天上来”国宝音乐会$寒千寻_$2021-10-24 17:34:00$0$求出长江流域特辑QAQ
168$34964209$“黄河之水天上来”国宝音乐会$我亦飘零久$2020-02-12 12:15:11$0$从来没有哪一个综艺节目可以让我全程泪目。
169$34964209$“黄河之水天上来”国宝音乐会$喵喵探头$2020-04-28 23:09:37$0$节目的台词文案好棒
170$34964209$“黄河之水天上来”国宝音乐会$楚河Winny$2020-12-11 18:56:19$0$此生不悔入华夏
171$34964209$“黄河之水天上来”国宝音乐会$棒棒唐$2021-11-06 23:27:00$0$守护国宝，守护黄河文明!!!
172$34964209$“黄河之水天上来”国宝音乐会$路过蜻蜓$2021-01-25 16:09:40$0$知来处，明去处！
173$34964209$“黄河之水天上来”国宝音乐会$竹$2021-02-02 21:15:11$0$小破站牛气！支持！
174$34964209$“黄河之水天上来”国宝音乐会$杰西卡$2020-02-19 19:31:57$0$你们是宇宙的女儿！
175$34964209$“黄河之水天上来”国宝音乐会$崔霁月$2020-02-16 20:01:45$0$象王行和相和歌真的太绝了！希望这样良心的节目能被更多人看到
176$34964209$“黄河之水天上来”国宝音乐会$呀呀$2021-12-01 09:33:48$0$黄河之水天上来  音乐会里黄河的形象栩栩如生黄河的柔美  泽被大地黄河的壮阔  波涛汹涌黄河也有水患   无数帝王臣子为之操心黄河流经的九个省份  带来九件与黄河有关的国家的宝藏不同的中国乐器  不同的中国民族演绎的国宝今生  令人叹为观止
177$34964209$“黄河之水天上来”国宝音乐会$浮游$2021-09-23 11:25:02$0$君不见黄河之水天上来，奔流到海不复回。君不见高堂明镜悲白发，朝如青丝暮成雪。人生得意须尽欢，莫使金樽空对月。天生我材必有用，千金散尽还复来。
178$34964209$“黄河之水天上来”国宝音乐会$湘桥月凉$2021-04-12 22:39:44$0$央视就是爸爸，文案绝了。开口跪。
179$34964209$“黄河之水天上来”国宝音乐会$啦啦啦啦啦哎呀$2021-02-09 14:38:52$0$国家宝藏的确是个音乐节目，歌和舞蹈都把中华文明展现得淋漓尽致，当一群姑娘用汉代的礼仪回礼时，场面特别震撼，为之动容。
180$34964209$“黄河之水天上来”国宝音乐会$凌晨三点的梦游$2021-02-28 07:04:34$0$黄河宁，天下平。
181$34964209$“黄河之水天上来”国宝音乐会$吃瓜er$2021-08-05 21:55:59$0$非常棒的音乐会，让我们了解了更多古典文化，特别喜欢节目里的几个舞蹈节目
182$34964209$“黄河之水天上来”国宝音乐会$走马观花$2020-02-10 21:20:07$0$有了黄河，就有了华夏儿女，就有了中华文明。
183$34964209$“黄河之水天上来”国宝音乐会$草长*莺飞$2020-07-23 23:34:24$0$太棒了👏👏👏
184$34964209$“黄河之水天上来”国宝音乐会$圣人死，大盗止$2020-12-12 12:38:54$1$从此君王不早朝是有原因的呀！
185$34964209$“黄河之水天上来”国宝音乐会$严熊猫$2020-03-04 01:03:17$0$希望央视再接再厉，努力把原创大型音乐节目提升到新的巅峰（手动狗头）
186$34964209$“黄河之水天上来”国宝音乐会$长青$2021-01-27 14:15:56$0$众所周知国家宝藏是一档音乐节目。开场的象王行大气磅礴，中间的每一首歌都非常非常好听，最后取各地的黄河水那一幕简直让人热泪盈眶，很有意义。不知是否能等到一个长江相关的音乐会。
187$34964209$“黄河之水天上来”国宝音乐会$五百春来五百秋$2020-05-02 17:53:46$0$吉光片羽圣人出 黄河清众所周知：国家宝藏是一栏音乐节目摇滚京剧？！——选自《给这条弹幕跪了系列》
188$34964209$“黄河之水天上来”国宝音乐会$化粪池游泳冠军$2022-04-22 15:16:23$0$好看
189$34964209$“黄河之水天上来”国宝音乐会$指甲太长要减掉$2020-07-17 12:27:37$0$看得时候泪目，虽然生在长江流域，但中华文化一脉相承，这厚重的情怀让人深切共情。最厉害就是主题国乐，国家宝藏别的不提就只里面的音乐就值得狂点五星。关大洲最🐮B！
190$34964209$“黄河之水天上来”国宝音乐会$青桐黄衫$2020-04-20 01:49:54$0$这么好的节目没有评分，豆瓣运营小编，你可长点心吧。
191$34964209$“黄河之水天上来”国宝音乐会$翠花上酸菜$2020-02-16 00:06:46$0$属于我们自己的文化自信
192$34964209$“黄河之水天上来”国宝音乐会$废晨$2021-05-08 23:38:31$0$6666
193$34964209$“黄河之水天上来”国宝音乐会$四季豆$2021-05-26 20:38:44$0$单曲循环象王行
194$34964209$“黄河之水天上来”国宝音乐会$望尽中原百万山$2020-02-23 08:26:11$0$展出的文物很多恰好与自己论文研究的东西有点关系，了解的多了一些，更加清楚明白背后的含义。另外，舞台设计和歌曲真的很棒。
195$34964209$“黄河之水天上来”国宝音乐会$于三娘$2020-02-29 22:07:39$0$好久没来豆瓣，看到评论真是温暖……谢谢大家的爱。
