$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$3037329$遥望南方的童年$窗边的小豆豆$2019-08-13 21:05:29$1210$这个片子，我想打一万分。推荐所有人去看。如果以后等我退休后 中国还是有这样的地方 我会考虑去；如果是成为坐拥财富者，我一定要去建学校。实际上大学时代支教过两次，当时环境不比片中好 甚至当时一个地方连电和水都不同。这也就是十多年前的事情 历历在目，有一个当时只有四岁的小朋友一直和我保持联络到现在。这片子让我回忆起很多那时候的时光，特别感动，片中这老师太值得倾佩。虽然我拿我们这些博士的学术成果对社会的贡献来比较他的教书育人对社会的贡献是不妥帖甚至是无法比较的，但是我的确深感我自己对社会的贡献还远不及他的九牛一毛，尽管他连普通话都说不标准，但这却更显示出来了这位老师的高尚之处。感谢大象放映室让我了解到这部片子。
1$3037329$遥望南方的童年$局外人psy$2018-12-23 22:55:36$349$真实到可怕，这就是我的童年，这就是农村教育现状。
105$3037329$遥望南方的童年$每天都有坏消息$2020-10-21 01:44:55$2$师母不是刀子嘴却是豆腐心，人能干，在背后支持着易老师，羡慕这样的爱情。这些留守儿童，好可怜，他们没做错什么，却一生下来就是这样的命运。那个大嫂话糙理不糙，“有本事生，没本事养”。小孩子都好可爱啊，也好可怜啊。易老师和师母功德无量，功德无量！希望李响能好好读书，做自己想做的事。希望好人一生平安，好人多福报。
106$3037329$遥望南方的童年$今生、唯爱$2022-11-02 02:35:28$2$泪目！虽然拍摄的很粗糙，却掩盖不住质朴与真实！生活啊，好苦
107$3037329$遥望南方的童年$李湘$2021-05-09 00:06:08$0$这个老师真好。留守儿童好可怜。
108$3037329$遥望南方的童年$拾贝壳的猫$2021-08-29 22:53:09$0$"在乡下，最怕的是小孩子落水。
各位观众，你还记得你的幼儿园老师吗？
留守儿童可怜，外出打工的父母也很不容易。
原来乡下是基本没有幼儿园的。
农村女人为啥脾气都不太好？因为很忙。
而外出打工的年轻夫妻，如果只有一个出去，另一个容易变心。如果两个都出去，孩子没带出去的话，就没人管。
十几年看不见的老婆婆如何独自生活啊？
结尾有点夸张啊，当老师也要当保姆。
穷家富路。"
109$3037329$遥望南方的童年$hensher$2020-03-09 22:43:39$2$这片子应该让在上位者都看看。。。
110$3037329$遥望南方的童年$zolker$2020-03-24 19:52:46$1$留守儿童的问题现在依然存在，影片中平凡人平凡事，易老师夫妇真是难得的好人
111$3037329$遥望南方的童年$ReMinD$2021-09-06 00:30:35$0$国家已经开始重视了。 虽然还是无数外出务工人员和无数留守儿童 但希望能越来越好 小孩们真是太值得疼爱了。原生态的群众演员 演得是人生 感动是触及心灵的。
112$3037329$遥望南方的童年$爲己斋$2020-03-22 14:15:11$2$2020.3.22  14:14  于家中。这真是真实的江西啊！这不是电影，是纪录片！！！
113$3037329$遥望南方的童年$竹傲风$2020-08-03 17:25:37$0$拍摄的很粗糙，但胜在选题。希望之后，再也不会出现留守儿童的身影。
114$3037329$遥望南方的童年$濮渔$2020-09-15 23:55:46$19$我哭成泪人，哭到抽搐，我表述不出其它，只觉它有千斤重，把我压进泥土，又觉得它把人拽了出来，带着泥土，回到浪漫、美好而又辛酸的童年与布满灰的现实。
115$3037329$遥望南方的童年$= Echo$2019-08-27 17:47:18$1$题材很新颖。 值得反思。大多数人还不清楚自己想要的生活。就不负责任的要了孩子。对自己不负责任。对社会不负责任。教育真的还是一件很重要的事情
116$3037329$遥望南方的童年$穆豆$2022-07-01 21:30:19$0$乍看全是地方自制影视的粗糙，但仔细看感到精彩的地方太多了，鲜明的人物、饱满的情节，以及包括小朋友都满满在线的表演，更不要说这一份难得的现实主义关怀。+
117$3037329$遥望南方的童年$O型血$2019-10-09 17:16:49$0$有本事生，没本事养。这些留守儿童将来怎么办https://www.bilibili.com/video/av63422266同题材作品《一个都不能少》 (1999)。中国江西农村，那些没人管的孩子https://www.bilibili.com/video/av69036980质朴又真实，这么高分的国产片，至今再没出现过https://www.bilibili.com/video/av69470252
118$3037329$遥望南方的童年$守脑如玉$2019-08-13 21:01:13$3$村民演技吊打小鲜肉，关爱留守儿童和空巢老人，十多年来，国家一直在变好！
119$3037329$遥望南方的童年$junoeng$2020-06-15 17:15:41$1$"如此好的片子居然没多少人看，实在是可悲可叹。这片子我打10000分。如此真实，如此动人。对于外出务工和留守孩童和乡村教育问题描述的特别到位。

易老师和易师母，真的是大好人啊，这个影片简直是经典之作，片中的演员比很多流量明星都要好，即使是小孩子，演技都是杠杠的。"
120$3037329$遥望南方的童年$嘿，丫头！$2022-04-09 15:23:43$3$熟悉的乡音，熟悉的建筑风格，只是希望现在眺望远方等待父母的小孩能够少一些。
121$3037329$遥望南方的童年$maxclumsy$2021-03-13 22:29:05$0$历史洪流中的一粒沙尘
122$3037329$遥望南方的童年$飞碟熊二$2019-08-29 17:55:36$0$拍的镜头不够抖
123$3037329$遥望南方的童年$世紀末の魔術師$2022-12-29 19:18:51$0$"这么高的分，在华语电影中都罕见，但我其实没感觉到比《一个都不能少》出色很多。

是胜在质朴？易老师用不标准的普通话教童谣就跟我爷爷（他也是乡里的语文老师）一个样，刀子嘴豆腐心的师母好像我伯母，我表哥也曾经在销声匿迹十几年后领着大肚子的女朋友回到村里，甚至看到孩子们遥望云那边的深圳，我还能回忆起小时候对“东莞”的想象。

他们的乡音我能听懂大半，但还是觉得电影离自己很遥远，数十里开外，在2007年真的还有这么穷的地方吗？可这些男人、女人、老人、孩子又让我倍感亲切，乡土中国生长的人一直如此坚韧。"
124$3037329$遥望南方的童年$风绮啊$2021-05-10 16:19:31$0$泪目
125$3037329$遥望南方的童年$侑子（我回来了$2022-06-29 21:18:11$1$孩子稚气的脸上从未出现过被生活虐待的痛苦，他们还不知道自己生命中最宝贵的部分是多么贫瘠；不知道这些孩子是不是在好好上学，努力帮中国摆脱这种时代的阵痛；易老师和师母的温暖会改变孩子的一生
126$3037329$遥望南方的童年$yanyanyanyan99$2021-06-10 14:02:27$0$方言限制了受众面，湖北话听着有点亲切。反应了幼小青中壮老年各个年龄段的留守生活，很真实。希望这个社会好人有好报。
127$3037329$遥望南方的童年$Arrebato$2021-07-22 16:52:22$30$这个导演一定有一颗金子般的心。
128$3037329$遥望南方的童年$隐$2020-02-10 22:33:29$0$100分
129$3037329$遥望南方的童年$明岛$2018-09-26 18:45:10$2$《男主叫易老师，他应该叫“难”老师》2007年的作品，看过标记人数不足六百。我等屁民不知道是我等屁民无知；我相信顶层一定是知道的，如果说不知道，那是他们的罪。
130$3037329$遥望南方的童年$ 幽若/ty$2019-12-19 15:28:28$0$后面一小段看的人格外心酸
131$3037329$遥望南方的童年$晚饭想吃麻辣烫$2021-05-18 17:01:46$0$可可爱爱的小孩子
132$3037329$遥望南方的童年$牛三牛$2019-09-02 09:38:31$0$没什么电影感，却把今日中国乡村大地上最有时代特色的痛给拍出来了。儿童真是演技富矿。
133$3037329$遥望南方的童年$Fleurs.哼哼$2019-06-20 15:30:09$0$是好故事，但不如纪录片来的真实
134$3037329$遥望南方的童年$Zoe$2022-09-24 20:43:34$0$爱 温暖
135$3037329$遥望南方的童年$泥巴$2020-03-27 16:48:50$1$标准央六电视电影罢。
136$3037329$遥望南方的童年$猴子$2022-03-05 19:18:34$0$快速城镇化下的山区，最后结尾的婴儿有点魔幻
137$3037329$遥望南方的童年$瓜。相信这个世界很变态。$2020-10-18 21:56:44$0$简陋，朴实，动人。
138$3037329$遥望南方的童年$PirateRadio$2021-12-30 17:23:04$0$介于纪录片和电视电影之间，关注社会现实的作品应该得到更多的关注。
139$3037329$遥望南方的童年$拾间集$2022-11-06 21:17:55$2$曾经在江西断断续续待过一年多的时间，感受着那边的人间烟火气，电影里远远冒热气的饭菜就很馋我，就好像回到了过去。易老师就是个普通人啊，但就是这个普通人的不忍让镜头外的我狠狠地共情了，师母很善良、砣砣很可爱、小老师也很朝气、普通人的苦永远伴随着说不出来的窘迫，人间如此，愿好人一生平安。
140$3037329$遥望南方的童年$本心$2020-05-31 23:32:40$0$农村艰难现状和教育问题是城市化进程中突出显著的问题，近年来的精准扶贫政策对此取得了明显成果，让更多农民返乡，建设一个现代化农村，留守儿童也越来越少，但还不够，还需更加努力。致敬那些坚守教育岗位的教师们！
141$3037329$遥望南方的童年$抹冷$2022-05-11 12:49:29$1$电影中的生活真的纯粹，最后停办后接孩子回家真的寒酸啊。易老师真的是不为利益教书的代表，也可以说，孩子就是他的利益
142$3037329$遥望南方的童年$通叔$2020-02-28 00:26:15$0$干实事难，干好事难
143$3037329$遥望南方的童年$1874$2022-09-10 23:04:33$0$足够伟大，因为彰显了朴实却又光辉的人性，遥望南方，爸爸妈妈何时归家？
144$3037329$遥望南方的童年$kl$2019-11-20 21:53:48$4$"三点：
1.易老师你是圣人，但是也是个个人英雄主义的不负责任的丈夫。你是在做好事，可给媳妇和家庭带来巨大的成本和风险，我就问如果砣再掉河里你怎么交代
2.如果非要出去打工就不要生孩子，对孩子太不公平，能生不能养
3.女人永远比男人傻，在中国，尤其在中国农村
这电影最好的地方是真实的的反应了农村留守儿童的生活状态。让大家看到了另一些孩子的生长环境。这个有意义。坨坨坐在树下望着远方的照片真的让我心酸，他爹他妈真不是东西。"
145$3037329$遥望南方的童年$阿文$2021-08-06 03:29:50$0$乡愁从未离我们远去。
146$3037329$遥望南方的童年$呵呵好吗$2022-04-21 23:10:37$0$中国很多农村都有这样的好人，扎根在农村，踏踏实实做一些利于本地乡村的好事，就是啊，这些好人经常是吃亏的。结尾那段看着还挺心酸的。
147$3037329$遥望南方的童年$秦风无衣都有$2014-04-03 18:43:03$1$山西宜春。真人真事。非职业演员。留守儿童。教育。原生态。电影频道
148$3037329$遥望南方的童年$DingXiyang$2020-12-12 17:08:55$3$现在是2020年，不知留守儿童们怎么样了
149$3037329$遥望南方的童年$米吐尔$2021-01-22 01:10:15$0$虽然只看了大象放映的讲解版，真善美的展露完全可以被感受到。真的太不容易了，这么多孩子、非职业演员……这部电影应该上映。
150$3037329$遥望南方的童年$小乔到手$2021-09-09 20:51:19$0$神作！
151$3037329$遥望南方的童年$Cloud$2020-03-01 03:16:55$1$很不错，在好的题材下完成度很高，这就必然会是一部杰作。全部非职业演员看得很舒服，没有任何非真实的不适感，现实主义题材就应该这样拍。有几处想落泪，有几处让我想回农村老家看一下。
152$3037329$遥望南方的童年$林小朵i$2020-01-20 11:52:11$0$乡亲们的演技太好了！好看！
153$3037329$遥望南方的童年$neo$2019-08-24 03:20:19$1$真实得像纪录片
154$3037329$遥望南方的童年$江湖骗子上官蝶$2020-04-14 23:11:18$1$"文才送孩子那段看的挺生气，生孩子不养孩子的，我都想骂对方繁殖癌！╭∩╮（︶︿︶）╭∩╮一万点鄙视！
"
155$3037329$遥望南方的童年$hungry$2020-03-17 09:08:07$0$看了心迷宫中和一下8245易老师简直就是当代活雷锋。
156$3037329$遥望南方的童年$陈抱朴$2021-02-05 22:53:24$0$一部优秀的现实主义写实作品，所以即便不是一部传统意义上的优秀电影，依然拥有打动人的力量
157$3037329$遥望南方的童年$李厂长📖$2022-04-17 11:34:59$0$卧槽，我无语了。就这样留守，真不如不生啊
158$3037329$遥望南方的童年$一骞个人$2020-12-15 22:16:23$0$8.1分左右。
159$3037329$遥望南方的童年$decca$2018-09-05 20:59:33$1$非职业演员出演，营造了纪录片的观感，可又不觉得枯燥。这个村里有易老师这样的人办着幼儿园，村里的孩子们还是幸运的。十多年过去了，现在的孩子们又是如何呢？
160$3037329$遥望南方的童年$阿一$2021-06-14 21:24:46$0$"借乡村教育的艰难折射出留守儿童农村困境等一系列社会问题。
手法，立意，确实陈旧
再强调，不能因为拍摄过程艰难就盲目捧某部作品，不能因为其有社会关怀就不能批评其艺术性低下。"
161$3037329$遥望南方的童年$木水$2020-04-07 02:12:18$0$纪录片式的表现形式，真实感特别强，坨坨那段让我泪如雨下。关注并改善农村“留守儿童”和城市“务工人员”的生活状态，是政策制定者必须要考虑的问题。
162$3037329$遥望南方的童年$欢喜指南$2019-10-13 12:28:50$0$这是纪录片吧
163$3037329$遥望南方的童年$刘振华$2022-06-28 18:21:59$6$这么好的电影今天才看是我的损失。
164$3037329$遥望南方的童年$akasa|呆$2022-09-05 23:57:21$0$易老师是个好人 可是他能教的有限 外出打工的父母选择了自己没有选择孩子 如果这些孩子在成长的第一课能拥有爱和正确的引导 农村才会有未来/配乐加分/又是一部老好人影片 哎
165$3037329$遥望南方的童年$认真的泰罗$2021-02-28 22:35:57$0$易老师夫妻令人敬佩，但片中不负责任的村民们太气人了
166$3037329$遥望南方的童年$假面骑士$2022-06-05 06:39:43$0$不敢看，太现实了，见不到人间疾苦，可这就是我的整个童年啊
167$3037329$遥望南方的童年$爱森纳赫小镇$2020-12-04 12:50:20$0$(⁎⁍̴̛ᴗ⁍̴̛⁎)
168$3037329$遥望南方的童年$斑蓝$2022-12-07 16:37:45$2$"片中的孩童拍的太真实了，唱歌声嘈杂而又动人，是我见过最真实的感觉，还有那个要参加超级女声的女孩，特别想要外出打工，唉…
这部电影全是真实，没有任何技巧，没有任何煽情，有希望的同时又是绝望…"
169$3037329$遥望南方的童年$莹小慢$2019-01-17 20:03:15$0$非常真实。这世上至少有一半的父母根本不配做父母，而善良的人心就如金子般闪耀。人生中有一些失去是得到，有一些得到是丧失。
170$3037329$遥望南方的童年$草禾刀$2022-10-07 21:06:25$0$什么是好电影，刻画时代的，不是演，就是纪录。我希望有一天能看到刻画我们那个80时代，城市儿童的童年。
171$3037329$遥望南方的童年$鲢鱼头小皮皮$2021-09-10 22:32:38$1$关注留守儿童教育、农村空心化等问题。当城市为多胎生养教育经济等各类问题而争议不已时，大量的真正的山区农村儿童和留守老年人完全被排除在互联网的关注之外。老年人缺乏医疗与照料、无人陪伴，孩子似乎只以传宗接代之名而来，与打工人父母天各一方，这是一个无限循环难以逃脱的农村人生轨迹。最后提两点，一是本片从电影的标准来考察是不及格的，更像是纪录片。二是其中的教育与沟通方式基本是错误示范。
172$3037329$遥望南方的童年$宁静致美$2022-01-02 22:48:53$0$"        我们不但要脱物质的贫，更要脱教育的贫啊。
        说到底还是教育没有跟上，让中年群体撇家舍业的进城打工。但不能把这种家庭的畸形留给下一代了。"
173$3037329$遥望南方的童年$，$2021-03-11 11:44:48$2$这是易寒第一次导演的电影，可能每个导演刚开始都想拍好片子，但是迫于无奈只能去拍商业片，这么好的片子票房只有一千块，中国电影能不完吗
174$3037329$遥望南方的童年$村桐$2022-05-06 20:14:37$0$第一次看说着口音和自己的乡音很像的电影。
175$3037329$遥望南方的童年$根在南梦在北$2021-08-22 16:11:37$0$电影改编自真人真事，像纪录片一样真实刻画了留守儿童的境况。风景秀丽的农村，几乎只有老弱妇孺，儿童缺乏基础教育，更缺乏父母的陪伴，“坨坨”只有失明的奶奶，“秀秀”父母离婚，处处勾人眼泪。易老师不容易，对于外出打工的人来说易老师几乎成了他们的救星，襁褓中的婴儿都托易老师来养，实在扎心。电影让人回忆起自己的童年，辛酸的、纯粹的、无奈的、懵懂的，不禁产生强烈的情感共鸣。
176$3037329$遥望南方的童年$尘世流年$2022-06-29 10:03:07$0$社会
177$3037329$遥望南方的童年$Pieceman$2019-08-27 21:29:03$3$十分！十分！十分！
178$3037329$遥望南方的童年$浪花兴$2022-07-10 21:37:26$0$江西宜春，留守儿童
179$3037329$遥望南方的童年$Everglow$2022-03-21 21:46:44$1$质朴 干净，现在的国产电影里几乎看不到这样的电影了。
180$3037329$遥望南方的童年$朗格里格朗$2020-02-18 23:01:34$0$"“李响，好点读书啊..”
失落的幼儿，少年，青年，中年，老年
失落的农村
07年的电影"
181$3037329$遥望南方的童年$星易呈$2019-10-06 10:44:47$0$由于父母大都去南方城市打工，村中剩下的全是老人和儿童，小学教师易明堂不忍这些孩子重蹈父辈的路，决定开办一所家庭幼儿园，教孩子们学文化，下岗的妻子当园长，初中生李响当了老师。由于条件简陋，易明堂腾出家中祖宅做孩子们的活动场所。幼儿园开班后，各种意想不到的困难接踵而至，有的家庭连低廉的学费都交不起。陀陀因李响教育失当离园出走，李响很是内疚，她想报考师范学校系统地学习。秀秀的妈妈打工回来，女儿竟不认她，加之丈夫有了外遇，她伤心地离开了家乡。由于易明堂没有办学资质，乡里勒令他把幼儿园关闭。令易明堂心酸的是，这些留守儿童将来怎么办.....
182$3037329$遥望南方的童年$现在是瘦子了$2021-05-26 13:25:32$0$教育从来不是一件易事，有了支教经验之后再看这类电影泪点真的特别低。想到过去村里的老师们，当年对他们的某些行为的不满，后来再想想，我们又何尝能够企及万分之一呢？如果可以，老了之后也回村去办一个小小的私塾，是多幸福的事儿啊
183$3037329$遥望南方的童年$楚门$2022-04-24 00:14:13$0$刘斌（秀秀妈妈）和文才（婴儿爸爸）两场戏的编排略显刻意，表演方面也因稍显累赘的文戏，而暴露了非职业演员在表演方面的问题，但总体上看，瑕不掩瑜。这是一部难得的、生动的、感人的乡村题材现实主义佳作，影片在其题材上的力量、背后的意义、编导演摄乐等多个方面，都保持着充沛的戏剧性和感染力，有根、有精髓、有力量。
184$3037329$遥望南方的童年$fly$2022-09-24 14:36:57$0$这个结尾太棒了，现实就是这么残酷。
185$3037329$遥望南方的童年$Jane$2022-09-03 16:45:25$0$多么善良而伟大的老师和他的家人。
186$3037329$遥望南方的童年$愚无尽$2022-01-12 22:45:40$0$2022-1-12 （补录）留守儿童是一个沉重的词汇，中国教育是一个争议的词汇，两者结合在一起注定不会平凡。这是一部伪装成 剧情的纪录片，太接近记录了，记录片就是有力量，引起反思与共鸣。时隔十五年，现在的留守儿童还好吗？心心念念的教育有了变化吗？留守儿童问题依旧会存在，郭家一直在大踏步向前，当我们全面富裕之时，相信问题会自然消失。留守儿童问题本质是贫穷问题，目前郭家带领全国人民已取得阶段性成果，在去年罕见的大提共同富裕，我们按照历史进程朝着社会主义的目标在迈进。同样教育问题也是罕见的大改革，都是朝着好的方向前进。时隔十五年看这个片，心里有感慨有慰藉。
187$3037329$遥望南方的童年$雨天孤人$2020-11-21 01:41:59$1$真人真事改编，导演本人就是当地农村出身，演员用的也都是当地人，所有一切造就影片特别写实，自然。影片里的留守儿童跟我家小家伙差不多大小，却没有父母陪伴，受了委屈就跑去和父母分别的树下等妈妈，同样的年纪，缺少父母疼爱的孩子看着心疼。现实原因是一个很大的社会问题，你我小老百姓左右不了，能做的就是尽力关爱好你自己的孩子。
188$3037329$遥望南方的童年$一二三四卌$2021-08-29 11:42:03$0$"经历了一遍五味杂陈。甘，一群可爱的小孩子终于有了学前教育；酸，年幼的他们不得不和南下打工的父母分别，童年的记忆里一直要遥望期盼南方归家的爸妈；咸，众人对民办学校的闲言碎语，妻子的埋怨；辛，靠着妻子吃软饭住上洋房的男人，抛妻弃子；苦，所有一切皆因为当地的贫困，穷乡僻壤留不住人，也留不住情。

电影质朴而深情，充满了悲悯的情怀。14年过去了，当年的孩子4.5岁大的孩子已经成年，不知道现状改变了没有。中国有八亿农民，谁家上数三代都离不开农村。扶贫，任重而道远。中华民族的伟大复兴，就是农村的建设与复兴。"
189$3037329$遥望南方的童年$汀上白沙$2022-04-08 04:33:34$2$家乡的故事，朴素、真实、有力，虽然只讲了留守儿童，但可以从中窥见整个社会。
190$3037329$遥望南方的童年$青鸾舞镜$2022-01-26 13:20:42$0$困境，苍凉。
191$3037329$遥望南方的童年$yanagi是只$2019-05-19 16:43:00$0$多一份关注，多一份自省。但也请别寄望于外界的援助，或无私的天使
192$3037329$遥望南方的童年$Lyin$2020-02-29 19:01:35$0$哎……分裂式发展也许迫于无奈，但不能得意到忘记那些还在这样生活的同胞。
193$3037329$遥望南方的童年$bab.$2021-11-17 01:23:40$0$这个是真农村了
194$3037329$遥望南方的童年$大隐于是$2020-08-23 12:40:07$1$被易老师和师母一家子的善良给戳中了。农村的道路太写实了，平凡世界里伟大的壮举。祝愿好人一生平安。不知道是在哪个村子里拍摄的！
195$3037329$遥望南方的童年$跃过山丘$2021-01-15 14:49:55$0$在B站看过，当代武训。因为真实，所以温暖。
196$3037329$遥望南方的童年$开坦克的舒克$2021-08-30 15:08:26$1$在如此原生态小成本的拍摄风格下，乡村风光如此秀美婉约，却是最老的老人和最小的孩子为主体生活，年轻人为了生计背井离乡，留下一家老小。这样的基调从一开头就开始了，让人无心体会美景，看的时候就是心酸。看看此剧…对比之下小舍得小欢喜…唏嘘    沉重的无力感  只有秀秀无辜的眼神，被老师带着去送别妈妈却叫不出口的时候，才是在心口闷了一拳…
197$3037329$遥望南方的童年$吳少虛$2019-11-15 19:56:45$0$有许多刻意之处，导演还不够克制
198$3037329$遥望南方的童年$理性の诗$2022-10-16 13:26:54$2$片尾那句话，就像“公主和王子从此幸福地生活下去”一样，百试百灵。
199$3037329$遥望南方的童年$Inferno$2020-11-19 15:18:44$1$好片，看得我几度眼泪哗哗的，真实，又反映社会问题。视角很小，小村落，没多少人，没多大事，又能掀起生活和社会的一角。题材跟季春奶奶？类似，远不如韩国的精致、文艺、明亮，触动人单纯的情感，又触到生命衰老等永恒话题。但胜在很生活，很近。拍摄略显刻意和生涩，但内涵是到位了，故事是讲清楚了，没深挖，人物也只是看到、感动，做不了什么，自己力量也太微薄了。贫穷，失明的老奶奶，不得不出去打工的人，操劳几年准备过安定日子结果一无所有又不得不出去的人，托付婴儿出去追老婆的人，这都什么事儿啊，这样的事太多了不是社会病了吗？
200$3037329$遥望南方的童年$臣独秀$2021-10-01 09:57:01$0$这类电影拍出来会让人心里被刺一下，但可能也只是被刺一下。
201$3037329$遥望南方的童年$Miss想想$2021-02-21 11:28:24$0$看到易老师把小孩送回去那段，真的泪目！这个童年有我的童年的回忆，值得大家去看的好电影！那些在乡村的留守儿童，让人心疼！
202$3037329$遥望南方的童年$沐瑶$2009-02-20 13:30:27$0$亲切的话...~
203$3037329$遥望南方的童年$KiKi.C$2019-01-02 22:21:13$0$孩子们都很可爱，负不了责任就别生了
204$3037329$遥望南方的童年$阿布$2022-03-07 21:18:55$0$后半段太好哭了，可爱的坨坨和秀秀
205$3037329$遥望南方的童年$我的豆瓣满了$2019-12-18 08:58:42$1$充满了悲悯情怀的电影，从来没有人是圣人，也从来没有人不自私，可始终人都有善心，有责任，被刀子嘴豆腐心的师母感动。最后有一幕看到他们登上高坡，望着南方，那里是爸爸妈妈在的深圳，心里是过年爸爸妈妈就回来了啊的期待。从来没经历过这种生活，可透过荧幕却能感受到那种孩子心中亲情的维系，爸爸妈妈，是多么美好的期待。很简单 很纯粹的电影，期待这种电影以后可以多上映。
206$3037329$遥望南方的童年$呀哈哈$2021-12-22 21:55:42$0$原生态的电影
207$3037329$遥望南方的童年$XXX$2016-12-02 01:57:24$2$07年在宜春拍的，记得是用的SONY 900R 认识了沙龙的一个哥们儿，上个月还一起合作了一会儿，还有中戏的宋老师，哎，世事无常，大勇希望你在天堂不再举话筒了！
208$3037329$遥望南方的童年$Thor$2022-08-18 12:47:20$2$不愧分这么高，太真实了，真实的不像电影，比纪录片还真实
209$3037329$遥望南方的童年$Siyi$2022-05-13 02:41:32$0$再见小时候。
210$3037329$遥望南方的童年$马背上的水手$2022-04-28 13:35:26$1$"良心之作！
虽然是小成本制作，虽然是业余演员，虽然是急就章；但是农村留守儿童的命运牵动人心。
中国的老百姓，吃苦耐劳，坚韧顽强，善良淳朴，犹如石板下生生不息的野草，让人感动不已！"
211$3037329$遥望南方的童年$柠檬炸弹$2022-06-08 21:15:30$0$拍的挺好的，留守儿童就是时代弃婴。然后看了导演后来拍的，什么垃圾……
212$3037329$遥望南方的童年$拉格朗日$2022-10-04 20:38:24$1$领袖墓前满是赞歌，底层英雄无人问津。以前是悲悯眼光看待，但现在觉得这些人解决问题、活着的韧性太强了，做比想的多，是我欠缺的品格。管生不管养是我身边遇到的常态，做好准备再要孩子是读过大学的普遍想法，但我认识的新生儿，都是意外降临。中国人民的生活，真实演绎都是值得五星的。
213$3037329$遥望南方的童年$江湖大骗子$2022-09-17 01:48:27$0$"难得的好电影！赤子之心办学。
多少人办学，补习班就是为了收钱，生而不养，有啥意思呢？借着打工的借口，离开年幼的孩子，甩给年迈的父母，害人害己。
07年的片子，2022了，还是这样。"
214$3037329$遥望南方的童年$肥宅掌门$2022-12-30 09:52:25$0$易老师也是这些孩子们的一道光啊
215$3037329$遥望南方的童年$雨女$2019-12-28 19:50:59$1$江西人一定来看看，乡音亲切。可能是2019最后一部电影了。除去结尾煽情过火，还是很值得观看的。imissu
216$3037329$遥望南方的童年$五号屠场$2020-03-24 23:48:50$0$很欣慰有人为留守儿童做着事，很欣慰有人把镜头对准留守儿童和守护他们的人。
217$3037329$遥望南方的童年$都令$2022-02-03 20:39:39$1$"都是素人演员，哭的情真意切很容易代入的，虽然一看就是假的（对戏都不对眼的，而且台词说的感情也是差了点），但朴素的穿着环境包括他们的情感，都是很真诚的，这就是情感的感染力，不用技巧，题材的议论性与演员的真实表达，剧本贴合生活足矣

妻子出外打工两年还清丈夫的债，回乡过好日子。没想丈夫有了别的女人，离婚后认生的女儿还判给了前夫，妻子辛苦两年得来这个结局，困难一起扛一起监督才行的唉。原以为是个留守儿童问题，或者是出外打工难，没曾想还是夫妻关系以及家庭纽带问题，以及《何以为家》中的生而不养的问题（为了抚养权归自己后，丈夫又出去打工快活了，孩子留在老家幼儿园全托或者亲戚家带着），还有留守老人还有残疾人的问题。

三星半，但情感的真挚以及需要更多人看到片子的宣传需要，小小的改变就好像女孩想做幼师一样重要"
218$3037329$遥望南方的童年$傻Ｂ骆驼$2020-02-18 15:10:07$0$这也太真实了！！全部是村民演的，比纪录片还真实。简直就是身临其境，代入感极强！！
219$3037329$遥望南方的童年$祈人之忧$2022-10-02 16:11:50$0$教育要重视啊，不然可怜的还是孩子，一代又一代的重蹈覆辙
220$3037329$遥望南方的童年$课堂.课本$2020-02-27 16:19:37$0$8分左右吧，9.4分太高了，神片才值得这个分数。
221$3037329$遥望南方的童年$二狗子是傻子$2021-01-08 20:06:11$0$偏远地区的留守儿童  乡村幼儿园  教育之痛
222$3037329$遥望南方的童年$九段$2020-06-14 12:03:08$2$"客观的说，这算不得是部好的电影，但属于好的纪录片风格，真实！
电影应该更多的利用视觉和剪辑，而不是直白的记录，我们欣赏简约质朴的风格，但必要的技巧该有总还是要有的嘛！
戏剧冲突要反复推敲，演进要控制节奏。
为什么不用一点点笔墨去表述半年后重新办起来，给人些希望的曙光？
习惯性只演绎现实的残酷？我觉得应该描述完赤裸的现实，人性的光辉，再透一束光过来，照得方寸之间光明而温暖，这个主题才真正有价值有感染力，而不是只是把不如人意的地方，一块伤疤揭开来看一眼就完事！
8.2分给这个艰难的生活局面，感恩关注到这一方困苦。希望更多的实力导演看看《小鞋子》，为传递爱，改变现状做些创作，方向是对的呀！"
223$3037329$遥望南方的童年$沉默如海$2019-10-02 22:53:19$1$朴素真实
224$3037329$遥望南方的童年$BlueMonologue$2022-07-09 17:38:58$0$题材很好，但一个小婴儿抱过去养给奶粉钱也不要未免也太。。这种伟大有点超过我的极限了，或许这就是所谓的央视那味儿。结尾结束的太突然，字幕给了人一个美好的结局，但这种仓促收尾让原来饱满的情绪瞬间全无，挺可惜的，这些粗糙画质下的风景胜过4k超清。身为留守儿童听着差不多的乡音看到这些画面也是颇有感触，只不过庆幸我是在三年级以后成为留守儿童，拥有一份美好田间戏水的童年，就像易老师带着小孩去大自然玩耍的课堂那样，这是我唯一看着笑的画面。确实是那些年的农村现状，只是穷与更穷，闭塞与更闭塞，更多老人与小孩的区别，出来工作以后偶尔农忙时回去我也常看到有些农村老人孤独老去站在门口望着你生出一阵悲凉，就像我看这部片里的瞎子奶奶也会想起外婆也曾这样孤独老去的心酸。出路在哪里，就像那层层叠叠的山峦，看不到南方的深圳。
225$3037329$遥望南方的童年$酷丐$2019-06-10 21:39:01$0$全素人电影，竟然莫名的很好看
