$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26383524$锁麟囊(京剧)$小浣熊二$2015-05-20 21:38:42$71$"这才是人生难预料，不想团圆在今朝。
120$26383524$锁麟囊(京剧)$想吃巧克力$2020-08-04 23:42:34$0$我太爱薛湘灵了！！这样的人就应该幸福一辈子！！
121$26383524$锁麟囊(京剧)$杜酥$2022-01-05 15:48:24$0$一些朴素的道德故事。我这耳朵也只能听得了西皮流水，唱得真美啊，迟小秋也好美哦！
122$26383524$锁麟囊(京剧)$徐總徐子醬$2022-05-24 13:27:03$0$分我一枝珊瑚宝，安她半世凤凰巢
123$26383524$锁麟囊(京剧)$漫长的道别$2022-11-17 23:38:33$0$他教我收余恨、免娇嗔、且自新、改性情，休恋逝水，苦海回身，早悟兰因。 
124$26383524$锁麟囊(京剧)$五柳君$2021-09-15 17:40:34$0$在《海口日记》里时不时看到小说人物不是听着就是唱着《锁麟囊》，然后在B站看的国家大剧院版的，还挺有意思的，投桃报李的故事，弹幕太逗了，又是绿码又是大水，刚好和现实新闻重合了；想起小时候庙会听的采茶戏了
125$26383524$锁麟囊(京剧)$一听可乐$2020-05-06 15:23:32$0$半虚半实，有意思。
126$26383524$锁麟囊(京剧)$Adamo$2015-05-13 14:19:42$0$美得不行。
127$26383524$锁麟囊(京剧)$季几，你在玩🔫$2020-07-28 22:11:22$0$其实更喜欢舞台版的。。
128$26383524$锁麟囊(京剧)$road$2020-12-18 23:13:21$0$2020.12.18百讲
129$26383524$锁麟囊(京剧)$就算天空中再深$2020-03-13 15:59:49$0$珊瑚宝那句我能听一万遍
130$26383524$锁麟囊(京剧)$momo$2021-07-31 18:13:41$0$喜欢
131$26383524$锁麟囊(京剧)$SunDance$2022-05-28 18:33:22$0$戏剧还是更契合假布景，但是最后一套戏装直升五星；2022年了，大家都想要“绿马”
132$26383524$锁麟囊(京剧)$今晚早点睡！$2020-11-27 01:24:51$0$现在大家没时间，也静不下心去看戏。其实传统戏曲里的故事都很成熟了，情节和戏剧冲突之类的都很抓人。如果拎出来拍成电影必定叫好又叫座。幼时陪奶奶在戏曲频道看《锁麟囊》，惊了！故事的巧合设置得太妙了。去年在省大剧院看了一出现代京剧《鹤舞云天》，旋律跟唱腔朗朗上口，舞美更像话剧，年轻人接受起来也不难。戏曲不死！
133$26383524$锁麟囊(京剧)$。$2020-08-23 20:43:16$0$梅香和碧玉真可爱！好听好看！
134$26383524$锁麟囊(京剧)$Leo（吴磊版）$2023-02-10 22:47:04$0$剧照都好清楚，怎么我找的资源糊糊的
135$26383524$锁麟囊(京剧)$栋栋我的脑子$2023-02-18 22:57:06$0$本来是当打扑克的背景音，结果因为太好看大家都不打了，全心全意看戏。p.s. 开着弹幕看我们都要笑疯了
136$26383524$锁麟囊(京剧)$Cecilia$2021-01-31 23:49:11$0$锁麟囊yyds！
137$26383524$锁麟囊(京剧)$somerabbyu$2022-05-30 14:26:31$0$首先我是外行，迟小秋太对味了🥺。
138$26383524$锁麟囊(京剧)$酒醉的探戈$2020-08-13 19:50:39$1$"“良辰吉日當歡笑，為何鮫珠化淚拋？”
“我嫌不足她正少，她為飢寒我為嬌。”
“分我一只珊瑚寶，安她半世鳳凰巢。”
“小小囊兒何足道，救她飢渴勝瓊瑤。”
“富貴未必長此富貴，貧窮也會時來運轉。”
“這也是老天爺一番教訓……他教我，收余恨、免嬌嗔、且自新、改性情，休念逝水，苦海回身，早悟蘭因。”
“此時卻又明白了，世上何嘗盡富豪，也有飢寒悲懷抱，也有失憶痛苦嚎啕。”"
139$26383524$锁麟囊(京剧)$ヘイキ$2021-09-19 00:29:06$0$虽怒时而若笑 即嗔视而有情
140$26383524$锁麟囊(京剧)$鲈雪生$2021-06-06 10:51:36$0$程派艺术集大成者。春秋亭一幕不错，有戏剧感。车轿不甚好。京剧讲义。富和穷的调节，一种资产阶级的幻象、妥协。上层仁义，下层钱。喜剧性的堕落和浅俗。音乐是长处。他要把那些感慨寓进艺术的壳子里，但不像。看的是上海律法票友名士版，艺术上无可分析，意外之喜是得了许多社会材料，这也是无奈之举，最近看戏经常要堕落到社会分析的地步。
141$26383524$锁麟囊(京剧)$熊会走到哪里去$2018-12-27 11:46:14$0$戏曲不低于 但也不高于任何一种艺术 只有当戏曲人意识到这一点 戏曲电影才能真正成为电影 真正找到活力的动能
142$26383524$锁麟囊(京剧)$阿林正悟$2021-10-10 13:27:14$0$好人有好报，多么美好啊
143$26383524$锁麟囊(京剧)$许晴$2018-12-07 15:03:01$1$我最最最最最喜欢的戏！！！！迟妈嗓音太美了
144$26383524$锁麟囊(京剧)$豆友2375088$2019-10-16 21:51:05$0$坐公交成就，看完一部戏。一群好人的好人有好报故事。薛湘灵的善良，是富家女的恻隐之心不忍人之心，人物塑造是顺势而为。贫家女赵守贞发达后的善良，才是体贴入微啊：看薛湘灵见锁麟囊落泪，便知内有隐情；知对方不会说，就主动询问；认出恩人，也不急着相认，分付丫鬟为她换上盛装，再相认。这完全是怕恩人因落难时与自己相逢而难堪，怕自己高姿态让人误解，要以平等姿态相待~这描摹精巧，人物塑造，真是好极。
145$26383524$锁麟囊(京剧)$火树$2022-01-18 20:45:28$0$词写得真好
146$26383524$锁麟囊(京剧)$烧鸭肥肠饭$2020-10-08 20:30:11$0$"最早看的《锁麟囊》还是这一版，电影比舞台版看着舒服些，迟小秋真美。
“他教我，收余恨，免娇嗔，且自新，改性情，休恋逝水，苦海回身，早悟兰因。”"
147$26383524$锁麟囊(京剧)$hjc100$2020-04-26 08:59:58$1$这一折还是挺适合拍电影版的，镜头增加了面部表情的表现力，迟小秋真美。
148$26383524$锁麟囊(京剧)$怪咖孙昕昕$2021-03-12 13:47:03$0$就是美啊
149$26383524$锁麟囊(京剧)$希哲$2020-02-08 09:00:05$0$男性角色饰演女性，总是有种种不足。
150$26383524$锁麟囊(京剧)$甜姜汽水$2021-05-14 23:45:45$0$"有的地方真的捉急太慢了想要快进⏩️，但是真的演得好好啊，戏文也写得好，开启新世界！
另：梅香真太可爱了"
151$26383524$锁麟囊(京剧)$知隙$2021-10-19 20:13:34$0$看的第一部完整京剧，迟小秋最后红衣的时候美死了。程派老戏太好看了，这词写得是真雅，虽然是很老派的劝人为善的戏，但是实在没办法抵抗这样一出善有善报的戏，而且薛湘灵和赵守贞这一对太可以了。我嫌不足她正少，她为饥寒我为娇，分我一支珊瑚宝，安她半世凤凰巢。
152$26383524$锁麟囊(京剧)$沧海一桑$2022-01-15 18:17:55$1$人生际遇不过如此
153$26383524$锁麟囊(京剧)$箱$2023-03-09 17:20:08$0$好好好
154$26383524$锁麟囊(京剧)$杨不悔$2019-12-12 08:42:37$0$简直满分，程派真是太太太太太好听了！！闭上眼都是 耳听得悲声惨心痛如捣……迟团好美😍😍😍
155$26383524$锁麟囊(京剧)$庸才$2023-04-10 18:45:04$0$太好了🥲
156$26383524$锁麟囊(京剧)$乂🐦$2021-10-02 15:46:12$0$新到京华又一秋，满城人说似程侯
157$26383524$锁麟囊(京剧)$TOILETTE$2021-01-08 10:00:53$0$剧本短而精湛，刻画生动
158$26383524$锁麟囊(京剧)$Sagiters·Kai$2021-02-18 22:07:48$0$十个男旦九个程，个个会唱锁麟囊
159$26383524$锁麟囊(京剧)$飞向太空$2021-12-29 11:35:31$0$我擦这竟然是08年的，我以为是九十年代拍摄的🙉
160$26383524$锁麟囊(京剧)$碧玉长风$2019-06-20 21:26:36$1$薛湘灵 傲娇矜贵，我喜欢迟团的扮相
161$26383524$锁麟囊(京剧)$为棉$2020-10-06 22:05:16$1$B.      杂乱的布景却有着大量的写意程式，两者之间的冲突已然破坏了歌舞故事成立的基础。
162$26383524$锁麟囊(京剧)$momo$2021-05-12 11:42:34$0$国家大剧院线上版，看了一段之后看的08版。
163$26383524$锁麟囊(京剧)$11·15 多云转晴$2021-08-22 09:51:00$0$"迟小秋电影版。。选锁麟囊的那段小姐在镜中露脸真是惊为天人……一下把电影式的好处展露出来了。春秋亭那段实在太绝了，迟小秋的目光深情，把闺阁小姐带有一丝天真的强大共情能力演绎的淋漓尽致(并且十分惹人喜爱)本来第一句我还以为是何不食肉糜式的娇纵型烂漫天真……守贞那段也很美丽。以及他俩的眼妆让我get到了西方刻板印象里的中式眼。所谓眼儿媚(。)
赵守贞和薛湘灵是真的🥺"
164$26383524$锁麟囊(京剧)$infinitxy$2022-09-12 16:42:44$0$看了中秋场。一开始并不喜欢迟小秋有些沙哑的声音，但是后面看得入戏了只觉得意犹未尽。
165$26383524$锁麟囊(京剧)$川穹$2022-05-19 12:36:57$0$只道是人生难预料
166$26383524$锁麟囊(京剧)$声控喵糖分不足$2022-01-20 02:14:31$0$4
167$26383524$锁麟囊(京剧)$hotzenplotz$2021-10-27 23:05:15$0$真是天底下最最骄矜的闺中小姐
168$26383524$锁麟囊(京剧)$今夕$2018-10-03 00:58:03$0$“一霎时把七情具以味尽，参透了酸辛处泪湿衣襟。我只道铁富贵一生铸定，又谁知人生数顷刻分明。想当年我也曾撒娇使性，到今朝哪怕我不信前尘。这也是老天爷一番教训，他叫我收余恨、免娇嗔、且自新、改性情、休恋逝水、苦海回身、早悟兰因。”张火丁老师唱的真好听。
169$26383524$锁麟囊(京剧)$.MANGATA$2020-09-18 23:53:33$0$程派剧目补全计划-第一次看完整本儿的锁麟囊，太爱了。电影版的特写多，第一次get到迟小秋的神态这么绝。
170$26383524$锁麟囊(京剧)$momo$2023-03-14 23:02:44$0$啊，之前看的，好喜欢。是女性互助。“他教我收余恨、免娇嗔、且自新、改性情、休恋逝水、苦海回身、早悟兰因”
171$26383524$锁麟囊(京剧)$复方甘草片$2019-02-08 01:34:34$0$太棒了我哭了
172$26383524$锁麟囊(京剧)$SnapeFleur$2019-06-19 13:02:34$0$迟老板扮相是好，身段也不错，但总觉得不对味，特别是流水板感觉缺一点
173$26383524$锁麟囊(京剧)$蒙娜福子$2022-04-22 22:16:13$0$好好看哇！！！连着看了两天戏曲片，这部比《白蛇传•情》好看多了！！自家戏迷老爸表示戏曲片逻辑比舞台版本强不少。
174$26383524$锁麟囊(京剧)$嗷尼美$2021-02-22 12:28:49$0$但行好事莫问福报。迟团的薛娘子真好看。梅香太可爱了
175$26383524$锁麟囊(京剧)$Солярис$2020-12-29 18:45:07$0$和我爸一起看过好多遍，今天又重温了一下，好听！
176$26383524$锁麟囊(京剧)$佳期$2019-03-17 14:37:49$0$我想金舜锦死时，没有董戈的散板和琴，她唱给梅树听的。
177$26383524$锁麟囊(京剧)$toocoolyoyo$2020-05-26 02:33:41$0$"这才是今生难预料，不想团圆在今朝。

回首繁华如梦渺，残生一线付惊涛。

柳暗花明休啼笑，善果心花可自豪。

种福得福如此报，愧我当初赠木桃。"
178$26383524$锁麟囊(京剧)$电气熊猫$2021-03-12 10:34:20$0$这才是今生难预料，不想团圆在今朝……
179$26383524$锁麟囊(京剧)$尚未长大$2022-04-14 10:54:49$0$b站国家大剧院2015版，似乎做了时代性改编？
180$26383524$锁麟囊(京剧)$木子みなみ$2019-05-02 11:54:50$0$程派最爱没有之一，每首曲子都能非常完整唱下来。
181$26383524$锁麟囊(京剧)$怦然心碎$2022-10-01 12:53:00$0$听过89春晚版本的锁麟囊再听这个版本确实是不能满分断文的。啥时候才能找到迟小秋年轻时候唱的录音🤔啊
182$26383524$锁麟囊(京剧)$Rhyme$2023-01-12 23:15:53$0$正宗
183$26383524$锁麟囊(京剧)$没有勇敢的人$2019-11-07 02:37:27$0$非常好！！！
184$26383524$锁麟囊(京剧)$Lemon.77$2022-02-21 21:48:55$0$迟团的巅峰！
185$26383524$锁麟囊(京剧)$秋秋好困好想睡$2022-11-22 13:04:31$0$“我只道铁富贵一生注定，又谁知人生数倾刻分明，想当年我也曾撒娇使性，到今朝哪怕我不信前尘，这也是老天爷一番教训，他教我收余恨 免娇嗔，且自新 改性情 休恋逝水，苦海回身 早悟兰因。” 薛湘灵太好了🥹
186$26383524$锁麟囊(京剧)$大风吹$2022-03-06 16:53:53$0$"没想到京剧也可以这么看的进去
真的本子和台词都很不错
唱的也好听
最喜欢一刹那和最后一段
人生数顷刻分明"
187$26383524$锁麟囊(京剧)$肿么办$2022-04-22 22:59:26$0$程派唯一大团圆？迟小秋真的太美啦！春秋亭和最后那段赛高！
188$26383524$锁麟囊(京剧)$逍遥此身不为客$2021-07-15 19:58:55$0$好！
189$26383524$锁麟囊(京剧)$开出仙人掌$2022-04-23 20:09:57$0$"
薛湘灵这个人物太棒了，如果说赠锁麟囊是达则兼济天下，落魄时仅有的一碗粥也送出则说明真是善良入骨啊。从顺境到逆境的适应也好快，保姆说当就当了，我还以为会说句“我一堂堂大小姐竟要我去伺候他人”这种话🌚悲伤中还不忘自我警醒与反思，“收余恨，免娇嗔，且自新，改性情，休恋逝水，苦海回身，早悟兰因”。还漂亮！"
190$26383524$锁麟囊(京剧)$拉您您$2021-07-27 14:28:42$0$不是戏迷，然而每一次看都会觉得有一种老旧的熨帖的好看，唱腔身板甩袖抬眸，琳琳琅琅流光溢彩。
191$26383524$锁麟囊(京剧)$达憩$2021-04-25 15:01:36$0$词美唱的更美。迟小秋那顾盼生辉眉目含情，春秋亭内避雨时那一指一盼心都在颤。富贵未必长久富贵，贫穷或许时来运转，这正是人生难预料。又谁知人生数顷刻分明，他叫我收余恨 免娇嗔且自新 改性情 休恋逝水 苦海回身 早悟兰因
192$26383524$锁麟囊(京剧)$迷人的风间彻$2021-06-04 00:33:58$0$看完了迟小秋老师演绎的京剧《锁麟囊》真是让人无限回味，惊叹剧中各位老师宛若天籁般的演唱之余又不禁感叹，为人处事要多留一份善意，如若他日饱经忧患之时不求绝地逢生，但求问心无愧。
193$26383524$锁麟囊(京剧)$莫怀远$2022-07-03 02:15:07$0$"水袖动作不喜欢。推让情节也处理得也不好。
前面真好，后面真弱。不如白蛇。"
194$26383524$锁麟囊(京剧)$菜园小记$2022-11-11 12:32:22$0$我爱死这个迟百万了，我宣布程小秋是我的二老婆呜呜呜呜呜
195$26383524$锁麟囊(京剧)$阿龟公主$2022-02-03 19:39:51$0$美。感觉这版电影版迟团唱得比国家大剧院版好。娇嗔的表情也更传神。但整体还是舞台版比电影版要好看啊。春秋亭片段循环听了好多次。
196$26383524$锁麟囊(京剧)$山慈明$2020-11-16 09:11:03$0$薛湘灵一双眉眼醉人
197$26383524$锁麟囊(京剧)$青草大福$2020-01-02 00:07:13$0$2020-1-1，艰难的2019可终于过完了，新年第一场戏就是陪老师看的，喜欢的不得了，唱腔、身段、台词、世界观，都喜欢。薛小姐的极高眼界和极致挑剔像极了我奶奶，（后来遗传给我爹），富贵不持久，积德行善有天辟佑。
198$26383524$锁麟囊(京剧)$其实我是江湖骗子$2020-01-16 21:38:40$1$想给要求颇多的甲方爸爸们看《锁麟囊》。薛小姐至少还善良呢
199$26383524$锁麟囊(京剧)$全都不知道$2022-07-25 00:36:40$0$这都不磕这都不磕这都不磕
200$26383524$锁麟囊(京剧)$林蓁SylviaLin$2021-12-14 00:33:17$0$胡婆 你要來看我呀
201$26383524$锁麟囊(京剧)$小米辣七号$2020-12-10 20:27:17$0$他教我收余恨、免娇嗔、且自新、改性情、休恋逝水、苦海回身、早悟兰因。
202$26383524$锁麟囊(京剧)$那个公子凉玉$2021-12-05 23:16:45$0$分我一支珊瑚宝，安她半世凤凰巢
203$26383524$锁麟囊(京剧)$maomao猫$2017-09-11 01:26:32$0$哎呀，有意思！
204$26383524$锁麟囊(京剧)$浮页$2021-02-27 01:33:35$0$锁麟囊真的好听，每个版本一打开不知不觉就看完了
205$26383524$锁麟囊(京剧)$青城$2020-06-28 16:51:28$0$春秋亭那一段真的真的真的很好听！扮相好美！
206$26383524$锁麟囊(京剧)$喜欢$2022-05-29 22:53:51$0$主要是没有字幕，不知道唱啥
207$26383524$锁麟囊(京剧)$Danta$2018-10-05 12:43:12$0$老天爷教做人。休恋逝水早悟兰因。
208$26383524$锁麟囊(京剧)$起玄$2017-02-13 11:07:37$0$本来是老套的因果报应故事，可戏文写得太美了。14年初看了张火丁的全本，重新看迟小秋的电影版也别有风情。回首繁华如梦渺，残生一线付惊涛。
209$26383524$锁麟囊(京剧)$Pauline Wong$2019-09-16 15:50:36$1$迟团长和徐梅香是我最爱的一版锁麟囊！！！
210$26383524$锁麟囊(京剧)$衫$2020-05-29 14:47:07$0$好好看。手太好看了！！！锁麟囊的戏词也写的好美。薛湘灵真是人美心善啊！赵守贞也是个很有气节的女子。喜欢这种好人有好报的故事，就是最后还要承受质疑有一点难过……“参透了酸辛处”那段感触很深。还好这个故事里都是好人啊。
211$26383524$锁麟囊(京剧)$无聊的河豚🌈$2021-08-01 04:49:46$0$张火丁
212$26383524$锁麟囊(京剧)$乌龟不在家$2019-10-02 00:36:10$0$这才是人生难预料
213$26383524$锁麟囊(京剧)$醉死当涂$2022-05-05 13:22:58$0$"「他教我收余恨、免娇嗔、且自新、改性情、休恋逝水、苦海回身、早悟兰因。」
迟小秋的一颦一笑，都好美，醉死在这眼波里了。"
214$26383524$锁麟囊(京剧)$羊牯糖$2019-11-03 16:53:32$0$有辱师门，升声音沙哑，发音错误，身段莫名其妙。乡下野台子水平
215$26383524$锁麟囊(京剧)$玻璃灯和绿镜子$2020-12-07 00:49:46$0$竟然还有黑白闪回镜头？
216$26383524$锁麟囊(京剧)$渔舟唱晚$2020-02-08 15:20:56$0$人生如戏，戏如人生。
217$26383524$锁麟囊(京剧)$松子er$2019-04-09 20:26:03$0$为那一句“春秋亭外风雨暴”看了一遍。
218$26383524$锁麟囊(京剧)$仙境$2019-08-06 22:59:36$0$程派！
219$26383524$锁麟囊(京剧)$盖饭加朵$2017-01-05 15:46:52$0$分我一枝珊瑚宝，安她半世凤凰巢。
220$26383524$锁麟囊(京剧)$pretty-boy_$2019-01-23 01:52:11$1$"那时的迟妈可真年轻哇！
还是感觉电影的形式展现戏曲，布景实了人就稀了，细节亮了身影就黯淡了。
回首繁华如梦渺
种富得福如此报
永远的锁麟囊🔒。"
221$26383524$锁麟囊(京剧)$海边的寄居蟹$2020-06-10 15:08:29$0$好看！
222$26383524$锁麟囊(京剧)$一把舒子$2019-09-15 16:40:41$0$3.5，背景实化，少了很多韵味。字幕有错别字，唱词版本和我以前听的不一样，感觉应该是以前的靠谱，演员唱得不错。
223$26383524$锁麟囊(京剧)$干了这碗饺子汤$2021-02-16 10:56:15$0$程派入门必看，嗓音一绝。任性的薛湘灵内心也是个善良的人。红妆的迟团是我新娘！
224$26383524$锁麟囊(京剧)$清炒萝卜$2022-08-24 16:59:26$0$“我嫌不足她正少，她为饥寒我为娇”
225$26383524$锁麟囊(京剧)$big stepper$2020-11-30 09:29:55$0$👍🏻
226$26383524$锁麟囊(京剧)$M$2022-02-22 13:21:34$0$"“他教我 收余恨 免娇嗔 且自新 改性情 休恋逝水  苦海回身 早悟兰因”
第一次看完整的京剧，记录一下
b站2021.5 国家大剧院迟小秋"
227$26383524$锁麟囊(京剧)$瑛华婉兮$2021-06-02 17:40:40$0$善有善报的中式传统故事～
228$26383524$锁麟囊(京剧)$momo$2021-10-22 16:13:12$0$"体会到了京剧的魅力！！！太喜欢了！

这才是人生难预料

不想团圆在今朝

回首繁华如梦渺

残生一线付惊涛

柳暗花明休啼笑

善果心花可自豪

种福得福如此报

愧我当初赠木桃"
229$26383524$锁麟囊(京剧)$玄米四合$2020-06-07 22:00:44$0$"他避他的雨，咱避咱的雨，雨过天晴各自散去。
他教我收余恨，免娇嗔，且自新，改性情，休恋逝水，苦海回身，早悟兰因。"
230$26383524$锁麟囊(京剧)$debonneheure$2020-06-14 00:24:51$0$迟小秋的薛要动态才好看才可爱，眼波流转娇柔照水温厚善良的演绎要对比了其他的现场版才能感知。徐孟珂的梅香也是。俗套的故事情节不重要，毕竟这是今昔物语集同类的善有善报思路。并非现实主义或者其他。不然像这样四体不勤五谷不分的大小姐……真的付出了善意就能收获善意嘛。
231$26383524$锁麟囊(京剧)$butterscotch$2018-03-06 00:15:59$0$喜欢春秋亭那一段。鄙人愚昧，觉得梅香台词念的太急，尤其是那句“跟人学，变狗毛”
232$26383524$锁麟囊(京剧)$One Day$2021-10-02 01:14:26$0$当京圈成为饭圈
233$26383524$锁麟囊(京剧)$NancyZhaozhao$2020-12-19 12:10:31$0$这是我目前看过的最好看的京剧了，昨天看完之后从北大百年纪念讲堂出来，呼吸着北京冬日寒冷的空气，心里却是暖暖的，一直沉浸在锁麟囊剧情中难以平复心情，迟小秋团长带着自己的团队，给观众展现了中国传统艺术的美，不止在场景、造型、声乐、身段，更在于传达了真善美。锁麟囊讲述了大户人家小姐薛湘灵和贫苦人家赵守贞在春秋亭偶遇，慨赠锁麟囊后分别，6年后重逢已是另一翻光景，然而赵守贞知恩图报，认出湘灵后与其义结金兰并助其一家团圆的故事。一个简单的故事，传递着善良的付出和回报，给人满满的感动。
234$26383524$锁麟囊(京剧)$周游23:59$2022-11-05 03:06:42$0$残生一线付惊涛。于六道口的电动车后座，前面的人在哼青衣。
235$26383524$锁麟囊(京剧)$老灵魂$2020-02-22 19:38:23$0$偏不知生不如戏。
236$26383524$锁麟囊(京剧)$顺顺$2019-04-26 21:59:54$1$今天去北大百周年纪念堂看的。前年生日，朋友陪我去看了京剧，那是我第一次看，当时觉得京剧真是……太让人失望了。之后一直看沪剧、昆剧。这一次偶然在公众号上看到有票，且不算贵，就想着最后再看一次，如果不好，以后再也不看京剧了。此时想说，幸好当时买了票。结束时，大家疯了一样往台前冲，第一次没反感，我也想冲到台前，想近距离看一看我喜欢的京剧演员。这一次看《锁麟囊》感受真的非常好，演员的唱腔好、身段棒、剧情紧凑，服装道具甚至舞台布景都跟我上一次看有天差地别
237$26383524$锁麟囊(京剧)$烟月水西楼$2020-04-11 23:46:02$0$要去看啊，看了还有谁不为薛湘灵动心的。
238$26383524$锁麟囊(京剧)$momo（发疯中）$2021-01-21 19:28:17$0$最最喜欢
239$26383524$锁麟囊(京剧)$浮槎 Félicie$2022-07-10 17:04:28$0$薛湘灵和赵守贞两个多好的女孩子啊。
240$26383524$锁麟囊(京剧)$一朵天晴$2022-11-27 15:15:30$0$人生无偿 富贵如云烟。 乐善好施 知恩图报  德高品正 富贵相依
241$26383524$锁麟囊(京剧)$π$2023-02-12 22:33:34$0$"在B站看的国家大剧院发布的版本，第一次完整地看京剧。这是个团圆的好故事哇。
小时候总觉得拖音太长无法欣赏，现在依旧觉得慢，但又觉得厉害。而且服装道具动作各个精美。
想念泉州了。梨园戏带我戏曲入门呀"
242$26383524$锁麟囊(京剧)$不喝啵啵奶昔$2016-05-26 10:28:34$0$迟小秋的四平调不太能适应，倒是西皮二六、原板、流水都挺好听的
243$26383524$锁麟囊(京剧)$迪丽冷吧$2018-11-21 18:51:38$0$非常喜欢，善有善报，精准扶贫。
244$26383524$锁麟囊(京剧)$无痕$2022-01-23 01:40:32$0$" 从7岁到现在，每年都至少看两次锁麟囊，小学听个热闹，“世上何尝尽富豪……也有失意痛哭嚎啕”；中学听少女情怀，“怕流水繁华春去渺，一样心情别样娇”；高中听一些逝去，“收余恨，免娇嗔……苦海回身，早悟兰因”；大学听因果，“……愧我当初赠木桃”；直到毕业后我才知道，“分我一枝珊瑚宝”是多么纯粹又珍贵的品格，并没有很多人会把珍宝拱手送与他人，也很少人富贵后仍感念当年赠予。

这是对我启蒙教育式意义的一本戏，我爱它的“旧”和“老”，回味后“这才是人生难预料”。善意恩施皆有果，做一个永远值得被信赖的人。"
245$26383524$锁麟囊(京剧)$月下漫步者$2021-04-03 11:35:54$0$好精彩……
246$26383524$锁麟囊(京剧)$莫菲魔法索$2021-10-12 14:21:59$0$一部教人向善的电影，虽然几段流水腔调都差不多，但敌不过词写得是一等一的好。「柳暗花明羞啼笑，善果心花可自豪。种福得福如此报」投我以木桃，报之以琼瑶。如果一定要看一部京剧，第一部我还是选择《四郎探母》第二部一定选择《锁麟囊》。好！
247$26383524$锁麟囊(京剧)$𝕼𝖚𝖊𝖘𝖊𝖗𝖆$2020-09-01 09:44:38$0$程派越听越上头，有生之年我能听到迟团现场唱吗😭
248$26383524$锁麟囊(京剧)$顾家明$2021-06-12 14:16:53$0$这真是人生难预料。
249$26383524$锁麟囊(京剧)$谢着领受$2022-01-21 00:26:24$0$我竟然免费收看了
250$26383524$锁麟囊(京剧)$再吃亿点点$2023-01-22 21:34:50$0$好词章
251$26383524$锁麟囊(京剧)$Vermouth魔女$2021-12-10 15:41:59$0$生书熟戏听不腻的曲艺
252$26383524$锁麟囊(京剧)$老中医专治吹nb$2019-01-17 13:11:57$1$迟小秋的音是真的好听
253$26383524$锁麟囊(京剧)$屋檐下听雨$2023-01-16 10:34:00$0$新人 初看 喜欢
254$26383524$锁麟囊(京剧)$酒井小莉$2022-04-11 15:35:41$0$世事难料
255$26383524$锁麟囊(京剧)$用户7262676111$2023-01-26 02:22:43$0$当有人问我世界上有没有完美的东西：
256$26383524$锁麟囊(京剧)$良宵$2017-02-04 20:34:07$0$几折唱尽人情冷暖。
257$26383524$锁麟囊(京剧)$不全$2018-07-03 20:43:26$0$才发现锁麟囊的英译是 The Unicorn Purse.....相当少女
258$26383524$锁麟囊(京剧)$叙拉古的疯子$2020-01-02 18:05:43$0$最喜欢的程派戏
259$26383524$锁麟囊(京剧)$年年岁岁$2021-11-07 01:02:17$0$"迟小秋老师李海青老师太美了😭俩人最后站一块那叫一个绝美😭疯狂截图啊！锁麟囊也很好听，终于理解为什么以前人都喜欢看戏了，这么俩大美女给我唱戏听我可太幸福了😭

第一部完整看完的京剧🤤"
260$26383524$锁麟囊(京剧)$俺鞍山小马$2021-05-18 14:21:15$0$啊啊啊词写的太好了迟团太美了5555555
261$26383524$锁麟囊(京剧)$夏玄机$2019-01-26 14:04:56$0$最喜欢春秋亭那段西皮二六
262$26383524$锁麟囊(京剧)$沉默如海$2023-04-19 15:44:04$0$收余恨、免娇嗔，且自新、改性情，休恋逝水，苦海回身，早悟兰因
263$26383524$锁麟囊(京剧)$momo$2022-02-27 20:29:23$0$原来以前听过的片段是锁麟囊，剧本也太好了！兰因絮果！又去看了王吟秋老师的选段，程派太绝了
264$26383524$锁麟囊(京剧)$格物$2018-12-16 00:01:24$0$还是程派好听
265$26383524$锁麟囊(京剧)$常肃心$2022-02-12 18:36:22$0$太好听了啊！
266$26383524$锁麟囊(京剧)$Rome$2021-08-15 18:53:17$0$哈哈梅香也太有趣了
267$26383524$锁麟囊(京剧)$泡沫$2021-01-24 14:25:09$0$迟小秋
268$26383524$锁麟囊(京剧)$可可大西米$2020-08-18 05:44:31$0$还好吧 迟团的问题是粗嗓子和鼻音气息特别让我受不了
269$26383524$锁麟囊(京剧)$流动猫猫虫$2023-04-20 23:51:45$0$这么好这么好，实在太好了，春秋亭遇雨一段好的不得了
270$26383524$锁麟囊(京剧)$丶灬小白巫师er$2020-06-18 09:41:43$0$太经典了 两个丫环绝对是戏精 2020年06月18日
271$26383524$锁麟囊(京剧)$谢桥$2021-01-22 08:58:24$0$分我一支珊瑚宝 安她半世凤凰巢♡
272$26383524$锁麟囊(京剧)$艾雷岛主$2017-10-30 23:27:34$0$迟团长只要不是现场唱的，就没那么抖。我觉得，不抖的才好看。89年春晚的那一版最为惊艳！
273$26383524$锁麟囊(京剧)$冰绡$2023-03-17 21:17:20$0$蠢材问话太浮躁，不该词费又滔滔。听薛良一语来相告，满腹骄矜顿雪消。分我一支珊瑚宝，安她半世凤凰巢。
