$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26289144$滚蛋吧！肿瘤君$付玲$2015-08-08 21:43:39$4735$作为一个癌症患者，我没什么好说的。
121$26289144$滚蛋吧！肿瘤君$杨大志°$2017-03-16 23:35:15$3$有笑有泪，整体挺好的。就是开头差点看不下去。
122$26289144$滚蛋吧！肿瘤君$雨夜飞行$2015-10-14 11:03:43$8$哭笑成狗。看豆瓣的热评，觉得中国人现在真的都好冷漠啊。要知道现在能看到一部传递正能量的国产电影多么的难得。感觉迷茫的大多数都被粗鄙的一些“国产大片”洗脑了。放不下身段感受电影里角色所感受到的，损失的是观众自己的
123$26289144$滚蛋吧！肿瘤君$无名$2016-04-25 22:05:56$5$真人故事毕竟感动
124$26289144$滚蛋吧！肿瘤君$夏小暖$2015-08-15 00:51:05$7$算不上一部优质片，却值得一看。煲了大大的一锅鸡汤，而在你哭得快岔气的时候一个梗让你笑出来，原来泪中带笑才是人生的常态。于是，喝完这锅鸡汤，该辞职就辞职，该看世界就去看世界，该爱就爱，该撕逼就撕逼吧！最后，其实我想说，我也考虑过我的遗照要用哪张照片这个严肃的问题。
125$26289144$滚蛋吧！肿瘤君$方悄悄$2015-10-11 20:08:43$7$我觉得大家还是都感动了，也就不好意思给低分了。我也看哭了但是电影本身……
126$26289144$滚蛋吧！肿瘤君$老袁$2015-08-22 22:50:51$7$电影128分钟，但剧本的干货并没撑起来这128分钟。白百合的各种幻想应该是为了契合漫画气质。可惜做太多过犹不及。配角都鸡肋。个人看法，做正能量不是做一个人对死亡没有恐惧，而是带着恐惧选择怎么活。这个片子可以和《达拉斯买家俱乐部》对比观看。
127$26289144$滚蛋吧！肿瘤君$猫不然$2015-08-10 16:42:43$3$拍摄手法一般，但基于熊顿君真实故事的剧本非常赞，白百何演的也舒服真诚，反正是成功的哭成傻比了。跟好好活着相比，还有什么事更重要呢。
128$26289144$滚蛋吧！肿瘤君$四十四次日落$2017-01-24 10:25:08$5$还是挺感动的。
129$26289144$滚蛋吧！肿瘤君$幻影刺客$2015-10-19 00:17:15$5$真是一级烂啊，把人家说得脑子有问题一样！
130$26289144$滚蛋吧！肿瘤君$一天的一$2015-10-12 21:59:10$8$那一年，我看到了一个最好的白百合。
131$26289144$滚蛋吧！肿瘤君$亲爱的桂花树$2015-08-25 15:25:56$7$唯一感悟是独生子女政策害人。以后要生三个。
132$26289144$滚蛋吧！肿瘤君$夏树$2015-07-19 23:19:34$7$全片有一种【我们请了白百合和吴彦祖就没预算啦】的感觉。以及白百合对着吴彦祖犯花痴的戏肯定是真情出演。不过确实是，笑着笑着就哭了。
133$26289144$滚蛋吧！肿瘤君$风间隼$2015-08-17 21:23:01$13$这死女人临死前送了男神一瓶护手霜……要是结束在死北漂的骨灰终于融入了帝都的茫茫雾霾，那就酷毙了。可惜后面又加上各种煽情的蛇足，最终在堪比《非诚勿扰2》的葬礼鸡汤宣教中烂尾了。有些场面的打光好诡异。
134$26289144$滚蛋吧！肿瘤君$掉线$2015-08-13 23:47:31$3$【B-】幻想与现实融合欠佳，整体段落感太强，配乐其实很不搭。不过保持了原作漫画的乐观，不卖惨不乱煽情这点好评。张子萱其实还蛮可惜的。
135$26289144$滚蛋吧！肿瘤君$山下猫$2016-12-22 19:23:24$6$喜欢熊顿的漫画反而对这部电影更感到反感。对假光头无法选择性无视，职场抗争与惩罚前任戏码很没有生活，闺蜜以男人来撕逼更是大翻白眼。父母最好。导演对土耳其瞭望塔情有独钟。快闪到想象段落的手法不知能用几次。
136$26289144$滚蛋吧！肿瘤君$Riobluemoon$2015-11-04 23:45:12$2$7分。典型的小妞电影模式把哀伤的气氛冲得有些太淡了。最让我记忆深刻的，反倒是老爸在超市买薯片的戏码。其他的各种COSPLAY的玩意儿等等都模糊了主线，吴彦祖这角色，真的完全没有必要，让电影的立意产生了一些偏差。情感，关键还是情感上，至少我是觉得拍得太过肤浅了些。
137$26289144$滚蛋吧！肿瘤君$已注销$2017-04-09 08:37:02$3$吴彦祖男神。笑对死亡
138$26289144$滚蛋吧！肿瘤君$🍬$2015-08-13 03:00:23$8$也许是期望太高，看完后反而失望。许多桥段都是刻意煽情，看得我鸡皮疙瘩都起来了。虽然我也还是哭了，没办法，关于亲情我总是低泪点…
139$26289144$滚蛋吧！肿瘤君$bird$2015-08-18 23:32:40$3$我们都需要一场病。有危机的，能治愈的。
140$26289144$滚蛋吧！肿瘤君$渡口无边$2015-10-11 21:57:03$3$肯定不是申奥片的气质。题材是不错，有的片段也不错，可惜好材无好菜，佳句无佳章。
141$26289144$滚蛋吧！肿瘤君$鴍諌🌈$2016-01-15 06:53:25$3$是个好电影，可爱的鬼点子和不过分煽情的叙事，润物无声地地告诉所有人，生死有命，好好活着。其中那些中二的脑洞简直萌了一脸狗血，熊顿要知道吴彦祖演了她的男朋友一定会开心死了吧～
142$26289144$滚蛋吧！肿瘤君$phoebe$2015-08-19 23:14:02$3$差点火候，痒痒的，缺个爆发的点。
143$26289144$滚蛋吧！肿瘤君$虾坨坨艺仔$2015-11-09 16:45:50$5$白百何惊艳，从此对她另眼相看。与剧情无关的场景及特效太多了，缺乏对电影的严肃感，以及向日葵那段我严重怀疑抄袭了TLW。但问银行卡密码那里，我还是哭瞎了（下辈子做亲人那句多余了），看的开心又难过，还算喜欢，可送去申奥，依然觉得脸上无光。
144$26289144$滚蛋吧！肿瘤君$zzy花岗岩$2015-10-13 20:07:29$1$白百合有张多变的脸，看完还是没记住她长啥样~
145$26289144$滚蛋吧！肿瘤君$她们都老了吧$2015-12-22 16:50:10$4$给白百合最后在摄像机里的表演给3星。
146$26289144$滚蛋吧！肿瘤君$🚬🍓$2018-02-20 17:47:14$6$看得挺感人的，看哭了，挺好看，有笑点也有泪点
147$26289144$滚蛋吧！肿瘤君$小葱$2017-03-23 20:52:49$3$特别喜欢看熊顿的漫画，当她开始画肿瘤君的时候，她那诙谐的画风，我还以为是良性的，后来姚晨陈坤王菲都给她寄了签名，我才知道是恶性的，很震撼，用幽默稀释病痛，这种心态不是常人能有的。听说要拍她的电影，特意跑来看，哭成狗
148$26289144$滚蛋吧！肿瘤君$安淼$2015-11-19 21:20:27$2$想到熊顿，还是难过，之前微博一直在关注她，最后她的离去真的令人惋惜。本来想为熊顿打五星，可是这星星又有什么意义呢TWT
149$26289144$滚蛋吧！肿瘤君$貓小三的意思其實是如果先生$2015-08-23 09:44:36$4$李媛应该要红。
150$26289144$滚蛋吧！肿瘤君$路西法尔$2015-08-26 22:13:13$2$“醉生梦死”不过是我很多年以前和她所开的一个玩笑，一句谎言是我今生所能奉献的最大温柔。
151$26289144$滚蛋吧！肿瘤君$北流$2015-08-17 23:33:35$6$电影的剪辑真的很乱，节奏很乱，也没有主线，乱插入的友情亲情线琐碎突兀，挺喜欢友情和亲情线，但是觉得尴尬的时间比这些更长。其实张子萱的艾米演的不错。因为关注过熊顿和他朋友，为他们平凡而又闪耀的感情感动过。一滴泪也没有流，因为自己的人生比他们可悲绝望多了，我还是留点眼泪给自己吧。
152$26289144$滚蛋吧！肿瘤君$蓝格子$2015-08-04 23:02:50$2$明明是一个悲伤的故事，电影却用一种暖色调讲出人在死亡线上的挣扎，那份就算在有限的时间里也要燥起来的心情，我一定会小心地保存好，感谢你用生命带给我这个笑过哭过暖过的故事。(ps，白百合演技爆棚，最喜欢大楼冻住的画面~)
153$26289144$滚蛋吧！肿瘤君$媛木子$2017-03-06 22:54:33$6$真实事件改编的电影，演员们演的挺棒的，看完还难过了好一会儿。
154$26289144$滚蛋吧！肿瘤君$黑我真的好想你$2015-08-14 16:57:19$3$我居然萌上白百合了。。这种性格加野蛮女友加高冷简直我的理想型。这种女人都不好好珍惜 男人全狗带！！！！！！！！！！！！
155$26289144$滚蛋吧！肿瘤君$庄心$2016-01-15 20:13:01$7$"乐观的太中二了，讨巧的女性向，轻故事重渲染，骗眼泪不要钱似的，只看到了乐观，却欢乐的让人不明就里。白百合总在演这类角色，难免让人审美疲劳。所谓的""四小“，现在看来只能算角色演员，难成大器。"
156$26289144$滚蛋吧！肿瘤君$兰 希$2015-08-17 22:05:48$4$不喜欢白百合但是她演得真的很好，配角和父母亲还有插曲也很出彩，而且更是get到了吴彦祖的帅点。熊顿的脑内总是很好笑，星你那段完全赞。吴彦祖的帅气医生啊，真的找不到语言来形容地完美和温和。最后就是，还差那么一点点，就会哭的。
157$26289144$滚蛋吧！肿瘤君$鱼丸粗面$2015-10-18 22:49:08$2$花哨，非常花哨，但太不扎实，光顾着玩了。主角的设定和表演有些过火，让人有些搞不清楚她是乐观还是真傻，总是缺一点往主角内心再深一点点的戏，浮光掠影的就讲完了。对比一下《新不了情》，什么样才叫面对病魔的乐观啊，什么才叫催泪感人啊。
158$26289144$滚蛋吧！肿瘤君$雪$2015-10-16 20:46:01$2$越来越喜欢白百合了
159$26289144$滚蛋吧！肿瘤君$高詩遠$2021-10-23 20:33:49$1$因为是漫改所以把故事搬上大荧幕就需要注意掌握火候，前半部分就有些失调，既然故事发生在现实世界，所以用浮夸的办法拍出来就显得很失真，比如开头在婚礼上弄坏别人的衣服，就把女主角的性格表现得不太讨喜。但是后半部分又特别感人，演员的演技起到了很大的功劳。脑补戏挺有特点的，就是弄得整部电影节奏有点乱。
160$26289144$滚蛋吧！肿瘤君$炘少$2015-10-16 18:14:16$2$白百何，挺不错的说
161$26289144$滚蛋吧！肿瘤君$静子$2017-03-28 01:04:00$6$熊顿是感人的，乐观向上有趣的也是熊顿，而已。
162$26289144$滚蛋吧！肿瘤君$弓谷所長$2015-08-18 14:20:54$2$影片前半部分欢笑不断，白百合的逗逼表情和台词，让人觉得特别舒服，又甩王珞丹几条街了！结尾部分略显得画蛇添足，半个小时大部分感觉都多余，好多时候都觉得已经结束了，可就是不结尾，很是揪心！结尾录像那段是催泪弹。
163$26289144$滚蛋吧！肿瘤君$胖达叔$2015-08-13 22:07:10$9$眼泪啊一直流啊流，流到最后啊，鼻涕一直流啊流，因为怕丑，不敢去擦，鼻涕啊一直不停地流啊流
164$26289144$滚蛋吧！肿瘤君$田野龙溪$2020-10-04 16:23:45$4$挺喜欢白百合的作品的，演技自然，行云流水
165$26289144$滚蛋吧！肿瘤君$泽帆$2015-08-15 19:48:07$3$难道我沦为一个爱哭鬼？——看完这部电影的疑问。
166$26289144$滚蛋吧！肿瘤君$私享史$2015-08-11 13:29:52$2$【白云万达】
167$26289144$滚蛋吧！肿瘤君$西楼尘$2015-08-15 22:10:00$8$合格小妞电影，熊顿被劈腿之后满城的冰雪凝结足见幻想镜头参与叙事的巧妙。韩剧美剧插入镜头是亮点，但是转接得极为生硬，缺少《明天记得爱上我》的那种顺畅诗意。幽默温情在国产烂片里突出重围，暖光给夜晚的病房赋予一抹脉脉温柔。最后的录像笑中带泪积极乐观，白百合驾驭得得心应手，很舒服的小片。
168$26289144$滚蛋吧！肿瘤君$伊奴雅夏$2015-08-16 09:39:47$3$哭成狗，有的地方稍微有点零碎。但是白百合真演的太好了。熊顿妈也演的特别好，感觉跟我自己妈一样，所以看着更难受。熊顿爸超市哭那里，我都快难受死了。哎。
169$26289144$滚蛋吧！肿瘤君$Pacy$2015-10-31 21:11:21$3$"正能量白百何加帅气暖人吴彦姐 又是喜笑又是泪
"
170$26289144$滚蛋吧！肿瘤君$刘小青$2015-10-27 16:26:28$2$白百合量身定做
171$26289144$滚蛋吧！肿瘤君$沧海一小生$2017-04-14 07:00:11$5$励志的故事，拍得不好，不吸引人。
172$26289144$滚蛋吧！肿瘤君$申由己$2020-10-12 23:09:14$2$很早之前在CCTV6看的，其实还不错，虽然看起来有点儿夸张，都肿瘤患者了，还跟个花痴一样爱帅哥，但本片是根据真人真事改版，而且这个熊顿2012年还上过鲁豫有约的节目，看当时的采访熊顿本人确实很活泼，性格很像，而且是节目录制后没多久就去世了。据说白百何零片酬，还每年跟熊顿父母见面。
173$26289144$滚蛋吧！肿瘤君$莫呼洛迦-屁股上的青春在歌唱$2015-08-22 17:15:15$9$還真是不錯 有笑有淚 我上下左右的女孩子演到一半就開始哭了 我以為以我的冷漠看完全片也不會有什麼感覺 但最後的告別式的影片火力太強 我也沒忍住眼淚 但我邊哭邊擦眼淚的時候還在感嘆「天哪 我皮膚好滑嫩啊！」
174$26289144$滚蛋吧！肿瘤君$爱的镇魂歌$2015-10-08 04:22:56$2$流行的洗具风格和典型的杯具题材，两种泛滥且看似矛盾的元素融合在一起，意外地营造出如此暖人的正能量。友情和恋情的把握点到为止而恰到好处，高于衬托又不至喧宾夺主，重点集中在心态表现。结合漫画与现实事迹的改编，更为其感染力的传达增效不少。
175$26289144$滚蛋吧！肿瘤君$东林君$2017-02-16 23:27:21$2$7从剧作到操作都可圈可点的小妞电影。遗憾的是，想加的元素太多了，出院后就开始疲软，遗愿清单那段跟广告片似的。ps白百合的戏路就是中国的新垣结衣啊。
176$26289144$滚蛋吧！肿瘤君$曾于里$2015-08-13 22:08:27$2$还不错，乐观的轻喜剧
177$26289144$滚蛋吧！肿瘤君$Suave$2015-08-17 00:27:30$3$为二给五星，生活需要这样的二。编剧估计是基督徒。片子里面并没有看到什么app的植入，片尾应然列出那么一堆合作app
178$26289144$滚蛋吧！肿瘤君$花花世界的小洁$2015-08-02 21:38:53$1$真的是一边哭着笑死了，一边笑着哭死了，我真的超级受不了这种煽情的题材啊，哭成了傻逼，电影超级超级励志！以后一定要好好好好爱自己的身体，然后要超级超级勇敢的去做自己喜欢的事情，超级勇敢的去喜欢自己喜欢的人。
179$26289144$滚蛋吧！肿瘤君$Lena$2015-08-16 20:44:05$2$笑、哭、笑、哭……
180$26289144$滚蛋吧！肿瘤君$L--91$2015-08-09 11:19:01$1$好久没有在电影院这么痛痛快快的哭过一回了，尽管质量也只是暑期档国产片矮子里面拔高个，可情绪上确实很走心啊！歪小子斯科特+白日梦想家，我还蛮吃这套的。好好活着，好好燥一把，真的太重要了！
181$26289144$滚蛋吧！肿瘤君$二月鸟语$2015-07-29 17:20:43$5$3.3/点映抛开原著，全片也许只有那么两段的红气球和塑料袋片段给我感觉挺好。剪辑开头中间太多拖沓的情节直接影响了结局的观众情绪带动，电影更像是对原作流水账式的处理，低于预期。遂，归来只能再看遍原著来重温那份感动了，这是种真实的感动。而电影给人的感觉依旧种内种虚假的真实。又怎能打到人心
182$26289144$滚蛋吧！肿瘤君$Jason_波波$2015-10-13 20:36:10$3$听说今年的申奥片改成这个了，找来一看被震到了，情节绝对比狼图腾细腻一万倍！有笑有泪的国产片实在是太少了，即使是归来这种专门催泪片中的情感也不如本片顺畅！大赞！ps.从此对白百何路转粉
183$26289144$滚蛋吧！肿瘤君$很好很会吃米$2015-08-21 23:07:15$2$白百合最后一段演得好，跟妈妈说我也会很难的时候也特别好。可我记得单身男女的时候吴彦祖的普通话没有这么差的啊？这个电影，梗真的好多喔，虽然都是很普及的梗，但还是蛮有趣的。节奏还是可以更紧。
184$26289144$滚蛋吧！肿瘤君$黑特-007$2015-10-17 22:25:49$2$没有漫画，差评
185$26289144$滚蛋吧！肿瘤君$TM1001$2015-10-12 14:20:41$2$特效还蛮不错的。医生明显放了感情，如果女病人可以康复，两人会有可能性的。最后，白百合太适合这类都市小妞悲喜剧情角色了。。。
186$26289144$滚蛋吧！肿瘤君$榜上有名猫$2015-10-27 22:25:22$2$题材健康、积极向上、老少咸宜，但把这类轻娱乐层次的影片送去“申奥”权且露面和弘扬主旋律，战绩必败无疑；疯癫幻想与角色心态搭调，只是在心境层面上仅蜻蜓点水地带过，是偏重观众感知的结果吧。
187$26289144$滚蛋吧！肿瘤君$pksky$2015-10-22 17:47:19$2$白百何国内卖座电影票房一姐，老少咸宜，够傻够二...熊顿最后录的遗言全片催泪高潮，吴彦祖也老了，老了也还是一个花瓶...身体健康永远都是最重要的，而战胜病魔最好的办法是保持乐观勇敢面对...
188$26289144$滚蛋吧！肿瘤君$touya$2016-04-02 19:21:18$1$犹豫了一段时间还是看了这个片子，鉴于自身某些脆弱的地方会被片子里的剧情激活，但是熊顿本人的正能量还是能帮助我很多的。不能因为怕死而不去好好的活，活的不精彩又和行尸走肉有什么两样。回到电影本身还是过于浮夸，白百何演什么都一个样儿让人厌恶，但现在市场就吃她这套是么？
189$26289144$滚蛋吧！肿瘤君$Mr. Infamous$2015-08-13 23:18:36$3$几天前只为吴彦祖买票，看到开头想着也许只能点评村上在我这把年纪才开始搞小说……但其实越来越精彩。想象的具象化渐入佳境，炸了连番笑果后，正能量的尺度居然不过火，结尾甚至赶超六楼后座2当年给我的悲伤暖意。熊顿在这悲哀日子带来别一种勇气，白百合挺好。风云太不测，好好生活与感恩，既然活着
190$26289144$滚蛋吧！肿瘤君$yuki$2015-08-22 13:56:31$3$确实看哭了…难看得哭了…究竟是白百合只能演傻逼还是熊顿的设定就是个傻逼？不对，好像是王珞丹？白百合？王珞丹？算了，反正分不出来。我只想问，难道只有这种没心肝没头脑没痛感的大傻逼设定才有资格积极向上吗？从头到尾就是个发情期的大花痴！还把吴彦祖拍得又老又颓…就不该对国产片报一分钱期待
191$26289144$滚蛋吧！肿瘤君$阿幸$2020-07-13 23:50:33$5$"白百何身上有一种死乞白赖要死要活一定要活着的气质
顽强"
192$26289144$滚蛋吧！肿瘤君$浪里白跳$2017-05-04 00:10:21$4$导演水平简直垃圾
193$26289144$滚蛋吧！肿瘤君$花衬衫$2018-06-14 20:09:43$2$电影是部好片，最后结尾处看得泪目。感人的电影，悲情或欢乐，都会给人留下深刻印象。
194$26289144$滚蛋吧！肿瘤君$仰望星空不好吃$2015-08-15 00:11:47$7$closer OST真不错 看一半才猛然想起后悔选了这一部叫好朋友来陪我。虽然一贯不喜欢白百合但不得不承认她真的很好的表现了熊顿的坚强乐观，每个细胞都充满着爱搞怪爱幻想的因子。床上和妈妈谈话以及劝吴彦祖续弦还有最后自白都非常的真情流露，得知吴彦祖来演梁医生另一个世界里的熊顿应该会笑的吧^-^
195$26289144$滚蛋吧！肿瘤君$荒芜$2017-03-06 22:08:49$4$看完难过了好久好久。生死之外。都是小事。你有什么资格。夸大你的苦难
196$26289144$滚蛋吧！肿瘤君$我不是服务器$2017-02-23 18:35:28$4$剧情前期感觉不出来有什么，但是后期挺感动的，不论是亲情还是友情，最后那个遗照都是要求用自己笑着的照片！
197$26289144$滚蛋吧！肿瘤君$森林男子医院$2015-08-10 10:17:30$4$一边骂电影无聊一遍被煽哭
198$26289144$滚蛋吧！肿瘤君$三石一声$2015-08-16 23:33:12$1$总算没毁掉原本还不错的一个漫画IP，煽情煽得恰到好处。除了白百合和吴彦祖会因此再多出几亿的市场履历之外，扮演的夏梦的李媛真是美到不可言物，女人的娇媚和男人的英气她全有，未来可期。
199$26289144$滚蛋吧！肿瘤君$kiki204629$2015-08-23 16:39:34$2$笑中带泪看完，珍惜每一天，好好热爱生活，生命中不能缺少爱。白百合的熊顿这一回合完胜隔壁桂香王珞丹！
200$26289144$滚蛋吧！肿瘤君$flyinbed$2015-10-11 21:24:42$2$好片，好的地方就不说了，真诚乐观感人。白百何很好诠释了这个角色，可塑性很高的一个演员。说一个有趣的事情吧：在同一天，一个远在外地出差的朋友正好也看了此片，一个大老爷们感动得差点流眼泪。在微信群里发消息的时候说被一部电影感动得感性发作了，说各位兄弟一定要保重身体，我立刻猜是本片。
201$26289144$滚蛋吧！肿瘤君$m89$2015-08-09 11:59:21$2$白百何（王珞丹？）的表演提升了整部作品。最后的双重硬煽情有些用力过度，不过展现人间美好的电影就别分析了，人生有限，抓紧时间躁起来吧。
202$26289144$滚蛋吧！肿瘤君$大志的小耳朵$2016-09-29 08:37:34$2$人生在世，最重要的是健康，没有健康就没有一切。滚蛋吧！肿瘤君。这个肿瘤不仅指肉体上的，生活中所有压抑我们的，会让我们失去健康快乐的都是我们生命中的肿瘤。
203$26289144$滚蛋吧！肿瘤君$胸口碎大石$2015-10-26 15:22:48$2$想想熊顿的坚强乐观，很感人。白百何演的挺好，剧本还应该再精进。
204$26289144$滚蛋吧！肿瘤君$怀山鹿$2015-08-15 23:33:03$2$漫画和现实中的熊顿故事更加丰富感人，但是，白百何没有辜负熊顿，这部片子也是。主演五星。片子优秀，但是乱插的所谓感情线和不够写实还是多有不足，差一点成为经典。
205$26289144$滚蛋吧！肿瘤君$木由$2016-07-25 22:07:40$5$这种片子真不该和妈妈一起看。片中妈妈一个走廊擦眼泪的动作，我和我妈一起哭。多一星给现实中的熊顿。给白百何跪下认错，我从头到尾以为这是王珞丹主演的励志剧。
206$26289144$滚蛋吧！肿瘤君$leafalone$2015-08-15 22:26:15$2$剧情本身已让人感动，更令人感动的是整个主创团队的努力，尤其是导演的节奏拿捏，和白百何的出色表演，令这个好故事没有被糟蹋。今年的国产电影质量有了非常明显的提高。
207$26289144$滚蛋吧！肿瘤君$高冷之花白月初$2017-05-09 10:20:53$3$高中时有看过熊顿的新闻，还在作文里用过，大学看了这部电影，怎么说呢？我觉得熊顿本人在生病时候一定没有白百何演的那么乐观，虽然她的漫画里看似坚强，她也没有遇见一个吴彦祖那么帅的医生，但是主题是乐观、坚强和思考死亡的意义，所以4星吧
208$26289144$滚蛋吧！肿瘤君$蓝霉沉皮$2015-10-17 22:45:22$2$表白段对白百合路人转粉。
209$26289144$滚蛋吧！肿瘤君$ふふちゃん$2015-10-21 02:39:16$6$葬礼那一段简直白百合至今为止的演技巅峰，最后她呵呵呵呵笑，我特么哭成狗。电影三星半，为熊顿加到5星
210$26289144$滚蛋吧！肿瘤君$萤木C$2015-08-09 01:06:09$2$要珍惜，抓紧有限的时间，燥起来！听过很多道理，在真正面对死亡的时候才能彻底明白。喜欢白百何的表演，尤其是最后录像那段。
211$26289144$滚蛋吧！肿瘤君$朗夏$2015-08-15 00:03:44$6$电影滤去了大部分悲伤，那些悲伤的情感也是一笔带过，只留下我难以自制到哭成狗。结合自己的经历，简直历历在目，我想说无论熊顿还是我亲爱的大舅，你们走吧，没有你们的世界，其实每一天并没有什么不同，早晚有一天，我们天上见吧
212$26289144$滚蛋吧！肿瘤君$约翰里根$2015-08-18 13:51:07$2$很好看！不可以煽情也让笑中众带泪，不容易的是，竟然不再讨厌白百合了！
213$26289144$滚蛋吧！肿瘤君$璐baby$2017-02-08 22:39:31$3$你不是我，你不知道你对我来说，是一生一次的惊喜
214$26289144$滚蛋吧！肿瘤君$青铜骑士$2015-08-17 11:39:16$2$加一颗星给白百合，最后一段表演真心好。
215$26289144$滚蛋吧！肿瘤君$Asayake$2018-08-18 02:27:36$2$漫画式的KUSO也符合原本漫画家的身份。大部分时间节奏是很轻松的，也蛮符合真人熊顿对生活的态度。也许是因为真人真事在身边，所有的演员甚至包括配角演技都很赞。泪点也直击痛处，好久没有看会真的流泪的电影了。遗憾的是熊顿没有在生前看到这部电影的上映
216$26289144$滚蛋吧！肿瘤君$曼靑$2015-08-18 12:17:18$1$過譽佳作。說實話 如果不是這麼多人說這部電影有多好看多好看、哭得有多厲害多厲害 也許我會考慮打三星。但是一開始我進入放映廳的時候 就已經抱著不一樣的態度了。電影院幾乎滿座 最有意思的是每次吳彥祖出場的時候 放映廳的女生就開始發出各種垂涎和感嘆吳彥祖的美色 感覺幕布上面有好多好多的彈幕。
217$26289144$滚蛋吧！肿瘤君$菱夏$2015-08-20 18:46:22$2$看完之后又翻出漫画又看了一遍，熊顿像是酒神附体，似乎能穿越痛苦的本质，甚至以苦为乐，把生命活成一场盛宴，在得到与失去中尽情享受人生的悲喜，她的欢乐是星光，照临了每一个或孤独或失意的观者，静安先生说人生不过风前絮，然而熊顿的悲欢却没有飘零，温情细腻地流淌，几乎每个观众都是止不住的泪
218$26289144$滚蛋吧！肿瘤君$#烧光光#$2015-08-14 13:17:50$2$多好的悲喜剧，漫画风格的叙事，有笑有泪差一点就煽情，友情爱情亲情一齐暖心窝了，老套的故事硬是拍出了新意和心意。白百合演技没话说，和角色融一体了。
219$26289144$滚蛋吧！肿瘤君$Tomoe$2017-06-03 16:26:17$4$真实故事改编，我承认我真的很感性，电影的色调很喜欢，结尾哭惨了，还有白百合，她真的很会演
220$26289144$滚蛋吧！肿瘤君$壹安²$2015-08-15 16:05:07$8$“死，只是一个结果，怎样活着才是重要的”影评并没有着重对于死亡的悲情，更多的是一种对乐观的生活态度的赞赏，关键还不满是鸡汤味。故事很幽默又很温馨，笑着笑着就哭了…
221$26289144$滚蛋吧！肿瘤君$千寻亿选$2015-08-18 18:56:45$0$既然熊顿是个漫画家，片中那些幻想为何不用漫画形式来表演，吴彦祖在电梯里对着反射条笑的时候鱼尾纹有点多
222$26289144$滚蛋吧！肿瘤君$格林童话$2015-08-23 16:15:19$2$感人，励志，白百何女神演技大好，美萌美萌的，就是跟梁医生的爱情改编的没必要了，五星鼓励~&lt;knocking on heaven,s door&gt;是哪个版本想知道…哪怕是冲动也只是后悔一阵子，但要是活的太怂了呢，就会后悔一辈子~熊顿的乐观真让我觉得感动~你不是我，所以你不知道你对我的意义~最后的那个VCR太催泪了~
223$26289144$滚蛋吧！肿瘤君$MovieManic$2015-10-11 17:28:26$1$太拖，太慢，特效不好看，想象力不够，反正我不喜欢这样的作品，在我眼里依然是烂片。
224$26289144$滚蛋吧！肿瘤君$Muto$2015-08-26 14:10:16$2$肿瘤君癌变的原因其实是不加克制。欲以轻盈表现沉重的想法给予认同和赞赏，但执行上却把搞笑误以为了乐观。影片的成功在于“真”，真真切切的情感流露。缺点在于“实”，实实在在的叙事空间。最可惜的是扔掉了以漫画作为载体散发出来的“虚”的诗意和气质。在满是眼泪的氛围中，自制显得尤为难得。
225$26289144$滚蛋吧！肿瘤君$汽车大师$2015-08-14 22:28:07$4$如果说这是中国版Scott Pilgrim的话，白百何把麦克塞拉秒到阴沟洞了
226$26289144$滚蛋吧！肿瘤君$姜纪存$2015-11-12 19:59:09$2$"现在三里屯soho和银河soho是国产都市电影标配
"
227$26289144$滚蛋吧！肿瘤君$JoeyLu陆柏宇$2015-08-14 22:45:29$0$天马行空的想象与现实残酷相结合，有笑有泪的真情流露，真的是一部饱含诚意之作！
228$26289144$滚蛋吧！肿瘤君$林老林$2015-08-14 22:53:27$2$笑疯了哭傻了，傍晚吃晚饭一直在模仿掀桌那个梗，百合的演技简直了！五星剧情加所有演员👍
229$26289144$滚蛋吧！肿瘤君$英恩$2015-10-28 16:09:57$3$为什么总有人会把装疯卖傻当成古灵精怪啊，整个拍摄手法弱智得让人尴尬，花痴=乐观坚强？整部电影最精彩的就是熊顿爸爸在超市买薯片那一段，轻飘飘的情节突然就有了厚度。
230$26289144$滚蛋吧！肿瘤君$开开!$2015-10-15 01:35:03$2$"白小妞演技无槽点，特别是跟她妈说银行卡、葬礼视频两段，拿捏的太好了。刚听说要冲奥，冲吧，国产小妞最佳代表作，剑走偏锋让洋鬼子感受下中国式亲情，也很不错。
"
231$26289144$滚蛋吧！肿瘤君$闲人不太闲$2015-08-22 21:53:44$2$和张卫健、任贤齐、周星驰一个路子的白百何，却蛮有个人特色~和月月籽儿一块儿去看der~耀莱成龙影院～
232$26289144$滚蛋吧！肿瘤君$望仔放弃减肥了$2016-07-23 16:19:48$1$故事有原作摆在那儿呢，吴彦祖的颜撑在那儿呢，再怎么也拍也不会难看到哪儿去的
233$26289144$滚蛋吧！肿瘤君$朽木立夏警部殿$2015-10-14 00:13:15$1$原来片尾主题曲是上帝桑以前给我听过的closer。给原著漫画注水了许多商业化的内容，比如和吴彦祖的医患羁绊，但是白百合弥留前依偎母亲的戏还原度相当高，葬礼VIDEO也戳到人了。SO，还是及格了吧，虽然上半部像烂片。张子萱是个好演员，可惜被绯闻毁了。
234$26289144$滚蛋吧！肿瘤君$蓉蓉酱$2015-08-16 07:18:45$2$蛮不错的，对白百合改观
