$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26654146$解忧杂货店$风扇$2017-12-29 22:30:04$553$"为什么豆瓣才5点几分，很好看啊
158$26654146$解忧杂货店$岚小壹时光琐碎$2018-01-04 11:58:12$7$每一个人在面临选择的时候，心中都会有答案，只是那个答案不确定，希望得到别人的肯定鼓励去朝向自己选择的那方，看过原著小说，对于一些细节上的改动也相对符合国内的环境，和小伙伴们看完旁边感觉都还不错，确实能够让你感受到温暖，不足也很多，可是不妨碍这部电影传递给你的想要表达的东西
159$26654146$解忧杂货店$爆浆速冻仓鼠$2017-12-29 20:42:41$24$中国特色毒鸡汤，暖心？寒心吧。东一榔头西一棒槌。看完更迷茫了。加一星给李鸿其。知道是设定，但是主人公是生活在什么魔幻世界么三人组难不成是哈利罗恩和赫敏，就连预告片BGM都格外HP。为什么对能做到对连接过去与未来的信箱完全不惊讶。
160$26654146$解忧杂货店$芥末豆$2017-12-30 21:18:56$41$还原了书的精髓～处理的还可以～本土化的《解忧杂货店》很棒…正能量～故事改编99分～这个场景好怀念，小学门口的杂货店买美少女战士贴纸买卡通金卡买各种小零食…还记得老家楼下的杂货店漂亮老板娘悲惨故事，隔壁那个理发店和奶奶关系很好的，总是笑眯眯叫我红富士的婶婶…那些温暖的小店真怀念…
161$26654146$解忧杂货店$山下猫$2018-10-30 13:22:30$7$改编成道德说教和刻奇，可见多不用心。f美图滤镜的色调剥离现实，而这片子的超现实其实依托飞速发展的社会大背景，还原时代上一败涂地。旧道具摆出来像怀旧主题餐厅一样鸡贼，但对故事核心毫无用处。 1993年你几乎没可能买到cd，更别说原版，正版磁带从7块6一步步涨到9块8，那是盗版磁带的天下，打口带还在后来。这样利用杰克逊真的好吗？原著中我最有印象的是运动员的故事，那不是什么财富和投机的歌星梦的故事
162$26654146$解忧杂货店$李小庫$2018-01-29 22:48:11$2$王俊凯首部主演的电影 尤其最后爆发的场景表现还是非常不错的 看来刘天池老师指导的很到位 而编剧的改编是下了功夫的 可以看出在努力向原著看齐 但是有些地方还是不太完美 比如小偷三人组对回信的态度的处理不是很顺 还有秦朗和他爸爸之间的互动有些莫名其妙 最大的惊喜来自于成龙 终于演了一次文艺片
163$26654146$解忧杂货店$SnowT$2017-12-26 00:15:20$167$几十块钱买点吃的不好吗
164$26654146$解忧杂货店$乍暖$2018-01-26 20:45:58$2$3.5/10。连故事的主线都没找到，所有人都在撒鸡汤。
165$26654146$解忧杂货店$张苑希$2019-10-24 15:05:19$5$没怎么读过原著都看得出来拍的很次吧。三段平庸干瘪的励志故事苦熬出的一碗干锅鸡汤，无论是叙事节奏、故事架构还是视点切入都存在很大问题，就算不深究剧作含义光看故事本身就已槽点满满。努力追寻音乐梦想反为他人人生做嫁衣，逃离父母桎梏追逐自我反致家破人亡颠沛流离，踏实肯干努力上进到头来被三个毛头小屁孩抄家绑架……
166$26654146$解忧杂货店$少年面条$2017-12-22 16:05:36$95$非常尴尬的的一出戏，所有人设都是飘的。本来日本的东西改编成中国电影除了嫌疑人照搬票房还不错之外，也没有成功的例子了。电影的人物甚至秦昊、郝蕾都没有给机会立住。唯一的亮点居然是陈都灵。2017最差片子之一。
167$26654146$解忧杂货店$清舞翩翩$2018-07-16 14:50:05$2$平平淡淡主角一大堆，一锅大杂烩。无脑角色都是为了自己，还有梦想还有自行车嘛？？孤儿院要被拆就可以拆别人家，打砸绑对方开人车。陈都灵演舞女真不会，郝蕾成人版还好点！！解忧店主成龙和孤儿院主张妈妈的爱，是穿越25年寄信的彩虹？？三个角色中间一小时多消失，没有存在感，没有灵魂！！！三星给热巴，都灵，成龙
168$26654146$解忧杂货店$南斗六星不易寻$2017-12-29 23:10:14$63$电影拍得很不错啊！演员的演技和场景已经很好的还原了小说的剧情，而且也没照搬小说，改编得很接中国地气了，不知道为什么那么多人给一星，《重生》很好听，这段真的很感人~
169$26654146$解忧杂货店$文$2020-08-14 16:52:40$61$金扫帚一番王俊凯
170$26654146$解忧杂货店$超人叔叔$2017-12-24 17:14:13$286$点映先看，所有的答案早就在你心中。本地化改编还原度较高，毕竟小说走暖心路线。后面对比看看日版的表现如何。
171$26654146$解忧杂货店$努力加餐饭$2017-12-30 11:37:43$84$"为啥分这么低😂我觉得还蛮好看的
非常本地化的改编"
172$26654146$解忧杂货店$흫_흫$2018-01-03 23:46:57$23$从头到尾都在WTF中度过，接近两个小时的尿点，东一榔头西一棒，角色和故事逻辑都很乱，一直在切换视角，每个故事都讲不好，海报上三个人开头出现结尾出现中间大段的消失，不知道这故事是拍给什么观众群体，小清新和灵异都不沾边
173$26654146$解忧杂货店$卫斯理$2017-12-29 22:47:41$46$一星给杂货店的90年代风格陈设，除此之外，整片就像一个赶工生产出的白瓷器，没有艺术价值只能当花瓶用。通过某种介质和过去的人交流已不是什么新梗，执行力好的作品有《信号》《不能说的秘密》《黑洞频率》，差的有《情牵一线》，这部不值一提。
174$26654146$解忧杂货店$瑞波恩$2017-12-29 15:56:39$10$与原著还有很多差距，给人的感觉是有诚意无惊喜。虽然槽点这么多，但片中成龙大哥对白纸先生写的那段信中独白，还是有些触动的，“愿你的人生就像一张白纸，任凭你去尽情绘画写就。”
175$26654146$解忧杂货店$井戒$2017-12-22 00:01:41$55$李鸿其和李梦从面相上很适合演兄妹；为什么不给郝蕾松绑？这小说还是拍部日剧合适。演员们仓促且拧着劲儿，有个爆发还不给正脸。不知为何突然有种在看摆渡人的熟悉感，可能一锅鸡汤。
176$26654146$解忧杂货店$豆友152344862$2018-02-04 16:42:22$29$一般般吧，董子健演的还蛮不错，陈都灵也还可以。不如日版
177$26654146$解忧杂货店$大草睡春天$2018-02-07 12:05:00$4$清一色的一星差评，会不会太容易暴露了？点开三十个一星差评的人的个人主页，有15个人给个公认的一些看电影一星差评。究竟正义之声去哪里了？
178$26654146$解忧杂货店$我模糊了$2017-12-29 00:12:44$88$万万没想到，这片最大的问题竟然出在导演、编剧和剪辑上，真的不是演员的锅。
179$26654146$解忧杂货店$大王$2017-12-30 21:09:57$12$电影刚开始就被旁边逗笑了，朋友问我“这是王源还是易烊千玺来着”，我抬头看了下，这特么明明是王俊凯_(:з」∠)_
180$26654146$解忧杂货店$流光溢彩`$2018-02-22 20:23:38$9$没想到居然敢这样大刀阔斧的改编，然而这次本土化和去小说化又是一次敷衍潦草的完败，比起原著那个扣人心弦的奥运选手故事，本片甚至杂货铺都是可有可无的，某些片段的滥俗和虚假感让我想到了去年那个《梦想合伙人》，演员个个跟木偶一样来完任务，服化道更是差的难以忍受，现代装和年代装都丑的要命。
181$26654146$解忧杂货店$江湖✨$2017-12-31 23:07:48$7$电影没有大家吐槽的那么差，电影改编不少，但基本的东西都在，看过小说的看电影感觉非常有意思，我看到的满足了我之前阅读时想象的。个人而言，这票钱不亏。
182$26654146$解忧杂货店$巧克力可丽饼$2018-04-11 22:26:37$1$没看过原著，对这部国产改版也不抱任何期待，但实际感觉比我预想中的好一点，虽然套路化、理想化，像一碗大鸡汤，虽然有逻辑Bug，虽然三位主人公的存在感低（只出场了半部戏）但至少整部片子的观影过程中没有产生什么不舒适感。
183$26654146$解忧杂货店$挠挠$2018-02-05 20:47:52$12$我觉得吐槽演技的人这次冤枉主角了。这玩意儿之渣就应该是把前期筹备的人一个一个全砍死，都有区块链了还这么洗钱真是心疼你们
184$26654146$解忧杂货店$恰妮斯虫$2018-01-28 16:11:54$8$较差。只能是较差了。歌挺好陈都灵也挺好，但剧情什么的某些人的演技什么的，不想多说了🙅🏻
185$26654146$解忧杂货店$骑呢星人$2018-01-04 01:47:19$7$2018/01/03 2018年第一部竟然看的是烂片，过于刻意的时代符号化，三段故事关联切换实在太失败，尤其第二段转换简直一脸懵逼。我理解电影捧小鲜肉，但是天朝选这些货色不要统统演技的表达方式都是一脸中二我很屌的样子好吗，另迪丽热巴造型惊悚程度我想起了少林足球的赵薇整形失败样子。。
186$26654146$解忧杂货店$精神$2017-12-29 07:10:08$31$看过电影感觉是慢节奏的，没有打打杀杀，不急不躁的拍摄风格，独特的剪辑手法很成功的多次时间空间进行自由切换，国产电影能在这方面有新的突破，在遵从原著精神的基础上改成符合国情的故事情节，演员也都合格，都诠释了各个人物性格和在这个电影里的作用，算是一部成功的电影。
187$26654146$解忧杂货店$小鹿斑比$2018-08-01 09:51:50$18$这部剧真的让我很惊喜。董子健的演技非常好。热巴的造型也比较抓眼。王俊凯真的让我出乎意料的喜欢，小孩子未来可期。
188$26654146$解忧杂货店$ceci🍰$2018-04-16 22:01:50$17$或许这本书就不适合拍电影吧，总体觉得日版的更好一些，演员不怎么样，当初没去电影院是对的
189$26654146$解忧杂货店$把噗$2018-01-28 21:08:40$14$小董这样飙演技凌虐别人，真的好吗？
190$26654146$解忧杂货店$Bobo👻$2020-07-11 21:53:15$6$"「5.0」
两星半吧，四个编剧也没把好的小说改编成一个好的剧本，但也没有想象中那么不堪，从第一个故事讲完以后，故事越来越乱，越来越平淡，东拼西凑，影片色调突然变得奇怪。还有王俊凯真的不如易烊千玺，更别说还有个迪丽热巴了。5.0/10"
191$26654146$解忧杂货店$Indecent time$2018-02-04 07:21:50$0$带着少许鸡汤的暖意和大量味精的味道的杂烩汤，数次想起隔壁的《无问西东》，同是说善意改变人生，看完这部会念起那一部的好，热巴、陈都灵和李梦的角色各自调过来演更合适。多加一星希望自己今天考试好运。
192$26654146$解忧杂货店$孟三哥$2017-12-29 18:16:48$46$电影不怕烂的大烂特烂，最怕烂的平淡无奇，这部就是，全员演技下线，包括所谓几个演技派，但最重要的是编剧最烂。
193$26654146$解忧杂货店$碎碎$2017-12-29 17:43:57$49$以为是偶像傻国产，但是意外还不错。封面这三位戏份不多，其他人演技在线。至少故事讲顺溜了。可能是期待不高，所以也没觉得太难看
194$26654146$解忧杂货店$sirius_flower$2022-06-12 05:50:39$0$太烂俗了 全是标准化的所谓文艺景观（鼓浪屿、小洋房、神秘的木头小屋、戴报童帽的老爷爷）拼贴 搞些毫无意义的升格和旋转，结果这些从中获益的人又都成了主流资本文化的典型（事业有成大老板、名满中外大画家）有评论说这是故事会集合 我倒是觉得故事会的故事更好一些 至少有更多现实感而不是这种刻意的矫情和造作。如果解忧就是帮你“赢得人生”（心灵鸡汤+励志文学专栏那种）那真的是差到极点了
195$26654146$解忧杂货店$Try just Try$2018-01-03 01:29:06$18$你妹啊，连续两天都在看烂片我的元旦假期就毁在这种大便一样的国产电影里了！而且讲道理，比《前任3》更烂，烂的程度和摆渡人不相上下半斤八两，却又烂的那么平庸那么愚蠢，不像摆渡人烂的惊艳四座烂的超凡入圣，连喷都找不到角度喷，真是失败啊。
196$26654146$解忧杂货店$暂用名$2017-12-29 16:22:30$107$我没看过原著，看这部没压力。场景画面都很还原九十年代，故事衔接挺好的，看得出很用心。第二个故事最差，可有可无，还讲不清楚。人物不是很饱满，导致爆发戏火候欠点。鸡汤可以更自然点。演员都不错，王俊凯，陈都灵在电影里真好看，成龙演的爷爷很好，让我想起我爷爷了。
197$26654146$解忧杂货店$我是吉他手$2018-02-10 11:48:05$17$之前看过原著，改编的好多情节对不上，剧情比较单调，没有想看下去的欲望。
198$26654146$解忧杂货店$丸仔$2017-12-30 07:25:30$42$我还没看过原著呢其实，所以没有预设。全片只有小董能看，成龙大哥还算能看，大家的笑点基本在那个假香港老板的口音，最后还让王俊凯装了个毫无意义的逼，服了服了...看原著去了
199$26654146$解忧杂货店$luer..一串字母$2019-08-22 19:47:48$0$如果没有王俊凯，这部电影评分大概也就三四分吧？中国电影圈这种浑水摸鱼的人太多了，这些烂导演烂编剧还找到了一条既挣钱又保命的捷径：拉几个流量明星，一来吸金保证票房，而来挡枪背锅烂口碑。这部电影的多线叙事失控交错实在生拉硬扯，没有一个角色有灵魂的，最后的舞女从良？WTF？对比一下，忽然感觉娄烨在《风雨云》里那几个时空穿梭的镜头真是行云流水如神来之笔。。。最后，谢谢鹿晗，辛苦了，哈哈哈！
200$26654146$解忧杂货店$潇多多$2017-12-31 20:56:09$7$看在原著的面子上给个三星吧。不光没拍出原著神韵，还把节奏都搞乱了，我没看过原著的两哥们差点没看懂，这种故事节奏是很重要的呀！罪过罪过！让我觉得能值些票价的是：《重生》这首歌，有点感觉；陈都灵的颜，原来艳丽也别有一番韵味；郝蕾，单纯喜欢她而已。以上。
201$26654146$解忧杂货店$小蓝酱$2018-11-03 14:05:22$6$迪丽热巴灰蒙蒙的妆容是怎么回事？三字弟弟一脸腼腆，根本没有叛逆少年的影子。加上已经当了奶爸的董子健，这个三人组实在不伦不类，几个故事拼接违和感也很重。可惜李鸿其，发挥不了多少实力。陈都灵突破形象演舞女，倒是有点惊喜。看完不怎么感动，唯一的收获大概是《重生》这首歌很好听了。
202$26654146$解忧杂货店$曼靑$2018-01-26 00:04:26$3$成龙饰演的杂货店老爷爷说：「我没有帮过任何人。 每一个带着烦恼来找我的人，他们心里都有答案。如果他们不努力 我写什么都没有用，他们应该感谢的是他们自己。」从未关注过这部电影的我，当晴美从陈都灵变成郝蕾的时候，几乎激动得要哭出来。我说过郝蕾是我最喜欢的内地女演员，这件事永远不会变。
203$26654146$解忧杂货店$ice$2018-10-16 09:34:41$30$解忧是很温暖很治愈的片子，麻烦不要波及无辜好吗？？？
204$26654146$解忧杂货店$超cute侠$2018-01-28 15:33:17$13$原作本就是日式鸡汤，所以影像化后这种矫情程度是加倍的，何况这剧本本土化得并不成功，加上表演等各个环节都相当违和，像是把一盒腮红都扑在脸上的陈都灵，以及演暴发户上瘾的郝蕾，片子对怀旧也存在着误解，好像提提新白娘子传奇，唱唱崔健就是九十年代了，不过是符号堆砌情感全无。
205$26654146$解忧杂货店$墓肜$2018-02-02 10:20:55$11$都轮不到演员背锅那种，差到我想打人。。。
206$26654146$解忧杂货店$怪客$2017-12-24 16:49:23$9$看完，前面略显平淡，后期节奏更快，串在一起觉得恍然大悟，王俊凯的小波进步很大演的很好，大屏幕上美颜更好
207$26654146$解忧杂货店$古都的树$2017-12-31 00:12:14$10$@深圳中洲π Mall 橙天嘉禾 with Jenny Guo. 本来打算在家休息的，新来的同事约了看电影，想着增进下感情也不错，结果选了这片子，当然我本来也不期望。虽然电影烂，竟然对东野奎吾的原著感兴趣起来了。2017年最后一部片。
208$26654146$解忧杂货店$嘉莉妹妹$2018-10-16 07:57:25$38$不得不说三字弟弟的颜值很能经受大荧幕的考验
209$26654146$解忧杂货店$蓝格子$2018-03-27 23:10:12$1$每一个带着烦恼来找我的人，他们心里都有答案。（ps，成龙太出戏了，王俊凯演技OK的，and，家里电爆了，and，我本来想看的是日版。）
210$26654146$解忧杂货店$老李的🇨🇳$2018-08-14 14:34:02$5$原著就是不好看，各种浅显的鸡汤，电影更差。这部电影打光也真是神了。迪丽热巴的脸比三字弟弟的还糙。演技，更是没有。
211$26654146$解忧杂货店$悠三岁$2018-01-27 13:42:42$6$1.5 水土不服，不接地气，叙事拼贴凌乱，台词说教寡淡。除了四合院的一个长镜头调度之外，木有任何亮点。
212$26654146$解忧杂货店$老罗Lazzaro$2018-02-04 01:40:13$12$几个故事生硬的拼凑，杂乱无章，矫揉造作，不知表达。舞女靠杂货店获利的这段太尴尬了。
213$26654146$解忧杂货店$爆爆$2018-01-03 01:23:37$11$看过原著，但称不上原著粉，客观说电影确实看得我很烦躁……贵公司手里可是有东野圭吾知名小说的版权啊！结果剪辑也算不上精炼，颜色…你们后期没有示波器么…合成上生怕观众不知道景外面有绿背…最离谱的是为了减少镜片反光，车戏把成龙老爷爷的眼镜片儿卸了…这么好的牌面怎么打成这样……
214$26654146$解忧杂货店$zang兮兮$2018-01-02 00:21:26$2$矫情鸡汤片。电影版《读者》剪贴本。。。
215$26654146$解忧杂货店$打豆瓣成豆瓣酱$2022-06-04 14:52:41$2$不带这样污辱人的！三个傻子一样的跳梁小丑仿佛开了光渡人劫难的佛祖一样点石成金，还教人学电脑？你特么是不是250啊，你为啥不教人家抄深圳的房呢？不然现在兴许就是许家印了吧，你们真是害人不浅啊一帮二货！顺便再说说这就是一部教年轻人学绑架的模范片吧，把人给绑架了，最后道歉就完事了？那下一次我把李加成绑了，事后道歉也就没事吧？顺便说一句，比里热吧这造型真丑的让我想吐啊！
216$26654146$解忧杂货店$陈轮$2017-12-30 14:16:36$27$《解忧杂货店》：不烂，然而确实拍的挺平，虽然演员的表演确实都挺水，但不作为的优势便是基本保留了原著的力量，还被李鸿其那段戳哭了。P.S.：鸡汤这个东西，真的是再怎么丰富美味，映射不出自己变寡淡如白开水；再平淡无味，如果能看得见自己，便足以翻江倒海。
217$26654146$解忧杂货店$酥$2017-12-29 00:26:11$44$非常温暖的一部电影，在电影院泪流满面～
218$26654146$解忧杂货店$Micky$2018-01-26 03:51:19$1$我看完原著后推荐给朋友看，貌似都没耐心看完…没耐心看小说的人，来看这部电影也不错，这样你的一生总算没有完全错过东野圭吾。电影虽然是照虎画成猫，但起码照的是虎啊对吧。年代感营造得不错。我最想吐槽的是摄像，镜头没有一点起码的方向感，就像写字从右往左写，或者从下往上写的感觉。
219$26654146$解忧杂货店$90$2018-01-26 23:54:02$2$本土化比我想象的好，没觉得特别像日本的改编作品。影片节奏有小小问题，王俊凯的发怒演技也很差劲，好在瘦死的骆驼比马大，该有的感动还在。
220$26654146$解忧杂货店$决明$2018-10-13 19:33:00$2$这感觉实在是太日式了，没到反感的程度，本土化确实做的不怎么好。几个主角纯粹是个借别人的名气串个场。故事挺俗气，可能是节奏把握得不够好，很多设定穿插的有点生硬。卖情怀的片子一个把握不好就很容易显得没意思。
221$26654146$解忧杂货店$大黑骡子$2017-12-30 16:33:22$9$期待太低，也没看过东野圭吾，反倒觉得还行，韩杰的导演水平已经很尽力了，只不过是处理得略鸡汤。三个小的没有很多戏，有戏的时候也尽量给董子健发挥。两个大流量明星作为主要角色，达到这种效果，已经是管虎韩杰这波人的极限了吧
222$26654146$解忧杂货店$舒农$2017-12-21 21:53:37$21$本土化改编其实挺成功，但是故事分配和节奏实在诡异，棚味特别重。
223$26654146$解忧杂货店$乔京$2017-12-30 21:30:11$11$Michael 的black or white的梗哈哈哈
224$26654146$解忧杂货店$CHERENYLJGG$2020-08-14 16:54:46$47$吐了 王俊凯太丑了
225$26654146$解忧杂货店$穆子衿$2017-12-29 12:24:49$95$其实电影真的是还可以，不过就是故事线有点凌乱。不过原本小说想要表达的电影里也都能看到。还有就是有人说这个电影温吞吞的没有高潮，这反而是我喜欢这个电影的原因，不是只有高潮迭起才有感人的故事，不是只有精彩刺激，才会有令人深思的能力。
226$26654146$解忧杂货店$今日店休$2017-12-24 23:40:51$306$3.5吧 很治愈 很享受 第一个故事 一直抱着抱侥幸心里 短发的秦朗有点像张若昀啊。  然后就是过去未来 彩虹之家和杂货店密不可分 过去影响了现在 现在影响了过去 这个问题想起来很奇妙  
227$26654146$解忧杂货店$冲动是魔鬼$2018-10-15 20:01:18$42$其实谁不希望能有一个这样的杂货店呢？可以排忧解难帮你很多，很喜欢这部电影又看了一遍
228$26654146$解忧杂货店$X$2018-03-05 08:27:31$7$董子健的演技不错，没想到他还能演个小混混毫不违和
229$26654146$解忧杂货店$半颗安榴$2018-10-16 05:22:40$29$不要这样对我们小忧啦
230$26654146$解忧杂货店$青青蒹葭$2018-02-17 20:36:05$27$看过小说，再看的电影。故事环环相扣，扣人心弦。值得一看。
231$26654146$解忧杂货店$鱼鱼爱吃饭$2018-02-01 15:26:07$6$化妆师造型师在想啥，几位主演看起来脏脏的。书里面的暖意一半都没有拍出来。
232$26654146$解忧杂货店$九個9$2018-02-03 18:05:48$8$不比不知道，一比吓一跳。
233$26654146$解忧杂货店$卷儿，　　♡$2017-12-24 15:59:52$179$很好看 很温暖 歌好听
234$26654146$解忧杂货店$Danys ┇┇ 蓄须专用$2018-02-03 21:17:21$5$今天#书影同读#更感受到改编对原著的损害。很想知道韩寒对电影到底有什么加持？也许就是给中版《重生》写了词吧[污]小鲜肉＋变性式的改编其实不是问题，导演韩杰领头的团队任性和不知进取的赶工才是重点。全片从清冷转成热烈合家欢，差点要以广场舞结束[伤心]为煽情，书里有妻有子的浪矢也成了孤独终身
235$26654146$解忧杂货店$已注销$2018-10-16 08:52:24$25$刷一星的有病吧，冤有头债有主
236$26654146$解忧杂货店$天然钓系$2018-10-15 20:24:25$47$去年电影院看的了，这种类型我特别喜欢，好评。
237$26654146$解忧杂货店$挪威木头$2019-09-07 18:50:10$2$陈都灵得知未来电子商务会暴富后，苦练艺术体操，成为体育特长生后保送进清华，嫁给患有脸盲症的电子商务巨头。
238$26654146$解忧杂货店$宋小卡$2018-01-25 23:42:05$5$故事都讲的太仓促了，压根有感情的沉淀，用了最懒的方式讲故事，那些人命运的交叉，都变得很没有意思……就，电视剧水平的电影吧。董子健的演技，毁灭性碾压其它演员，甚至产生了跳戏的效果，感觉董子健演的时候和别人演的时候，看的都不是一个电影。解忧杂货店的故事，真的特别日本，很难本土化，中国化，只能走夏洛特烦恼路线，根本不应该走日式温情路线………………不过，张若昀住的那个艺术家村儿看了挺有感触的，那时候798旁边的草场地，半夜出门转一圈，村里全是拿着摄像机在路灯下拍纪录片的…………
239$26654146$解忧杂货店$百叶窗$2018-10-16 10:11:19$12$拍的还不错，好喜欢信箱里转换时空的镜头，有拍出奇幻的感觉。还有张维维唱歌的镜头真的美哭，没控制住流泪了。
240$26654146$解忧杂货店$麻姐和珊姐$2018-01-27 19:58:18$1$"两星给原作，看后更觉原著可贵。一星给演小城音乐人的李鸿其的表演，流量小生小花演了主角又怎样，你们的表演依然是华美包装下劣质的灯泡，一下刺眼一下憋火，演技无关俊美，能从无声处见有声"
241$26654146$解忧杂货店$小涛$2019-01-02 04:09:30$0$有一些细节看着好尴尬。哎，还是看书好，东野圭吾书里的感觉没Get到。但是在舞台演唱《重生》那段还是有点感动。
242$26654146$解忧杂货店$玉米它娘$2017-12-29 09:00:58$153$片子烂的可怕 整个故事完全没有逻辑（不是有逻辑问题），演员全程在尬演，节奏拖沓 段落叙事中没有任何一个故事有价值 网大水平的剧本 整部戏就美术稍微凑合点 两个小时如坐针毡 
243$26654146$解忧杂货店$鏡花可可$2018-03-29 23:04:55$0$王俊凯和热巴演技太尴尬了，平时偶像剧觉得还不错，怎么这里这么不和谐。原著太好了，所以总体挺不错的。
244$26654146$解忧杂货店$冯小夏$2017-12-30 13:58:39$19$预售9.9买的票，当时就觉得分不会太高，昨天看了评分都在想要不要去看。可看下来，竟然发现没想象中差。这本书本就难拍，一部电影很难表达其中的内涵，中国的翻拍本土化还不错，故事也叙述清楚了，没有明显的槽点，演技也过得去，在我心里就及格了。一星给这首重生，一星给成龙，一星给鸡汤。
245$26654146$解忧杂货店$张兮兮$2018-02-06 17:17:06$4$两星全给道具组，不得不说几乎一点也看不出原著的日本元素了。然而这部电影也充分地说明了，原著最大的亮点在于巧妙的叙事结构，而不是那些鸡汤气息浓厚的故事。电影根本就是个大拼盘，并不是雷人，而是平庸。
246$26654146$解忧杂货店$kanhi$2018-01-26 22:14:46$5$贾樟柯的副导演如今只能拍出这种歌功颂德的电影，算是彻底毁掉了。
247$26654146$解忧杂货店$遨游学海吗？$2020-08-14 16:39:01$33$烂片，烂绝啦真的
248$26654146$解忧杂货店$24city$2018-02-12 14:57:21$4$日本IP翻拍，国内走进一个误区，认为一个好故事原封不动移植过来再本土化就会延续原作的成功，其实不是，有些故事是在日本独有的国家环境下才会理所当然，而且感动的故事大都是因为点滴细节而不是内容整体。这个翻拍依旧失败，无序的时间线，符号化的背景、人设以及缺少原作人物间互相联系的温情细节。
249$26654146$解忧杂货店$Angel安琪拉$2018-10-16 11:01:41$22$在那个寒冷的冬天走进影院看了一部很温暖的电影，让我的心暖暖的。可能对于很多原著党而言，它改编的并不是那么好但是相比较而言还是不错的，至少我觉得是好看的。可能一千个人心里有一千个哈姆雷特，好多人觉得这是流量粉的电影，还没有看就随意评价，我想这是不公平的。王俊凯在最后得知福利院要被拆除的时候狠狠打在窗户的瞬间我觉得他好酷啊。紧紧握住的拳头都表达了自己的愤怒。小城音乐人那段我最感动
250$26654146$解忧杂货店$O型血$2018-08-12 18:55:20$5$https://www.bilibili.com/video/av19272822迪丽热巴长发更好看。不喜欢片中的她。幸好没去电影院看，不值票价。与日版毫无可比性，没看过的就不要看了，浪费时间。如果真的喜欢《解忧杂货店 》，可以去看东野圭吾的小说《解忧杂货店 》和日本电影《浪矢解忧杂货店 》。https://www.bilibili.com/video/av22205930
251$26654146$解忧杂货店$醉梦·聊生$2018-02-09 14:56:26$0$本片将对未来迷茫的三个年岁尚轻的人引向了正途，起点是无名杂货铺，终点是彩虹之家，通过一条贯穿前后门信箱形成的时光通道构成一个环，因果相接，孤儿有梦，善意相传，托原著的福，国片也能在暖意下辞旧迎新。
252$26654146$解忧杂货店$$2020-08-14 17:09:28$38$啊啊啊我的小说…
253$26654146$解忧杂货店$坐等1900$2018-01-28 19:16:50$7$这个剧情逻辑极度混乱的导演成功把一部暖心小说拍成悬疑片了 观众到结束也没猜出来到底在拍什么 成龙贡献了那么棒的演出 还是败在导演手里 好不容易他把文艺片演出了细腻情感 结果 好剧本 好演员 拼不过烂导演 一星给成龙 不攻击小鲜肉 遇上这种导演 谁上谁倒霉
254$26654146$解忧杂货店$车瑞茜$2017-12-30 23:45:01$10$太多的角色，大大弱化了人物，像是一部集体酱油的电影。演员毫不出彩，迷人的是故事本身…
255$26654146$解忧杂货店$WillRious$2019-10-17 11:09:31$0$19年给93年的人建议，不应该是在北京办个户口，申个车牌，砸锅卖铁的去买几套房子吗？彩虹之家和无名杂货店的渊源，追逐梦想的音乐人，从街舞改行的画家，舞女出身的企业家，都在阐述着相似道理，要乐于助人，要理解家人，要奋斗努力，蝴蝶般的付出，人生重大的提升，有时更会对自己产生积极的意义。故事奇幻，也很温暖，但就像是一杯温水，喝了虽然有反思解渴但味道平淡。
256$26654146$解忧杂货店$弓谷所長$2018-02-24 17:19:10$3$"观影者还是过于挑剔吹毛求疵了，和日版比较起来，国产的并没有那么烂，至少也有三星半吧。
所有的成功都是靠自己努力得来的，主题很明确。
结局相比稍显得有些小气，日版结局好一点。"
257$26654146$解忧杂货店$落苏$2017-12-30 01:00:08$51$我想过会改的乱七八糟，没想到这么乱七八糟，可能是嫌疑人给我的错觉，以为不会太差。。。
258$26654146$解忧杂货店$吃瓜路人$2018-02-08 09:59:11$45$对于没有看过原著的人来说，前面应该很难看懂吧，感觉好乱，看完我就忘记了前面的剧情。迪丽热巴片中的造型太显老，这三个弄在一起，感觉演的特别不自然
259$26654146$解忧杂货店$孔府小鱼$2021-06-25 12:02:47$1$日本版就很一般，这部就更乱七八糟了，除了董子健几个主演的台词真是一般。
260$26654146$解忧杂货店$皇马球迷名字长$2018-10-21 21:52:09$7$说实话 这电影最多给六分 但是解忧太惨了…金鹰节之后因为对于某女演员的恩怨解忧真的太惨了…给李慧珍打低分我觉得OK因为不配…但解忧怎么了…又不是靠解忧得奖的…帮帮解忧吧 冤有头债有主别找错了地儿 心疼王俊凯和小董
261$26654146$解忧杂货店$蕾蕾$2018-01-26 04:50:51$6$有点跟那个摆渡人和从你的全世界路过差不多的毛病，文学语言没有很好的改变成电影语言，很是失败，割裂分解。中国的电影人有效的重复别的行业那种照猫画虎的假模假式的学习制造电影行业的状态，呵呵呵。可以说导演功力极差
262$26654146$解忧杂货店$zxe$2018-10-16 08:10:03$19$很感动 很还原原著了
263$26654146$解忧杂货店$白rap的荧光帽$2017-12-31 17:18:14$5$我是看过书的，男票是没看过书的，都觉得电影很一般，看来主要是编剧和导演的问题了，反正没有读书时那么的温暖和感动……然后想感叹，三字弟弟挺带票房的，我看的这场大部分都是小姑娘，看来都是他的迷妹，还有要老爸买票一起看趁机想安利亲爹的，但我觉得她爹可能吃不下安利啊哈哈哈哈
