$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26260853$速度与激情8$阿呆同学$2017-04-12 00:08:19$1701$妈的杰森斯坦森好帅啊好帅啊好帅啊好帅啊！！ IMAX太酷炫了！
1$26260853$速度与激情8$虾坨坨艺仔$2017-04-12 21:09:29$1281$喜爱大场面的朋友们千万不要错过这部汽车版的釜山行。
125$26260853$速度与激情8$科林$2017-04-16 20:44:05$4$上天下海、异常火爆，连鱼雷都玩出来了…最后冰上车战足有20分钟，看得肾上腺素飙升。该系列原本只是讲飙车的嘻哈小成本片，如今闹得快变碟中谍+007了…全片最好看是僵尸车段落，壮观~（唱唱反调：不过这片依旧严重落入好莱坞爆米花片“为打而打”俗套里、满满的“猜得到接下去会怎样”套路中，疲劳）
126$26260853$速度与激情8$凌晓疯$2017-04-16 16:14:00$6$速8都只需要主角们防止世界大战了，速9不去打外星人说不过去啊。
127$26260853$速度与激情8$有寂$2017-04-14 18:48:40$11$俄罗斯人真惨
128$26260853$速度与激情8$Chain$2017-04-16 18:01:40$5$突然叛变，突然当爹，反派洗白，情节论外，视觉突破，速度爆表，缺失保罗，基情尚在，没有彩蛋，九十再看。
129$26260853$速度与激情8$李大婷$2017-04-16 04:13:39$1$超级好看！然后 结尾那块感动的我整个人都不好了……
130$26260853$速度与激情8$明安$2017-04-18 20:51:27$8$根本就是修真片……
131$26260853$速度与激情8$Panda的影音$2017-04-21 16:43:31$4$⒈相较于《速8/激8》里各种砰砰砰炸炸炸轰轰轰的酷炫汽车，还是更喜欢2014年同样在影博IMAX巨幕厅看的《变4》里那些会变成机器人的汽车；⒉巨石强森出场的方式宛如《海洋奇缘》的毛伊再次附体；⒊豪华车海、冰原追逐等还算博我眼球，但鉴于主角光环强大，全程基本没有让我惊心动魄过；⒋小宝宝挺可爱。
132$26260853$速度与激情8$Hey Johnny$2017-04-20 19:15:20$4$全程花痴杰森斯坦森！
133$26260853$速度与激情8$cløud 109$2017-04-30 16:20:45$2$建议剪一个斯坦森和僵尸车的cut 别的没有任何意思还不如看看预告片来得省事省力。。。请问斯坦森和巨石有同人么（闭嘴
134$26260853$速度与激情8$SELVEN$2017-04-15 01:01:02$3$64/100 用赛车场面比喻角色的心情，一直是素鸡系列很有特色的地方，比如这部在纽约街头“揪心”的场面。但与此同时越来越公式化的情节设计加上高预算带来的群星阵容，让元老人物边缘化，并使这个系列获得重生的元素逐渐消失。
135$26260853$速度与激情8$tentwosix$2017-04-14 14:29:06$2$呃……just like a blue pill 导演很棒啦
136$26260853$速度与激情8$爱的镇魂歌$2017-04-22 21:08:25$1$街头飙车起家的素鸡系列不知不觉都要打核战了，场面戏脑洞挺大，潜艇居然都能破冰来飙。以后这种破事请找007，求放过那些老司机，他们只是开小车的...。
137$26260853$速度与激情8$朱古力$2017-04-14 02:13:37$9$应该可以拍到速25
138$26260853$速度与激情8$鸡头井。$2017-04-17 22:57:19$3$这钱砸的
139$26260853$速度与激情8$刘康康$2017-04-17 01:34:51$8$不好不坏的一个爽片，然而也没那么爽。上一部是汽车斗飞机，这部是汽车大战核潜艇，很为下一部导演感到担心，地球上还剩什么能跟主角他们飙车？反派说洗白就洗白，下一部这个黑客女是不是也要加入主角的伐木累了？
140$26260853$速度与激情8$昵称被占不开心$2017-04-14 09:51:16$23$依旧热血 杰森斯坦森好酷
141$26260853$速度与激情8$小崔$2017-04-15 14:06:07$1$有点晕
142$26260853$速度与激情8$暖晴$2017-04-12 21:44:35$15$视效还是蛮过瘾，连放片前IMAX的倒计时片头都是速激特别定制，乱激动一把。这集光头team队员们都比不上郭达斯坦森和baby实力卖萌。内容实在太反人类了，主角带着光环从头酷到尾，可炮灰车和炮灰人类好惨……这个系列看到现在，有的人走有的人来。台词提到布莱恩的时候，心里真是会闷闷的。怀念保罗。
143$26260853$速度与激情8$断弦的耳朵$2017-04-18 23:49:12$2$不出所料的睡着了…
144$26260853$速度与激情8$国产凌凌期$2017-04-14 22:43:42$5$速度与激情8：特种部队的崛起。看完速7开始琢磨估计这个系列很难再玩出什么新花样了，然而纽约车群和核潜艇大战还是惊掉了下巴，可能速9就要把这帮人送到宇宙去了。多姆一开始的设定只是飞车仔，怎么现在就变得全身外挂去拯救世界了，也许下一部能回归一下平凡。郭达老师固然帅气，不自觉的替韩心疼。
145$26260853$速度与激情8$圣迭戈-北岛$2017-04-14 03:13:31$23$第八部简直是毫无节制的动作AV，只有前五部是正统速激，在烧胎声和警笛声中、在刹车片火花和枪口火舌下的小人物挣扎是速激最初吸引人的地方。街头毛贼能阻止第三次世界大战的第八部可以和《极限特工》合并世界观了。
146$26260853$速度与激情8$乱樂$2018-01-12 23:01:26$35$结尾那首歌很好听
147$26260853$速度与激情8$伊菲吉妮娅$2018-09-02 22:04:59$2$这部都整到飞机核潜艇了，下一部该上宇宙了吧……
148$26260853$速度与激情8$玫瑰水母$2017-04-15 18:22:11$1$郭达一家成功抢镜；东木仔在KURT叔面前尽显青涩
149$26260853$速度与激情8$圣墟$2017-04-12 08:15:33$35$肌肉猛男、性感美女、高速飙车……所有能想到都有了，就问一句，动作场面要不要一个个都跟复刻出来的一样！！！能不能变个花样！！！能不能！！！
150$26260853$速度与激情8$Admin$2017-04-14 02:42:59$6$“杰森斯坦森在装逼的道路上越走越远”
151$26260853$速度与激情8$欧阳杼$2017-05-14 01:28:00$2$1. 立了flag之后，女主角马上就喜当妈了。2. 估计下一部该是开车追航天飞机了。3. 各种动作戏非常多，但这个系列已经很难再拍出新花样了，每个人都在驾轻就熟地做自己的事情，完全是模式化的操作。4. 只有开场的十多分钟是在飙车，剩下都是在执行任务，你们还有当年飙车的快感么？
152$26260853$速度与激情8$猪大腿$2017-04-14 12:41:47$2$Fast and Furious and Furiosa
153$26260853$速度与激情8$18280$2017-04-14 02:14:34$15$满分，查理兹塞隆太漂亮了，期待后面的作品。片子有一处字幕“报酬”应该是“报仇”。
154$26260853$速度与激情8$叉叉$2017-04-14 19:03:59$9$Fast and Furiosa！塞隆女神美！飙车易光头，超速需谨慎。观众对F&amp;F这个系列的期待好比碟中谍里的靓汤还能徒手爬什么一样，看他们能用车子干出啥让人目瞪口呆的事。F8洗白67里的兄弟反派太无语了，不过杰森郭达和女王卖萌还是挺可爱的。反正剧情向来是鸡肋，看看场面就行了。F5真是系列巅峰啊！
155$26260853$速度与激情8$seamouse$2017-04-15 00:21:12$3$大场面中的分分合合拍了那么久，竟然还能继续制造绵延的情感温度，作为调剂品的激情不减味。作为主料的速度，更与时俱进的结合上无人驾驶潮流，带来一大堆最精彩的汽车丧尸压城场景。让变形金刚的延续几近没了意义。可惜国内影厅黑漆漆的IMAX 3D，着实让人晕车。
156$26260853$速度与激情8$谢谢万友们！$2017-04-28 00:22:50$1$反派和妈妈很漂亮啊～～～据说实拍的，堵截大使最后，一堆车破窗而出从二三楼掉落的场面是为了啥？不好看啊明明～～
157$26260853$速度与激情8$Burning$2017-04-14 02:51:12$23$看完只记得僵尸车和杰森斯坦森…
158$26260853$速度与激情8$魂$2017-04-14 21:39:48$4$这大场面调度烂到爆，整个电影是想到哪里就剪到哪，没有任何计划铺垫，不仅比567差远了，连极限特工都比这强。观众最起码的需求：“堆砌大场面满足感官刺激”都做不到。
159$26260853$速度与激情8$红包御用铲屎官$2017-04-14 17:09:30$6$我还预测这次怎么也得来个航母吧，结果直接来了个核弹，对杰森斯坦森彻底路转粉，两个小黑依然在，承包了所有的笑点，另外这个骚娘们够狠了，第九集是免不了了。嗯，拯救地球，维护世界和平就靠你们几个了……车瀑布还是很酷的。
160$26260853$速度与激情8$安东$2017-06-17 00:53:46$1$郭达斯坦森飞机上那15分钟，完败剩下的120分钟。
161$26260853$速度与激情8$米姐起飞$2017-04-22 13:07:02$5$最后一秒一定能扳对开关，主角光环一定能满血复活，新欢旧爱一定能死掉一个，好人战胜坏人，硬汉重视家庭，这都是定律。整个剧满满的套路。（摊手
162$26260853$速度与激情8$清舞翩翩$2017-04-14 23:25:58$2$我们有爱扎推的共性，随大流的传统。欧文肖植物人还能动，厉害了！！！
163$26260853$速度与激情8$皮子饺儿$2017-04-14 10:05:34$13$…是不是被神化了？怎么觉得这一部这么难看呢？
164$26260853$速度与激情8$coto括脫$2017-04-23 10:38:58$2$我天郭达太太太可爱了
165$26260853$速度与激情8$Favillae$2017-04-16 01:54:44$3$小东木没看头啊，还不如锤弟在敢死队里醒目，塞隆姐姐+范大哥=强攻强受，海伦阿姨与小布莱恩联手贡献笑点，结尾又拿保罗沃克煽了一把，满目肌肉猛男没帅哥略难受==
166$26260853$速度与激情8$独行侠杀手阿何$2017-04-14 23:30:46$1$依旧赛车嘻哈风，僵尸车群大乱斗蔚为壮观，豪车狂砸砸砸。塞隆女王酷爆了！Michelle Rodriguez和Nathalie Emmanuel两大酷妹美得直把我掰弯。Scott Eastwood好帅！！！忽然发现他长得好像Chris Evans。Kristofer Hivju的反派霸气有型，Shaw一家三口好有趣，撸哥居然回来客串了好惊喜！结尾骤然戳泪点TvT。
167$26260853$速度与激情8$♫LiNg™$2017-06-07 17:25:25$1$还行吧，越来越套路，越来越无聊。
168$26260853$速度与激情8$大海里的针$2017-04-14 21:59:07$2$简直不要太爽!多米尼克黑化的解释也能说的过去，一些旋转镜头吸收了上一部温子仁的拍摄风格，长评https://movie.douban.com/review/8478616/
169$26260853$速度与激情8$卖萌耍贱女汉子$2017-04-22 19:28:02$22$不是系列迷。没有情怀，整体老套，英雄拯救世界，飞车特技不错，这次潜艇如果有速9估计要炸航母，有速10该炸卫星或者空间站了
170$26260853$速度与激情8$飞客流依$2017-05-20 23:21:38$3$韩和吉赛尔的棺材板都按不住了
171$26260853$速度与激情8$Mr. Infamous$2017-04-16 22:16:26$1$帅到炸，每次都想还能有什么新高度，结果总能见到更狂野的版图。那一家子在电影中的分工一向明确，反转梗用得明显，却也算交了功课。塞隆和米伦很抢眼。洗白郭达虽好看，但不知怎么向韩夫妇交代。而炮灰二房的使命就是让还没空生娃的正房名正言顺获得个宝，而且没人为埃琳娜念一句呢，略……悲催。
172$26260853$速度与激情8$乔小囧$2017-04-25 00:19:55$2$干飞机干潜艇干导弹，再这么干下去就连复仇者联盟也干不过这几个光头了。
173$26260853$速度与激情8$sosovipp$2018-02-02 23:19:16$0$一如既往的劲爆。
174$26260853$速度与激情8$直胖$2017-04-15 00:06:38$5$没上一部好看，但我对这个系列也有激情了哈哈
175$26260853$速度与激情8$废狗$2017-04-21 00:28:55$2$我等凡人，最喜闻乐见的就是看贵的东西被有勇有谋的无产阶级砸个稀巴烂……
176$26260853$速度与激情8$小啤能$2017-04-14 23:44:23$5$最后还家庭牵手饭前祷告…疯狂洗白郭达兄弟。喂，还记得大明湖畔的韩及女友吗？
177$26260853$速度与激情8$金坷垃$2017-04-30 15:32:34$1$子龙一身是胆也！😊
178$26260853$速度与激情8$查克同志$2017-04-14 13:55:28$2$巨石强森加入后，这个系列就急剧向G.I Joe靠拢了。速激系列的感情戏其实是这个类型里少有能让观众信服的，如今赛车和家庭都变成了点缀。就连杀了Han的郭达也能分分钟成为家庭的一员（尽管个人很满意他在这部的表现），海伦米伦出现得莫名其妙，塞隆全部戏份就是在屏幕前走来走去。
179$26260853$速度与激情8$kiki204629$2017-04-22 21:40:59$1$一个相对完整的故事，原谅我木有认真看过那1234567，对飙车特技和核潜艇大场面特效也木有太多感觉，对查理·兹塞隆的蛇蝎美人好感更多点。嗯，we're伐木累，强行加团队有爱戏码什么的也是在增加观影者好感度吧，可惜略尴尬。
180$26260853$速度与激情8$DEPARTURES$2017-04-14 03:20:52$4$杰森和海伦一家子真逗，看着有点像Baby计划，墙裂建议续集给卢克杰森俩兄弟加戏，既然金毛远去了，给光头帅哥多一点镜头！另外这个Baby太淡定太可爱了！@CGV文化广场零点imax 
181$26260853$速度与激情8$所有团的团长$2017-04-12 20:27:39$5$速7的场景应该就是巅峰了。没有太多让人激动的场景。郭达和小baby惊艳，剩下审美疲劳。但是总体还是有7分的。
182$26260853$速度与激情8$kylegun$2017-04-22 23:22:54$2$哈瓦那爆裂飞车见证两国重启友好邦交，柏林铁球开路不敌老唐反水，监狱脱出和纽约丧尸车最为精彩，俄罗斯分裂组织冰上潜艇狂轰滥炸过足瘾……剧情是越来越白痴无聊了，但各种大场面想象力飞出新境界，不服不行啊
183$26260853$速度与激情8$安心$2018-03-09 19:35:18$3$情节很燃，只不过剧情看看就好
184$26260853$速度与激情8$熊類爆弾$2017-04-16 20:11:24$1$6.5/10  Statham真是太可愛了！Statham真是太萌球了！（全部感想）
185$26260853$速度与激情8$Merov Mugatu!$2017-04-23 17:08:51$2$女王一颗星，女神一颗星
186$26260853$速度与激情8$Bosie$2017-04-21 14:16:48$1$跟朋友生生看成了喜劇片。沒看過第七部，所以……斯坦森好帥好萌！他的部分我可以再看一遍！反派技術高端，但只想打遊戲，宅的至高境界。
187$26260853$速度与激情8$F&amp;R$2017-04-20 18:03:58$1$被室友拉开看的一部电影，好吧中间睡了好久……全片一直伐木累，不知道还以为在看枪林弹雨香车美女的跑男……没毛病……
188$26260853$速度与激情8$蜉蝣渡海$2017-04-15 17:10:50$3$70/100.眼热心跳，电影院爆满，合格以上的爆米花电影。我怀疑这样的电影是先设定大场面，然后再根据场面设计编织剧情。 全是熟面孔，除了年纪最小的那位。三大男主角设定略有雷同，女反派却也没有露怯。baby的名字联系电影外，多姆演员的女儿的名字，让人唏嘘。
189$26260853$速度与激情8$穿过肉身的痛$2018-06-09 23:21:45$5$可乐和爆米花的交响曲，让你嗨到结束，然后灯亮了，离开影院后不知道影视过程想表达什么。和车一样一炫而过，留下尾灯，看不清楚车型……
190$26260853$速度与激情8$正义B胜$2017-04-12 22:37:05$14$都说保罗是7的遮羞布，那么作为又一个三部曲的新开始，或许将“we are 伐木累”这个点无限放大是唯一的稳妥选择。但也必须说，故事稀烂成这样，居然还是被几个点给怼到了：成吨的丧尸车飞速转弯像暴怒的兽群袭来那一秒；冰上大战多姆霸气回归；潜艇大爆炸五车飞来挡在多姆身前；当然还有片尾那个小泪点
191$26260853$速度与激情8$梁臻頤$2017-04-16 23:40:18$2$经费在燃烧
192$26260853$速度与激情8$杀手的小学同学$2017-04-14 13:19:19$7$终于把&lt;激8&gt;盼来了，这一整年就指着这个爽了，享受&lt;激8&gt;一定要选4D版本，给你一个会震动会喷水的&lt;激8&gt;
193$26260853$速度与激情8$夜观风$2019-02-23 21:45:31$2$"预算：2亿5000万
首周末票房：9878万
北美票房：2亿2600万
全球票房：12亿3600万
上映日期：17.03.10
上映周数：13周
分级：PG-13
最高院线数：4329
北美最高排名：1
发行方：Universal"
194$26260853$速度与激情8$食野之苹$2017-04-20 23:14:05$1$平平的烧钱大场面制作，越来越觉得这部及以后的系列作品就是为了圈钱而生了，虽然没有什么创意和亮点，不过依然会有大市场。动作戏和飙车戏永远是系列亮点，这部片子也算发挥到极致了，难免视觉疲劳，这个系列，本该完结了。
195$26260853$速度与激情8$拔剑四顾心茫然$2023-04-19 17:34:04$1$加里·格雷对项目定位抓的非常准：动作奇观+基情喜剧+家族情怀+强反转=超乎预期。一直以来，唐门家族主打家族荣耀：我的好兄弟，心里不藏秘密，有啥事我都告诉你。结果编剧直接让大当家反水，自己人打自己人，理由给的也很充分：苦谁也不能苦孩子！于是上演了一出黑白难分的家族内斗。丧尸车洪流，五马分车，大战核潜艇，名场面不少。从飙车族到赛车手，从赛车手到格斗家，从格斗家到黑客，速激家族的进化速度一点不输给跑车。加里·格雷深度挖掘硬汉角色的软性魅力，宠娃宝爸，杀手保姆，戴克肖与霍布斯这对嘴炮活宝至少创造了全片三分之二的笑点（怪不得后来出了双人外传），唐云社话痨硬汉CP诞生。《速度与激情》已然变成了另一个007，一种主打情怀的豪华拼盘，迷恋赛车文化的人早已和保罗一同离去，而留下来的人则不得不接受赛车片变成特工片的事实
196$26260853$速度与激情8$专注电影成长$2017-04-12 13:40:55$32$再庞大和离奇的交通工具也掩盖不住本系列行将就木的想象力和单薄无力的剧情。速激系列在第七部达到高潮结束就好，这之后只能越来越痿。
197$26260853$速度与激情8$Joe$2017-04-14 18:40:14$4$后面一直担心小baby的安危…那么可爱，最后一幕听到baby名字“布莱恩”…泪目…
198$26260853$速度与激情8$杨三疯$2017-04-17 23:26:58$1$说7不说8健康你我他，看完速8就想叫激8。有人跟我说我看着说爽就行了，不追求意义，今天我想说，你md有意义嘛？
199$26260853$速度与激情8$Euron Greyjoy$2017-04-14 23:23:14$9$没有了保罗，真的很没有耐心看范光头儿无休止的装逼，杰森卢总两兄弟几分钟的表演不知道比他自然到哪儿去了
200$26260853$速度与激情8$SteelTeng$2017-08-22 17:25:58$0$无聊又三俗，混乱的世界观，开挂的人设。还把塞隆拍这么丑。
201$26260853$速度与激情8$SaynomorE$2017-04-12 18:25:16$18$6666。塞隆演的女反派超帅der。不过这系列居然走上了耍宝路线…（好吧本来也有）这次最惊喜的是强森演的警察和郭达斯坦森的联手（一路斗嘴太有趣了看出了CP）。郭达演奶爸很有戏。小东木又是政府派的领队之一。 主角队有强行无伤Buff。你们这部连潜艇都搞出来了，下一部好像只能上太空才说得过去了吧。
202$26260853$速度与激情8$好无聊吖小明$2017-05-07 18:28:56$1$编剧已经有点黔驴技穷了。为什么大boss每次都能掐准命脉胁迫到主角？下次换个梗好啵？作为该系列的忠实观众，为布莱恩这个baby的新名字，加半颗星。
203$26260853$速度与激情8$陈薪而$2017-04-19 10:44:40$1$可以拍到17，666666666
204$26260853$速度与激情8$张腾森$2017-04-14 15:47:26$5$速激代表着电影的另一种评价标准和极致诉求——成为电影工业的标杆和突破人们对动作电影的既有想象。无论是开头先声夺人的火焰飞车，还是中段集体失控的连环撞车，亦或是结尾大战处的鱼雷追车，都让人大饱眼福、连呼过瘾、称赞不已；速激归来了，还是熟悉的感觉
205$26260853$速度与激情8$谋杀游戏机$2017-05-05 11:38:35$4$卖二三十亿不是没理由，堪称爆米花的极致了。就把飙车做到最好，其他都一笔掠过。多姆开着超荷起火的破车比赛，全城汽车自动驾驶叠罗汉，在冰封海面上车队潜艇大战，family们用铁钩拉扯住多姆这匹欲脱缰的野马…都有这些就不要在意敲几下键盘就能发射核弹了。以及三妻四妾是不是满足了男观众YY啊。
206$26260853$速度与激情8$天腐之国🌈$2017-04-25 21:23:17$3$喜当妈怎么办？欢迎收看速度与激情8：当然是原谅他啊
207$26260853$速度与激情8$会笑的昨天$2017-04-15 13:44:26$7$确实有的场面够刺激。
208$26260853$速度与激情8$Jason_波波$2017-04-15 20:17:52$1$飞车党们已经上天入地无所不能，坦克飞机玩过之后也就剩下水里跑的没恁过了，和潜艇对刚完之后甚至有点替剧组担心下一步该怎么拍，按照节奏应该走向外太空了吧，最后是不是可以和变形金刚合二为一，走向科幻大片的行列！！！
209$26260853$速度与激情8$白衣客$2017-09-22 23:12:12$1$say love 
210$26260853$速度与激情8$撒旦的表妹$2017-04-16 19:08:35$12$杰森斯坦森的角色洗白也太容易了，上一集做过啥过分的事儿来着？欺负观众记性差～
211$26260853$速度与激情8$翰小七$2017-04-14 23:11:52$5$听到Dom的孩子叫Brian的时候眼泪刷就下来了T_T
212$26260853$速度与激情8$冰心锁$2018-01-16 10:06:00$2$真心希望保时捷试车死的是范光头，今年最恶心的片没有之一，变5都不如
213$26260853$速度与激情8$巨米雨$2017-04-16 19:06:47$4$ 怪不得票房那么好，简直就是第三世界屌丝的终极幻想，全片充斥着一股海澜之家代言的气质。
214$26260853$速度与激情8$Xaviera$2017-04-15 20:41:53$3$喜當爹 你的Family的才是Family 路人什麼都不是 塞隆女神帥炸天 其他時間真的都不是我的菜 郭達和巨石cp 嘴炮比較有愛~
215$26260853$速度与激情8$瓦达西瓦又又又桑只爱这巧克力$2017-04-16 17:19:51$1$范范黑化还是蛮好看的，之前两个老婆的世纪难题已被塞隆女神完美解决。虽然范范这个繁殖癌（为儿子可以放弃一切）人设很倒胃口，但是郭达和石头的戏还是很好看啊，想到几个老头一把年纪还要跑上跑下跳上跳下都好担心他们。。而且能让布莱恩安息吗？不要一直提了好嘛。另外，石头不干警察靠什么为生？
216$26260853$速度与激情8$小张$2021-07-30 10:36:54$0$The Fate of the Furious (2017)
217$26260853$速度与激情8$陈哈$2017-07-09 12:37:07$1$一星给塞隆姐，塞隆姐经历了演技的打磨，比早期只有身材和脸蛋的时候不知道要妙出几层楼去。迪塞尔那个女朋友，不说了，看到她出镜的时候只能闭眼。还有蝙蝠侠最爱的女人，蜘蛛侠最爱的女孩，都挺能戳瞎眼的。
218$26260853$速度与激情8$星尘战场$2017-04-16 17:28:51$1$没有保罗沃克，果然片子就差了点意思。所以找来了斯科特伊斯特伍德，但是还是不对味啊。。
219$26260853$速度与激情8$twotwo$2017-04-23 13:00:51$6$莱蒂应该是全好莱坞电影里最丑女主没有之一，这种丧脸真的让人出戏
220$26260853$速度与激情8$紅豆生南京$2017-04-16 13:08:40$4$监狱暴动和僵尸车那段最嗨。照这个趋势下集只能拍成变形金刚了。
221$26260853$速度与激情8$Sissi$2017-04-15 00:18:32$2$剧情弱爆，但场面符合预期。脑洞真的是开很大啊，僵尸车让人想起釜山行，鱼雷潜水艇都来了，下次必须是航空母舰了！洗白郭达无所谓，反正我也忘了他之前干了什么，还蛮萌的。罗曼到底除了嘴贱，还有什么用？
222$26260853$速度与激情8$狮子青铜$2017-04-25 05:59:37$1$其实本质上就是看挑滑车加到了100辆，明明值得叫好的武生戏，非要有人拿来比西厢记，几十块看个电影搞得跟自己多有存在感一样。
223$26260853$速度与激情8$无趣$2017-06-03 21:45:00$0$作死了8集还不死，越来越想看他死。动作场面前几集是夸张，这部里像跑赢骗诱导弹反炸潜艇这种那完全就是开挂了。对僵尸车群这种有近期实现可能性的印象会更深刻。
224$26260853$速度与激情8$咸鱼の森$2017-04-23 00:14:36$2$难以想象这个系列能拍这么多集，拍那么多麦拷贝style的你炸我炸大家炸还不如多给郭达和海伦米伦几个镜头呢+_+。所以塞隆女王胡搞八搞就是图个核弹在手天下我有的爽劲儿？怎么现在的反派一个个都这么中二？！让他们像虎胆龙威里的反派一样单纯不做作一切向钱看不行吗？！
225$26260853$速度与激情8$Nanccccccy$2017-04-16 20:25:38$1$\脏辫塞隆上我/
226$26260853$速度与激情8$桃子$2017-05-02 00:18:35$1$可看点在查理兹·塞隆，这“鳄鱼”反派真带劲儿！Trap乐逃狱那段、僵尸车那段，算勉强的记忆点。套路太多，差点儿睡着。（假3D）
227$26260853$速度与激情8$風來$2017-04-18 16:21:32$1$剧情真是狗血，前面一半昏昏欲睡，后一半还行。第五部的辉煌是难再续了。
228$26260853$速度与激情8$九尾黑猫$2017-12-26 11:21:01$2$两星半吧，给海伦米伦一颗星。完全没剧情，全都是动作
229$26260853$速度与激情8$圆满金秋$2017-04-12 21:30:12$22$拍的多了，总是会有狗尾续貂之感，见好就收在7就结局多好，一声叹息，果然情怀就是用来消费的吗？装备再升级也掩盖不了剧情上的黔驴技穷。
230$26260853$速度与激情8$叶洲$2017-04-22 13:30:11$2$剧情蠢到爆炸，话说他们每一集都收上一集的boss入伙，现在队伍无比臃肿啊。反倒第一集的好人保罗沃克走了。查理兹塞隆作为耍酷型女Boss废话太多，巨石强森下一步就是终结者了吧。但动作设计依旧很惊喜。好好学习计算机，以后就可以玩汽车下雨了！
231$26260853$速度与激情8$PuppyMasterOut$2017-05-03 13:41:10$1$想看喵森和巨石谈恋爱然后带回家见家长。
232$26260853$速度与激情8$bear.07$2017-04-17 21:54:04$1$塞隆女神美得不像话！可惜编剧有毒。我就知道小baby要叫这个名字，号哭
233$26260853$速度与激情8$皮卡丘Casper$2017-04-14 02:19:26$14$像TVB拍的家庭伦理动作片
234$26260853$速度与激情8$鬼腳七$2019-10-26 21:20:33$0$阵仗倒是越来越大，其他都没变化
235$26260853$速度与激情8$莫斯$2017-04-21 22:21:19$1$典型美式大片范儿 飙车 爆破 动作 美女和幽默
236$26260853$速度与激情8$Jet Wang$2017-04-16 13:11:06$1$当IMAX的画面开启的时候，我就燃了
237$26260853$速度与激情8$mOco$2021-05-26 11:04:34$0$杰森斯坦森照顾小孩的一段可以说是唯一的看点了。
238$26260853$速度与激情8$火龙果不耐受者$2017-04-24 22:39:22$0$剧情还是不能细想，这个系列有视效就行了，再卖点情怀，继续保持增加亮点，下一部还是会卖座！
239$26260853$速度与激情8$обломов$2017-06-03 09:13:04$1$下次请开着拖拉机在东北跟金链大哥干，这样会有更多的你囶脑残刷高分
240$26260853$速度与激情8$梦羽灵泉$2017-04-15 02:40:21$3$给发型师加分
241$26260853$速度与激情8$影毒肥佬$2017-08-30 17:24:41$0$7.4/10
242$26260853$速度与激情8$LoVe$2017-04-21 12:29:24$1$最好的一点就是没有再提很多Bryan。但是感觉有点像拼凑出来的故事。还是7好看。
243$26260853$速度与激情8$A天涯任我行$2018-02-11 23:06:27$26$超级喜欢的系列电影，范迪塞尔，强森，塞隆，杰森斯坦森个个都是我喜欢的演员，希望还有下一部。
244$26260853$速度与激情8$喜悦之地$2017-05-11 21:17:56$0$高举Family大旗犯罪系列之有了儿子不要老婆，总之，这是一个为了主角光环男的二世祖一茬茬死人的电影
245$26260853$速度与激情8$隔壁LEO在唱歌$2017-04-16 18:23:14$2$还是一样的配方，只是剂量更大了。。
246$26260853$速度与激情8$希尼莫$2019-02-09 15:26:31$0$水片，要去哈瓦那。
247$26260853$速度与激情8$bugz$2017-08-18 15:56:53$0$这么热闹，可以给3.5星。女魔头太凶残了... 爱死她了。
248$26260853$速度与激情8$t0psh1t$2017-04-13 09:02:20$5$合格爆米花
249$26260853$速度与激情8$笨锅$2017-04-24 09:07:48$2$这样的电影也不必去推敲什么逻辑性了，马达的轰鸣声可以掩盖一切的不合理。不过把主题提高到拯救世界也玩得有点太大。十五岁的女儿竟然爱上了范迪塞尔的那一身快爆炸的肌肉，很好，至少让她知道除了鹿晗还有更让人心动的另一种美。
250$26260853$速度与激情8$Clyde$2018-06-06 15:11:27$0$快餐偶尔吃一顿也是极好的。看得挺嗨，看完就完了。
251$26260853$速度与激情8$七十三$2017-04-17 00:49:22$1$如果说7是情怀是纪念是完美结局那么8就是纯粹为了赚钱。分分钟打脸打的啪啪的，跟之前衔接不上，胡乱一锅炖。也就只能看看飙车场面，但也觉得雷同有些审美疲劳。
252$26260853$速度与激情8$沉默的若亚$2017-04-14 04:35:59$12$飙车 爆炸 群架 没了。
253$26260853$速度与激情8$Vini_Kazma$2017-06-10 16:10:10$0$we are 伐木累！
254$26260853$速度与激情8$团小纸$2017-04-23 16:41:28$2$睡过错过了原本要看的就改看这部，有些大场面还算喜欢，只是硬汉救孩子这种梗禁不起推敲，以及速激family厉害起来妇联都不一定打得过也是略扯。
255$26260853$速度与激情8$抛调$2017-05-29 14:11:09$1$全场最佳小正太
256$26260853$速度与激情8$PerfectCadence$2017-04-18 12:44:19$4$抗俄神剧。原来全世界神剧都是手撕鬼子的拍法
257$26260853$速度与激情8$Comel$2018-08-03 22:44:37$0$这一片祥和真让人感动
258$26260853$速度与激情8$谢之艾$2017-04-15 09:46:50$2$剧情好弱智，不过劲爆依旧。和冉冉，旅顺大地影院。
259$26260853$速度与激情8$狼矛$2022-06-28 13:38:18$1$补。
260$26260853$速度与激情8$人間失格乳酸醬$2017-04-18 10:12:46$2$沒有邏輯 從未見過如此不拿人命當命的片 殺人如喝水 family之外所有人都不是人 哦 對了 場面是挺精彩的 畢竟錢燒的
261$26260853$速度与激情8$T.V.Zoe ி$2017-04-22 00:36:23$1$我的媽呀沒想到是好笑這一卦的 從前面小學生吵架到後面第十一名每次開口都爆笑  真的是笑到拍大腿的那種  哈哈哈哈哈哈哈哈哈哈
