$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$35372742$无名$比目鱼很好$2023-03-05 18:14:08$2$程耳导演真的用心了，从头到尾明明有这么多可以会心一笑的点
789$35372742$无名$豆友q2Y_ENl0Zw$2023-01-22 13:08:34$173$为梁生去看，很精彩的一部谍战片，每一道皱纹都是戏，剧情跌宕起伏，扑簌迷离，喜欢谍战片强力推荐
790$35372742$无名$Mukkokakaka$2023-04-16 18:17:17$0$和我弟去看的 梁朝伟也拯救不了的稀烂剧情
791$35372742$无名$爸比。$2023-04-15 17:16:31$1$简单的不能再简单的故事。用稀碎的剪辑故弄玄虚。本来一点希望没抱但竟然比想象的好看一点hhhhhhhh。唯一能看到人物的是王传君。
792$35372742$无名$陈邑人$2023-04-10 00:28:10$1$其实还好，挺喜欢这种氛围的，但。为啥请王一博呢，让本就不出彩的故事更加逊色。
793$35372742$无名$35$2023-01-22 11:19:31$138$剧情太紧张了 ，好久没看这么好的电影了，王一博新生代电影新秀
794$35372742$无名$醉后不知天在水$2023-02-13 12:57:57$1$王一博演技可以。非线性叙事不难懂。当然，也没有多惊艳。
795$35372742$无名$无止境的梦$2023-02-05 20:07:51$6$造型凹的确实帅，但剧情有点太单薄，也没有什么值得回味的地方。
796$35372742$无名$日不落的热气球$2023-01-22 11:43:24$411$因为梁朝伟和周迅去看的……但梁朝伟和周迅也救不了烂片………影片剪的稀碎，连最基本的故事都讲不好，还有王一博………不会演真的不要硬当演员好吗！本来电影就够难看了，王一博一出来就我就忍不住内心那想破口而出的问候！那脸且先不论好看与否就整一个木的！眼神木的脸是木的………这么一张脸是怎么可以演电影的？真是大喊救命。已经不记得多久没看过这么难看的电影被这么可怕的演员一整个整到无语。真的难看！难看到一整个坏心情！
797$35372742$无名$米修米修$2023-01-22 12:14:43$173$我好久没看那么爽的电影了！！真的是酣畅淋漓到最后一秒！！无名真的太牛了！！改变了我对爱国电影，谍战电影的偏见！！！程耳牛逼！！！演员们牛逼！！现在在电影院外发呆回想剧情，本来想二刷！！结果下一场的卖完了！！！！只有明天带家人朋友一起看！！非常推荐！！大家一定要去看！！
798$35372742$无名$192$2023-01-22 13:05:09$215$想去看，来看看评价怎么样，结果发现热评都在攻击其中一个演员，现在的豆瓣已经这样了吗？我就要去看，就打五星
799$35372742$无名$夕颜$2023-01-22 11:42:31$24$想看新声代青年演员王一博和影帝梁生能碰撞出什么样的火花！看完只想说卧槽！
800$35372742$无名$早点$2023-04-19 01:19:46$1$满分
801$35372742$无名$一阵风$2023-04-18 22:00:39$0$一般吧，感觉想玩悬疑也没玩好，要不是有梁朝伟，估计更不行
802$35372742$无名$莲花朵朵$2023-01-22 13:57:46$70$太好看了
803$35372742$无名$酒也時開$2023-04-10 19:48:33$3$程耳的镜头比强迫症还漂亮精致。程耳的叙事比我的未来还像一团乱麻。
804$35372742$无名$💮纳兰祈忈💮$2023-02-06 23:47:27$5$结尾反转太硬了硬得让我感觉在看 这就是街舞
805$35372742$无名$ZeRann$2023-02-11 22:51:50$3$如果是顺着的时间线可能半小时就能讲清的故事。就逮着长镜头和老演员的演技使劲薅了～～
806$35372742$无名$摩公$2023-04-12 17:47:44$0$还是不够精明，被审改后，不合理的地方出现了。
807$35372742$无名$乐乐$2023-01-22 11:52:47$124$画面可以说是华丽，虽然有些拍的是残垣断壁，但是在大银幕上看到，还是非常震撼。各位演员也完全融入到了那个年代，民国就是这么一个充满颠沛流离，充满悲情的时代。每个情节都有存在的意义，最后揭秘的时候，是会让你大呼“原来如此”的，真是爽到每一个毛孔。
808$35372742$无名$豆沙汤圆$2023-02-11 15:16:06$14$程耳的镜头一直很有质感，所有的镜头语言没有废话，碎片化的线索剧情到后续一一拼凑解开，需要投入心神细细查看，梁朝伟演技一直很赞！大鹏王一博王传君也很合适，女性角色着墨太少但也有很不错的表达，包括动物身上也能看出隐喻故事感，值得一看
809$35372742$无名$shibuya emiri$2023-02-05 18:58:55$8$哈哈哈哈易先生后继有人哇？ sociopath站对了队，暴力就是美学。
810$35372742$无名$一丨丿丶$2023-04-23 15:33:53$0$一般
811$35372742$无名$豆友甜茶$2023-01-22 12:22:16$19$一部不可多得，值得一看再看的电影，程耳真的太懂镜头，太会讲故事了，梁生用谈笑风生演出了暗潮汹涌，王一博用疯批邪气掩盖着自己的真正目的。最后的大反转真的让人目瞪口呆。
812$35372742$无名$choose$2023-04-09 23:05:48$1$王一博真的不错呢！痞帅痞帅的，超迷人！我也是共产党！！就是剧情太难看进去了，看起来太吃力了，不过整体看完之后串联起来就懂了，致敬无名英雄们！
813$35372742$无名$flora$2023-01-22 12:12:56$167$披着程耳外衣的商业烂片！！！
814$35372742$无名$慌慌张张$2023-04-16 22:41:41$0$没看明白 打乱的叙述手法 刻意的视听 
815$35372742$无名$reki$2023-03-22 20:50:04$0$镜头氛围细节确有，开篇剪辑较吸引，空境；片尾香港部分以及最后一句台词反转非常没必要；年青演员演技需加强调整；视觉语言设计感略强；仍然差点意思，希望有机会能看到原版
816$35372742$无名$Miss$2023-01-22 11:42:00$183$“我看过他们的故事 ，他们就有了姓名。”        枪战打戏酣畅淋漓、悬疑反转紧张刺激、群像角色饱满鲜活、镜头语言处处诉说。每个演员的表现，演技都很好，太惊喜了，不愧是程耳导演[强]
817$35372742$无名$心有灵犀$2023-01-22 11:54:23$191$不负期待！有点有面有人性有情。演员本色的年龄条件赋予了角色不同且独特的魅力
818$35372742$无名$花茶呀7717$2023-01-22 14:11:34$85$程的又一个充满强烈个人风格的作品，故事，剧情，演技都值得一看
819$35372742$无名$小兔子乖乖$2023-02-10 16:14:57$3$"这个片子出之前，《风声》是我最爱的国产谍战电影，《无名》全方位碾压《风声》。四字后又看到第二个能演电影的流量，程耳调教的王一博不逊于《少年的你》里的易烊千玺。"
820$35372742$无名$林下风致—$2023-04-08 13:06:35$4$是真难看
821$35372742$无名$欧内斯特er$2023-03-06 21:37:06$1$除了梁朝伟和王一博的肉搏，其他部分乏善可陈。梁朝伟是老了，但是眼睛还会说话，王一博那就是张扑克脸
822$35372742$无名$红夫人$2023-02-26 03:38:24$5$迅哥再见到丈夫的时候 相拥而泣嘴巴颤抖  演的真好 不愧是我迅哥
823$35372742$无名$旺仔$2023-02-13 10:44:37$7$难看
824$35372742$无名$问问922$2023-01-22 11:58:27$128$买了早九点的票  第一时间看完了 拒绝不了谍战片，打戏精彩，结尾反转惊喜，老演员和年轻演员对戏看着太爽了
825$35372742$无名$Kevin$2023-04-21 21:38:47$0$至少有一件事能够确定，就是剪辑特喵的嗑药嗑大了。冲突不够剪辑来凑是吧？稀碎、不知所谓、不断重复的镜头，你说你拍个电影水什么时长啊？又不是上星电视剧能多卖点钱，一个蒸排骨出现两三次，咋的排骨里夹着机要电报啊？wyb吃虾还要给个长镜连吃三四只，有他喵什么意义啊？是凸显了人物性格，还是推进了剧情发展？画面、布景再优秀，也得为人物和剧情服务。还有吹爆的那场打戏，打得多卖力结尾就有多疑惑。别说做戏要逼真，把人扔楼下你咋知道不会直接摔一楼去领盒饭呢？这力度这角度控制的，你别说是个人，换成台球找丁俊晖来也没十足把握吧？
826$35372742$无名$Justinoppa$2023-04-16 09:23:09$0$"能感觉到导演的小心思，镜头、时间线的跳跃、人物的反转但就是偶尔玩得有点过头，剧情反而有了漏洞，另外某些演员也演不太出来"
827$35372742$无名$Crysss$2023-03-17 01:20:47$1$视听不错的电影，但是看起来没意思
828$35372742$无名$落米欧$2023-02-12 23:34:14$2$竟然还不错
829$35372742$无名$豆友5ed2lM4unE$2023-01-22 11:35:26$90$精美绝伦超级精彩，准备二刷！！！
830$35372742$无名$突突的雪茄$2023-04-16 22:46:28$0$配乐和镜头真的美啊拍的有点花里胡哨导致整个节奏看下来少了一点谍战的紧张感，梁朝伟太帅了
831$35372742$无名$低溫珍藏$2023-02-03 16:19:12$17$只能说拍得很规整！打戏很精彩，没有废话，会用镜头讲故事。演技都在线。剪辑有种环环相扣的感觉。
832$35372742$无名$这可得说点啥了$2023-01-22 11:41:00$1880$群里送票看的，贪便宜大过年又没什么事就带着弟弟去看了，怎么说呢，大过年的，昏暗的画面，听不清的方言，故弄玄虚的剧情，真是煎熬，拍的有逻辑的部分竟然是小日本杀人，过年还是看点阳间的吧
833$35372742$无名$lily666$2023-01-22 11:49:46$26$别的不多说，就是好看的电影不多，无名就是好看的电影！推荐大家一起去看看👍🏻
834$35372742$无名$小朱和小熊$2023-01-22 11:16:00$90$程耳导演是人不在江湖，但江湖都是他的传说，这次我是想验证一下，是不是传说中的那样，看过之后，只有一个字:服！会二刷
835$35372742$无名$阿鲁卡多$2023-04-22 14:29:25$0$插叙用的太多，导致结构很松散，镜头语言运用太过，女特务江疏影和伟仔以及黄磊和伟仔两段对手戏很不错。
836$35372742$无名$Kevin$2023-04-16 11:31:10$0$加一颗星给伟仔。
837$35372742$无名$旺旺碎冰冰$2023-02-03 21:12:48$10$足够精彩
838$35372742$无名$海角对面是海角$2023-02-21 15:01:51$1$将强有力集体信仰弱化为个人驱动力，不失为对历史正当性的解构，立意低，格局小，再好的拍摄和剪辑也挽救不了。
839$35372742$无名$骤雨中的阳光$2023-04-13 14:59:58$0$三星给梁先生的笑容
840$35372742$无名$｜Ambition$2023-04-15 01:02:16$0$挺简单的故事，拍的这个乱
841$35372742$无名$微雨疏桐$2023-04-15 23:59:43$0$剧情比较牵强，其实和满江红有点像。炫技过头了，最后结尾确实画蛇添足。江疏影很美，王一博站卡车上做枪击手势那一幕很帅，不如罗曼蒂克消亡史
842$35372742$无名$局外人$2023-02-18 15:53:13$2$毫无任何惊喜，错乱时间线的擅长也没有了，今年真的是每部都是红色教育，最差的程耳
843$35372742$无名$豆友A5tAVqT4VQ$2023-04-21 18:33:59$0$很平淡的片子，剧情很一般，镜头运用的很不错
844$35372742$无名$~momo~$2023-01-22 14:03:23$70$倒叙的拍摄手法，不难懂，和以前看的红色主题不太一样，很有程耳风格，不俗气，值得一品再品
845$35372742$无名$萌不拉$2023-01-22 12:38:14$328$冲着梁朝伟和周迅去的电影院，而且真的很久没看过梁朝伟的电影了，满怀期待地第一时间去看了。我看完真的很失望……麻烦以后影帝影后选片子的时候不要和面瘫流量合作了，我真的是前一秒入戏下一秒就出戏，很痛苦。我怕被某个人粉丝攻击就不说是哪个人了，大家心知肚明，看完就只剩下一种感觉:“强捧遭雷劈”。
846$35372742$无名$伊维特$2023-02-28 23:24:04$0$集体飙演技的感觉还是不错，文艺地谍战其实挺好的，但太过炫技般的混乱剪辑来制造的悬疑，让人厌烦，前半段一bo像个大傻子，后半段还挺带劲的，没拖大家后腿。打戏过瘾但整得太久，有种曰太久想兴奋又太累了的观感。迅哥太猛了，一个拥抱能把眼皮和腮帮子抖成那样，简直是极品。
847$35372742$无名$白龙$2023-04-19 17:20:27$0$故弄玄虚，故事其实很简单，王一博和张婧仪长着一张没有故事的脸，而且演技撑不起来。
848$35372742$无名$连泉$2023-01-22 11:23:53$222$只能说除了画面其他没啥好吹的。现在的电影和剧就不能好好讲一个故事吗？这种风格和面瘫脸实在是不搭。
849$35372742$无名$柳暴富$2023-04-13 16:11:41$0$原谅我看不懂 三颗星给打戏了
850$35372742$无名$盘丝大仙$2023-01-22 13:43:43$236$江疏影那个角色起到什么作用
851$35372742$无名$爱慕$2023-01-22 11:39:50$282$烂片
852$35372742$无名$Serpensortia✨$2023-01-30 01:28:39$6$美术赞有质感 但细节交代不清剧情悬疑薄弱用画面撑会感觉有点装 割裂感强难入戏
853$35372742$无名$祝新梨$2023-02-07 16:03:54$6$比想象中好。电影质感挺好的，镜头语言很不错，故事其实挺完整，认真看的话基本能理解，只是需要一点点那个时期的历史知识，剪辑确实略破碎了，但也还行
854$35372742$无名$five$2023-04-17 01:36:05$0$看了半个小时也不知道在说什么？？？果断弃
855$35372742$无名$大魚松子$2023-01-22 11:46:14$1461$首映场 构图看得出来用心、bgm乱轰炸、故作高级感、剧情稀碎。另：有些人的脸和演技真的不适合大荧幕。
856$35372742$无名$不妥-$2023-02-01 06:57:03$18$说实话我确实觉得还不错
857$35372742$无名$虞敬$2023-02-06 19:12:07$5$好看 爱看 给主演亮灯❤️
858$35372742$无名$柿子大蝦雞蛋面$2023-04-20 19:27:09$0$平平淡淡！毫无波澜…………
859$35372742$无名$柠檬子$2023-03-09 23:55:32$2$程耳的风格，看大家接受度，其实并不难看的，甚至我真觉得这里的服装造型西装旗袍真的美得绝伦。而且很多上海话上海文化好评～是有很多剧情不足之处，长短板都很明显，不过算是贡献了近年来算精彩的近身肉搏战，那段很好看
860$35372742$无名$evelin$2023-01-22 11:36:20$254$程耳的装腔美学真不行，搭配满大人和面瘫小鲜肉。。属于debuff了
861$35372742$无名$流浪小狗勾$2023-03-10 14:58:19$0$镜头语言和剪辑有时会给我布达佩斯大饭店的即视感，但剧情太过简单，没有什么悬念，和“悬疑”这个标签实在是不匹配。比如从一开始黄磊投诚就知道梁朝伟是地下党，因为在黄磊还没报陈小姐的名字的时候梁朝伟就已经写下了“陈”字。观影从头到尾都没有被悬念吊胃口或者恍然大悟“原来是这样”的感觉。是拍得不错但是剧情没什么意思的片子。
862$35372742$无名$Neo$2023-04-10 04:54:35$0$镜头画面运用得不错，服化道不错。故意把情节顺序打乱。反转再反转。文艺范。7.5分吧。
863$35372742$无名$花枝丸$2023-01-30 17:45:07$6$中间有点无聊 打戏挺出彩
864$35372742$无名$又要起名字$2023-01-22 11:23:33$151$诶不错诶 过两天再看一遍
865$35372742$无名$只若初见$2023-01-22 13:50:12$444$故事叙述没逻辑，演技没表情面瘫，镜头也是阴暗没美感。说实话，大过年的还是去看点喜庆的吧。
866$35372742$无名$白芷$2023-03-05 00:50:26$2$演技全员在线，台词少，考验演员功底。对羊和狗的意向暗示表示赞许👍一路猜猜猜，一路中中中。
867$35372742$无名$布鲁克Pomico$2023-02-04 01:24:31$0$文艺版的满江红
868$35372742$无名$鎏恒岑$2023-03-19 05:55:40$0$1星给妆发，
869$35372742$无名$老漠$2023-04-15 22:19:16$0$每一个场景每一个画面都好看，但整体看下去就不好看。不是没看懂，不是不知道说了点啥事，只是觉得很没必要。叙事形式上的故弄玄虚导致观影的感受像看了两个多小时的大先导片，氛围感很足，叙事很累
870$35372742$无名$Hhhang$2023-04-10 11:21:05$2$好难看的故事，发面馒头很出戏，梁朝伟这些年都成烂片王了
871$35372742$无名$阿V$2023-04-11 12:53:06$0$"洋泾浜上海话真的难受=""="
872$35372742$无名$做个幸福的人$2023-01-22 11:32:56$86$里面的打戏真心精彩啊，看着好爽。片子最后，王一博的表现真的会让人惊讶，眼前一亮。亦正亦邪演的恰好，让人舒服。
873$35372742$无名$羊头狗肉$2023-02-13 00:12:40$1$张婧仪出现的时候我第一反应是老狗在哪里？下一个镜头……在笼子里
874$35372742$无名$崔多喜$2023-01-22 12:15:17$525$很像罗曼蒂克消亡史的感觉
875$35372742$无名$Surf boy$2023-04-23 10:06:24$0$可以更好
876$35372742$无名$TVSICK$2023-01-22 11:28:37$44$看完了，赶了个早场，非常不错的片子，值回票价了
877$35372742$无名$Selena$2023-04-15 17:58:56$0$剧情实在莫名其妙
878$35372742$无名$($2023-02-17 14:37:41$7$四个字故弄玄虚，可能就像导演说的，观影需要门槛吧。我们不配理解观赏。两颗星给周迅的
879$35372742$无名$乌乌$2023-01-22 12:33:25$173$程耳的电影叙事风格，从故事中间甚至很靠后的一个点切入，在你心中的疑问升至一个阙值时，再把你拉到另一个时空或场景，解决你急切的一个疑问，然而，这，可能也不是全部真相，仍需要你继续跟着故事，去提问、参与、探寻。台词、食物和语种，和罗曼一样，都有其深意。尤其台词，在影片最后终于知道每个人的真实身份时，会发现，那些台词在说的时候，对手理解是一个意思，然而说者心里是另一个意思的剖白。好像多说一句就会剧透，但是好想一帧一帧细聊。不妨再一起等等、想想，因为回味深远。
880$35372742$无名$名字吗丁啉$2023-01-22 11:49:53$31$刚出来！还沉浸在电影里！真的非常有质感！不用担心看不懂！想看的冲就行了！
881$35372742$无名$Candy  pill$2023-04-16 18:43:38$0$一星给梁朝伟和周迅贡献的演技
882$35372742$无名$momo$2023-01-22 12:27:12$49$还不错
883$35372742$无名$429颗橘子糖$2023-01-22 13:12:50$442$无名，超出预期！
884$35372742$无名$神户酩人$2023-04-16 13:28:41$0$跟间谍挂边的必有周迅。
885$35372742$无名$廿廿不忘$2023-01-22 11:48:06$108$期待大荧幕上小博的表现，和影帝影后合作碰撞出别样的火花！大银幕上众演员的微表情太震撼啦！难怪都想去拍电影！
886$35372742$无名$plamaple$2023-01-22 11:44:14$331$程耳的电影真的没啥好说的！太精彩了
887$35372742$无名$芳草菲菲$2023-01-22 13:14:17$82$128分钟时间不知道想表达什么？完全找不到主线在哪里？，年轻人演技又拉胯，真后悔贡献票房了。
888$35372742$无名$無糖锅包肉$2023-02-24 00:20:58$1$连着看的 果然有种大同小异的感觉
889$35372742$无名$焦佐伊$2023-02-26 23:05:31$0$还是一流的镜头语言，非线性叙事给简单的故事增添不少效果，就是不太适合奔着春节档的观众
890$35372742$无名$豆友EAfiqPhaXs$2023-04-11 14:14:04$0$偏文艺的抗日谍战片，前半略显平庸，后半有提升。某人的表演不功不过，可能是由于预期不高，实际观感高于期待值，动作戏加分。结尾的双重反转过于刻意。
891$35372742$无名$鑫鑫发财$2023-01-22 11:27:46$122$无名好看啊会二刷
892$35372742$无名$渡口无边$2023-01-22 13:40:46$191$大字幕很明显在学墨镜王，摄影美术也是。气质是有的，但都不是程耳的。除此之外，一地鸡毛，十分稀碎。
893$35372742$无名$瑞瑞是一只🐰$2023-02-04 16:29:31$3$最后的反转 有点生硬子
894$35372742$无名$夏夜晚风$2023-03-06 20:10:50$0$取标想看后还是看了😂  有些乱，但比想象的好看三星，多一星给梁朝伟、周迅
895$35372742$无名$W薇$2023-02-10 15:02:37$3$王传君你是想和梁朝伟拍戏才接的这个本子吗？
896$35372742$无名$路人甲$2023-04-20 20:39:31$0$鸡蛋炒柿子做的再精致它还是鸡蛋炒柿子
897$35372742$无名$赏我一罐琴$2023-01-22 13:18:18$346$比起《罗曼蒂克消亡史》还是略失望，玩一些形式内容一般，梁朝伟的角色感觉和昆汀的《无耻混蛋》很雷同。影调很漂亮，尤其是舞厅那段。wyb演的不拉，就是洋泾浜太出戏
898$35372742$无名$赢家$2023-04-10 13:30:09$0$谍战文艺片，影院票房这么高有点水分。在家看看就得了。梁朝伟和王一博打的真狠，都是gcd，没必要打的这么狠，假戏做做就可以
899$35372742$无名$K.O$2023-04-15 09:32:22$0$有点乱
900$35372742$无名$赤豆糕$2023-01-22 13:33:13$134$陪我妈来看梁朝伟，结果他才出来了多长时间，简直挂羊头卖狗肉。这就算了，台词尴尬无聊，剧情稀碎不知所云，一上来就让人看日本人屠杀中国人，画面要多阴间又多阴间，我妈这种看啥都好看的看完都一言不发，真是造孽大过年的来看这种电影。过年还是看喜剧片的好。
901$35372742$无名$车海畅游$2023-01-22 12:45:29$1$9.0/10暗流涌动，张弛有度，梁朝伟好帅！推荐观看！
902$35372742$无名$🥤🥤$2023-04-08 12:30:31$1$其实这种故弄玄虚支离破碎的叙事手法更适合用在文艺片吧……
903$35372742$无名$卖女孩的小火柴$2023-01-22 11:38:41$156$。。。我不该带家人去看这部的，剧情很无聊，看到一半我爸就睡着了，后边还有带小孩来看的也是没看完就走了，有的场面太不适合小孩子了，总结就是过年真的不要看这种。。。
904$35372742$无名$比目鱼很好$2023-03-05 18:14:08$2$程耳导演真的用心了，从头到尾明明有这么多可以会心一笑的点
905$35372742$无名$朝阳lilili$2023-04-10 13:50:52$1$程耳有两把刷子
906$35372742$无名$薄荷糖漫游$2023-01-22 12:59:52$155$看的第一部程耳，非线性叙事剪辑，虽然有些场景不必放进去（比如最后王一博亮出自己的身份），但的确是完成度不错了。布景摄影服装等没得说，内容上一些坑铺了也都填了，大荧幕上看真的非常享受，内地需要更多这样的电影。
907$35372742$无名$竹喧$2023-03-08 01:14:56$1$"为导演的镜头语言打高分，剪辑令人抓心挠肺，太跌宕起伏。不带点脑子看连不起来。如果不是三十六线小镇没排片，肯定不会看这部。                                                                  3.7和ZL"
908$35372742$无名$鎌倉$2023-01-22 11:37:34$189$真的是非常好看！大年初一的第一部影片没有辜负我对于它的期待！梁朝伟周迅的演技真的非常到位，各位演员的处理方式也非常细节，以及程耳导演一些镜头的处理方式，真的美轮美奂。另外，王一博真的超出我意料之内，真的如同程耳导演所说“一个优秀的电影演员的诞生”。真的入股不亏这部影片！！
909$35372742$无名$阿卅$2023-04-13 08:10:15$0$顺序有点倒，一开始没看明白
910$35372742$无名$violin$2023-04-21 21:20:03$0$没有老师傅解读，我看不懂
911$35372742$无名$Troye🥕$2023-01-22 11:35:50$101$3.5
912$35372742$无名$阿尔卑斯草莓味s$2023-04-16 19:28:35$0$刚开始被电影的质感和梁朝伟的演技所吸引，后来电影叙述手法让人感觉观感并不太好
913$35372742$无名$ᐶSannnnyyyy$2023-04-19 21:46:21$0$和罗曼蒂克差的有点远
914$35372742$无名$江舟舟舟$2023-04-16 22:34:38$2$无病呻吟
915$35372742$无名$落落初$2023-04-18 22:24:10$0$导演的独特讲故事风格还是美的，但是女性角色可有可无的存在，贫乏空洞的镜头，让人无语。另外男主王因为长得太帅气，完全掩盖住了他的精湛演技，让人不知从哪里欣赏，实在可惜。PS：觉得梁朝伟应该讲粤语
916$35372742$无名$mumu$2023-01-22 12:15:09$399$冲着梁朝伟和周迅去的，周迅的戏份好少，提前退场了，新年第一天真后悔选了这个不知所云的片子！影帝影后们多珍惜羽毛，不要消耗影迷们的热情…
917$35372742$无名$编号24601$2023-04-10 23:49:53$0$摄影和调色都很好，剪辑就不太行了，拉到片尾一看，是导演剪接，那就不出奇了，并不是很良好的一个剪辑表述。然后不是说王演技不行，而且撑不住这种题材，接不住戏也顶不住。
918$35372742$无名$Kiilia K$2023-02-26 01:18:17$0$终于在深夜看完了无名 没不好看啊 但是比罗曼蒂克消亡史差很多…相比之下王磊才是里面演技最没表现的人吧陪妈妈专门看梁朝伟 周迅戏份太少了 但很精华王一博演的的还不错 角色也很适合他 扮酷就行就是这洋泾浜的上海话不如蹩脚的日语…
919$35372742$无名$习惯黑暗$2023-01-22 14:02:37$95$这是我去电影院看过体验感最差的一部电影，没有之一，画面阴暗，剪辑镜头乱的要命，不知道在讲些什么，这大过年的给我看的烦躁的不行，冲着梁朝伟迅哥去的，结果迅哥早早下线，另一个流量明星戏份那么多，每次怼脸都丑的我一激灵，从头到尾的面瘫脸，我请问这演技怎么上大荧幕上大电影的，现在电影行业已经这么落魄了吗？属实挂羊头卖狗肉了，给想看的人敲敲警钟，大过年的还是看点心情舒畅的吧，总结，太难看了。
920$35372742$无名$嘻嘻$2023-03-14 10:00:42$0$看不懂 画面是美的
921$35372742$无名$懵懵鱼$2023-01-22 11:43:33$234$本来以为就我早起去看电影，没想到那么多人会早起去看呢，还是去看自己不喜欢的，这评论区真真看不懂啊，说回电影，画面很好看，值得去影院观看，全员演技在线，认真看片的不会说看不懂，当然你如果不专心边刷手机边看那可能是会觉得自己没看懂啦，国内确实缺少这样独特风格的影片，值得二刷回味，反正我看得很爽
922$35372742$无名$寻找蟹黄的涮鸭$2023-02-22 15:58:49$1$1.5星吧！看到两条狗的不同命运的时候，觉得，不错呀，文艺片拿捏了，越往后越崩
923$35372742$无名$四个又$2023-03-13 21:58:06$0$为什么二星是较差三星是还行.. 能不能有个2.5星说一般which means也没有很差也就是so so的地步呢..上一部罗曼蒂克消亡史确实看得很嗨，包括这部电影觉得也不是会自己在家里点开看的类型，美化说就是觉得电影院看更好，还好找了票贩子买的票，原价买应该悔死我，感觉就是故弄玄虚，叙事手法稍微impressive一下，但也就仅此而已，或者为梁朝伟廉颇一样的打戏再加一点分，但流量演戏还是被反噬啊，剧情来说也没什么说的，要真是流量一杆到底不反转我还觉得小惊喜难道不更值得粉丝催演技炸裂眼光好吗，一般般中差的，导演你不该是这个水平！
924$35372742$无名$zzzzzzzz24$2023-01-22 13:12:20$428$冲着梁朝伟去看的，只能说真浪费时间和金钱，票价还挺贵，剧情看得莫名其妙，迅儿哥也没有以前灵了，王一博就不用说了，那张脸出现在大荧幕都怕做噩梦，演的什么玩意。算了算了吧，我何不去看熊出没，还能开心点。
925$35372742$无名$JackyWoo$2023-04-12 18:16:49$1$最后的苦肉计有点骗到我了
926$35372742$无名$米米$2023-01-22 11:40:50$81$不愧是程耳导演，牛大了。值得
927$35372742$无名$wei$2023-01-22 12:09:23$246$被表妹约出来看电影，浪费时间看了这部烂片。我还得请回表妹吃午餐。剧情稀烂，莫名其妙的地方很多，演技好的影帝也救不了。这个导演的作品基本可以拉黑了，不会讲故事的人
928$35372742$无名$增的很离谱$2023-01-22 12:46:18$110$出乎意料的好，如果不是为了去迎合，甚至可以更好的！
929$35372742$无名$小月淇$2023-01-22 13:01:37$530$“我们看过你的故事，你们就有了名字”影片让观众看到了当时上海的艰难，每个人都在为自己的信仰付出一起，影片视觉剧情都很独特，演员演技满分，值得一看
930$35372742$无名$桃子老湿$2023-04-20 09:42:33$0$跟罗曼蒂克消亡史风格一致
931$35372742$无名$X.$2023-01-22 12:35:10$1204$一个简单到无聊的故事，毫无共情。用剪辑生造悬疑，一场戏劈两半，头一段尾一段。未免太蠢了。除了梁朝伟，其他人演的好差啊！！！！！
932$35372742$无名$坏嗓子$2023-02-13 14:00:52$1$一般吧，故事似乎没什么引人入胜的，剪辑风格也有点，道理我都懂，但是没有让我觉得多妙。就是那个上海腔调看着舒坦。
933$35372742$无名$小钢炮$2023-03-05 23:54:49$5$贺岁档的大冤种，观感不输《满江红》和《流浪地球2》，却被电影之外的因素影响了风评。视听风格依旧是程耳范，调性冷酷阴沉，情绪饱满浓烈。故事讲的是民族危亡之际隐蔽战线上的众生相，可以很主旋律，却全无说教，不贴标签，只是冷静地讲述，连变节者和骑墙派都不那么让人讨厌。不得不夸一下放映厅的灯光控制员：在电影结尾王一博说完那句铿锵有力的台词，扣下扳机，枪声响起的刹那，画面黑场，放映厅灯光亮起，仿佛一枪打出了个黎明。你太懂声画剪辑了。
934$35372742$无名$北极游牧钉子户$2023-03-19 19:51:28$0$还可以，梁朝伟和周迅的对手戏全片最佳片段。王一博比我想的要好，前期演身手矫健心性混沌的狗崽子，演的竟然还可以。情绪激荡幽微之处，和王传君对峙、最后看到何先生……眼神还是过于呆滞。出来一看为了过审删改过，可惜。
935$35372742$无名$繁星$2023-04-16 22:01:10$1$挺无聊，挺无语的，各种切换，特别混乱，大可不必，简单点不好吗？
936$35372742$无名$无法显示$2023-01-22 12:39:05$596$王一博的演技和他的脸一样 面瘫
937$35372742$无名$曼玉姐姐$2023-04-16 23:02:45$0$剪辑很奇怪  风格很王家卫  王一博是帅的  但是演技差周迅梁朝伟十万八千里
938$35372742$无名$某某某$2023-01-22 11:16:29$133$一直看不到点映不知道口碑咋样，没想到还是被难看住了，大过年浪费钱，就不该抱有一丝期待，也是，连主演梁朝伟都不宣传不在乎的电影能好看到哪去，剧情稀烂毫无意义，其他人演技我也不评价了，懂得都懂，无语😓中途换场去看别的电影去了
939$35372742$无名$约瑟夫$2023-04-13 19:50:06$0$不好不坏、可看可不看的那种，主要是各类型的观众都想照顾到，但却没照顾好，看完了就完了，没什么可以回味的地方
940$35372742$无名$告别圆舞曲$2023-03-15 20:16:20$0$导演系找摄影系拍的片子 程耳应该很爱看韦斯安德森吧
