$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$35131346$隐入尘烟$马掰掰$2022-07-09 15:04:12$22216$曹贵英常有，而马有铁不常有。
154$35131346$隐入尘烟$八又二分之一$2022-09-01 22:35:11$75$什么时候老实人也能活舒坦了，什么时候小康社会就建成了
155$35131346$隐入尘烟$百八円$2022-07-11 22:00:49$149$虽然导演好像很努力想要展现一些农村生态，但是首先90%的农村男人不会像电影里这样对待像贵英这样的农村女人吧
156$35131346$隐入尘烟$Hachiko$2022-08-27 17:29:56$75$西北荒漠种不出玫瑰，但你爱的刻骨，犹如小麦花印入皮肤。
157$35131346$隐入尘烟$小伙锅$2022-02-24 20:17:44$91$情感的潜流 扎实细密的劳动场景 闪光的细节 伊朗大哥温情但不过分的配乐 导演说中国八万块大屏幕 总有人得来拍点农村的土地  神奇的是海清在张大磊的文艺片里像个走错场的 在李睿珺这里质朴纯真 可是这样一个残缺的女性 回到现实里 大概率只能是个被侮辱与损害的性奴了
158$35131346$隐入尘烟$Joymu$2022-09-07 01:26:41$84$我相信《三峡好人》可能真的存在，但我不相信马老四真的存在。中国农村有片中这样的说媒人，村口看热闹的村民，压榨农民的小老板，贪小便宜的亲戚，但没有马老四这样的“诗人般的完美受害者” 
159$35131346$隐入尘烟$想养一只大胖橘$2022-08-30 16:06:23$157$美化农村老光棍 yue
160$35131346$隐入尘烟$许多熊$2022-07-08 20:06:40$110$不要再问为什么都是这种题材的入围了，这题材有啥不好? 都已经在讲农村拆迁了，啥深层的戏剧的人性的东西都没拍拍了段柏拉图爱情来体现农村老实人的纯朴勤劳和快乐。要我说这是纯纯的美化和赞歌，农村普遍现状里中彩票级别的幸运故事。有那么几个有意思的镜头，但远谈不上对欧洲三大的迎合甚至谄媚，思想复古而原始，人家已经在提名大女主公路片了，五十几岁女性房车自驾追寻青梅竹马看星星看沙漠，咱们女性主角话都说不出来一句完整的只能在村口抱着热水瓶等男人回家。那些嚷嚷什么题材讨好的有一个算一个全是外宾。
161$35131346$隐入尘烟$春上村树$2022-09-12 14:01:45$76$他欠世间的，还清了。世间欠他的，不要了。尘归尘，土归土。天堂的归天堂，地狱的归地狱。
162$35131346$隐入尘烟$熱帶假期$2022-07-28 12:28:45$164$"全场只有我一个人，边看边哭。哭的是怎么会有这么好的电影，哭的是一次次被击中心灵。这样接近土地本质浪漫的悲剧，这样漫长忍耐的生活诗。两个人坐在沙漠尖尖，两个人走在冰雪滩滩。两个人用两个喜字的碗。两个人缓慢，一起望向土屋下一寸，金色日光的屋檐。雨槽瓶瓶又开始吹哨哨了。两个人在大雨里保护土砖，站起摔倒，连哭带笑。两个人打草麦葱茏里驱车驶过，燕子春天回来没有窝。纸箱造星空，麦粒印梅花。
“对镰刀，麦子能说个啥？对啄它的麻雀儿
麦子它能说个啥？被当成种子，麦子能说个啥？”尘土和炊烟早已不是现代人的生活，但越来越多的人又重新在钢铁森林里，被当成种子。麦子没有脚，命数是夏天被镰刀割掉，人长着脚又能去哪呢？还不是被困住？不管是乡土中国还是城市中国。有些东西本质没有太大变化。Return to dust."
163$35131346$隐入尘烟$མ་སྐྱེས་ཨ་མ།$2022-08-30 00:30:02$70$懂的都懂，男主肯定是死了，他凭什么给你们活着？
164$35131346$隐入尘烟$Yuki$2022-07-21 16:08:26$124$不知道怎么就封成年度最佳了，这比近几年其他的文艺片高明在哪里？现在是个文艺片导演都会玩光影，玩隐喻，玩各种意有所指的镜头语言，说回主题内核本身又高明在哪里呢？导演看似把纪实主义做到极致，却让每一句台词都流露出精心编排之后的痕迹，反而造成了些许间离感。作为农村题材，并没有突破，像一篇隔靴搔痒的散文。
165$35131346$隐入尘烟$魍。$2022-07-18 20:10:14$130$"看完了，生活真是太苦了。
然而再苦的男性，依然有比他更苦的女性存在。"
166$35131346$隐入尘烟$土猪一生推hhh$2022-08-30 14:17:41$135$这个故事就是现在发生的，西北农村这样的生活正在真实发生！这就是7亿农民的生活！社会发展了，农民脱贫了，新农村就是拆掉了原来的房子盖新楼房，没有下水，质量又差，你还必须每个月交水电物业，还必须住。农村没有了学校，小孩没法就近上学，必须去城里，父母就要在城里买房，促进房地产发展。农村也没有了医院，没有了菜市场，一切都促进了城镇化发展。一年就赚粮食收成那些钱，烈日酷暑，到头来辛苦又是白干，层层剥削。这就是现实。你要是对比那肯定是比奴隶制和封建制好，但是全心全意现在已经是空话了。现实的片子都播不了，不能发声的人太多了。这地域的人间。
167$35131346$隐入尘烟$路米內$2022-02-23 21:46:30$126$完美诠释了为什么直男永远不明白自己的情话对女人来说总是地狱，啥是土地？此处就是到死也不放过你，创作者的真诚将他未曾触及过的问题暴露无余。海清的表演是比较败笔的（最近我们太清楚，这样的女人是怎么在镜头前显现的：她在说话，很多时候我们听不明白，她在看，很多时候我们不懂她在看什么），和素人演员永远不在一个频道上。还好撤档了，不然连着丰县得被喷死，一些桥段奇妙地能和现实对应，或反证了丰县数倍存在于你我所知，现实中人们没有选择，但虚构不是（丰县女和海清的差异无非在于一种必然的偶然，在于一个淳朴、善良、能拯救你的男性农民，董志民莫非不是？），结婚证，嗯或许是部不错的片子（把诞生于现代性的浪漫爱套用在乡村），但难道不是一部恐怖片吗？（乡村人/家庭的真实需求、乃至异性恋婚姻制度的功能是什么？别装糊涂了）
168$35131346$隐入尘烟$橙子与木$2022-09-10 17:17:42$54$"网上火的一塌糊涂，有点莫名其妙。
一直很排斥这种苦难片，看着闹心。片里除了两个可怜的主人公以外都是自私自利的人，但这本来就是人性，活了半辈子的人都明白。
最后女的不敢下河却淹死了，男的突然就从以前的逆来顺受有了精神追求。就挺突然的。
夸爱情美好的，但凡他们有别的选择还会这样吗？夸人性善良的，为什么给他们安一个这样的结局，为了证明好人没好报吗？
张艺谋的片子国外得奖，大家说他抹黑国人，这个片子却都说值得去国外争取奖项。就很无语，恕我认知有限，以后还是一如既往的拒绝贩卖困苦的片子。


"
169$35131346$隐入尘烟$Pincent$2022-02-09 21:14:50$52$关于大环境下，淳朴的注定消亡。像刚开始有第六代叙事影子的第五代叙事（比如《黄土地》）里一条不很新鲜的支线。优点在于捕捉到一些土地上的自然肌理（光源很少来自于电灯）和时间流动感（如关注路途、作物的样貌、劳作的细致流程与昼夜天气的变幻等），集中发表一些关于土地生活的总结评论，试图再造一种成长记忆里的主观的、现代的真实，而农耕生活多少有点被浪漫化，并且表意明确直接的符号太多了：如燕子窝、汽车、抽血、电视、回到老房子的鸡和驴这些。男主第一次对女主失去耐心发火那场戏，镜头拍到远处一对劳作夫妻合作得非常顺利，类似于这样用意浅显的镜头还挺多的。更不喜欢的是镜头凝视一直不愿意走的驴这样的场景，总提醒观众许多华语电影依然如此保守。
170$35131346$隐入尘烟$宫城良田$2022-10-02 20:05:34$72$农村的犯罪率低不代表农村的好人就更多
171$35131346$隐入尘烟$亵渎电影$2022-07-10 00:10:04$66$镜头里的一年四季和海清都太美了！
172$35131346$隐入尘烟$思郁$2022-07-23 20:28:16$61$一直拖着没看，对这种描述农村生活题材本能地保持着一种警惕性，很容易变成一种贩卖苦难的媚俗叙事。但是看完之后，还是被打动了。对这两个人物的设定，原本觉得没必要设定成残疾人和被抛弃的人，但是到最后意识到，马有铁和曹桂英就是现如今生活在农村的老弱病残的最佳隐喻，他们的生活是前现代农耕叙事的挽歌，两个同病相怜的人，被生活放逐的人，在生活中苟延残喘，只有活着——对很多人来说，挣扎着活着已经耗尽了全部的力气，根本不会有其他奢望。这部电影中的明星不是海清，而是武仁林。另外，要警惕这种农耕叙事中的诗意表达，在我看来，这种生活只有无尽的苦难，没有诗意，要警惕抒情性的表达。
173$35131346$隐入尘烟$阿芙$2022-06-23 08:53:57$140$中产凝视的底层农民生活
174$35131346$隐入尘烟$见我U盘了没$2022-07-10 19:47:07$118$看完此片走出影院，阒然发现和身处其中的现实世界（河南银行事件）耦合。影像的残忍或许还有些许诗意，现实恶土上留着熊猫血受难的人们，才真正如同尘烟，掉落无声。
175$35131346$隐入尘烟$圈圈儿$2022-07-06 18:39:00$70$感觉是往一团软绵绵的东西上塑形，怪怪的。说平实观察，台词输出又太多，说故事，又过于乏力。只有几个片段看进去了，其他地方进不去。海清疯则疯矣，确实是好演员。
176$35131346$隐入尘烟$爱哭鬼$2022-09-11 00:47:46$115$看完哭了好久。在你出现之前，我早已习惯苦难与孤独。我本可以承受失去，如果我不曾拥有。
177$35131346$隐入尘烟$豆友189467381$2022-09-26 12:46:30$96$画质挺好。挺正常一片，放在当下就是好片
178$35131346$隐入尘烟$王尔德克士$2022-08-27 13:27:47$115$刷了两遍才敢评论的好电影，有铁在贵英死后，还了所有债务，在村头回头一望的无奈瞬间，将所有情绪表达的淋漓尽致。人啊！没有受不了的罪，只有享不了的福，一旦尝到了那高一丝丝相濡以沫的生活甘甜，就再也回不去曾经与驴相伴无边寂寞的生活。海清演的贵英固然演技了得，但在苦难面前，终究还是差了马有铁一截。那种从骨子里透出的质朴、那种憨厚、那种不足为外人道的隐忍，都在朴实无华的举动和眼神里，让整个中国的农民现状展露无疑。多卑微的苟活着，又多向往生活的美好！只可惜，他们还是把自己的脚印种在田里！谁也没走出去！
179$35131346$隐入尘烟$法外之徒$2022-02-23 14:05:58$98$并没有触到什么尖锐的社会议题 也无任何尖刻的讽刺色彩 取而代之的是一种与农耕文明共生的诗意和浪漫 消弭了乡土题材一贯的苦难书写和看似悲悯实则居高临下的作者态度 用最纯净的画面摄取着最粗粝的图景和最浑浊的肉身 用房屋坍塌的声音奏响古典神话的挽歌 黄土地本身的浑厚力量并未超出导演的掌控 其坚实的形态在无上的个人意志中瘫软、生成、增殖 交织着构筑的欣喜和崩毁的创痛 与之融为一体的人则是理想的 也是现实的 是尘世的 也是脱俗的 是超然其外的 也是耽溺其中的 在灯箱孕育的新生和满天星斗下 爱上一场平淡却又美得破碎的梦境
180$35131346$隐入尘烟$菜包子$2022-09-26 12:05:05$70$感觉在看纪录片，可能我农村长大的原因，这部剧的情节在我小时候司空见惯，可能有人觉得他们可怜却又坚韧，生活苦中有温情，但是我觉得没什么，因为我外公外婆，爷爷奶奶这一辈都是这样过来的，我看了并没有多大触动，但是对于没这种经历的观众来说，会觉得刻画的那种精神很吸引人吧。我个人给个中间分。
181$35131346$隐入尘烟$焰火青年$2022-08-30 21:59:13$95$"他放生那头驴后，它走了几步，回头看了看，他寻死的时候，路过人群，走了几步，回头看了看，或许是驴没了他，不知道去哪，他没了她，也不知道去哪了吧。
马老四老实了一辈子，安分了一辈子，活成了地里的土，拉车的驴，资本的血，土垒起的房子不断被推倒，闷声干活的驴被抽打，熊猫血不过是两件要还的大衣。
生活很苦，鸡蛋很干，没有农药，他咽不下去。"
182$35131346$隐入尘烟$我是卢俊$2022-08-31 00:07:15$70$无一句苦，处处皆苦，无一字爱，处处皆爱
183$35131346$隐入尘烟$丸子$2022-09-05 00:43:02$56$抽血的情节，总让我想起有庆的死，然后我就一直担心着马有铁，没想到走的是曹桂英。
184$35131346$隐入尘烟$废狗$2022-07-11 18:23:19$96$不太行，高估了。手法老套到几近于无聊，更像是利用传统去表现淳朴，但是能力又撑不起来，只能讨好到嗜苦的人吧。演员也没办法带来啥，反倒有些减分，理解这能给营销上带来一些点，但无助于电影本身。我不喜欢这种创作上的懒惰和投机。不是说表现了市场上的稀缺题材就怎么样了，2022还这么拍电影，就，不太行。当然也有好的一面，就是设计了一个看上去足够符合观众印象的中年男版李子柒，手把手演示了白手起家四个字。
185$35131346$隐入尘烟$Zooe$2022-09-26 12:46:55$69$只能说。。。。
186$35131346$隐入尘烟$土嗨八贤王$2022-02-28 11:29:44$95$全方位的落后，李睿珺作为作者导演，拥有的也是极吃个人生命体验的创作方式。相对于生涯初期作品的浑然天成，如今的作品则充斥着主观设计和重点偏移。《隐入尘烟》的背景重回西部乡村，讲述男女的生命经历。除去人物的情感叙述，不具有其他任何清晰的作者表达。影片看似有涉及贫富差异，女性意识的情节，但均是刻板片面的浅尝辄止，因为导演对此并不具有清晰的态度。这些内容只能看做是对人物困境的塑造，不具有任何观点表达。其实整部影片的核心动作就是盖房，而两性关系的存在，也是家庭关系的提前。所以李睿珺真正要去阐述的依旧是家园的逝去。在资本背后，家园化为黄土。但在飞速的城市化发展下，故土已经是上个阶段的主题，这是其创作视野的落后。而面对相同主题，这段纯爱故事里，也很难再寻到其过去电影中使人共情的灵光乍现，这是创作力的退步。
187$35131346$隐入尘烟$夜第七章$2022-07-14 17:57:23$48$喜欢电影里微小的诗意：孵小鸡的纸箱；酒瓶组成雨槽，风吹过会响起口哨；用麦秆编织的驴。寒来暑往，春种秋收，人被种在土上，在方圆几里之间挪过来，挪过去。土是最公平的。种子不管经由谁的手种下都能结果。最终，富贵也好，贫穷也罢，都不过是白茫茫一片真干净。总觉得曹贵英不必死去，这样的生活里，活着比死掉难。最后拆房子那幕太残忍了。一个并完美的乌托邦的消逝。
188$35131346$隐入尘烟$Methy$2022-02-13 22:47:40$61$是在第五代乡土文学和国族寓言的基础上发展出的更个人化的变种，视线转移到了边缘的边缘而不再执着于映射典型。而性别描写依然是让位于阶级视角的：与直接到过于二元化的城乡刻画（吸血、易巢）相比，这段婚姻则显得过于浪漫与理想化。女主人公的存在依然是功能性居多。当然，这不妨碍整体节奏的稳定。尤其是在农活场景刻画上的耐心，通过家畜、作物、天气与农民的劳作营造出了一种独特的时间感受，生动地体现了农民阶层的主体性。
189$35131346$隐入尘烟$啊么吸溜$2022-08-16 15:30:52$91$在春天回来好吗，看看给燕子做的新家。在夏天回来好吗，送你一屋子的星光。在秋天回来好吗，拿麦粒在你手上印花。在冬天回来好吗，或者我陪你走入这漫天黄沙。
190$35131346$隐入尘烟$巴伐利亞酒神$2022-07-10 12:57:54$61$一个老实忠厚的男人，和一个身体有恙的女人，还有一头任劳任怨的驴，在一个黄土漫天的尘世中相依为命。你永远可以相信这个爱驴如命的男人，你也永远可以相信这个从不抱怨的女人，你甚至永远可以相信这头不离不弃的驴……他们仿佛从泥土里长出来的一样，像泥土一样清新，像泥土一样善良，也像泥土一样被那些挖掘机铲平……尘归尘，土归土，与其搬进那些钢筋水泥般的新家园，不如隐入尘烟。
191$35131346$隐入尘烟$素笺鸣尊$2022-09-07 23:12:42$38$挺好的，如果再深刻点可能就过不了审了
192$35131346$隐入尘烟$杯子是玻璃的$2022-07-16 00:25:44$87$"就像豆瓣er们说的：曹贵英常有马有铁不常有，体验过了幸福便接受不了不幸。
海清很努力很厉害了，但相比男主还是显得和此片有隔阂，可能是眼睛太有神了，反而没有凸现出生活在底层的女性的混沌感。2个小时很平实细腻吸引人。"
193$35131346$隐入尘烟$阿柯儿$2022-09-26 12:35:57$66$搞不懂勤劳能干，吃苦耐劳，温柔体贴，动手能力超强的老四为啥会遭到家里人嫌弃。
194$35131346$隐入尘烟$Ostri$2022-08-28 17:48:31$78$怀着很高的期望看，其实有点失望。很多瞬间，我都在想：“这个人物说这样的话合理吗？”为了展现农民的苦难，浓缩了太多的血泪；为了展现农民的高尚，提炼了许多的哲学；为了展现农民的爱，从吃饭、洗澡、孕育新生命入手。细腻但浅薄，精心但人造味十足。
195$35131346$隐入尘烟$東风藏眉心$2022-08-10 23:53:55$83$一个抑郁患者，被没有任何工业糖精的电影，激活了。原来我还有那么多情绪，原来我还活着，谢谢你，隐入尘烟。
196$35131346$隐入尘烟$Neverland$2022-07-23 23:07:23$80$有很多打动我的镜头，但又觉得只因作为旁观者才能从这么苦的日子里择出幸福、浪漫，就显得自己越发无知和残忍。
197$35131346$隐入尘烟$谋杀游戏机$2022-02-21 00:43:26$89$两个边缘人相濡以沫的故事，细腻、诗意、质朴、哀伤，偶尔也有一丝远古神话般的浪漫色彩，李睿珺集大成的一部作品，也难怪会升格到主竞赛（疫情以来三大节主竞赛华语片仅存硕果）。四季轮替的耕种，归燕、病驴、鸡蛋相生等动物意象，一切皆从土地中来，最终又都归还给土地。三次迁徙的住所，从乡村去城市输血，视听语言精准凝练，传达的意图非常清晰，在当下市场环境还有这样的人文表达已属难得。在我们为高铁基建欢呼雀跃的同时，不要忘记这些宁愿赶驴车的人。纯靠作品质量一点点实现评分和票房逆袭，在这么糟糕的电影市场环境里太励志了！
198$35131346$隐入尘烟$ji bai$2022-07-26 23:27:32$78$好看，没有那么好看。导演恨不得每个镜头里都加入72种意象，隐喻108种生活，确实没必要，看得特别失真。剧情烂俗，武仁林比海清演的好一倍。说实话，能触及到新农村建设的问题确实不容易，但是他并没有把这个问题拍好。
199$35131346$隐入尘烟$芦水喵语$2022-08-10 23:38:07$68$生命不能承受的，不是寂寞，而是有过热闹后的孤独。
200$35131346$隐入尘烟$小菠萝猫侦探$2022-09-02 14:38:25$89$也太爱美化底层男性了！海清一点也不农村妇女，两个人的对话太做作，贾樟柯的小镇人都比这里的农民讲话朴实。披着现实主义皮的乡村素人偶像剧。结局让人想再扣掉一星。
201$35131346$隐入尘烟$金正昆$2022-07-19 23:11:29$54$从相亲开始，镜头有意识地展现两个世界。面对他者，两人是僵硬的迟钝的木讷的羞涩的。但是面对土地，他们自在浪漫，游刃有余，开疆拓土。绕梁燕、走地鸡，开在手背的麦花，平静温和的诗意。自我放逐的“鲁滨逊”。马老四献血是个明显地象征，城市代表的现代文明对传统价值的无情榨取。
202$35131346$隐入尘烟$嗡嗡嗡$2022-08-29 23:01:31$57$钱流向了不差钱的人，爱流向了不缺爱的人，唯有苦难一直伴随着努力生活的人。苦难从来不值得被歌颂，值得歌颂的是在苦难中挣扎的人。尽管他们朴实真挚，但厄运不想放过他们。😭
203$35131346$隐入尘烟$蔡小马$2022-07-30 22:43:00$51$"影像上的技术亮点，这部电影基本没有，它最厉害的是塑造了一个绝佳的角色----老四（马有铁）。
老四就像是一个生长在贫瘠土地上的菩萨，诚恳、温暖、善良、美好，再加上武仁林老师不着痕迹的表演（本来就是素人演员，没痕迹可着），几乎到了无懈可击的地步。相比之下，海清老师就算拿出毕生所学，也没办法追上他分毫。因为武仁林就是那片土地孕育出来的老四，而海清只是技术性的体验贵英的生活，她连哭腔都带着电影学院的清晰有力，和老四努力表达却不断错词的结巴相比，天壤之别。"
204$35131346$隐入尘烟$小狐狸Diane$2022-08-27 16:53:34$91$"看到一个弹幕，西北荒漠种不出玫瑰，但我对你的爱犹如小麦花印入皮肤…只有桂英，不想让他献血🥲"
205$35131346$隐入尘烟$yuan$2022-07-12 23:15:09$94$农村老汉好穷好善良命好苦，如果导演对于乡村现状的观察和记录是如此，那观众也不妨把这部电影当作是海清老师农家乐慢综艺来看待。
206$35131346$隐入尘烟$练手Mind$2022-08-26 22:15:41$149$我也是农民，但这拍的什么玩意，农民是穷又不是白痴。我90年出生，记得小时候村上人都很穷，很多娶不到媳妇的，很多对象都是老广（从广西买来的老婆，但这老婆实际上很高兴来到这边，生活的更好）大家都会苦中作乐，开开玩笑，很是自在。就像开头尿床的镜头，先不说大冬天穿棉裤还能把床尿这么湿是bug，就说女的再不会说，男的看到也会来句，咋弄哩，尿床了吱声声哎，这么冷冻死你喽，这把人拍的毫不关心，第二天又拿麻花给人家吃还说两句哲理，这导演不觉得有问题吗。
207$35131346$隐入尘烟$Jonathan$2022-07-24 20:26:14$42$贵英站在路口等晚归的有铁，说怀里的热水来回凉了好几次，我的眼泪一下就流出来了。坐在后排的大姐从头抽泣到结尾。中国的问题是农村，农村的问题是土地，所以一切的根源都在土地。在条框设限的当下能拍出这样真实又隐忍，含蓄又诚恳的作品实属不易。没了地的农民就如同没了窝的燕，就如同不认家的鸡，再贱的命只要有一亩地就能长出富贵的花。用双手诚恳的活着是最踏实却又最不切实际的方式。农村电影是中国电影的魂，就如同西部牛仔之于美国电影。
208$35131346$隐入尘烟$潇湘烟雨客$2022-08-20 20:23:22$75$海清有演的痕迹，头发太顺滑手指太光滑细腻，缺少农村女性饱受风霜的痕迹。本片最大的惊喜是马有铁，他应该获奖的，自然而然的从土地里生长出来的气质，毫无表演痕迹，仿佛他的生活本就如此一直如此。
209$35131346$隐入尘烟$冷水浴缸$2022-05-06 23:29:42$45$关于其苦大仇深的部分是这部电影做得最糟糕的地方，刻板脸谱化，宝马车和抽血九十年代也是这样，并没有超出当今社会各阶层对坏人的认知。抛开性别问题（其实性别观念这一点的呈现也非常符合当代农村，也是真实未美化的），剩下的关于农耕种地修房养鸡的部分，又是电影最珍贵的地方。当时映后看完和同龄人讨论，都觉得这部电影可看性很高，甚至有趣味性，和一般沉闷苦大仇深艺术片不一样，里面纯粹的部分是相当好看。很多业内故作严肃深沉地推荐，也不一定要这么严肃地看待，自己人都这么严肃，先端起架子，说各种深刻表达，到底是想让更多人看到还是不想呢～ @2022-02-20资料馆
210$35131346$隐入尘烟$空幻之星$2022-08-18 23:23:21$96$过誉了。男主人设立不住，心善手巧嘴甜体勤，让人不理解这样的人会成为村里最穷的－－而且还聪明会算账！服化道是用心了的，可惜海清的演技和台词口音都不对。情节安排上特别散，献血、分配楼房等，对剧情推进毫无影响，也完全没有产生任何后果。
211$35131346$隐入尘烟$甜茶夫人$2022-10-06 14:17:39$69$中国
212$35131346$隐入尘烟$支离疏$2022-02-24 22:08:06$65$2015年春天，因为工作的原因我和李导演一起回他甘肃高台老家转了几天，清楚记得那里的水土山河，也记得他对家乡一草一木的热爱。那时候家尚在水草丰茂的地方，现在已完全隐入尘埃。毫无疑问，是导演生涯最佳。惊人的耐心和笃定背后是更加成熟的乡土美学，叙事时间和自然时间形成温柔的交互，下种、发芽、丰收，圆形的叙事结构又被折叠，前面看似随意的场景排列成为最后部分一点点折叠回去的生之残酷。温柔坚韧的生命力量远远大过那些讽刺残酷的部分，本片可谓融化进了大自然。虽然这么说很俗，但我觉得：这部电影触摸到了真善美的境界。莫名想起雷伊的阿普三部曲。
213$35131346$隐入尘烟$rosemary$2022-12-21 23:56:29$77$全剧不说苦，却苦到了天际。全剧不谈爱，却爱到极致
214$35131346$隐入尘烟$田大锤子$2022-07-11 14:58:25$103$想到《呼兰河传》中的一段：“他们看不见什么是光明，甚至于根本也不知道。他们不知道光明在哪里，却实实在在的感到寒凉在身上。他们想击退寒凉，因此而来了悲哀。他们被父母生下来，没有什么希望，只希望吃饱了穿暖了。可却吃不饱，也穿不暖。逆来的，顺受了。顺来的事情，却一辈子也没有。”他们拼命的活，却轻易的死去。
215$35131346$隐入尘烟$Ann$2022-09-04 13:16:57$67$我不能理解，这部片子拍的太理想化，充满上帝视角的想象。一个勤快聪明身体健康的男人，不都是村里的大能吗，厚道不代表就会被欺负。
216$35131346$隐入尘烟$基瑞尔$2022-07-08 18:11:23$28$和朋友打趣说这仿佛像“《心居》西北版”，贵英下秒就要脱口而出“买房买房”；当然这之外，看到了海清在那年FIRST搂着姚晨、马伊琍和宋佳说着“女演员”后，那身上不曾走散的能量和从未怠慢自己的决心。镜头总会对准许多反差，来攫取藏在其中的光芒；这里的世界很“脏”，然而两人的感情却很干净；生活充满着“苦”，却从不停止希望和追求尊严。它拥有比《路过未来》更为清晰和强烈的讯息，也拥有更为现实意义的回响。而电影之外的“平行时空”恰巧是另个导演真诚而又急迫的呼吁，也如一股清泉，誓要用自己的方式，冲破这早已混沌着的河流。相辅相成，却又同样悲壮。
217$35131346$隐入尘烟$阝女$2022-07-16 18:44:01$74$老看到一些把台词写成格言把远景拍成壁纸再给海清整个影后的使劲儿
218$35131346$隐入尘烟$绿色的边$2022-08-27 19:44:17$143$裹着乡土外衣的狗血恶臭烂俗爱情剧。
219$35131346$隐入尘烟$小斑$2022-08-29 20:35:38$35$我一直在等驴子死。但电影的结局更合理。两个看着低能量的人，姿态伛偻动作迟缓言语含混，他们不是懒散而是被「活着」给耗干了。两个并坐在沙丘上才合成一个「人」字。和熊猫一样珍贵的老四，他的善良温暖幽默甚至乎性感，要通过残疾的曹贵英才能让人看见，为了她努力更有尊严更有希望。但是一身病还生不出孩子的曹贵英跟尊严和希望又有什么关系呢。李睿珺浪漫化了这一切，使之符号化更甚，但也离尘土要略远。
220$35131346$隐入尘烟$今天小熊不吃糖$2022-08-21 18:21:45$41$人一旦知道了还能有另外一种活法，便极难再像原来一样活了…所以，别再歌颂苦难了，苦难不值得歌颂，苦难是把割人血肉的刀。
221$35131346$隐入尘烟$Rocio$2022-08-28 23:42:09$109$给这种投机的（甚至是不知廉耻的虚伪）电影好评，对于当代本就贫瘠的现实主义创作无疑是灾难。有良心的，不惺惺作态的创作者在这片土地上灭绝了吗？
222$35131346$隐入尘烟$科林$2022-02-23 13:15:16$48$"手背，于肥沃的尘土乡落间种育朵朵麦花；
鸡蛋，在浪漫的镂空光影中孕育温暖母爱；
驴儿勤恳一生，还血液根植于土地，一码归一码；
旧燕穿上新衣，年年春天归来回巢，老房换新房；
麦苗生长，囍字敷墙，情真意切，隐入尘烟。"
223$35131346$隐入尘烟$Kuso$2022-07-13 23:44:11$78$姨夫演的真好啊。喜欢他们在大雨里跌倒站不起来互相傻乐的那段戏，秒杀大部分偶像剧。
224$35131346$隐入尘烟$耶耶耶$2022-07-10 20:09:01$144$一无所获，人设金句和剧情都挺人工的，做作，模板，油腻。男主透着一股莫名其妙的无辜清纯人畜无害，假得像个圣母，圣父吧算。来电影里普度众生了属于是，别人都坏都不行，就他是个好的。好一朵巨婴男白莲，别人永远亏欠他，他是道德圣人，清清白白，好让观众可怜他，虚伪，矫情，无聊，肤浅，鸡贼，狡猾，茶香四溢，油腻的中年妈宝男装高尚顾影自怜，溢出银幕的自恋哈哈。一看就是男的拍的，各种桥段都太典了，反正我在电影院差点看睡着了，出来以后觉得看了个寂寞。完全没啥新意吸引我，个人觉得没有别人说得那么好看。
225$35131346$隐入尘烟$朝阳区妻夫木聪$2022-01-19 17:54:23$32$大银幕二刷，所有质朴的情绪更动人了。纵观李睿珺导演的创作轨迹，其实一直都在写这片土地，以及土地上的人。如果说《老驴头》是对故土的坚守，《白鹤》是对生死的质询，而《水草》是对根的遥望，那么导演在《路过未来》小小的转了个弯之后，这部又回到了了对于土地的眷恋上。两颗孤独的“残缺”的不被注意的灵魂，聚到一起后，庄稼萌芽燕归巢，即便被城市“吸血”，但贫瘠的土壤依旧开出了浪漫的动人之花。生活的诗意，藏在胸口捂着的水杯的热气里，也藏在雨打瓶口吹哨哨的清脆声中。一张合照、一口馍馍、一件大衣、一头老驴，尘归尘，土归土，时光隐于四季，生活却免不了走向坍塌。而这样的生活，离我们真的远吗？素人男主角演得没话说，海清也贡献了质朴自然的演技，真诚舒适且难得。三星半。
226$35131346$隐入尘烟$🥗$2022-08-23 20:29:42$63$对所有认为这片儿刻意放大苦难讨好国外电影节的评论说一句，原来电影节，主竞赛单元，提名这些事儿对你来说这么重要，甚至比镜头呈现和现实的连接与表达土壤孕育万物寂静无声更加重要，没有脚踏实地的触摸与感受，空中楼阁能存在吗？导演的主要作品都看了，一部部走过来越拍越好，诗样画卷展开是一望无际的卑微，到底谁不敢面对这些真实呢？
227$35131346$隐入尘烟$渡$2022-08-30 16:46:49$63$“西北荒漠种不出玫瑰，但我对你的爱犹如小麦花印入皮肤。”
228$35131346$隐入尘烟$Alain$2022-07-10 19:58:44$45$还可以再低一丝丝，好能够落入土中。
229$35131346$隐入尘烟$余小岛$2022-02-20 22:16:28$45$写给土地以及土地上的人的长诗，既悲情又浪漫。底层农村，两个被抛弃的边缘人物，相濡以沫的生活。扎在土地上，风吹日晒，镰刀割石磨碾，始终无法逃脱土地，但是依旧长出了属于自己的浪漫麦穗。双手能够种下粮食堆起房子，但是宝马车推土机还会等一等那走不快的驴车吗？当然不会。可是土地上的麦子能够对镰刀说什么。
