$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$11589036$功夫熊猫3$翻滚吧！蛋堡$2016-01-23 17:00:54$1303$让跳舞娘的去玩双截棍，不怕被淋淋吸吗
124$11589036$功夫熊猫3$汪金卫$2016-02-05 23:51:36$3$不小心买了国语IMAX场次。黄磊和王志文，张纪中配得好。整体还不错。梦工厂四年磨一剑，体现了美国动画产业的发达。特效建模和美术简直无可挑剔。剧情节奏紧凑，笑点和武打也是掐着点计算设置的。不过剧情依旧简单化套路化了些。电影开头系列经典音乐《Oogway Ascends》响起，我瞬间情绪崩溃，泪如泉涌
125$11589036$功夫熊猫3$sean cheung$2016-03-06 21:33:38$1$畫面經營得好，有把握到怎麼西化飄逸美。但整個劇本寫得很行貨。夢工廠這幾年基本是在谷底走不出來。
126$11589036$功夫熊猫3$竹蜻蜓的夏天$2016-01-30 23:07:21$1$阿宝很呆萌又天真，荣归故里找回本源，发觉同胞专长坚持加之锻炼，团结众潘达打败绿眼牛的故事。搞笑元素挺多，中国风的画风也很讨巧。全年龄段都能看。
127$11589036$功夫熊猫3$托尼·王大拿$2016-09-20 04:40:53$1$季默一如既往地炸裂，美术指导也超强，但光指着卖萌是没前途的；故事发展到第三部这儿也算是得道了吧。
128$11589036$功夫熊猫3$蓝抑郁剂Lily🌈$2016-02-02 11:49:03$2$换糖不换药，连续三部都是用中国文化包裹的美国英雄主义，到这里也应该挂上一个句号了。
129$11589036$功夫熊猫3$内陆飞鱼$2016-06-28 09:07:13$0$开始有点膈应，看不进去了。猫熊坐在月亮上钓鱼的梦工厂，是什么鬼。
130$11589036$功夫熊猫3$闲闲$2016-01-23 17:10:42$1$觉得不如前两部，但是看电影时气氛很好，竟然被感染了。。又哭又笑
131$11589036$功夫熊猫3$白云飘飘$2018-03-12 17:57:48$7$到是挺喜欢这只憨态可掬的熊猫，有中国的元素。
132$11589036$功夫熊猫3$本初老儿$2016-02-03 10:34:54$1$两个爸爸是亮点，当场我就跟我旁边的台湾姑娘说，多元家庭！还是鼓不起勇气给三星，我太难伺候了。“见天地，见自己，见众生”，你们说阿宝这是到了那层境界？
133$11589036$功夫熊猫3$潘半仙$2016-02-13 22:24:34$3$配乐和美术很棒，看的英语配音版还没有吵闹的小朋友骚扰嘿嘿不错..!
134$11589036$功夫熊猫3$Flâneur$2016-01-31 23:41:45$6$太中国了。本来可以成仙，又坠入凡间。
135$11589036$功夫熊猫3$紫领 爱$2016-01-30 17:32:47$1$2016.1.30周六下午，陪姐带俩小朋友看的3D。傻呆萌，和小朋友一起看还挺有意思的。但没有特别大的惊喜。（超过1米2的小朋友就得全票了）。中国元素
136$11589036$功夫熊猫3$獨孤求敗$2019-05-27 11:15:59$0$"好几次以为编剧挖的坑填不完了.....
个人以为比起上海美术制片厂的《宝莲灯1999》还是差了一截，画质有些粗糙，
原来导演之一好像是个华裔（原来是宇宙思密达韩国人），还是一位巾帼女导演鸭........."
137$11589036$功夫熊猫3$奶茶三猪一杯$2016-08-07 12:58:31$2$这应该是史上最猥琐的熊猫了
138$11589036$功夫熊猫3$乌鸦乌鸦$2016-02-18 11:10:19$2$功夫熊猫系列一定有一些我始终没get到的欣赏点。不然这80年代就摒弃的伪科学世界观，90年代就摒弃的小胖子笑话，为什么这么多好评？
139$11589036$功夫熊猫3$幸运遇见你$2017-03-19 09:21:53$3$喜欢那个大熊猫阿宝
140$11589036$功夫熊猫3$Warlock$2016-01-30 20:25:42$1$中文配音倒也是很本土化，万达一反常态的没有放英语片源
141$11589036$功夫熊猫3$武侠小王子$2016-01-23 18:18:46$0$3.5 让没来过中国的美国人对中国心生向往，刺激了美国的票房，间接推动了中国的旅游业，
142$11589036$功夫熊猫3$有咕米$2016-01-31 17:18:00$1$美术太好了，每一次都能在画面上有所突破，2D跟灵界的部分都有几分《风之旅人》的味道。不过其他的地方跟比前两部要逊色一些。
143$11589036$功夫熊猫3$momo$2016-02-07 11:10:27$1$特效金闪闪，故事狗屎样，，
144$11589036$功夫熊猫3$罐儿图样图森破$2016-05-18 13:47:32$2$画面太美啦
145$11589036$功夫熊猫3$伍德与夏洛蒂$2016-02-05 17:39:23$5$对这个系列一直太有好感，所以要求也没那么严苛，毕竟这是目前唯一一个老外和中国人都能接受的东方功夫vs好莱坞产品吧，东方梦工厂的中国导演和顾问对中国文化的阐释很到位，再结合西方人思维直白表达出来，这点跟当年李小龙的逻辑是一样的。这部人设太可爱饱满，套路也与时俱进，最爱始终是鹅爹啊。
146$11589036$功夫熊猫3$浅。$2019-04-30 10:21:38$1$剧情没啥意思，就是一堆滚滚在一起还挺可爱的…尤其是那只小奶熊猫冲过去抱着娇虎大喊“花娃娃”，好萌哦
147$11589036$功夫熊猫3$叶洲$2016-02-17 15:44:18$0$中国元素表现得流畅自然，卖萌搞笑其实也就那样，场面真会煽，整体效果还不错。不过也没什么惊喜
148$11589036$功夫熊猫3$vivi$2016-01-29 21:07:16$1$3.5 画面居然比2还好，除了花草太随便了。绿色喷雾变gay表情、裸熊、找熊猫，各种乱入…我也不知道自己每天都在想什么~~(⊙o⊙)…
149$11589036$功夫熊猫3$鬼$2016-01-23 18:21:10$1$剧情有点扯，没有第二部精彩。变龙那里bgm我好像听到了舌尖上的中国。。
150$11589036$功夫熊猫3$AsuraHu$2016-01-30 00:14:37$3$「中国」二字就是最好的IP。技术层面无可挑剔，中国风也很走心。解释不了的东西就回归于爱其实有点无趣。第一部“我是谁”第二部“别管我是谁”到第三部“我决定我是谁”也完成了自我探寻的闭环。“合家欢”型院线片做到这样已经足够，但下一部出来的时候希望我的记忆不会和前两部一样淡薄。
151$11589036$功夫熊猫3$木上花园$2016-01-30 18:12:19$1$行云流水的快感！虽然美式的笑点密集，但是电影内核却是中国文化。它用形象化表现了难以言说的玄妙中国，很厉害！我觉得是最好的一部熊猫之作，更何况，那么多滚滚，有谁不爱呢？
152$11589036$功夫熊猫3$兮称$2016-03-25 11:05:05$0$笑点依然很足，对中国元素理解得不错，各方面没啥可挑的，相比这个五短胖达，我更萌师傅和鹅爸 www
153$11589036$功夫熊猫3$影毒肥佬$2017-11-19 17:14:59$0$7.5/10 我還是慣例的看了英語及粵語兩版本
154$11589036$功夫熊猫3$臭魚本魚$2016-02-08 22:24:31$1$真的是把中国风展现的淋漓尽致，片尾周董的歌好评！！
155$11589036$功夫熊猫3$lemoncan$2016-01-31 19:50:03$1$好看好笑，惊喜连连。那个跳着地才舞的韩梅梅真的不是照着贾玲的形象设计的吗？
156$11589036$功夫熊猫3$希哈。$2016-01-29 22:22:27$1$哈哈哈哈就这么吃吃喝喝就好好笑，简直和ipanda熊猫频道那些🐼一模一样！剧情方面是不是三部都在找自己，找了这么久了还没找完啊，都成仙了看你下一部怎么编。
157$11589036$功夫熊猫3$Eve|Classified$2016-03-25 00:26:54$0$老爸声音越听越熟，一查，原来是老白！不过对故事完全不喜欢了，越做越如柯南剧场版走势。用那么多金色和荧光色是为了……？好多笑点并不如第二部来得自然。片尾乌龟主题曲变奏好好听。
158$11589036$功夫熊猫3$обломов$2016-05-13 19:24:26$4$让这个系列死在这集吧！
159$11589036$功夫熊猫3$乍暖$2019-04-07 08:24:33$1$5/10。很可怕，故事平淡到吓人。阿宝爸爸始终给我反派的感觉，他怎么突然就出现了？真正的反派牛魔王也完全没有魅力。（看到许多人都在称赞完成度……我不care完成度）
160$11589036$功夫熊猫3$老人家$2018-03-14 13:20:44$10$找到父亲的熊猫大侠更欢乐了！
161$11589036$功夫熊猫3$国王KING$2016-01-29 21:11:29$1$期待已久的首映日，再次看到了灵活的胖达阿宝～3D效果表现惊人，十分值得一刷。剧情收尾略显仓促，打斗戏依旧良心制作，梦工厂这部四年磨一剑之作极为亮眼，其实，这是部功夫哲学片吧。阿宝依旧帅不过三秒，带着弟弟妹妹们一起刷的，期待下次再会！
162$11589036$功夫熊猫3$|$2016-02-11 11:57:13$0$除了氪金开挂以外怎么觉得比1和2差远了?
163$11589036$功夫熊猫3$职业刷分党$2016-01-21 00:53:03$1$特效牛逼爆了！依旧搞笑！东方梦工厂太给力了，另外看得英文巨幕，笑点同样多～貌似听不到周杰伦哎呦不错哦～=_=
164$11589036$功夫熊猫3$haylin$2016-02-08 22:59:49$3$不要拍第四部了，终结在这部的烂尾上吧。
165$11589036$功夫熊猫3$TWY$2016-01-29 17:24:22$1$作为好莱坞动画还是老一套的玩法，特效更炫了，其它地方基本上有惊无喜，个人觉得卖萌有点太刻意。
166$11589036$功夫熊猫3$小牛牛意踌躇$2018-03-07 23:55:23$19$Yesterday is history. Tomorrow is a mystery. But today is a gift. That is why it's called the present.多年前老师的寄语，也是小组配音截取的片段。重阅佳作以自勉。
167$11589036$功夫熊猫3$林峰$2016-01-29 15:16:05$0$视觉效果好。故事低龄，爆米花电影。
168$11589036$功夫熊猫3$突然粉碎$2016-01-23 19:27:24$13$汉斯寂寞的配乐怒刷感情分，双爹八卦阵笑趴，中国元素到位，就是总觉得在影射些什么（尤其是包子），邻座小伙说熊猫村是在东北吧哈哈哈，实在太困阿宝大战天煞时一直点头打瞌睡，黄小厨的中配版会更有趣吧P.S.美美太丑了
169$11589036$功夫熊猫3$Lyn 【歆恒】$2016-02-02 11:57:35$1$满满的胖大利亚既视感！阿宝变身简直就让人想到少昊啊~意外的有趣啊！画面真心赞~满屏的滚滚和气的美感都挺不错，看完想再去二刷个IMAX了。唯独最后高潮的转折剧情感觉略牵强了点。
170$11589036$功夫熊猫3$Jasmine$2017-01-31 20:12:44$1$跟侄子一块看的。感觉顿悟气功的逻辑不成立啊。
171$11589036$功夫熊猫3$秦小皇影音疯刊$2016-02-01 22:11:06$1$头一次觉得看国语发音的海外片不亏！不得不说第三部的用心至深真是显而易见啊！中国风的融入真是淋漓尽致、美不胜收~！王志文、成龙和黄磊为三位主人公的配的音既符合人物的形象性格又显示着个人特色，周杰伦和杨幂的配音技术真心比其自己的演技强得多的多啊！另外，该片的动作设计恰到好处的融入经典
172$11589036$功夫熊猫3$Vini_Kazma$2016-02-11 19:38:55$0$Be yourself.
173$11589036$功夫熊猫3$沈意意要多读书$2016-01-28 08:54:50$2$视觉听觉双重享受，笑点萌点密集，就算是动画版的滚滚也依然萌到飞起。值得一提的是中国元素和西方的个人英雄主义结合得很棒，相对于打着中国故事旗号却本质好莱坞模式的捉妖记，必须给本片加一星。
174$11589036$功夫熊猫3$４％$2022-09-02 09:44:53$1$阿宝是最可爱的神龙大侠。🐼☯️
175$11589036$功夫熊猫3$烟雨弥漫虚弥境$2016-03-17 15:14:35$0$解说版。原来剧情这么无厘头。没头没脑，猪脚光环。
176$11589036$功夫熊猫3$豆丁$2016-12-29 23:48:21$0$希望功夫熊猫系列能够继续下去
177$11589036$功夫熊猫3$Heidi 幽幽滴$2016-01-29 20:02:29$1$合格的爆米花片。买票时没注意买了国语版，成龙的声音听着就讨厌，直接听出来了周杰伦李宇春张国立，欧耶～
178$11589036$功夫熊猫3$djj$2017-07-03 12:51:15$1$系列里面最差劲的
179$11589036$功夫熊猫3$feather$2016-02-04 12:16:45$1$"3.8.....一山熊猫一起滚，画面实在太美...
只是太极之前手指勾起来那个动作~~不是大合唱专用的么？..."
180$11589036$功夫熊猫3$斩杀$2016-01-21 09:11:33$1$挺搞笑的，我以前不喜欢这种画风，觉得按人体比例画的动物不萌，现在改观了，属于丑萌。开头那个金光万丈的背景总觉得是八一制片厂的片头。。BOSS战有点弱，略有不足，总的来说挺欢乐的，还不错。
181$11589036$功夫熊猫3$安东$2016-07-22 00:04:02$2$基本可以总结为：功夫熊猫之抗日神剧版。
182$11589036$功夫熊猫3$易禾$2016-02-23 01:59:50$1$美术和音乐都好，故事也逗死人，传说中的熊猫村庄出现了呢！阿宝不但找到了亲爹，有还表兄弟，三胞胎的小亲戚之众！然而我的脑子里一直回响着“熊猫有这么强的生育能力吗”这样的疑问......
183$11589036$功夫熊猫3$C.Y$2022-05-06 12:53:41$0$"一如既往一流的画面，然而故事却越来越烂！

反派真的水得可以，水到连变坏的动机都站不住脚，500年修炼居然打不赢一个几乎没有努力过的胖熊猫。

阿宝每次都是突然悟了就赢了，反派至少还能看到努力和与命运抗争的精神，却因为居心不良就得被别人按在地上锤。也不知道功夫究竟在这个系列里占多少份量，恐怕也就仅仅体现在片名和角色的嘴里吧……

不会再继续看了，哪怕还会有第四五六七八部……"
184$11589036$功夫熊猫3$张苑希$2019-04-23 16:13:47$1$“如果你只做自己能力范围之内的事情，就永远没法进步”。“不必让你们变成我，而是要把你们变成你自己”。特效技术、画风分镜、美术设计绝对超一流水准，精彩纷呈的视觉盛宴。就是故事性一般，主创在对“气”的理解上太牵强了，感觉阿宝不费吹灰之力就领略气功KO反派了……
185$11589036$功夫熊猫3$王富贵$2016-01-29 21:58:45$1$毫无节操的卖萌
186$11589036$功夫熊猫3$LORENZO 洛伦佐$2016-02-13 17:16:35$1$带着小盆友们去看的英文版。每部都很好看，这部依然如此，不过没有进步就意味着退步呢亲。
187$11589036$功夫熊猫3$小张$2016-04-30 20:12:11$0$功夫熊猫3.
188$11589036$功夫熊猫3$🍜 𝐋𝐨𝐮$2016-01-30 14:59:53$1$外国人啊，怎么就反而把我们中国的东西拍得这么好看。画面和细节都这么精良的😹
189$11589036$功夫熊猫3$danver$2016-02-05 20:23:39$1$要讲3D动画的完成度除了他家也没谁了，在各种意义上。虽然这片完全不是我会喜欢的类型，可场景真是美，音乐也美，各种设计都很用心而且做得到位，节奏拿捏得不能再好，所以就算再不是type也得给它点赞。
190$11589036$功夫熊猫3$Queenside$2017-04-05 23:45:14$1$言值内涵并重，蕴涵深刻的中国哲学，值得反复观看
191$11589036$功夫熊猫3$vpglh$2018-04-27 00:06:41$1$垃圾，浪费时间
192$11589036$功夫熊猫3$神豚$2016-02-09 20:22:04$0$笑点有，泪点有，但剧情不如前两部。知道师傅是Dustin Hoffman配音之后，更加觉得师傅可爱了XD PS.有海豚铠甲！
193$11589036$功夫熊猫3$笨锅$2016-02-03 23:05:52$1$有点失望，创作灵感似乎有点枯竭，笑料也越来越少。不再期待第四集了。
194$11589036$功夫熊猫3$给我个电话亭，我要拯救地球！$2017-03-09 20:55:29$0$制作美工强到令人发指 但我能说熊猫村好可怕吗 一群黑眼圈脸煞白的大墩子 要做噩梦了。。
195$11589036$功夫熊猫3$江南$2016-01-29 22:22:56$0$有笑点，没有能让人能回味的地方
196$11589036$功夫熊猫3$隔壁家的桃太太$2016-02-25 18:01:49$1$理念我各种喜欢，得了道的人们浑身都散发出圆转如意挥洒自在的劲儿，那个精气神是妥妥的中国大侠的精气神，特别棒。扣一星是因为最终大决战略嫌简单潦草。
197$11589036$功夫熊猫3$隔壁LEO在唱歌$2016-01-31 10:25:12$1$也就是说最终决战的地点是四川成都熊猫基地呗。。。
198$11589036$功夫熊猫3$Tom$2016-07-13 16:51:41$0$这个系列唯一的黑点在于，编剧在试图解释中国古代文化里诸如道、气这类形而上的东西的时候，因为理解不够透彻，导致剧情设计出现随意性和逻辑硬伤。具体的表现就是阿宝每次都是一言不合就开挂，糊里糊涂掌握一门新技能，然后糊里糊涂把反派给干死。
199$11589036$功夫熊猫3$touya$2016-01-30 19:18:51$1$这是部“好看”的片子，画面特效很棒，乌龟大师和天煞的那段水墨画过往细节绝了，卷轴上的中文值得好好读。配乐只能说接着给寂寞神跪。至于剧情嘛，就是阿宝再次无师自通掌握逆天神功，不讲道理的KO反派，剩下的时间就是组团卖萌搞笑。自打发现Sifu的小辫辫后就分分钟出戏到Obi-wan~
200$11589036$功夫熊猫3$daangel$2016-02-03 17:48:50$1$用一个西方的理念：做自己，来表达一个东方的概念过犹不及，再辅以“气”的神秘，3D龙特效玄妙，这锅东西方大杂烩算是不错了。
201$11589036$功夫熊猫3$Zizi在十年前$2016-02-19 20:37:15$1$"功夫熊猫3终于脱离单一的物理攻击，追求中国的魔法攻击“气功”。
别说歪果仁为什么能做这么原汁原味的中国风，因为人家有中国团队。这种片子就是娱乐罢了，也不用追求什么深刻含义。特效不用说，镜头画面都很棒。最后的《kongfu fighting》每一次听都很燃。"
202$11589036$功夫熊猫3$健三快跑$2016-02-01 20:27:02$1$熊猫武僧大战牛头术士，就当是给魔兽预热了。
203$11589036$功夫熊猫3$仲秋月含颦$2016-05-15 10:38:35$1$我觉得挺好，不知为何分数没想象的高。对于中国气、太极与中庸的解释挺不错，细节体现也完美，每次看此片都会觉得国人自己拍不出很惭愧。所以那些借题发挥说中国文化在国际扬名其实换句话说应该要感到自卑。“让每个人做自己”的思路挺美国的，中国古代虽然也有因材施教，但发展至今只剩强制灌输塑型了
204$11589036$功夫熊猫3$[已注销]$2016-05-24 18:10:46$0$滾滾 又是坦又是奶妈 生不如养
205$11589036$功夫熊猫3$猫哥1234$2017-04-02 20:15:37$4$很热血，不过还有待进步
206$11589036$功夫熊猫3$傻乐的猫$2016-06-16 23:57:19$0$吸星大法混搭降龙十八掌。结尾有点像《无极》。
207$11589036$功夫熊猫3$杉爷$2019-11-15 02:58:18$0$可爱
208$11589036$功夫熊猫3$mikaholic$2016-01-31 18:08:57$1$画面和动作场景还是可以的，就是故事实在太无脑，笑点也不怎么样
209$11589036$功夫熊猫3$D$2016-06-06 21:31:32$1$画面和音乐都美到哭，但我脑子里总飘出金莲教实在太容易出戏……
210$11589036$功夫熊猫3$Rilkelee$2016-02-28 21:35:28$1$龙猫大战牛版奎托斯，美术水准几乎五星，但剧情主题方面彻底沦为对消费者G点的资本算计。。。人生大概也许可能第一次独自在广州去电影院看片，结果居然是4D的。。。尼玛从头到尾座椅一直在摇就算了！乱喷气就算了！可尼玛别喷水啊！别喷水啊！别喷水啊！一部片看下来晕车的感觉都有了！！
211$11589036$功夫熊猫3$张翔森$2021-06-06 04:02:12$1$在电影院看的，晚上八点场，观众爆满。融合了很多中国的元素，但里面的角色却说着一口流利的英语。
212$11589036$功夫熊猫3$萨嘎摩哆熊猫桑$2016-02-13 18:21:48$2$再次证明了两个爸爸也可以把孩子养得很好。3.5
213$11589036$功夫熊猫3$游牧人·芳汀$2016-09-23 23:33:14$1$想移民去熊猫村生活
214$11589036$功夫熊猫3$数数数数数$2016-08-10 10:23:44$3$还是不错滴，好喜欢中国版的美美配音
215$11589036$功夫熊猫3$夏至花开$2016-02-14 18:35:37$1$这么高分是为什么，我邻座的十岁小朋友都在吐槽主角光环开挂开的过分了
216$11589036$功夫熊猫3$江湖遠人$2016-05-14 15:05:41$0$Йёоудёэнл ўулйау.
217$11589036$功夫熊猫3$樱夏枫雪$2016-03-22 23:34:03$0$与之前的几部相比，这一部并不怎么喜欢~感觉就是怪怪的，画风也变了~
218$11589036$功夫熊猫3$江南草$2016-01-23 21:45:33$1$为什么豆瓣说1月29日才上映？那我刚刚在电影院里看的是什么？阿宝虽然胖但是阿宝的亲爹更胖……不过话说熊猫也没有不胖的。
219$11589036$功夫熊猫3$阿捷赫公主$2016-02-01 04:32:55$1$对于中国文化的准确理解，美国轻松英雄主义快餐，好看又有趣，视觉效果绝了
220$11589036$功夫熊猫3$大麻咧空啪$2016-02-11 14:25:54$1$拿着最棒的特效做出最垃圾的故事，这就是美国佬的能耐~
221$11589036$功夫熊猫3$骡子骡子$2016-02-01 09:19:11$1$扯到这份上，还能有第四部吗？
222$11589036$功夫熊猫3$本味何知$2021-08-18 21:23:03$2$正角决战时集体领悟气功太牵强，熊猫的神龙模式跟开机甲似的忒二，反角跟第二部心怀工业化理想的沈王爷一比也很掉价。另，黄磊、王志文、张国立、姜武台词功底靠谱，成龙也还不错，在10年代流行的明星国配（标榜什么自然）里难得的专业。
223$11589036$功夫熊猫3$软蛋黄$2016-02-17 23:49:25$0$春节档期内稍微还给观众作正常智力的电影竟然是这部动画片
224$11589036$功夫熊猫3$451½°F™$2020-06-18 16:14:08$1$继续「熊猫崇拜」，一群野生熊猫可以无师自通成为「气功大师」，对于中国传统文化的漫改已经达到弱智和侮辱的程度，唯有鹅爸爸的拳拳爱子之心成为最后的救命稻草。
225$11589036$功夫熊猫3$cc独尊$2016-08-20 00:08:54$1$Po哈哈，越看越可爱...功夫中的“气”，灵界都出来了，看来神话中的三界都得来了...导演竟然是棒子后裔，唉....英文版配音强大
226$11589036$功夫熊猫3$游坦$2016-02-18 21:58:51$1$美术高级呀 动画产业新阶段  别的就哈哈哈哈完就得了
227$11589036$功夫熊猫3$prost$2016-02-01 16:39:22$0$好吧，不如2，剧情一般，画面挺美的
228$11589036$功夫熊猫3$阿依达$2016-12-02 14:19:29$1$中国脸中国字，性格却是典型美国Jack Black式的。原来师父乌龟是看脸招的徒弟。中国风元素简直美轮美奂，剧情略俗套，可是看到结尾以及创作名单时，有一种迫切地想要置身其中的感觉。而今年夏天我也算是短暂地与某电影团队共事过，真是不知何时才能从business &amp; Legal队飞到production side那里去。
229$11589036$功夫熊猫3$清玄子$2016-05-19 14:03:14$1$很喜欢！
230$11589036$功夫熊猫3$玉玉的注水阿龙$2021-11-11 22:13:14$0$少拍点熊猫村卖萌的情节就好了
231$11589036$功夫熊猫3$年上党怎么办$2016-03-26 20:59:07$0$还是值得一看的，但是感觉没有之前那么精彩了，不过画面整体设计真的很棒 这部反派有点弱，角色音乐倒是蛮好听。最喜欢的是鹅爹   3.5分 休闲放松看看也挺好。小蛇居然是刘玉玲！！！从未认真看过配音表的我= = 哎嘿？居然还有踩着大圣归来打分的？各有千秋而已，玩什么逼格
232$11589036$功夫熊猫3$水脉$2016-02-17 23:51:28$1$睡的挺香
233$11589036$功夫熊猫3$Lonely$2016-06-16 15:04:26$0$创意没有以前好了，熊猫村那里好萌。。。勉强给个 8 分。。。
234$11589036$功夫熊猫3$与碟私奔$2018-06-21 16:28:26$1$【补標】电影院看过
235$11589036$功夫熊猫3$英国病人$2016-01-23 23:36:54$0$当年的惊艳已变作熟稔的套路，但仍不负四年多的等待，与那些烙印般的幽默、义气和良善重逢，就像与老友围炉叙旧般亲切无拘。归家的阿宝带来了前所未有的情感力量，也续写了成长和自我发现的主题。中美团队继承了前作对中华文化的宝贵尊重，沿袭了润物无声的写意叙事，更证明了动画3D也能美到灵魂出窍。
236$11589036$功夫熊猫3$kiki204629$2016-02-11 13:21:25$1$终于还是去看了这部动画电影。欢乐的电影，很接地气的梦工厂出品，阿宝的亲爹原来也是逗比，当然我还是更喜欢鹅老爸。不必把他们教的像你一样，只要把他们教的像他们自己就好，做最真实的自己。大道理在动画片里总是浅显易懂，小朋友们都懂了，你懂了么？
237$11589036$功夫熊猫3$左胸上的吸盘$2016-07-08 21:12:54$2$勉强两分，故事仍然无聊，还是那个套路呗，来个牛逼敌人秒背景六人组，最后熊猫杂耍就收拾了局面。比上一集的好处是喜剧部分的设计，有两三处还是挺好笑，画速写什么的
238$11589036$功夫熊猫3$影$2016-03-04 07:17:14$0$电影院和我媳妇看的国语配音版，感觉还是不错的，觉得英语配音版会更有味道
239$11589036$功夫熊猫3$口苗君🌊$2016-01-31 23:29:20$3$一般
240$11589036$功夫熊猫3$精神病患者$2016-01-22 22:27:42$1$一贯高水准的特效和好莱坞式的剧情模式，贺岁大片一贯模式。最后还是教你我要心存善良并勇于牺牲，要有反抗一切的力量。好吧爆米花搞笑坚固就酱紫
241$11589036$功夫熊猫3$Jin$2016-01-23 16:42:17$1$"有些老梗听疲了（特别是当星爵太深入人心）但 comic timing 抓得相当准，还有""roll"" 的双关，超好笑。总的来说第三部的大招主要是熊猫和包子的数量。"
242$11589036$功夫熊猫3$tikey$2016-02-22 15:38:46$1$别出心裁的地方依然有，但是整体不如上两部。剧情拼凑感很强，阿宝总是远弱于敌人，却在一分钟内修炼了绝世神功，实现反转，太牵强。中文全明星配音确实很棒。
243$11589036$功夫熊猫3$Enjoy🌈Rachel$2016-02-04 21:56:34$0$感觉整部片子的亮点就是结束一亮灯开始放配音演员名字，老白的声音我都木有听出来呀！还有Jolie女神！另一个亮点就是我中了一台空气净化器（单位组织看然后抽奖中的哈哈哈）
244$11589036$功夫熊猫3$flyinace$2016-01-25 10:45:06$1$我不记得这系列电影有那么二啊。。。
245$11589036$功夫熊猫3$颍原真吾$2016-08-29 10:08:07$0$我不希望你變成我，我希望，你變成你自己。
246$11589036$功夫熊猫3$飞天PP猪$2016-02-01 23:09:40$1$2016.02.01，1912中影，贾蓬。
247$11589036$功夫熊猫3$crow$2016-02-27 20:27:20$1$个人还是不建议去看国语版
248$11589036$功夫熊猫3$阿子儿$2016-01-23 16:45:09$1$假如非神龙大侠不能贯彻这样的三观，那么诞生神龙大侠的土壤是什么？@新天地UME&amp;乔森
249$11589036$功夫熊猫3$寒狐传媒$2016-04-08 00:03:11$0$4.5星。能把中国元素发挥得这么淋漓尽致，多少有点汗颜。
250$11589036$功夫熊猫3$踢迩达$2016-05-19 06:57:45$0$关于“我是谁”的这个问题终于在三部曲的末尾得到了解答，虽然处理方式玄而又玄。充满西方对东方浪漫化的想象，和对哲学问题的玄妙化解答。好在收官了，不然也是无以为继了....
251$11589036$功夫熊猫3$Aboo$2016-02-03 22:33:26$1$这集的故事是卖萌之余送的吗？很水。一味幼稚向加了那么些萌萌哒角色以至于老员工戏份锐减，就几个镜头，两三句话，连扁平化都称不上。娇虎都没戏这事对吗？
252$11589036$功夫熊猫3$望仔放弃减肥了$2016-02-05 22:20:53$0$剧情还能更扯一点吗？尤其最后简直开挂到不能忍啊！我国两大标志性动物（？）居然还特么合体了？连一大堆圆滚滚都拯救不了这剧情的薄弱，然而效果又是真的好看，你们出短片就好别硬拗故事了好吗…
253$11589036$功夫熊猫3$yadiel$2016-01-29 19:23:46$2$故事很差，各种漏洞不和谐，不过画风特效真的很赞，我看的2D版的超级漂亮，都想看3D版了。
254$11589036$功夫熊猫3$苏乏$2016-02-01 13:27:16$0$第二部和第三部算是诚意满满的续集，抛开故事性这么艰深的话题，在文化商品这一块，处处皆设计，完美得令人胆寒
255$11589036$功夫熊猫3$黑白郎君南宮恨$2016-01-31 18:03:19$0$还挺棒的呢
256$11589036$功夫熊猫3$夜观风$2018-04-11 22:23:10$0$"预算：1亿4500万
首周末票房：4128万
北美票房：1亿4352万
全球票房：5亿2117万
上映日期：16.01.29
上映周数：25周
分级：PG
最高院线数：3987
北美最高排名：1"
257$11589036$功夫熊猫3$第27章$2016-03-22 22:28:15$0$中规中矩，更多地融入中国元素，画面更美。作为此系列第三部，已经没有突破，没有惊喜的的地方了。
258$11589036$功夫熊猫3$Dreamer$2016-06-09 10:23:17$0$这部还不错，水墨画风超美，很写意的感觉，气功很酷。青出于蓝而胜于蓝。
259$11589036$功夫熊猫3$Ｍ．$2016-05-04 07:05:41$0$傻白甜panpan。not turning you into me, but turning you into you.觉得老外的动画片都这么哲学励志真是从小洗脑
260$11589036$功夫熊猫3$morpheus2199$2021-10-13 13:41:37$1$三部作品中最差的一部。整部下来就在那边打打闹闹，前两部的深度丢的一干二净。希望第四部不要再拉垮了
261$11589036$功夫熊猫3$保小罗$2016-01-29 21:49:19$1$功夫熊猫不讲功夫
262$11589036$功夫熊猫3$Dita$2016-02-03 23:00:56$0$看的imax中文配音，真是看得最没有违和感的配音片了，对口型好评！画面精美，中国元素很业界良心！
263$11589036$功夫熊猫3$杰诺拉泽$2016-05-17 22:39:39$0$kung fu 胸毛~！！！~ 标准好莱坞电影 简单的故事 精致的情节 细节和场面
264$11589036$功夫熊猫3$摩诃曼珠沙华$2016-01-23 17:33:48$1$又是一个发现自我，超越自我的故事用中国元素和美式笑料包装出来。比不上第一集那种突破了，还是一个中规中矩的故事，略微沉闷...
265$11589036$功夫熊猫3$Fiona和平$2016-02-03 22:03:08$0$看哭了，可好玩，滚来滚去的熊娃看不够，可是熊猫其实还可以在可爱一点的，比如最近网上传的那个佛拳，超口爱
