$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$30128916$夺冠$段尽欢$2020-09-25 21:33:46$3224$彭昱畅长大之后果真变成了黄渤😂
144$30128916$夺冠$深邃$2020-09-25 22:33:07$10$围绕三场比赛来拍还蛮有想法的，如果陈可辛和编剧能仔细研究下艾伦索金怎么写乔布斯的话，可能就不至于拍出这么鸡肋的第二幕。
145$30128916$夺冠$惘然$2020-09-26 14:41:34$6$"陈可辛很会选取呈现内容，看似拍了三场重要的比赛（每场比赛因为有了情节铺垫，于是看得人心潮澎湃），实则展现的是女排在这几十年时代浪潮中的起伏。比赛有胜负，状态有高低，情谊有聚散……

当年，我们缺乏计算机的辅助，就努力拼搏挑战极限；后来，物质条件好了，科技跟上，我们更需要学会用头脑打球。什么是女排精神？大概在这些现实条件无法抵达到的地方，我们凭借智慧、毅力、刻苦、用心……终于做到了，就是女排精神。

巩俐的演技一如既往的稳，演一个众人皆知的偶像很难，演一个仍旧在世的公众人物难上加难。但巩俐一举一动每个眼神和每句台词都不是演，而就是一个严厉又柔软的女排教练，把对排球的爱与伤痛都静水深流表现了出来。看文艺作品最终看的还是人物啊，是人物个性与大环境的融合与碰撞，是人物在变幻莫测时代中命运的跌宕。"
146$30128916$夺冠$北河沿井斯塔$2020-09-26 19:01:25$12$陈可辛是唯一拍主旋律能让我看得下去的导演，而且能看出真感情，从十月围城到夺冠，民族主义不过是外壳，真正核心的关切是一贯的:人怎么面对时代变化留给个体的新困境和新命题。郎平那句“历史包袱由我们这代人来背，你们应该打出你们自己的排球”也算是对当代国人的期望，当你可以不再只为国家、社会或家人奋斗，你怎么成就你自己的意义？遗憾后半段郎平的戏盖过了新女排队员，其实她们的成长史是中国女排精神从民族精神向现代体育精神转型的象征。
147$30128916$夺冠$小A$2020-10-01 20:15:11$6$很好的剧本，用三次大赛表现中国体育人价值观的转变，从为国家打球到为自己打球，从集体主义到发自内心，从拼狠劲拼韧劲到科学的训练管理方法。不管是做体育还是做任何事，都需要顺应大势，谁能把握趋势谁才能走在前沿。
148$30128916$夺冠$不露屁股布丁狗$2020-09-26 10:53:50$27$看逃跑了
149$30128916$夺冠$盘子$2020-09-30 23:52:39$13$其实应该三星的，但太烦了：为什么陈可辛和张骥会丢失了故事只剩全篇鸡汤台词？为什么已经如此主旋律了，原型人物还是不满意且可以让这么多人名字不能出现？一位教练当然也是不常看电影的普通观众，那么他认为什么样的电影才是他满意的电影？为什么普通人如此需要全面正确？群众是不是有煽情点就能喂饱？80年代初的全民记忆可以只有场面戏就让当代观众全盘接受吗？……女排队员们特别好！比赛也拍得好看的！但我们的运动竞技片怎么就变成了这样！
150$30128916$夺冠$水木丁$2020-10-01 20:17:27$10$座无虚席！比赛得分的时候，我旁边的大姐特别激动的拍手。电影结尾的时候，放王菲和那英唱的片尾曲时，有一些老女排的镜头，没有一个人离场，都静静的看着。特别适合和父母一起去看这部电影，他们一定会非常有感触的。
151$30128916$夺冠$核桃子$2020-09-25 23:48:37$5$咦，我竟然觉得还挺好？一是没拿性别做文章，在国内其实还是挺不容易的，二是爱国主义教育尬啥的在我的范围内，其实后半已经强调更正常更多元的价值观了呀，不觉得那句“中国人那么强调输赢就是因为内心不够强大”说出来挺厉害了吗……
152$30128916$夺冠$德卡的羊$2020-09-26 12:20:22$9$80/100，CINITY#48帧版////需要预先适应意识形态符号的大量存在，另一角度，似乎也完美还原不同的时代景观。之后在前半段方能看到一组极其强硬的对抗：身体机能与外部的赛博格之力，泪、汗水或血液混合。后半段是更为纯粹的意识形态与个人意志之战，也是某种转向的开始。全片不依附人物形象的写作而成（但大量金句的植入算是败笔），是我们看见纪录般的4K格式摄制，或数字信号拟像。剪辑试图拼合整个国族的时代精气，视线互相穿插，后半段极其顺畅，简明地连接起群体情感。当然尚不及《社交网络》，但我认为本片是在此方向上的。
153$30128916$夺冠$小橡之无限弹$2020-10-01 23:16:19$5$多一星给巩俐和一个正确拍摄女性的手法
154$30128916$夺冠$有1…无聊$2021-02-13 13:34:11$20$过年无事，在电影频道看到夺冠，看到最后的国旗升起时，内心潮潮的，一部电影能给人带来感动，在我看来已经可以了，剧情流畅，巩俐黄渤的演绎也足够精彩
155$30128916$夺冠$唐山$2020-09-28 13:19:26$8$基本就是《地雷战》的现代版，剧情完全是按《地雷战》铺开的。
156$30128916$夺冠$古月敏儿$2020-09-26 08:20:26$24$要不是陪长辈去看，我压根不会去看这种电影，就连长辈也说很烂，还不如体育频道的纪录片呢！
157$30128916$夺冠$余小岛$2020-09-26 01:09:49$15$三场比赛剪影，两个时代对撞，当年那种全民相信未来一定会更好的傻劲已经不再，精神是什么也已经没那么重要了。最好的一句是说出来：为什么我们这么在意输赢？因为我们内心不够强大。
158$30128916$夺冠$Mr. Lei$2020-09-26 01:53:33$3$陈可辛不算华语电影最顶级的那一批导演，但应该算得上活儿相当好、懂创作也懂市场的精明导演。他的长处是在一个故事中能够保持叙事高度的完整性和流畅度，在通俗意义上显得很“好看”。《夺冠》这个片做得确实不好，难以发挥出陈可辛的优势，也许是各方压力平衡之下的妥协结果。虽然有个人意志与集体精神的探讨，但大部分还是沦为飙肾上腺素的体育片（全片多处口型对不上，鸡腿也没了）。期待《李娜》多一些，那是个更有趣的题材
159$30128916$夺冠$外出偷狗$2020-09-30 09:23:44$7$浓缩为三场比赛的女排故事无法不令人想起三场发布会的乔布斯传，但女排故事不是现实扭曲立场，也不是郎平一个人的故事。影片像八佰一样混杂暧昧，持不同观点的观众都能从其中找到自己想要的内容，但效果都非常别扭。不同的是它又需要和现实内容互相支持比照，无法独立存在。女排故事确实是一个很Chinese的故事，幸而结局还算不错。内容不多做评价，最大的观感其实是声音做得太差了，不仅有无法出现的名字生硬的口音大量对不上口型的配音，还有各式场馆里毫无层次的声音表现，非常可怕。
160$30128916$夺冠$塔塔君Minkun$2020-09-26 20:21:29$6$原本以为整个片将大篇幅地对80年代的女排进行百分之百自慰式的怀旧与幻想，没想到其怀旧对象还包括了已经过去12年的北京奥运。正如球场强光洒在了这些40年前的女孩身上，来自叙事之内的打光让过去记忆的蓬荜生辉有了“借口”，怀旧是合理是必要的。相比16年的里约奥运作为进行中的现在，80s～08年的连贯性不断被资料式的字幕消解，散落的记忆串起的是一个从光辉走到尽头的集体主义念想，并赋予了下一个时代的家国同构的反思任务。
161$30128916$夺冠$Derridager$2020-09-25 22:05:54$6$试图在简单的传记（宣传）片中作局部调适，懂的人也许会懂。就传记片而言，虽然时代切换过快，但是对比赛的还原度较高，有在电影院看奥运会的感觉。一旁的壮汉最后潸然泪下，啜泣声连连。情感公众的形成，不一定要上街。
162$30128916$夺冠$内陆飞鱼$2020-09-26 12:36:40$7$陈可辛拍《夺冠》有些像杂技演员走钢丝，平衡要求很高，作为一个一丝不苟的匠人型导演，他再次成功了，燃烧与感动，大我和小我之间与时俱进，处理得不错。中国女排的故事几乎是国人皆知的历史，而且当事人几乎健在，怎么在历史真实与“影像真实”之间搭建有效的桥梁，找到合理动人的细节，是有难度的，陈可辛的用功值得很多导演去学习。
163$30128916$夺冠$fomalhaut$2020-11-30 00:33:25$2$你爱排球吗？不爱，我要去考大学了。 你为什么打排球？为了父母，为了我自己，为了成为你。你们中国人为什么这么看重一场排球比赛的输赢呢？因为我们的内心还不够强大，等有一天我们内心足够强大了，我们就不会把赢作为比赛的唯一价值。
164$30128916$夺冠$终有弱水$2020-09-26 08:14:33$23$夺冠，全程用台词硬推剧情，无脑煽情加穿插金句…电影演到一半电影院走的剩三个人…其中一个还是睡着了的…
165$30128916$夺冠$蔡敏敏$2021-05-25 21:40:54$0$中国女排🇨🇳
166$30128916$夺冠$RYZ$2021-01-19 21:44:49$11$感觉导演和编剧被你菊按头拍摄，观众也被按头流泪了
167$30128916$夺冠$诸葛福媛$2020-09-27 12:33:31$3$"陈可辛拍主旋律，就像郎平带得新女排，有一种与时俱进、商业化、职业化了的味道，但是没有丢掉那股精气神儿。电影做点艺术化处理，我觉得完全没问题，想要更贴合史实的话，干嘛不去拍/看纪录片啊？
PS：陈可辛执导功力很棒啊，白浪和女排姑娘这群“素人”都演得非常好，巩俐发挥如常，彭昱畅也还可以，反倒是黄渤，表现明显低于我对他的预期，好演员果然是不能上太多综艺。"
168$30128916$夺冠$*******$2020-09-29 16:50:53$3$女排是了不起的一群人，但电影拍得和八佰一样自相矛盾，在快乐和苦练，为自己和为我们之间捣浆糊，这当然是现实里，共同体认同混乱的反映。
169$30128916$夺冠$SELVEN$2020-10-01 07:16:50$9$50/100 如果女排精神不再以集体主义来阐释，那么它在现在的语境下就没有意义了。想通了这一点我就明白了为什么这个电影拍的如此拧巴了。
170$30128916$夺冠$给你我最亲爱的$2020-09-30 16:14:38$4$3.5星。全篇没有陈忠和&amp;80年代运动员的名字出现就很觉得可笑，要不看评论我都不知道黄渤和巫刚演的是谁。前片段打球只靠强加的感情牌觉得很拉垮，好在后半段巩皇和排球姑娘们的本色出演燃起来了。夺冠什么的都是假的，中国女排才是真啊。
171$30128916$夺冠$巴塞电影$2020-09-26 10:43:56$7$"
三场比赛，两个年代，一种精神，《夺冠》是真的精彩，情绪和张力满分。陈可辛用一种新的方式，讲出这段离我们不算远的历史，既展现了“老女排”“新女排”的差异，又用女排精神把电影串联起来，既纪录大的历史和时代变迁，又关照了个体细腻的情感。可以说，这片给了中国体育电影一个新标杆。其实重现女排故事的难度并不小，毕竟很多事情是已知的，不能虚构，甚至本该最有悬念的比赛结果，路人皆知，直接写片名了。但《夺冠》最棒的是，你明知道结局，还是沉浸在故事和情感里，跟角色一起揪心，为她们感动落泪。这和电影力求的真实感分不开，尤其结尾高潮的中巴比赛，从朱婷张常宁惠若琪等等女排运动员真人出演，到比赛场地还原，完全就像大银幕看真实的奥运会比赛，刺激体验拉满。最后总结就一句，《夺冠》超燃，女排牛逼！
 "
172$30128916$夺冠$兔安叽$2020-09-26 16:21:35$8$这么好的题材，这么好的导演，这么好的演员，叙事结果被某些人搅得稀烂。只剩下民族主义生理性催泪。比赛画面拍得非常好看，演员真实的状态也特别好，但是大段文字叙述太难看了，像一个人被肢解了又强行缝上。
173$30128916$夺冠$世界的焚像.$2020-09-26 14:14:38$8$优缺点都很突出。不足之处在于所有戏剧效果都是通过事无巨细的提前铺垫、强情感度的配乐与场内场外交互出的蒙太奇来完成的，而并非源自于排球本身作为竞技体育所具有的独特竞技魅力。而如何把体育项目的规则特性与竞技魅力转化为独特的戏剧张力恰好是体育题材电影的核心要义。优点则在于陈可辛对女排精神的诠释，“女排精神”发展到今天已不仅是牵连着国家民族荣誉的集体主义精神，现今时代潮流赋予其一种追求自我/实现自我价值且卸下民族包袱的新个人主义，这种新个人主义区别于以往，它是在集体中实现自我价值的追求，是在民族/个体的两重张力中重塑自我主体性的探索。陈可辛对女排精神跨时代的诠释相当到位。
174$30128916$夺冠$猫觅$2021-02-12 10:45:48$1$虽然某种主义情结泛滥，但是就改革部分郎平呛那些伏地魔的情节，满分不够得给200分。某些伏地魔说“太复杂了，我都高血压啊”，这特么什么心理素质，说几句话就高血压证明应该到时候退休回家了。抓作风问题，不能继续排名第一，而且所有体育项目都一刀切，不根据不同运动而变换训练策略。想起来游泳的那个奇怪的体能测试不能参加奥运会真是太搞笑了！
175$30128916$夺冠$黄悦_$2020-11-30 22:07:01$1$看下来觉得 那些比赛画面就算是加了很多回忆闪回和旧录像填补 也改变不了这些比赛太过于戏剧化太过于没有质感的问题，觉得还不如做成纪录片，另外，郎平对于在美国队教练和中国队教练上的不同心境 陈导也或许过于主观色彩。我爸一直不喜欢郎平 觉得郎平回来当教练是因为许家印的500万 他说 如果古巴500万请她当教练 那还是不是爱国精神？我想回答他 美国队教练的位置上的赢和中国教练的位置上的赢 郎平肯定更喜欢后者吧 女排精神不是赢了几场球喊喊口号的东西 应该是那种被按在地上摩擦过最后涅槃重生永不服输的那种劲儿。哎呀 兄弟们这可是中国女排啊 还有什么原因可以给差评呢！姑娘们太好看了！这段历史太好看了！永远爱中国女排！
176$30128916$夺冠$暴脾气的唐抓抓$2020-11-28 22:57:35$9$剪辑太乱了……还有种强行上价值的感觉。
177$30128916$夺冠$初音大西王$2020-09-25 23:55:01$7$"7.5分，《摔跤吧爸爸》那种电影都能有9分，这电影不说有9分，至少应该有8分吧。不是非要比阿三的电影高，最起码不能差太多吧。
《摔跤吧爸爸》着重刻画几个重要人物，《夺冠》给我的感觉导演本来是想拍群像戏，结果大部分戏份全集中在郎平身上了。摔跤这种单人运动自然重独角戏，但排球这种团队合作还是拍群像更好吧。不过这也不是什么致命缺陷。
要说这两部电影给我感觉的最大区别，《摔跤吧爸爸》是在爱国与女权之间选择了女权，《夺冠》是在爱国与女权之间选择了爱国。个人感觉。最后豆瓣的价值导向就决定了分数高低。
最后，电影中的巩俐看起来挺高的，是踩了高跷吗？
补:体育题材的电影我看的挺少的，我说的不一定准。"
178$30128916$夺冠$路漫漫$2021-05-11 18:29:03$0$什么操作，改名了？我还以为这是预告片。
179$30128916$夺冠$Cory$2020-09-27 04:19:36$13$从“中国骄傲”到“洋人走狗”再到“迷途知返”（甚至“师夷长技以制夷”？），郎平身上有许多归去来的故事可说，而在影片营造的土法炼钢与跨国主体的碰撞中，怀旧与接轨的欲望在不同节点被策略性地调度。影片触碰到了夺冠情结的历史维度（中国在国际秩序中的境遇使体育背负了一雪国耻的重担），又以翻篇的姿态教导新一代女排队员“为自己打球”、“享受体育本身”（且不论这些“正确”而空洞的忠告究竟指什么），但最终仍以夺冠时刻的国歌收尾，俨然是一整套试图调和当下意识形态分歧的太极拳法。
180$30128916$夺冠$津五渡$2020-09-26 23:56:19$4$郎平当得起这个体量，巩俐也演得不错，因为她俩多给一星。其实能想到改名风波的原因，中国女排命题太大，电影不是端水。不如拍成纪传体，这一部就讲郎平，砍掉黄渤饰演的陈忠和部分。然后，第二部单讲陈忠和2004年那一届女排，也能撑得起一部电影。体育电影不好拍，要做到比体育比赛本身精彩也不容易。女排粉、郎平粉看这片会加分，心底的爱让我们不会太客观。
181$30128916$夺冠$Jonathan$2020-09-26 22:36:50$9$因为是真的排球迷所以对整个过程和比赛是很熟悉的，总体感觉就像一个弘扬正能量的纪录片，而不是某种所谓电影的艺术。巩俐真厉害，有的尾音都很郎平，白浪可以走演员这条路了，女排姑娘真实演出也很赞，最惊艳的是我心中最佳外国主攻汤姆洛根竟然也出境表演了。我个人觉得女排精神是非正常化下的强制性政治任务生成，且不论是对是错，但一个没有精神的社会总归是不对的，比如现在
182$30128916$夺冠$momo酱$2020-11-28 12:50:18$0$"今年票价也太贵了吧！！！50往上
临上映改名，心慌慌

疫情后现在才看到，还是线下看的。本来学校有一次观影的，结果机子还坏了。一波三折才看到。
"
183$30128916$夺冠$白色太阳枪$2020-09-30 16:20:59$8$9.26延迟补// 即使能在一些细小的点中找到对女排自身、对时代以及对体制的反映与讨论与抗争（例如郎平对女排制度的改革，会议室之戏），但总体来讲还是有些失望。当所有的目光集中在郎平一人身上，老女排队员全体失去姓名，当巩俐的表演已是名声大于实际，黄渤和彭昱畅也只让我感觉在演他们自己，当这样一个从制作到卡司都让人期待的体育电影，居然也只会靠民族情绪的渲染烘托在影院让你落泪（八佰），我想我很赞同“这种方式的确奏效，但我并不喜欢”这一观点。能理解选择最有戏剧性效果的两场比赛来拍，但全片节奏还是不可避免的失衡，结尾十分突兀。大概因为是同一个制作班底？这部片在剪辑摄影等方面带给我与《少年的你》十分相似的观影体验，但曾国祥似乎在情感的把控上更加克制一些。（见仁见智吧我也看到许多言论说少你后半部分过于滥情…
184$30128916$夺冠$我累特$2020-09-30 21:24:04$7$姑娘们太棒了！可能没抱期待，全程燃一会儿哭一会儿，那个年代女排无路可退，即使知道不能赢，也得拼劲全力。有大格局时代感，也没落下细腻的情绪，我的排球知识储备极其不足，但是看完真想一路回味一下之前的比赛！喜欢喜欢喜欢！谁和我去再二刷一次呗？
185$30128916$夺冠$慈悲鞋底$2020-09-24 20:34:30$18$按演技排序：吴刚、巩俐、白浪、黄渤。五连冠和朗指导归来之间有点脱节生硬。女排精神永不过时。
186$30128916$夺冠$半勺糖$2020-09-26 16:57:16$15$有点失望，三段比赛，中日赛事比较激动，台下十年功一朝成名，五连冠让我眼眶含泪；中美潦草带过，脱离集体即使获胜也要被骂XX贼；郎导回归，参观了老训练场，颓了16年的女排中巴赛场就翻盘了？暴扣的场面确实比较过瘾…但是主题到底是女排精神还是个人传记？
187$30128916$夺冠$Azeril$2020-10-19 12:22:55$4$别的不说 哪怕是在片中泪点满满地聆听了两遍国歌以及一遍歌唱祖国这点 就值回票价了. 前半段 黄金时代的追忆部分是真的演绎得出色. 而如果说前半是以「我们」向外部世界去证明 后半段更多是以一种偏内心 自我的求索而展开的. 体育运动的主题片常有 而宏大叙事 又不失人情味的就难得了 陈导的功力了得
188$30128916$夺冠$包子$2020-09-30 19:10:06$6$前半段尤其尴尬，情节生硬，台词很差，铺垫不够就强行煽情。这么好的题材最后搞成这样真是令人生气。给三星完全是因为巩俐演得好。
189$30128916$夺冠$Andrew$2020-10-02 23:50:45$4$可能观影前被各路评价拉低了期待，看完感觉远超预期。表演、调度和视听都堪称完美，文本层面更是在无法言说之处暗潮汹涌。80年代部份有一种为集体理想献身的苏联美学风格在其中，而这一理想却在新时代受到了质疑：昔日宁可奉献出身体健康都要换取回来的短暂荣光，如今似乎再无当初价值，只有伤病乃至于过早面对死亡的可能性将伴随她们余生。08年奥运会的陈忠和vs郎平似乎带有些许“国家主义vs个体觉醒”价值激撞的暗示在其中（然后美国队赢了）。郎平回归国家队担任主教练后的剧情，更隐隐有种“借体育运动之名谈革旧制之事”的感觉，其指向的是对精神乃至更高层面压抑的抛弃。总之，所有的精彩和正常发挥都来自于主创和主演的功劳，绝大部分缺憾都来源于审查阻力的干涉。被绑着一只手都拍出了接近五星的水平，可以预定今年国庆档个人最佳了。
190$30128916$夺冠$洛$2020-10-08 02:43:17$11$虽然前几天没敢说但今晚睡不着就还是想写下。夺冠其实是一部极其勇敢生猛的反主旋律电影，至少在当今环境下它极其生猛。陈可辛几乎就是借着郎平的嘴向新一辈悄悄喊：丢掉我们的爱国集体主义吧，这自卑的破担子上一辈偿还就够了。很生猛，也删改了不少，但还是强烈地渗透出来。这片的缺点就在于不可直抒胸臆，需先虚晃一枪，导致了前后有因果但最终些许断裂。遗憾，但挺勇敢。不知道有意还是无意，最后本片策略变成“把爱国主义者骗进来杀掉”，不过依我看很多人其实连在杀他都意识不到，真是很搞笑的一个情况！
191$30128916$夺冠$游牧人·芳汀$2020-09-25 22:11:26$9$#电影院# 演员们演得都很好，排球比赛的场面也是调度得当，扣人心弦，可惜删减太多导致主副线叙事缺失，鸡汤太浓，一味地口号灌输式伟光正台词少了很多真实的人味。本来希望有陈忠和郎平从运动员到教练身份转换的两条平行世界线对比可惜没拍出来，比较喜欢08年失败后从低谷逐渐爬起来的过程，从“为了集体”到“为了自己”的心灵转变，可惜最后黄渤又跑出来喊了口号鸡汤落了败笔，毕竟在我国，个人意志还是不能凌驾于集体主义之上的啊。
192$30128916$夺冠$眠去$2020-10-01 10:43:32$5$从春节档推迟到国庆档，真的望眼欲穿，但不论多晚都要为中国女排买单，应该算是这个国庆最适合亲友齐看的催泪大片。还是最爱巩俐，大魔王连头发丝都是戏，她出现的每一秒都挪不开眼，吴刚、黄渤也同样足够亮眼，还有中日、中美、中巴排球场上的强强对决。ps又见陈冲小女儿，《误杀》完再《夺冠》，也太漂亮了！
193$30128916$夺冠$张春[阿卡纳]$2020-09-28 20:20:22$11$一次非常痛苦的观影
194$30128916$夺冠$本味何知$2021-02-22 00:40:46$3$拍成郎平传的确是最大的失败，重点全错，燃点全无，相比之下情绪游离于社会氛围之外都还在其次了。女排精神的传承全靠里约之前黄勃的几番话撑着，也还没说透，巩俐那些台词都啥玩意呀，不是说不能反对锦标主义（毛时代也反对，不知道的自行搜索“批判锦标主义”），问题是竞技题材你拍成这德性大家看个毛线？有人说不想赢的话应该找个学校当体育老师，我觉得不然，学生也不耐烦听那些“做自己”毒鸡汤吧，别看不起校队啊。
195$30128916$夺冠$番茄杀手$2020-09-25 21:39:18$3$唉只能说对这部作品充满同情 时间跨度大就算了 重要节点还特多 特别容易拎不清楚（事实上也没拎清楚）这种时间跨度下利用关键道具去呈现“变与不变”就特别重要 但很遗憾一个好的道具都没设计出来 不管是练球馆、一样站上领奖台、旧卫星电视等等 和之前时空的情感联结都特别薄弱 毛衣稍好但也显牵强；后段拍领导的部分太隔靴搔痒了 希望《李娜》不会拍成这样；值得同情的地方是陈可辛后段试图从个人情感体验再出发去理解集体和国家的意义 和前段把国家压在个人身上还是形成了有点力度的对比 呈现在情绪上还挺直观 前半郎平虽是特殊的一个 但她是集体中特殊的那个 后半则多少有些孤军奋战改变体制的意思 其他人能给予的支持是距离外的相信 但希望运动员成为一个更好的人的观念转变也没呈现好 光靠人物用嘴说郎平伤痕累累是不够的
196$30128916$夺冠$Olafisaac$2020-09-26 18:30:17$4$3.5 良莠不齐、好坏参半，但自然是一种类型的探索。评价时不必将意识形态的定义限制得如此狭隘，很多被意识形态包裹的场景，我倒觉得异质感很强。
197$30128916$夺冠$蓝风筝1986$2021-03-04 22:05:16$5$4.0。70年代聚焦一种集体焦虑，恨强不强，新千年聚焦的是人心涣散，价值虚无，这些基本都点到了，而且专注排球本身，郎平的处事难隐也拍的比较丰富，我本人对竞技体育一直都非常崇拜并敬畏，虽然电影看完了就完了，但竞技的张力还是能让我上头，无脑感动，像这种史诗级奥运赛场的时刻，面对对手根本没有武德可讲，干就完事了，就干！
198$30128916$夺冠$颜落寒$2020-09-30 23:33:10$7$更适合取名「郎平传」……
199$30128916$夺冠$受惊的兔纸$2021-07-24 22:37:12$10$黄渤依然在演黄渤，而不是陈忠和。
200$30128916$夺冠$火娃$2020-10-02 15:39:54$7$6/10。女排和攀登者的集体符号一样，同样不达到目的（夺冠/登顶）宁愿致残/牺牲，这与改革建设中国家迫切渴望崛起的时代背景密切相关，而陈可辛试图以私人情感打破这种急功近利的国家观念：郎平带领美国队胜利退场，场外观众对郎平的谩骂声经过消音，郎平在家切食材时，家庭朋友对电视上中国女排的失败感慨‘‘不如解散、比赛只是游戏’’，在郎平成为主教练提出大国家队的改革方案，需要投入巨资的建队宗旨与座位上其他传统者和官僚们形成对抗。与前一代主教练力求扩大人的运动效能、必须服从指挥的强硬相比，有着钢铁意志的郎平情感上对队员更通融，她通过发放调查表来允许国家队员退出，在队员自卑、迷茫的成长过程中，陈忠和来到队员露宿的老式训练场地，指着墙上斑驳球印这一英雄神坛的余痕，产生了剧烈情感辐射，蔓延至两位老友手机里响起的国歌。
201$30128916$夺冠$旅途行者$2020-09-25 10:47:09$113$看了点映，运动热血，还带点年代感，共同的记忆。墙裂推荐！
202$30128916$夺冠$glow$2020-09-30 17:38:27$3$"从过年到现在就一直在期盼看这部片子。
终于在九月上了，可以说完全没辜负我的期待。
两个多小时的观影体验竟也没觉得累，全程眼泪打转，因为足够好看。
几代女排人见证了国家的发展，特别是初代女排人在那个年代经历的我不曾经历过的历史令人动容，一想到我父母那带人是在女排精神下生活过来的就有一种莫名的感动。
另，初代女排们的选角和之前的原型也太像了，看剧照对比我都震惊了。"
203$30128916$夺冠$两条腿的狗$2020-09-27 17:24:20$8$如果排球不是一个人的运动就别把中国女排拍成郎平传。剧情也是尬得头皮发麻。16年的女排给人的感觉就是没刻苦训练，靠郎平的赛前讲话就客服了实力差距战胜了巴西。
204$30128916$夺冠$夏日扬帆$2020-09-28 22:29:40$4$大概只有在看体育赛事哪怕是体育电影时，我才是最爱国的那个自己
205$30128916$夺冠$Redux$2020-12-22 18:41:13$5$陈可辛北上的嘴脸太难看了
206$30128916$夺冠$Mayday$2020-09-30 16:20:41$6$感觉很多地方拍得都不流畅呀
207$30128916$夺冠$Philixing$2020-09-25 20:36:36$10$节奏很棒，巩俐和吴刚的表演不错 ，但是成片一般般，广告植入过多，有些很尬的地方，陈可辛尽力了，不喜欢彭昱畅
208$30128916$夺冠$沙力兔$2021-01-28 13:44:37$14$好姑娘光芒万丈 （巩俐一身黑西装 站在高台上宣布回归时太帅了（“我这辈子都陪着你练”
209$30128916$夺冠$yuanyuan$2020-09-25 21:41:35$13$因为它我们不够强大，所以需要赢。
210$30128916$夺冠$热乎冰块$2020-09-26 16:56:22$9$快忘了郎导本尊长啥样了，感觉就长巩俐这个样😂
211$30128916$夺冠$柠檬雨$2020-09-30 23:23:30$10$还不如看纪录片呢，无聊至极，看睡了
212$30128916$夺冠$Virgil$2020-09-25 21:10:40$8$我要看的是电影！不是广告和宣传！！！春节档广告+加长版感动中国质感👋看得整个耐心尽失。虽然对年轻郎平的演员有挺好的印象但👋（原来是女儿）
213$30128916$夺冠$澍$2020-09-26 13:01:07$10$因为先前看过各方面评论所以心理预期做得不高，但没想到完全超出，拍摄难度从三场比赛的阵仗，和角色内涵的把控可想而知。公众人物其实不好拍，发生的事件也因为距离并不远而难挑起观众情绪，但这部电影做到了。从八十年代的集体主义，到新时代体育的意义，时代变化让每个人对于女排精神的理解都发生改变。究竟什么是女排精神？兼容并包，顺应潮流，我想是最好的答案。
214$30128916$夺冠$嘉宝$2020-09-25 23:17:51$14$满怀期待大半年，但是不知道是不是因为之前期待太高了吗，看完觉得隔靴搔痒总是差那么一点什么一样。导演主演各个都喜欢，期待他们更好的作品。
215$30128916$夺冠$行走的斑马线$2020-09-25 21:00:26$9$这是目前国内体育题材最好的作品了
216$30128916$夺冠$次非$2020-09-26 00:30:17$1$小时候比赛前忐忑不定，队里的大男生说：爱拼才会赢。我信过，并还信着。 “一个人只能成为自己”
217$30128916$夺冠$苏娃$2020-10-02 22:51:28$8$甚至已不能称之为一部完整的电影
218$30128916$夺冠$飞侠式拼搏$2020-09-25 21:28:03$8$真的就是PPT电影，又平又散，人物也是纸片人。前半部分关于老女排的戏份过于冗长，老一辈成员除了郎平，其他人居然连名字都不能被提及，甚至在葬礼上都依旧抹去姓名，看着也是挺奇怪的。而电影的后半部分又与前面有着明显的断层。至于什么喊口号、煽情等问题都不想再提了。姑娘们是好样的，可电影却是令人极其失望的，还真不如直接去看女排的比赛集锦来得刺激呢。PS.真要拍中国女排，那04年雅典决赛的惊天逆转是绝对不可能落下的吧。只可惜电影拍成了《郎平传》，可又没有彻彻底底变为《郎平传》。
219$30128916$夺冠$何处合成愁$2020-09-25 21:30:13$8$不太打动我 太平了 让我感觉在写散文一样 不过巩俐演得很好
220$30128916$夺冠$江声走$2020-10-02 22:38:21$3$一部逻辑不自洽的电影。编导似乎是想通过几场重大的比赛，来突出体育人的价值观从集体主义到个人主义的转变，郎平在体育局会议的讲话也强调了这一点。但是当2016年中巴大战前夕颓靡的新女排被黄渤再次用“女排精神”激励起来的时候，影片又不得不立足于国家荣誉的价值之上。其实如果编导放弃挣扎，不要在中段强调什么个人主义，从头到尾用集体主义来推进，也是能拍到令人热血的程度的，毕竟排球本来就是集体项目。现在反而在国家与个体之间首鼠两端，失掉了中间的集体。整个电影看下来，既不热血（几场大战拍得不错），也没有什么有深度的反思。另外，这部电影的技术瑕疵太明显了，巩俐配音的口型都不对；巩俐与黄渤对话时候的正反打镜头也很跳戏，不像是商业电影的剪辑方法。
221$30128916$夺冠$山有林$2021-02-09 12:12:13$3$东京（袁）、北京（陈）、里约（郎）三个点贯穿郎平一条线的故事构架还可以，但这中间没有提炼出一个深刻的主题，用女排精神来概括显得太飘太空太俗。根子还是在于编的剧本的问题。
222$30128916$夺冠$桐初$2020-10-01 21:27:46$2$好看。[捂脸] 别的不说，真的是个绝好的故事。以及重回八十年代，哪怕一秒都好幸福。
223$30128916$夺冠$人出没注意$2021-02-01 03:54:06$7$最燃的是片尾。
