$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$25921812$驴得水$心生$2016-10-28 00:28:43$16948$过去的如果就让它过去了，未来只会越来越糟！
108$25921812$驴得水$黄小邪$2018-12-18 00:39:33$30$可能反感《驴得水》原因之一是片中人物没有基本的尊严和体面，这与社会地位无关。人在作践别人时，也在作践自己。在烂泥中生活，不见得是中国人的常态，也不必用外国人来啧啧称奇：不可思议的中国。女性因性观念开放就要被骂作“臭婊子”“公共厕所”而发疯；铜匠学了文化倒变得阴暗丑陋，真是有趣逻辑。也是奇怪，这么多”民国粉“宣扬”民国范“，为何选中的是钱钟书写的那种浅薄犬儒、贪图享乐、爱慕虚荣、自私自利软骨病患者，而不去看真正知识分子的风骨。谈”知识分子的脾气”也是可笑，愣头青在枪口下磕头如捣蒜，还振振有词说打入敌人内部才能实现自己的理想…感觉说整部电影“沐猴而冠”都抬举了。
109$25921812$驴得水$Indecent time$2016-10-28 18:02:16$15$不像电影，像是电影院的话剧，但是，剧本和主题真好。看完不知道从何说起，假如这部是韩国的片，又会刷爆朋友圈吧……
110$25921812$驴得水$水怪$2016-12-28 22:31:18$29$除了部分影射性的政治表述之外（但也和寒战2一样保留骑墙空间），表演极为装腔作势，人物情感同样空洞无趣，更何况还有在审美上极为疲惫不堪的置景与美术。年度最被高估的中学语文考试中心思想代表作。
111$25921812$驴得水$本来老六$2016-12-14 21:07:52$27$全部看完吐了
112$25921812$驴得水$刀叢中的小詩$2017-05-08 23:53:39$20$一个人的理想算不了什么，它就是一朵花，一根草，一个彩色球，但是一些人甚至一群人的理想很容易成为背叛或戕害理想的同谋。反而，控制一群人比控制一个人要容易得多。悲剧，从驴被人替代身份开始，善良最先被利用，自由最先被戕害，侥幸活下去的最后都成了老油子。
113$25921812$驴得水$虾坨坨艺仔$2016-11-04 18:04:54$16$3.5吧，故事真的挺不错的，但是整个电影给人的感觉就是“简陋”，道具像从剧场舞台上直接搬过去的，演员也像在演话剧，总之就是不太像电影。不过长得像冯巩的女主真的越看越美啊……我的审美可能没得救了？
114$25921812$驴得水$19号芒果狗$2022-04-15 22:43:34$26$"满屏都是讽刺与黑暗，好荒诞，人人都得不到利益。
校长说教育与学生，可到最后也没有看到学生的出现，只有画大饼。"
115$25921812$驴得水$起床，吃饭$2017-02-23 18:21:10$15$感觉铜匠很像《血色将至》里的保罗·达诺
116$25921812$驴得水$舟菖蒲$2016-10-30 17:19:29$59$泪流满面。最后去了延安，真尼玛细思恐极。
117$25921812$驴得水$鸟倦知还$2016-10-28 16:46:51$37$话剧走上银幕的佳作，很难得的讽喻喜剧。包袱，段子，反转，讽刺，对故事节奏的把控恰到好处，满屏荒诞，乐中带悲。
118$25921812$驴得水$幽灵不会哭$2016-11-04 09:57:43$14$居然能过审查，其中的众多影射官僚主义、拜金文化、封建迷信、文革批斗、贞节牌坊啥的太多了，魔幻现实主义像是三流的库斯图里卡，确实像是几个小品串起来的东西，没啥电影感，深度和反思也不可能比得上《鬼子来了》，但能有这样的故事还是能让观众在笑过之余能记得某些东西也算不错了吧
119$25921812$驴得水$地球没有人$2022-12-18 03:31:48$39$"真羡慕2016年啊，那时候的中国电影居然还有这样的主题，这样的尺度，才过去6年啊。
在一所学校发生的揭露人性的大戏，荒诞却又真实，主题直指体制内部。
“过去的如果就这么过去了，以后只会越来越糟。”"
120$25921812$驴得水$小野$2022-10-23 22:15:39$36$"神了，在我心里直接列为和让子弹飞一个级别的电影。看清楚了吗？女性即使已经""自贱""到这个地步，她的最后一点价值都要被唾弃她的人吃干抹净。男权社会下，不管是荡妇一曼还是学生妹佳佳，女人永远都是牺牲品。"
121$25921812$驴得水$choufishhhh$2022-06-15 01:38:10$37$"看了一半就难受到想撞墙  极度的生理不适  看完之后一股无名火不知道要如何发泄  毁掉我一整天的好心情当然不是说电影不好"
122$25921812$驴得水$祥瑞御兔$2016-11-07 00:26:15$21$姜文之后最好的在喜剧元素背后添加政治隐喻的电影。情节黑色到底，连看上去像为了过审的去延安字幕配上1942的背景都显得极为讽刺。不过无论是豆瓣为主的夸张一曼女权主义还是支护为主夸铜匠老婆的劳动人民无畏和有原则，都显得对电影主题避重就轻——前者可以说是没文化不知道萧红，后者就不要脸了。
123$25921812$驴得水$西四小二$2016-11-12 03:05:32$14$5分。不是一部好电影，也不是一出好喜剧。讽刺的意义是让人心痛，批判的目的是让人反思，一部好的电影、喜剧不该止步于残酷，且是一种人为堆砌痕迹严重的丑陋。期望能有一种怅然若失、如鲠在喉，但没有。无论让人开心，还是让人沉思，似乎不够到位。看似讥讽了所有人，但最后什么都没留下，这是遗憾。
124$25921812$驴得水$峰峰峰峰$2016-12-24 13:55:32$14$梦里不知身是客，一晌贪欢；流水落花春去也，天上人间。他人即地狱，我想去隐居～
125$25921812$驴得水$奔跑忘记忧伤$2016-10-27 20:55:38$69$可以看出来剧本确实不错，黑色幽默，隐喻，讽刺。。。。然而导演处理得不好，效果大打折扣，很多人物之外的信息都没有恰当的通过拍摄展现出来，都过于话剧化。
126$25921812$驴得水$旧书君$2016-10-28 23:48:50$26$看片需心中默念社会主义核心价值观。背景设在大民国居然就狡猾地通过了审查。一出无需捏他任何西方电影梗也能非常好看且后知后觉的剧本。屎尿屁到黑色幽默再到完全笑不出的荒诞讽刺。任素汐一百分。
127$25921812$驴得水$黑猫白猫$2021-02-17 02:49:01$12$就算不谈本片糟糕的电影语言，整部电影前半段和后半段也有种明显的脱节式观感，人物不像人物，言行缺乏内在逻辑，喷射而出的台词就像装好的子弹一样，只是为了借着角色这把枪打击编剧设定的目标，就算这是个寓言故事，也未免太露痕迹，这点上姜文的电影还做的更高明些。此外就是后半就像被人强按头观看人性里的种种腌臜之处，类似伊甸湖的观感，这种需要让人强忍不适看一个众所皆知的恶心东西的做法，确实大可不必。
128$25921812$驴得水$闲人$2016-11-04 18:00:10$24$话剧尤其是喜剧改编电影，可不是简单加两场戏那么简单，所有的笑点都要重做。这是个喜剧但并不好笑，所有的笑点依赖女老师的放荡，太致命了。
129$25921812$驴得水$锦翼$2016-10-29 17:33:26$21$讲过去的事，打得是现在的脸
130$25921812$驴得水$老人家$2018-01-25 09:27:19$20$此片辛辣讽刺，女主角形象演技真的不错👍，值得一看，其犀利风格合我口味
131$25921812$驴得水$惘然$2016-10-20 17:02:46$39$看到最后真的好难过……话剧有电影无法做到的癫狂，电影也有话剧无法企及的抒情。事情是荒诞的，世界是荒诞的，人性最荒诞。#一曼老师最美！#
132$25921812$驴得水$私享史$2017-04-01 17:22:43$11$想了想，还是给两星吧，能让我在看片的同时去干各种闲杂事的一定不是好电影，更何况本片镜头僵硬到都算不得电影。另外，导演讽刺隐喻影射的历史政治太多了，多到让人觉得苍白。后半段疯狂密集的各种剧情反转也是同样的效果，苍白。
133$25921812$驴得水$zang兮兮$2016-11-26 06:54:44$7$简单粗暴的荒腔走板。告解体制化溃疡与人性窟窿的寓言有足量令观众津津乐道的社会观照。可到底是小品化还是话剧化？人物形象只靠对白，影像语言的功能扁平得就像那场婚礼戏中的国父像
134$25921812$驴得水$我初中就一直在练习变成哪吒$2016-11-02 22:48:10$30$奴才做了主人 是绝不肯废去‘老爷’这个称呼的
135$25921812$驴得水$谁家今夜扁舟子$2017-12-03 22:25:19$30$一开始觉得荒诞可笑，结局那声枪响泪奔，不懂得为什么哭，就是想哭，这部电影确实值得观看
136$25921812$驴得水$SELVEN$2016-10-28 18:25:47$12$68/100 “开心麻花”出品，但《驴》不是一部以喜剧为目的的电影。从头到尾都像在做一场话剧直播，舞台剧的台词为了在缺乏特写的情况下抓住观众，通常写的比较富有情感和戏剧性，但现代电影整体趋势是追求不露痕迹的写实，舞台剧本改不好会伤害到电影所表达的主题。虽有讽刺，但整体还是隔靴搔痒
137$25921812$驴得水$No Montage$2016-10-30 06:58:22$45$站在某种维度讲，这片子根本算不上电影，镜头感为零，留白为零，所以我不想站在电影的角度去表达观感。总之故事还是有深层次内核的，讽刺意味很强，但是根本逃不出话剧的模式束缚，剧本衔接极不流畅，演员表演痕迹极重，总蹦出“WTF”等莫名其妙的感受。在影院大银幕上看了场舞台剧，这个逼装的可以
138$25921812$驴得水$曼仔$2018-01-27 01:58:45$10$不喜欢。能看出用了心思，但就像袁袁说的，强行搞笑和强行拷问逼你反思人的“劣根性”，都让人不适。试图喜欢张一曼，失败了。
139$25921812$驴得水$搬砖侠$2016-10-23 13:24:15$7$能认可故事的想法和内核里的批判性，但舞台剧毕竟不是电影，导演对于电影感塑造的基本可以说完全是失败的，如果照着舞台剧的顺序演一个半小时，那还要剪辑师后期和导演干什么！
140$25921812$驴得水$左胸上的吸盘$2016-11-12 10:40:16$15$勉强及格吧，喜剧的份额不多，前面把架子搭起来以后后面就开始砸了，挺标准的悲剧拍法了。这片子是以民国为背景用身份喜剧桥段表达了个自由其实是性自由在现实中折毁的主题，虽然女主在后面被遗忘了，但演员表还是这么排的啊。这种姑娘我是喜欢的，来找我的都是这种姑娘，我应该保护她们，以前没做好
141$25921812$驴得水$秦一$2016-10-30 07:41:17$19$以为是喜剧，结果是悲剧。中间有好几段非常感慨。感觉每个人物都是自己，还蛮值得琢磨的。准备二刷走起。
142$25921812$驴得水$天已微亮$2022-10-05 01:57:45$21$"校长大概是冠冕堂皇只会说空头大话的人，但是初心不坏，庞大的梦想在剧里表现的环境下像个愚蠢的笑话。
孙佳是理想主义者，尚未体验浑浊的社会现象。
铁男尝试对生活表现不满，但是在压倒性力量面前却只能干瞪眼。
一曼是社会大环境下的受害者，但是有自作自受的成分。
铜匠属于社会压迫下黑化的老实人，但是不忠贞，狂妄自大。
比较迷的是裴式，被爱情冲昏头脑，梦想破灭后，得不到就毁掉的极端主义者。
比较有意思的是特派员的秘书，看上去是助纣为虐的人，但是从神情和救一曼的举动看来，心存善念，但只有一点。
其他的角色工具性比较强，没有什么代表性。
如此荒诞魔幻的故事里，大部分人物类型却很鲜明且真实也得益于这连贯精彩的剧本。"
143$25921812$驴得水$夏一慕$2017-06-22 21:30:11$19$无法把它当作荒诞因为现实的地方太多。
144$25921812$驴得水$睡午觉的猫儿$2016-12-30 09:24:59$16$真是看到沉默。我们总说过去就让它过去吧。这部电影里说，如果过去就让它过去了，以后只会越来越糟。
145$25921812$驴得水$李梦$2020-12-22 02:32:09$16$从剪头发开始……
146$25921812$驴得水$逆旅行人$2016-12-21 08:08:43$13$非常的不喜欢，这样粗浅的符号堆砌，所谓的隐喻暗讽，本质上就是耍小聪明，是为了迎合一批想要装腔调的人的胃口。电影是灵与肉，血与骨，是内外兼修的创作，如果这样子的投机作品值得褒奖，那么无疑是电影的又一次跑偏。
147$25921812$驴得水$党阿飞$2016-12-30 15:31:01$18$本来想轻松一下看这部电影的，期望它荒诞又喜剧；但猝不及防的假笑和残酷，电影迅速滑入人性的黑暗、幽深与举刀互杀中，就像一场混沌失控的噩梦：人与人之间的爱与恨善变，权力与金钱一贯所向披靡，碾压一切。看到倒抽冷气，内心拔凉。怎么评价这部电影呢？它跟我想象得不一样，但它绝对没让我失望。
148$25921812$驴得水$null$2016-11-14 23:50:57$23$我站在窗口，鸟儿飞离了枝头，这世界了无意义。风轻抚过田野，是人碎烂的声音。
149$25921812$驴得水$刘康康$2017-11-23 19:41:33$10$开心麻花的成功说明中国观众可以不需要好电影，但确实需要好故事。后半部分人物转变确实太硬了，哪怕说小知识分子本来就这样，但他们也会用不那么难看的姿态去妥协和投降。只能说还是刻意做出来的寓言，不过这个寓言的双重对照结构（老师们骗特派员、特派员骗老外）还是让这个故事充满趣味。
150$25921812$驴得水$丁一$2016-12-14 23:47:50$18$"绿草地上彩球蹦，
电影尝试多样性，
有的蹦到垃圾堆，
有的蹦到鲍鱼堆，
有的蹦到钱眼里，
有的蹦到刀丛里，
有的蹦到路边去，
有的蹦到延安去~"
151$25921812$驴得水$所有团的团长$2016-10-31 21:11:41$15$这不算电影，只是把话剧搬在了荧幕上。演员比起《夏洛特烦恼》都用力太过猛，完全不像在演电影而是仍然在演话剧。毫不喜剧，太过强调荒诞，缺乏电影的基本逻辑和结构。不明白为何评分这么高。
152$25921812$驴得水$渡边$2016-12-18 21:18:13$12$话剧式电影，中国政治版狗镇，影射尺度略大，审片员也太不走心了。incredible China。
153$25921812$驴得水$修复的薄码.AVI$2017-03-12 20:37:33$22$仗义每多屠狗辈，负心总是读书人
154$25921812$驴得水$seamouse$2016-11-09 17:48:25$9$和很多没看过话剧的朋友一样，会觉得这是一个非常结构工整、人物丰满、意蕴深远的牛逼话剧，但确实丢到银幕上，就像是舞台实景化，始终缺乏电影感。
155$25921812$驴得水$Aeccrnticgirl$2016-10-30 00:22:34$38$前三分一的欢声笑语，后三分二的集体沉默…电影厅里大家应该都感受到了…
156$25921812$驴得水$梦里诗书$2016-10-25 19:40:17$13$嬉笑怒骂间用荒诞的喜剧色彩所酝酿的悲情，使《驴得水》既能逗人捧腹，更在针砭时弊的同时拷问已人性的盲点，固然电影在形式上有着过重的话剧痕迹，但总体来说，这是一部剧本夯实，耐人寻味恳切的黑色喜剧。
157$25921812$驴得水$狷介有乌青$2016-11-04 21:11:31$12$没看过话剧，故事是好故事，放到小说里不会觉得违和。但是电影里对人物后期的设置有强行扭曲之嫌，有些跳脱。让人觉得，诶呀，孬也好，恶也好，狂也好，疯也好，都那么有艺术性
158$25921812$驴得水$木一$2017-02-27 12:11:11$14$这部悲剧到极致的电影值得注意的当然不仅是女权，而是利用一次次强烈的戏剧冲突一次次被打破的人性底线，让人看到的无非是脆弱的人如何被权力碾碎成行尸走肉。
159$25921812$驴得水$歌無岸$2016-11-16 00:11:04$26$脏。闹。差。
160$25921812$驴得水$shibuya emiri$2016-11-03 12:10:56$18$为什么婊子从良都得死，婊子都是灵魂导师，婊子也是生活的学生呀
161$25921812$驴得水$事儿妈$2016-10-28 08:45:55$44$如何将一个话剧班底创作的故事搬到大银幕上，而不让习惯了电影节奏和电影表达方式的观众不产生割裂感和距离感，这是开心麻花目前所急需要解决的问题。故事是个好故事，剧本创意不错，演员演技也是好的，就是观影时明明坐在影院里却时不时被拉到春晚现场，你们考虑过这种瞬间出戏的纠结感吗？
162$25921812$驴得水$朱老板$2016-11-08 22:14:31$30$不管你要表达什么讽刺什么，别忘了这是上院线的电影，不是话剧。请先拍好电影，对得起电影这两个字！退票！
163$25921812$驴得水$雷宝珠$2017-01-01 23:51:35$10$看了个舞台剧。前半段挺喜欢，后半段开始制造冲突矛盾，刻意地拙劣地提供可供解读和嘲讽的人性与时代黑暗，最适合没读过多少书又有点思考的人。以及，看到用大嗓门和激动表情来突出冲突真是头疼。当代国产戏剧怎么还这套。主创觉得纯粹喜剧太低级了所以想给你来点深刻达到笑中带泪的效果拉鸡巴倒吧
164$25921812$驴得水$what'swilliam$2016-10-28 01:11:05$20$3.6星。1.整体完成度不高，镜头和演员略用力的表演像话剧不像电影。2.笑点以尺度不小的黄段子为首，后半段走讽刺荒诞路线，渐入佳境。3.片子看完你可能很难受，因为你在里面看到自己曾经纯洁如今现实虚伪的一面。4.如果夏洛特烦恼让你记住了一剪梅尹正，这部会让你记住一个满嘴大碴子味的帅哥叫刘帅良
165$25921812$驴得水$Shah  ོ$2016-12-20 01:57:10$16$"一起看的是什么电影
已经忘记了
我觉得还行
你觉得不好
如果过去就这么过去了
以后只会越来越糟"
166$25921812$驴得水$scaryzion$2016-10-30 19:36:04$26$太刻意了，要是这种片也能一片喝彩，陈佩斯是不存在过么？
167$25921812$驴得水$三狗大将军$2016-11-06 06:24:01$29$瑕不掩瑜，特别唏嘘。作为女性，中间一段惨到看不下去。像批斗、剃头这些行为早在文革历史中就熟知，可是用影像的方式编排出来还是冲击力很大。非要在意一部电影的表现形式吗，但我不是影评人，我不用在意这点。我甚至也不想在意镜头啊摄影啊这些，心里很多很多感慨，就只能说，唏嘘。
168$25921812$驴得水$支离疏$2017-03-21 17:36:15$15$不觉得三观有什么问题，所有不舒服的都是在讽刺，这么简答的用意get不了吗？当然讽刺的方式真的很残酷、很刺痛、很丑陋，每个人都变得不像人了，这种狠劲儿真少见，也很大胆。争议大是肯定的，我也不认同这种讽刺方式，已经离开了讽刺喜剧的范畴，成为人身攻击互相检举式的电影了。
169$25921812$驴得水$好起来了$2018-01-08 15:42:08$43$最近才看这部电影，讽刺意味十足，全程压抑。结局昏暗，时代的悲哀。
170$25921812$驴得水$Q。$2016-10-31 21:22:05$9$「如果过去的就这么过去，未来只会越变越糟。」话剧直接搬到电影上还是显得夸张，不够电影化。不过到不至于所谓的观感难受，本身电影元素里也不只是有春光明媚。但影厅里一大群当喜剧在看，哈哈嘿嘿从头到尾就让我觉得很尴尬了。★★★★
171$25921812$驴得水$我准备好了$2022-01-06 18:27:56$27$里面我最喜欢的角色就是张一曼，自由奔放，万种风情。影片里塑造的每个人物角色都很完整，人性也真是经不起考验。里面设置的戏剧冲突也很多，尤其这些男性角色，我可笑死了。性别互换在那个时代也不过一句“男人嘛”，而女性却要被大加指责，得不到都就谩骂，羞辱，来掩盖自己可怜的自卑心。一腔理想主义为教育事业抛弃自尊心的校长；表面冲动打抱不平在强权下畏畏缩缩的周铁男；表白被拒绝就刻薄自私嘴角尽显的裴魁山；幼稚天真认死理在现实面前也低头的佳佳；淳朴无知到极尽恶毒的小人物铜匠。还有很多角色的刻画都让这部影片呈现的更加精彩，我还是最爱她随性玩笑的大方，最爱她自然高歌的可爱，最爱她果敢拒绝的直率，最爱她聪明温柔的知性。也爱她妩媚风情的事故，大局为重的牺牲，玻璃易碎的脆弱，个性坦荡的自由。
172$25921812$驴得水$蚂蚁没问题$2019-12-26 11:51:48$8$开演五分钟已经知道后面什么剧情，谁要变坏，谁要变怂，特派员也是大尾巴狼，要讽刺的东西既不深刻，表达形式还毫无新意，全程尴尬，看到后面，想伸出手挨个儿拍演员肩膀【可以了，兄弟，意思到了，差不多得了，算了算了】
173$25921812$驴得水$大-燕-威-王$2017-02-13 01:32:29$13$不能说完全没打动我，但也确实没有太打动我。从一曼身上看到了羊脂球的影子。但我希望中国电影在刻画女性自觉的时候，不要总照着羊脂球的形象去塑造，除了“被侮辱与被损害”，还是该有些别的。PS：怀疑佳佳去了延安，只能被逼嫁老干部，还真不如去美国。以佳佳的智商，一定能在美国把铜匠卖个好价钱的
174$25921812$驴得水$U 兔$2016-11-02 23:46:51$20$5分。看似一波三折的故事，其实缺乏有力的内在推动，分明好几条路可走，偏偏要选最悬的一条然后把自己逼上绝路，这就是它剧作结构的基本思路。矛盾靠嘴说，有人从这些大吼中得到自嗨，跟电影本身无关。非逼你哭，不哭就戳，很反感。直男癌视角，任死得令人尴尬。但扔烂片儿堆里算不得最烂，给个鼓励分
175$25921812$驴得水$虾米$2017-03-06 21:25:08$7$主创野心勃勃，最后的成品也是国产剧中的秀作。借民国讽喻本朝“中国特色”之劣迹种种，虽然后半部影射文革有点脱线，但“过去的就让它过去，未来只会越来越糟”仍能与主线接轨，剧终“某某投奔了延安”则实现了金蝉脱壳的华丽转身。当然，黑色幽默的表象之下是鞭辟入里的反思和谴责。
176$25921812$驴得水$大头绿豆$2018-08-16 01:19:23$12$我和你们一样喜欢张一曼，但我暗地里同情着泪流满面的裴魁山。横的周铁男和怂的周铁男都是周铁男，挪用经费修眼镜的校长啊，不正是朝闺女下跪的校长？他们看起来纷纷崩塌，但其实从来也没有一个瞬间有一丁点儿像是所谓知识分子，从来也没有一个学生证明他们是为了他们。那又怎样，无所谓，有什么所谓，别管我，谢谢啊。
177$25921812$驴得水$王食欲$2016-11-07 22:53:19$16$糟糕的剧本和低劣的制作，完全辜负了这个好故事以及一群好演员。毫无电影感，不配进影院！
178$25921812$驴得水$.$2017-01-12 20:25:10$13$我总感觉这是一部黑周立波的电影。
179$25921812$驴得水$davekozg$2016-10-29 13:49:54$54$年度华语电影最大惊喜，也是目前最佳。一幕魔幻现实的大戏：严丝合缝的精巧剧本，荒诞不经的黑色讽刺，非常闪亮的女性角色，成熟老练的包袱设计。野路子加荤段子，生猛带劲，俨然莫泊桑的套路。大赞女主任素汐，越看越耐看。缺憾么，话剧感明显#讲个笑话，你可别哭#
180$25921812$驴得水$Mona Lishark$2016-10-10 22:05:37$17$终究是一场话剧，乡村女教师的戏五星好评，可惜后面她的故事线被拆散了。前半段有劲，有点儿《钦差大臣》的意思，从第二幕结束开始乱了阵脚，铜匠的变化生硬。女主演艳光四射！！！！！
181$25921812$驴得水$张腾森$2016-12-14 11:24:39$11$一个谎言引发的无数谎言，推倒了人性的多米诺骨牌
182$25921812$驴得水$吴政委家小地主$2016-12-19 00:02:45$12$农民翻身把孽造，文人相轻群自保，深明大义投我党，枉费我美一片心！朋友说讽刺当下，我说这他妈还要讽刺吗就是当下啊……还有那些跟这谈电影语言和逻辑的，你麻痹你们才是外宾啊，这逼国家什么时候用过语言和逻辑行事过？不批上个喜剧外套和那两段投奔延安这片子能过审？
183$25921812$驴得水$小狐狸真真$2016-12-16 17:31:52$24$開頭驢棚著火的橋段影片看完細思極恐：周鐵男打頭陣有勇無謀，張一曼跳進驢棚救火，裴魁山一個勁兒給一曼埋土，最後校長一聲令下主持大局，驢棚給燒沒了，孫佳垂死救火，卻遭到眾人阻攔。這場縮影心服口服！！！
184$25921812$驴得水$小  陳$2016-10-30 19:16:16$17$意外地不难看且有点意思
185$25921812$驴得水$Danny$2016-12-28 01:46:47$5$国内不如多拍拍这种喜剧片，多好呀，总比用烂片来充屏幕的好。剧场出来的演员，演技真是秒杀一众小鲜肉。
186$25921812$驴得水$如海$2017-02-20 23:05:22$67$看似所有人都无法解决的死局，为什么铜匠的老婆一己之力便解决了？
187$25921812$驴得水$叶酱$2017-01-09 23:51:16$9$蛮好看哎起伏很流畅、很多镜头很美，也不炫技，喜欢张一曼
188$25921812$驴得水$♬ CaR$2016-10-28 23:25:14$19$本来是星期五的晚上吃了好吃的韩国料理之后想去看一场笑一笑转眼就忘掉的喜剧，谁知那个用大蒜皮造雪的姑娘被人剪掉了一头卷卷的头发；那个冲动正义的男生被一枪吓灭了所有热血。高尚的目的都变得荒谬，为了掩盖一个谎言陷入了深深泥淖。剧本很好，可是舞台剧改编导致冲突太多，逻辑不够。看完有点难过
189$25921812$驴得水$冉笛$2017-01-04 22:35:07$6$并非话剧改编的典范，叙事目的性高过对人物细节的描摹，殊不知后者才是讽刺意味的关键。
190$25921812$驴得水$科林$2016-11-02 01:29:18$12$佳佳象征了共产党。这样一看：又是民国、又是美国人的……妥妥的政治隐喻。铜匠的意识觉醒起源是性、吃的是驴得水“死”的是吕得水……种种太多了！很有意思~~~话剧不话剧不管，至少今年的群像演技最佳是这部没跑了！
191$25921812$驴得水$纪良生$2016-11-06 22:25:11$26$如果这片子能高分，那以后每部话剧那个摄像机录下来，也能当电影上映。还有演员表演，说话全都是马景涛式的在吼，没有一个人在正常的说话。电影的起承转合全靠人物走动或者换道具，完全没有电影镜头感。还有所谓的深度，完全是在自我意淫。and全片都在拿“性”当笑点，这种直男癌片子也是够了。
192$25921812$驴得水$巴喆$2016-12-18 23:15:35$10$严格讲确实是弱电影感，但也不觉得话剧形式影响审美，我更看重主题和所指。喜剧只是壳，实则是悲剧。笑过之后，更令人觉得无奈。这电影内涵的很，处处在讽刺。“过去的如果就让它过去了，未来只会越来越糟！”也只能在民国了。7.7
193$25921812$驴得水$不要焦虑浣熊妹$2016-12-30 18:18:57$7$虽然话剧感重，人物转折生硬，但让人唏嘘后能联想到很多现实中得弱势群体，这比某些电影大张旗鼓的煽情要有意义得多。而且演员演技有了，有些段子也很有趣，画面也讲究。非要把话剧和电影一刀切开的人也是矫情。
194$25921812$驴得水$Panda的影音$2016-11-04 23:11:23$19$从3星的印象（过于话剧形式，电影感缺失，但好在没像《夏洛特烦恼》那般引起我的嫌弃）到2星的不满（为了促成故事的发展，情节转折生硬刻意缺乏现实逻辑）直至最后标1星（高豆瓣评分→高失望）。P.S.：片子结束时听到不少同场的观众表示「不好看、没看懂、甚至难看」，不禁让我怀疑此片口碑的真实性？
195$25921812$驴得水$惊鸿$2018-01-08 19:53:56$24$看完真的压抑…开头有多温馨后来就有多残酷…每个人都变了…  尤其看了嘉年华 小女孩被剪掉头发的时候 我悲哀的发现 如果说驴得水是时代的悲剧 那么这个时代 也是当下 只是方式不同
196$25921812$驴得水$Rilkelee$2016-12-31 22:58:31$18$中国观众真是太可怜了，在一个畸形的言论环境下只能为了这样一个制作粗糙、剧情胡编、政治历史指涉处处反映出编导历史政治认知中种种结构性缺陷且归根结底根本没你们想要的那种批判性的片子（把锅几乎全甩给理想主义尤其令人愤怒）而叫好与过分解读，真是悲哀啊。
197$25921812$驴得水$包大人$2016-10-28 21:19:33$13$剧本扎实，表演惊艳，这个故事告诉我们，一个蒙古大夫没那么容易被睡服，但是喜欢穿貂的男人一般都很怂。
198$25921812$驴得水$蒜 | BOY A✎$2016-11-02 14:52:50$11$感受很纠结，在说不上喜欢和不那么喜欢之间挣扎，从讽刺喜剧到人间悲剧的表达失态，为了荒诞而荒诞，为了批判而批判，让人难受。优点除了中国历史微观的演绎，就是女主角一个人撑起全片，这个身体主义的情怀担当，成为让人感动又难能可贵的银幕印象 。 是一部生猛而尖锐的电影，荒诞有余，魔幻不足。
199$25921812$驴得水$燃烧1980$2016-10-29 04:14:34$27$导演讲了一个小故事，却深刻的反应了现实，没有用喜剧作为结尾，更能引人深思。校长代表了理想，校长女儿代表了希望，一曼代表了自由，铁男代表了人性，老裴代表了现实，特派员代表了权利。为了理想坚持，为了自由而结束，在现实和权利面前扭曲了的人性，还好最后我们还有理想和希望。
200$25921812$驴得水$mecca$2017-07-11 02:33:26$4$7/1@Cathay 就，还是话剧的语言。
201$25921812$驴得水$请保持高冷$2016-12-28 12:23:55$6$在寒冷的冬日，窝在被子里，喝杯热巧克力，看一部好片，真是绝美的享受～
202$25921812$驴得水$笑挽冷风$2016-10-31 18:08:49$22$很工整的一部黑色幽默荒诞喜剧，污段子运用的恰到好处，暗讽味道浓厚，可以说这是一部很丰富的电影，话剧味道依然很浓略让人感到不太舒服
203$25921812$驴得水$17950$2017-01-26 22:49:40$5$1.百科说：有恃无恐，以其本末倒置的逆反的荣辱观与公平正义的荣辱观相对抗，就是真正的“婊子”。嗯，当今最大的婊子就是……2.贡献了一个难得一见的女性角色，不好么？3.剧作是真的好，如果你觉得浮夸闹腾，更说明了作者的能耐，这是当下讲诉这种题材的一种必要功力，迎合了大众也迎合了大佬
204$25921812$驴得水$凌晓疯$2016-10-31 18:54:02$17$看到一曼跪下说我已经改造成功了，铁男说他们有枪，佳佳说过去了就过去了，以后只会更糟，我确定广电里中出了好几个叛徒。。。打底分的影评人啊，这片就是讽刺你们这些软弱的小资产阶级只能当当键盘侠。也根本不懂现在国内能公映这种水平的电影是多么难能可贵。
205$25921812$驴得水$天溦溦$2016-12-17 18:25:09$15$我能想到的悲剧就是剪去自由者的长发，剜去不羁者的膝盖，带走痴情者的爱情，泯灭天真者的稚嫩，扭曲逐梦者的理想。
206$25921812$驴得水$风间隼$2016-10-31 09:37:36$5$就是个悲剧版的《新龙门客栈》呀，一曼=金镶玉，铜匠=鞑子，专员=大档头，etc.
207$25921812$驴得水$愿赌服输$2018-01-25 10:15:35$71$开心麻花出品，必属精品，前面的画面一副岁月静好的样子，却不知前面有多欢乐，后面就有多难受，特别是女教师疯了之后，剧情快进，最终人散人亡，都很悲哀，人性总是不可测，利益冲突最后导致一拍两散，何其讽刺
208$25921812$驴得水$顾盼$2018-03-26 04:19:23$8$周铁男发现自己没死然后扑通一下子跪下，让我感到绝望。
209$25921812$驴得水$ソ ー ダ。$2016-10-29 15:04:44$29$妈的这电影看的真憋屈 为什么评分这么高啊我的天 这表达方式太他妈憋屈了 我真以为我是去看喜剧片的
