$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1291858$鬼子来了$被迫改名$2009-05-02 23:28:55$9526$十部南京也抵不过一部鬼子来了。
98$1291858$鬼子来了$南笙$2012-06-22 17:34:15$50$caonimagewangbagaozi
99$1291858$鬼子来了$谢谢你们的鱼$2012-08-28 11:46:30$29$美国有《陆军野战医院》，我们有《鬼子来了》。
100$1291858$鬼子来了$杨三疯$2015-01-04 12:50:33$28$这基本上是大陆电影的巅峰，刻画战争与人民，士兵的种种脸孔。深刻，滑稽，真实，可悲，可恨，可笑，可怜。作为一部中国大陆最牛逼的电影，全程用唐山话，也是每个唐山人的荣幸。当你的头颅被砍下，你才看清了这个世界，如此愚昧混乱市侩的人们，在笑，看热闹。
101$1291858$鬼子来了$贝小康$2022-05-29 14:57:02$24$比起大家说的此片对国人的贬低，我更看出了对人性的讽刺，这种讽刺是不分派别不分国别的，时刻警示着我们要谨记人性的幽暗，用善的一面去压倒恶的一面。片子里的日本人的愚昧也随处可见，被他们统治者洗脑欺骗变得歇斯底里，嘴上讲着仁义道德，鄙视别国人民，自己却干着最卑劣最下贱的事情，反而还以此为荣为乐。大兵们到了挂甲台耀武扬威干了牛羊似乎为己用，用着国际人道的名义对自己同胞下刀，愚不可及。
102$1291858$鬼子来了$tefe520vv$2021-08-08 18:39:24$32$重温经典，最好的反战电影不是谁赢了谁，而是大家都被赤裸裸撕碎了
103$1291858$鬼子来了$时光旧影$2010-09-14 20:23:50$40$翻到了1999年的人民画报，当时官方媒体还采访了姜文关于这部影片的创作历程，还是作为正面典型宣扬的，没想到姜文欺骗党、欺骗组织，玩了移花接木，后来遭到了组织的惩罚，这过程就是黑色幽默啊
104$1291858$鬼子来了$托尼·王大拿$2010-12-26 19:43:49$24$每一个镜头，每一处呼应，都是那么劲道有力，暗藏玄机；此中深意，只可意会不可言传是也。
105$1291858$鬼子来了$Hey Johnny$2011-02-15 20:58:20$37$前2/3充斥着各种讽刺和黑色幽默，后1/3升华主题完胜！姜文太NB了！
106$1291858$鬼子来了$内陆飞鱼$2007-12-12 14:33:43$37$比历史更像历史，比人性更接近人性！
107$1291858$鬼子来了$梅花牛$2017-01-17 23:33:06$51$对姜文肃然起敬
108$1291858$鬼子来了$大-燕-威-王$2013-08-26 01:19:57$53$唉，为了一点蝇头小利就把鬼引进自家门……这片儿让我不知道说啥好。实在是被姜文虐到也震到了。让我想到以前有一个喜剧鬼子片儿《巧奔妙逃》，说实话，无论你怎样喜剧化，鬼子还是要杀人的。
109$1291858$鬼子来了$mon babe$2008-07-20 14:19:28$108$这片子实在太....!!
110$1291858$鬼子来了$Peter Cat$2017-01-21 06:54:52$28$本质里和雷死人《一步之遥》都是同样断裂的闹剧，没有电影教养（不“懂”电影）的劣势和优势都是那么明显，全靠自信那一口气
111$1291858$鬼子来了$逍遥兽$2007-11-13 16:44:49$69$看到最后那个镜头  我就high了
112$1291858$鬼子来了$凌麦儿$2016-01-13 23:47:36$10$看完后，愤怒、委屈、无奈、仇恨……种种复杂情绪交织。还担心前半段走得太远太轻松，后半段的荒谬和快速处理却让人不禁心酸落泪……让细节和事实说话，最不像普通抗战片的抗战片，神作是也。
113$1291858$鬼子来了$乌鸦火堂$2009-02-15 05:33:45$23$大哥大嫂过年好
114$1291858$鬼子来了$七里八里$2011-02-20 19:32:01$16$太用力了。为了表达所谓的“小人物”上太用力。也是，毕竟只是一个小村子，或许憋的村子并不这样，但这一部电影，就让人觉得全中国的村子都是这样。那么姜文我要问了，如果全中国都是这样的村子，是怎么撑到你来拍这样一片子的？没错，被禁是中国现在还不到能够对矮化民族战争的片子宽容的时候。
115$1291858$鬼子来了$康报虹$2014-07-03 10:45:57$37$中国最好的电影，妈了个逼的被禁了。
116$1291858$鬼子来了$晚不安$2012-01-16 11:30:57$24$不管鬼子来不来，我们只是在坚守着那种无知而固执的生活。
117$1291858$鬼子来了$大灰灰熊$2010-03-13 12:19:32$17$"神作
一种是完全活在自己创造的世界里，无力应付眼前现实世界，从而夭折于早死或早疯，例如莫扎特，例如尼采和凡高。 
　　另一种天才则是洞悉并掌握历史和现实规则，从而能轻松游刃行走于冰冷残酷人间，例如歌德，例如毕加索和库布里克，例如《鬼子来了》的导演兼主演姜文。 
"
118$1291858$鬼子来了$法式曌影$2018-07-11 20:31:56$18$【A】姜文深谙黑色幽默，黑色到极致；而这，则是姜文的极致。万千抗日片中最独特的一部，最另类的一部，最真实的一部，最正视的一部，也是最让人反思的一部。愚昧至极，而这愚昧，不止是那一个小山村的愚昧，而是全中国的愚昧。举世皆混我独清？不存在的，愚昧的世道中，那仅有的觉醒者，便是仅有的牺牲品。
119$1291858$鬼子来了$萨罗迈拉$2012-10-22 16:14:16$11$据说日本人也看了这片，还说不错。中国人也说不错。事实上姜文把两边都骂了，结果谁都没发现还摸摸脖子幸亏还在。姜文一手一个，掐巴死俩。
120$1291858$鬼子来了$西乡一姐小渡边$2016-09-17 20:02:23$11$前面一波三折但略平淡，仿佛坐等导火索引爆炸药，后面便轰轰烈烈，痛快，又有很多值得反思的地方，或者说是反讽，主题并没刻意去表现自己对人性进行的探讨挖掘。又黑白又新颖，又残忍又喜剧，我先前还在担心姜文这么装逼会不会玩脱，结果人家玩得风生水起的，确实不俗哇
121$1291858$鬼子来了$蓝色啄木鸟$2017-04-30 22:14:25$25$姜文拍的挺牛叉的电影，抗战片也能黑色幽默一把!
122$1291858$鬼子来了$女神的秋裤$2015-06-07 20:09:45$35$挺好看，这也禁播？！
123$1291858$鬼子来了$昵称被占不开心$2017-03-02 11:15:30$55$对敌人仁慈就是对自己残忍
124$1291858$鬼子来了$乱挥名剑$2017-04-16 17:40:29$27$烂片，不想看完，觉着故事胡编的。把日军俘虏和翻译塞给老百姓算咋回事？
125$1291858$鬼子来了$握不住的灵魂$2011-09-27 17:10:08$38$妈了个逼的。
126$1291858$鬼子来了$灰色堡垒$2014-09-04 12:03:21$4$人物形象鲜明，剧情曲折离奇，对人性以及背后的民族性的描写非常精彩，《太阳照常升起》的魔幻现实主义和隐喻，在此已经开始出现。只是那时的他还没后来那么入魔，所以这是一部可以从多个角度欣赏的电影。
127$1291858$鬼子来了$Over5$2007-01-22 23:06:46$38$鬼被人赶跑了，人随即也变成了鬼
128$1291858$鬼子来了$曼靑$2011-01-08 23:37:59$37$"戛納國際電影節評委會獎。以獨特視角揭露了日本軍國主義者的兇殘本性 圈内口碑不錯。但因沒有突出某些政治派別的良好形象 迄今不能公映。中國電影的上上乘之作! 花屋手起刀落之際 馬大三的頭顱在地上滾了幾個跟頭 鏡頭瞬間從長達兩小時的單調黑白色解放出來。除了說""牛逼!!"" 我還能說甚?!"
129$1291858$鬼子来了$西西弗假面$2012-12-08 01:06:49$13$很久很久没有看一部电影这么废寝忘食 也很久很久没有晚睡到现在 即使知道了故事的结局仍能看的酣畅淋漓 它对我是独特的 不是因为内涵 不是因为情节 而是因为它拍出了最真实的中国人 那个“我”就是我们每一个人 愚昧、自私、圆滑、见风使舵而又朴实、善良，像一部纪录片，而不简简单单关于抗日。
130$1291858$鬼子来了$大耳朵图图_$2017-03-30 20:14:09$19$姜文niubility
131$1291858$鬼子来了$北纬三十四$2021-02-26 19:56:06$15$"“……我觉得比卖国贼更可怕的是爱国贼，他们打着“爱国”的旗号，危害却比“卖国”还大……”—姜文          
中国没有第二个鲁迅，也没有第二个姜文。震撼人心的片子。"
132$1291858$鬼子来了$德卡的羊$2018-07-12 20:48:19$8$87/100，于是只好笑着告别这世界。
133$1291858$鬼子来了$蚂蚁没问题$2009-05-09 20:50:42$100$我无话可说
134$1291858$鬼子来了$巴喆$2012-02-17 17:45:43$43$此片国内被禁，姜文也因此被禁止从事电影拍摄长达七年。刀刀刻骨，神作是也！9.4
135$1291858$鬼子来了$Poros$2017-05-14 00:56:19$12$每一场戏单独拿出来都非常棒，但作为一个整体表达太啰嗦，毛病跟早期昆汀一样，为抖几个机灵也要牺牲节奏；结尾非常精彩，但类似当众让一个战俘执行死刑的情节太荒诞太写意，不对我这个写实主义的胃口。总体感觉就是一流视觉二流意识三流剧本
136$1291858$鬼子来了$樹$2012-06-24 14:43:55$12$"
“他不光要我们警惕日本人，这大凡中国人都看得出来；他更要我们警惕自己，警惕自己的天真和侥幸心理以及善于遗忘。”"
137$1291858$鬼子来了$晚安好运$2011-03-04 23:46:38$4$真不明白这样一部片子怎么也会被禁，表现国人的奴性劣根性并非是丑化……“大哥大嫂新年好，你是我的爷，我是你的儿”这一段太乐了~
138$1291858$鬼子来了$第七大陸$2018-02-13 22:18:47$24$中国人让日本人杀中国人，日本人诧异。中国人让中国人杀日本人，中国人诧异。一只猪，最后的色彩，‘我’。
139$1291858$鬼子来了$圆圆（二次圆）$2011-04-26 19:10:13$19$一部你懂我懂大家懂的大作。
140$1291858$鬼子来了$cream.cx$2009-08-31 16:21:05$6$全家一起观看，但可惜都不喜欢。我对此片期望太高，所以失望更甚。
141$1291858$鬼子来了$叶隐$2018-02-18 15:15:47$17$中国人被谁占领日子都是照样过，恨也绝不借因什么高贵名堂，所以照样以礼相待，拿来换粮食也不觉不对，还一起喝酒唱歌，摸着日军长官的头掏心窝子说话。对日这种态度，有时简直可比老人对小孩的不嗔怪，只是人家不理解。可就这样最后花屋还愿意弹去虫子再砍这一刀，不像嚼着口香糖的美国人那么蠢笨无知。
142$1291858$鬼子来了$麻麻睇$2011-08-21 01:56:11$8$老片再重看。神秘人物“我”始终没有以面目示人，并且对平民威逼恐吓、言而无信。在漫长而又困苦的中日战争里，尽现日本法西斯丧心病狂忘恩负义、中国人圆滑的阿Q精神等种种。一个心地善良的农民最后被定性为恐怖分子，临了居然还能含笑九泉。运镜、摄影、明暗都有新尝试。姜文真是个鬼才，汉子。
143$1291858$鬼子来了$深邃$2021-02-12 16:05:54$3$20210211 除夕夜重刷。能看到黑泽明和小林正树对姜文的影响。//20140104 柏杨说我们的文化是一个大酱缸，姜文把这个酱缸搅起来呈给诸位看官。我们看到些什么？仁义道德？满纸吃人？还是那个“我”？
144$1291858$鬼子来了$哪吒男$2016-10-29 13:53:41$23$鬼子来了之后才知道谁是真鬼子。
145$1291858$鬼子来了$请你吃童话$2016-10-09 09:59:02$15$对敌人的仁慈 就是对自己的残忍
146$1291858$鬼子来了$每天都有坏消息$2018-01-24 17:26:06$11$我看过来看过去，从镜头之间的缝隙里看到两个大字：讽刺。渐渐地，这俩字越来越大，铺满了整个屏幕，使劲儿往我脑袋里钻。看惯了旧朝代砍头的看客们，依旧在想马大三掉脑袋这事儿回去写个什么段子，他们的脸上是鲁迅先生的那句话：学医是救不了中国人的，学别的也够呛。姜文够胆儿，够真！
147$1291858$鬼子来了$红豆♥$2016-11-30 21:38:34$24$前面笑岔气。突然有点相信刘慈欣的黑暗森林，人性的善真是太不能指望了。
148$1291858$鬼子来了$音五六//  Jee Zark$2012-01-15 21:28:01$7$"狼来了
故事一开始
就奠定了人物悲剧式的结局
东郭先生救狼
马大三就的也不是人
卑微无知的小人物
荒诞到没有真理的大时代
片中每个人似乎都有含义
故事也许可以虚构
但人性真有雷同
请对号入座"
149$1291858$鬼子来了$小A$2010-11-22 11:23:10$8$"9.5
分数基本上给作为导演的姜文，他完成的质量值得令作为导演的自己骄傲。前半部分相当之好，故事到后来稍微有点说不通，但是姜文导演得太好了，所以本片整体上属于必看的水平。"
150$1291858$鬼子来了$狄飞惊$2010-11-08 18:44:26$14$真实尖锐全面的人间世态，姜文因此可以不朽。
151$1291858$鬼子来了$高詩遠$2021-07-07 22:44:37$1$特地借着今天来看看这部电影。姜文把双方都抬到了偏向于平等的地位，选了一个与众不同的方式来说这段历史。人并无美丑善恶之分，只是战争将人变成了杀人机器，能从这个角度把这部电影拍出来就已经是很大的勇气了。结尾上色了的那一小段印象挺深刻的，离开了人世以后，反而开始拥有了生命的色彩。
152$1291858$鬼子来了$费D男$2022-11-03 22:12:43$16$这是姜文拍的最好的一部作品，很真实的反映当时沦陷区人民的状态，一个不敢杀敌人俘虏的老实交巴农民，最后却闯入俘虏营砍人。一个被释放的俘虏，却成了送他归西的执行人，一个农夫与蛇的故事。影片的寓意挺深刻的，大多数人都在幻想拿枪的人对自己宽恕，为得到一颗糖摇尾乞怜，不是被逼到绝路就不能正视自己的怯懦，普遍国人的心态吧。
153$1291858$鬼子来了$土呆$2010-07-22 21:41:08$9$我只看了前半部分，好好笑好有爱。并且，我不打算看后半部分
154$1291858$鬼子来了$王写写$2009-05-21 18:27:53$19$截止到2009年5月21日时止，仍然是中国最深刻最伟大的关于抗日的战争电影！却没有一场战争镜头！
155$1291858$鬼子来了$Pluto&amp;Piaget$2018-05-04 22:57:17$6$竟无语凝噎。/隔日重温时，从酒宴开始就不忍看，这实在不是民族性的丑恶，只是民族性的脆弱。黑白色土地上的人们将永在等待。
156$1291858$鬼子来了$Vamei$2016-03-19 02:36:48$11$新的视角，解读历史
157$1291858$鬼子来了$肉卷卷又称肉卷$2011-01-14 21:51:08$11$鬼子题材里看得最带劲的一部。前半场笑点满抖，看得出来《让子弹飞》里很多桥段手法都曾在这部率先用过，后半场看到揪心难受得不得了。姜文是个真爷们儿，那些犹豫不决，与鱼儿的真情实意和最后绝望到只剩仰天长啸的压抑痛苦都被他演活了，只是永远都逃不了一样这么悲情孤独的结尾，才是他真实的写照吧
158$1291858$鬼子来了$思阳$2013-01-08 12:04:43$6$就凭这片，我爱上姜文了，魂不守舍接连看两遍。这算是我看过拍得最好的中国电影了，喜剧悲剧，荒诞严肃，和面似的刚刚好。
159$1291858$鬼子来了$伊菲吉妮娅$2015-04-21 12:58:41$13$姜文最成功的作品！人性的懦弱，无知，愚蠢，荒诞被表现的淋漓尽致...深刻，震撼...历史需要正视！
160$1291858$鬼子来了$费费$2020-08-12 14:03:01$1$这部电影的精髓在于刺激人类日渐向上，虽然它批判了人性中对“永恒”的幻想和依赖、对纯粹善良意志的迷信、对权力意志的鄙视，但却歌颂了“超人性”，“超人性”提供人克服人性甚至毁灭人性的德性，这样“我”就不会再幻想“永恒”、去迷信纯粹善良意志、鄙视权力意志，而是努力“创造”、“建立”、“孕育”，同时为创造新的价值、建立理想国、孕育“我”的德性争取应得的自由。在这个充满了人性的世界里，拥有“超人性”的自由之魂过于悲凉、过于孤独，而克服悲凉和孤独就是成为“超人”的第一步，把自己所有的情绪包袱都扔掉，只留下受难时的激情，不要像人一样用情感思考，而是用德性来思考。PS：不必纠结姜文是第五代还是第六代，姜文凭借这一部片就能和塔可夫斯基、库布里克并列。
161$1291858$鬼子来了$林愈静$2006-04-21 20:28:40$13$在第一时间就看到了DVD，看了3遍，爽！第一次看：2004
162$1291858$鬼子来了$初音大西王$2020-06-30 23:44:53$8$"8.6分，好电影，但不应该因为成了禁片就无脑吹捧，至少后期镜头不稳很晃。与其说是时代悲剧，不如说是村民的犹柔寡断和目光短浅的性格使他们送命。当然这不意味着性格悲剧就不如社会悲剧时代悲剧，但格局上终究还是小了。
天朝人到现在都还是sha自己人手快，sha外国人手软。查查新闻就知道了。"
163$1291858$鬼子来了$水仙操$2010-09-16 19:13:30$2$大哥大嫂过年好，你是我的爷，我是你的儿！再次印证信息传递中用词7%，腔调38%，表情55%  在中国，谈尊严，能吃吗？最后的结局太过真实，以至于有一种强烈的荒诞感。红高粱的全然红色视野。
164$1291858$鬼子来了$drnuk$2008-11-04 18:34:26$11$姜文真他妈才华横溢
165$1291858$鬼子来了$Seereal$2017-05-20 01:33:29$9$"历史的车旅在荒原上前进，
你看见有人拉车，你也看见有人驱车
却没看见在没路的地方，是人骨铺就
在打滑的地方，是人肉加垫
车的轴承，是人血润滑
几家王朝事事休
换得人间新红，何济苍生？"
166$1291858$鬼子来了$武侠小王子$2007-12-04 13:42:33$8$五千年的民族劣根性，还是全给姜文抖出来了。
167$1291858$鬼子来了$Di$2010-12-29 07:31:56$17$不太清楚这部电影为什么被禁，感觉除了有一点”愚民“的嫌疑之外，整个基调还是蛮正面的啊，歌颂了我国人民勤劳勇敢善良的传统美德，并且辛辣地讽刺了泥轰国人民的伪善嘴脸。真实的战争恐怕就是这样吧：一帮操着唐山话的老农，小心谨慎地活着，为五斗米折腰...比起南京大屠杀，鬼子来了要真实得多。
168$1291858$鬼子来了$科林$2011-10-28 18:47:36$8$哼！鄙视你！狠狠地鄙视你！
169$1291858$鬼子来了$Andrea$2014-01-29 06:36:06$7$怎么说呢，非我族类其心必异。无论日本的电影动画多好人物故事多温暖，但是总感觉他们表面下潜藏的那部分恶只需要一点刺激就能激发出来。当然这种恶每个国家的人都有，但是没人能像日本人一样为了生活能做到把阴暗的部分完全隐藏，只让别人看到好的一面这大概就是他们这个民族最大的优点之一吧。
170$1291858$鬼子来了$脱氧核糖十三$2014-05-03 04:43:33$2$對最後一個鏡頭應該有更好的處理的遺憾完全被片尾製作名單中那行“馬倌﹣姜文”抹去了。姜文真是理想型。
171$1291858$鬼子来了$赱馬觀♣$2009-03-27 22:28:49$8$“我”是谁？他为何要这么做？是一个不容模糊必须弄清的关键问题。否则，后面关于劣根性的探索也就失去了意义，至少在主题焦点力度上要大打折扣。这就好像：下水救人。你逼一个游泳冠军去救他死活不肯，那没话说，批评鞭挞瞬间满档；可如果你逼得那位他根本不会游泳，即使此公本性偏弱，日后学会也未必肯施以援手，可当下这个情景状态和时间点上，偏弱性格内心所想显然居于极次要的位置，没有任何道理成为整个事件的关注焦点。……主题阐释并不是单纯依靠此情此景就事论事，促使行为发生的外部条件设定足以改变结论的信服力。再像某著名西部片，警长所要对付匪徒必须最终可几乎由他一人摆平，才能倒衬出之前拒绝援手的镇民何等自私懦弱。可如果那匪众人数竟有无名小子的一百五十之巨呢？悬输程度至此，你再让三五镇民帮你？那就真是在强人所难不通情理！
172$1291858$鬼子来了$卡比巴拉的海$2017-04-06 15:28:40$14$对敌人的仁慈就是对自己的残忍
173$1291858$鬼子来了$颠颠悠悠$2021-06-04 23:43:31$16$"大哥大嫂过年好！
一刀刘，二脖子，马大三，四表姐夫，五舅老爷，六旺，七爷，八婶。"
174$1291858$鬼子来了$P$2013-03-07 09:18:48$5$吴大维可以不要再出来演戏了伐...
175$1291858$鬼子来了$沧海一小生$2018-01-12 13:01:23$4$特立独行的一个导演，有自己的想法，而且能够塌下心来去实践。姜导每次的演员选择也非常到位，很能表达角色的需要！
176$1291858$鬼子来了$Hier Tanze$2018-08-30 08:56:18$5$不忍心继续看。国民的劣根性在于担责意识的缺失，“‘我’是谁”背后隐喻着复杂事件和人际互动中责任主体的隐没，正因为这种隐没，悲剧不可避免地戏剧化为满地鲜血。
177$1291858$鬼子来了$基尔$2014-12-12 15:01:22$6$一大波名媛脸的日军 姜文萌 香川照之萌  姜文被砍头的那一瞬间画面从姜文的眼里从黑白变成彩色 带着一种时代交接的悲凉的感觉
178$1291858$鬼子来了$晋城小郭$2014-10-23 13:33:42$2$"联想到的，竟然是《十二怒汉》，一个小村庄，几个人之间的故事，尽显人性之千姿百态。而且，在时间中千变万化。姜文的讲述：智慧、荒诞、幽默、坚定、果敢，就如他本人，一身土匪气，却执着，温情。
姜文本人则称：“我描绘了人类的误解与爱恨，恐怖与死亡。” 
　　"
179$1291858$鬼子来了$zzb001$2014-05-24 20:43:56$5$既然我没看懂，那我也就没资格给好评了
180$1291858$鬼子来了$Alec$2018-12-08 22:29:53$2$对人性的观察和刻画很到位，姜文不放飞自我的时候拍的还是挺沉稳挺靠谱的。七爷这个角色很神，大智若愚。
181$1291858$鬼子来了$半袖$2009-09-18 13:44:37$6$"边看边想，这电影最后要怎样编下去。
老百姓真的是有着愚昧的淳朴，管不了那么多，
不敢杀人，不管为什么原因，杀了人就受人冷落；
谁给粮食谁就是好人，哪怕曾经它还是耀武扬威骑在你头上日日扇耳光；
履约了，就太和谐了；不履约，又要怎么杀？
猜想也是杀光政策，但没想到最后姜文也死了。"
182$1291858$鬼子来了$Squidward$2011-01-27 04:45:17$22$两个多小时的电影看下来毫无鸭梨啊！黑马！姜文绝对黑马！！姜文绝对跟李安一样是数一数二的中国导演！张艺谋神码的真都是浮云！！！这电影绝对掌握了拍好电影的几要素！！！姜文你可真太牛气了帅气又有才而且还有那么一好老婆！！！
183$1291858$鬼子来了$冰山的阴影$2013-12-18 21:30:16$8$日本人野蛮得愚昧，中国人善良得愚昧。愚昧该死，不分国籍。
184$1291858$鬼子来了$Jiajiachan$2012-07-02 01:28:23$0$这部电影如此的震撼人心，最重要的原因是它将所有人的形象都塑造的有血有肉，而这些鲜活的形象跃然在荧幕上，他们创造的悲喜剧才会使人动容，本片将这点做到到了极致。姜文在十二年前拍了他这辈子最好的电影，因为迄今为止，他的其他电影已经在任何领域都够不上伟大之名了，因为他已经丢掉自己的灵魂了
185$1291858$鬼子来了$老咪$2015-07-06 12:29:24$2$没有把抗战熬成伤痕文学般的苦粥和人人革命进步的意淫史诗，倒是凑齐了灾荒里锤炼出精明生存主义却也生得一副又怂又假又自私嘴脸的国民群像：二脖子和六旺代表游走于权威上下端的丑恶嘴脸，八婶子则是比上不足比下有余、油奸耍滑、唯利是图麻木不仁的小市民，五舅姥爷堪比不作为又无能的当权者。 @2015-07-06 12:29:24
186$1291858$鬼子来了$TON$2011-06-04 00:30:16$11$原本可以成为另一个鲁迅的。只能说姜文你生不逢时啊！在需要警醒国人的时候，有鲁迅没有姜文。在需要蒙昧的好子民时，鲁迅是革命家，而你姜文注定被封杀啊——————所以说到底还是姜文你生不逢时啊！！！
187$1291858$鬼子来了$闷雷时间。$2022-10-08 00:03:35$15$为什么姜文能成为中国最nb的导演，因为他没有大导包袱，没有那种“我一定要拍一部有什么什么意义”的抗日电影这种抱负，而是只纯粹的要去表达他眼里的世界，他看到的这个事情，所以他的片子总是带着戏谑，就像我们看待这个魔幻的世界一样。他是个永远纯真的导演。
188$1291858$鬼子来了$Muto$2018-07-18 15:50:26$4$一个暧昧不清的“我”被口若悬河“知不道”的嘴掰扯成了离“我”《一步之遥》的选择题。在那个月高风黑的新世纪前夕，库斯图里卡教给姜文两样东西：音乐和沉默。他依凭这两样东西“阴错阳差”的拍出了一部背离主流意识形态甚至排斥资本原则的艺术杰作。留神却又毫不“留神”的《鬼子来了》无疑是他电影生涯的最佳。
189$1291858$鬼子来了$Alan Sum$2012-01-22 17:49:54$6$"Fucking masterpiece! Devil's not as much with them as inside us - or rather ""ME"" - a nation? a race? a people? a place? a culture? - a twisted history? a lost mystery?"
190$1291858$鬼子来了$tangerine$2017-11-07 23:38:54$5$中国影史上的巅峰之作，姜文对审查制度一次彻头彻尾的调戏。
191$1291858$鬼子来了$字母君$2015-07-03 21:36:36$5$一个不落，各打五十大板，我都替姜文怀念他这个时代。
192$1291858$鬼子来了$瑾朵朵$2017-01-29 09:57:31$8$中国人民多么善良，就像任人宰割的小绵羊一样
193$1291858$鬼子来了$白月光$2011-08-06 01:13:17$19$前半段笑的死去活来，后半段看的鸦雀无声。意料之中却又鲜血淋漓，以至于明知结局却无法把目光移开。对比两个多小时的黑白镜头，结局一幕叫人直起鸡皮疙瘩的血色满屏，简直是神来之笔——姜文的才华，真的不是谁都有的。
194$1291858$鬼子来了$徐若风$2013-12-14 14:55:26$13$一只猪。
195$1291858$鬼子来了$月亮与六万亿镑$2021-01-30 08:59:06$1$"【2021-mv51】「大哥大嫂过年好，你是我的爷，我是你的儿。」整部电影荒诞又讽刺，真的很好看。

善良，吹牛，懦弱，窝里横，舔狗，中庸，很多中国人的劣性都在影片中体现出来。

看热闹的，别人的事故成了看客们眼中的故事，麻木迂腐。怪不得鲁迅那样说，学医也救不了中国人。

最后姜文那一笑，一闭眼。唯一染色的人头。这狗日生活，幸好他死了。"
196$1291858$鬼子来了$Skye$2022-12-02 15:43:10$2$"看这种电影在心里会埋下多年的根，而这根只会越长越密。如果是现实，会让日本战俘杀死马大三吗？我只觉得耻辱。如果他非死不可，只能是中国人动手。传递了很多，一时半会缓不过来。最大的感受就是，警惕愚善警惕愚善！从村民决定把人质换粮就必死无疑。黑暗森林法则！高估了日军的人性。联欢会上载歌载舞我几度不敢看，还有人试图跟皇军首领称兄道弟……明明可以不必死的啊！这一村的人，好不容易苟活到日军投降了，明明可以不用死的啊……不忍看。而现代社会这种因为个人的小善而误了大事的太多，没有大局观，没有立场，没有锋芒的善良只是在感动懦弱无能的自己。"
197$1291858$鬼子来了$Bearnne$2022-03-09 14:45:20$17$可以说，是国内唯一一部纯粹的底层视角抗战片了……抗日战争，在主义和追求之外，就是绝对的生与死……
198$1291858$鬼子来了$Настя$2012-06-22 09:47:22$8$未名强权的催逼，小农痼疾的延续，武士道的冥顽，加之多少国人苟且的营生。我更愿相信这才是真相。
199$1291858$鬼子来了$小王子$2014-05-01 23:43:43$2$"难过极了。






（优酷的要么没字幕，要么音画不同步。奇艺：http://www.iqiyi.com/w_19rqz2mqbh.html?ptag=vsogou）"
200$1291858$鬼子来了$cccclimaty$2022-01-13 18:36:08$21$更讽刺的是，这部电影可以在国际上公映，在国内却只能成为禁片。
201$1291858$鬼子来了$kakakarl$2012-08-31 21:19:43$6$尽管画面是黑白的，但是故事人物都色彩斑斓，璀璨夺目……
202$1291858$鬼子来了$绯红少年$2020-05-15 23:03:16$5$"对敌人的仁慈，就是对自己残忍。
即使是日本人，马大三也没有想过要杀死他，更别说中国人了。不是他没有体会到屈辱之痛，只是不肯对一个素未谋面的人痛下杀手。
姜文同时对人性本非恶予以阐述，如狼狈为奸的两个日本兵，其中一个懵懵懂懂，不过是跟着另一个有样学样罢了。
行殇杀戮奏喜乐，只有姜文敢这么干，尤其显得悲哀与悲愤。
充满讽刺的故事。最底层的农民自顾不暇，又岂能了解山河破碎的切肤之痛呢！当战争胜利，当翻译官的中国人被当场枪决，而日本兵却是安然无恙，甚至还去买烟抽。突然很佩服林彪，既然选择战争，有接受，必有背弃。
结果到最后，中国人都得由日本人行刑了，还是自己亲手救下的。
PS:这片足够值得戛纳金棕榈奖，2000年这是华语电影高光时刻。"
203$1291858$鬼子来了$零$2011-02-13 01:25:41$0$长吁一口气，看的太压抑了。被灌输知识和点醒儿这两者区别可大，谁都喜欢后者，排斥前者，姜文啊姜文，真是谁没有小时候呢。
204$1291858$鬼子来了$reader$2021-01-21 01:29:39$4$"大失所望，以为有何高见。请问在坐打五星的，包括姜文本人，政府那一点对不起你了？
影片将日军形象塑造的中规中矩，却对中国军人刻意摸黑。
八年抗战，死了多少战士，换来今天的和平？
还是姜文等人觉得当年没被铁蹄踏没，是一种遗憾？好一个大东亚共荣圈。
兴百姓苦，亡百姓苦，是故意用春秋笔法来烘托摸黑的吗？"
205$1291858$鬼子来了$苏门答腊$2010-08-18 16:31:45$74$惊人的才气
206$1291858$鬼子来了$风信子$2018-07-25 21:37:13$6$"日本真是个神奇的国度。侵略是事实，但是却有着独特的名族气质。这部电影在日本得以上映，但在国内居然被禁了，王八操的……
“我”是谁，或许永远无法得知
软弱的善意一直不能够得到正确的对待…无奈啊无奈"
207$1291858$鬼子来了$巴巴罗莎蠢猫脸$2011-05-04 21:25:35$3$鲁迅式手术般的精准剖析，想起陆川那部洗白鬼子的《南京南京》更觉得姜文太赞。伪续篇：http://v.ifeng.com/ent/ph/2014003/017307c5-e79a-4f70-a089-68c505406e8b.shtml
208$1291858$鬼子来了$长安$2013-04-04 00:54:51$1$请允许我不严肃地萌一下这片，前面太欢乐了。姜文果然是个奇才啊。相对于同类题材的应该算是很全面也比较客观地展现了真实的“日本鬼子”的形象和战争中的中日军民关系。
209$1291858$鬼子来了$十个斗的眼窝浅$2011-07-07 22:04:56$3$嘛叫含笑九泉？介就是含笑九泉！！！！大哥大嫂过年好！！前面还挺欢乐的，但是后面越看，心越沉。
