$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$35312437$奇迹·笨小孩$25%$2022-02-01 16:10:01$17927$过程才是现实，结尾只是理想。
133$35312437$奇迹·笨小孩$MSN$2022-02-16 17:15:56$63$看得我好尴尬…过程和结局都脱离现实
134$35312437$奇迹·笨小孩$好想给你一拳$2022-02-01 10:13:31$2356$新年第一场电影，文牧野的第二部长剧情影片没让人失望，有热血有笑点也有泪点，演员易烊千玺和角色适配度100%，演技比之前更上一层楼，愿大家都年年有好景，岁岁有奇迹！
135$35312437$奇迹·笨小孩$雨农$2022-04-16 10:55:58$34$愿好景常在。
136$35312437$奇迹·笨小孩$杜若$2022-02-01 10:19:36$2153$因为几年前药神这部处女作的惊艳，对文牧野导演的第二部作品一直有比较高的期待，买了早场。事实证明这部片子没枉费我熬夜又早起，很有诚意，文牧野导演对现实主义题材的把控一如既往的稳，社会性，娱乐性，灵魂性的平衡，还得还得是文牧野。易烊千玺这次的戏份特别重，他的表现对这部电影十分关键，可幸四字完全撑起了景浩这个角色，他就是景浩。进去后好奇这部电影如何讲述幸福，出来时我确实深受慰藉，我要二刷
137$35312437$奇迹·笨小孩$小影迷$2022-02-01 17:10:33$1565$"梦想是一种坚持仍觉得幸福的东西。
担当，责任，不韧的精神支撑着人一步一步地踏平生活的荆棘。易烊千玺，电影角色给人一种无穷的魅力，这种耀眼的光芒是人格魅力。
如此热血的内地电影真不多，2个小时太短暂，结束一刻，眼角湿润，内心悸动。因为我们彼此心中有份要守护的爱"
138$35312437$奇迹·笨小孩$圻七$2022-05-04 10:04:27$47$又喝了一壶鸡汤，顺便听了场煽情音乐会。易烊千玺台词还在吞音。
139$35312437$奇迹·笨小孩$CreepF$2022-04-17 19:11:15$28$苦情版一点就到家，那个给予我们美好希望的内核是一样的，只可惜这只是生活最小的那部分，生活大部分都止于那次台风
140$35312437$奇迹·笨小孩$ID9528$2022-02-10 05:06:54$111$看的过程像是被绑架在影院的椅子上
141$35312437$奇迹·笨小孩$N-FungibleCity$2022-02-11 18:36:02$69$春节2个小时的MV，奇迹笨小孩。
142$35312437$奇迹·笨小孩$土豆炒着吃$2022-02-01 10:59:33$2539$合家欢电影，电影里面有笑有泪每人都会有属于自己的奇迹
143$35312437$奇迹·笨小孩$天魔星$2022-02-01 10:27:25$2294$好看好看好看，超级适合春节兰
144$35312437$奇迹·笨小孩$曾经$2022-02-01 10:55:02$2499$海阔天空出来后绷不住了😭😭
145$35312437$奇迹·笨小孩$亵渎电影$2022-02-01 20:29:43$31$易烊千玺太棒了，他有一种很强的控场能力，只要他出现，周身都带着强大的情绪气场，感染力十足，他的声音和表演能时刻牵动着观影的情绪，可能是源于他眼神里的专注吧，彻底被他圈粉了！文牧野导演的这部电影，给人的第一观感就是工整，极其工整，工业化完成度非常高，剧本、摄影、剪辑、音乐和表演等方方面面都能干净利落，不出错，很好的满足了你对他这第二部的超高预期。这部电影之后，感觉他可以开创一种属于他的电影风格，一种属于中国式的现实主义题材，拍大时代背景下的小人物，有着精细的时代细节，出彩的人物设计，直率的情绪表达，再加上正能量的人文关怀主题，一切都能调试到最佳状态。春节档的这部很适合全家欢一起看了，不血腥，不闹腾，不俗气，很感动！
146$35312437$奇迹·笨小孩$ALEX$2022-02-04 16:10:20$61$太惨了，群像太弱了，无法共情
147$35312437$奇迹·笨小孩$樱花🌸$2022-04-22 17:07:06$33$"你我只管奋力拼搏 至于奇迹…

除了无用的肉体自杀和精神逃避，还有第三种自杀的态度，那就是坚持奋斗，以此对抗人生的荒谬。                                 —加缪"
148$35312437$奇迹·笨小孩$JAABC$2022-02-01 17:08:18$801$虽然有一些俗套，但致敬每一个努力奋斗不放弃的平凡人。
149$35312437$奇迹·笨小孩$浅$2022-02-01 16:14:15$1399$是好看！故事俗套，但是像文牧野这样能把故事讲完整的导演真的不多了！
150$35312437$奇迹·笨小孩$太阳☀️$2022-02-01 17:11:11$725$第二年大年初一观影with姑～ 看章宇千玺同台飙戏太过瘾了！一部年轻人背负责任拼搏奋斗到频繁掉眼泪 没跟着哭只替他揪心想冲进去帮他 温暖善良的好人不分贫富贵贱 相互之间的磁场都相互滋养。
151$35312437$奇迹·笨小孩$就需要$2022-02-01 10:26:03$3035$我庆幸自己新的一年看了这部电影！
152$35312437$奇迹·笨小孩$榴莲臭豆腐$2022-02-01 10:11:11$1948$好景常在！
153$35312437$奇迹·笨小孩$Laven$2022-02-12 15:38:13$28$哎，为什么不能在和妹妹拥抱的那一刻就结束呢。每个人都表演得很好，完成得也工整流畅，但是就是差点意思，可能是因为导演想拍创业苦，又处处手下留情。本来期待看到更多实业的内容和展现主角智商和野心的部分，结果却流于合家欢。
154$35312437$奇迹·笨小孩$噗$2022-02-01 10:21:11$1958$好看！
155$35312437$奇迹·笨小孩$昵称待取$2022-02-01 10:20:36$2912$作为一个在深圳的创业者，既感同身受又充满信心！再次夸夸四字弟弟的演技，是可以包揽各种奖项的程度。
156$35312437$奇迹·笨小孩$樱桃小烊$2022-02-01 10:21:12$3271$真的太好看了，值得！👍
157$35312437$奇迹·笨小孩$🐔哥$2022-02-01 16:10:05$1779$这个片子真的很“文牧野”，很现实很温情又很升华，易烊千玺真的越来越棒了，演技真的可以，剧中每个人的演技都绝了，底层小人物都刻画的非常棒。反正好多地方都感动的一把鼻涕一把泪～
158$35312437$奇迹·笨小孩$一位少男$2022-02-13 09:26:48$62$不错。希望能在四字说出在老总办公室的那句台词后结尾，会更好！
159$35312437$奇迹·笨小孩$林佳洁$2022-02-01 10:07:51$1101$好看，是特别治愈的好看，相信奇迹，拼搏努力，就能遇见奇迹，易烊千玺演技好牛呀！景浩，跟姐姐回家，姐姐疼你😂😂😂
160$35312437$奇迹·笨小孩$fullstop$2022-02-01 17:10:23$1182$春节档最佳
161$35312437$奇迹·笨小孩$五色全味$2022-04-27 02:29:32$15$虛假現實主義
162$35312437$奇迹·笨小孩$小鱼和小胖子$2022-12-10 17:03:40$41$虽然时代变了，发生奇迹的可能性越来越小，但电影不就是要带给平凡人一些希望吗
163$35312437$奇迹·笨小孩$少年当如你$2022-02-01 10:12:51$1122$文牧野制作电影的节奏感太强了，再加上易烊千玺的演技，两两配合无敌了
164$35312437$奇迹·笨小孩$落日温差$2022-02-03 10:20:41$97$三星半吧 其实吧我觉得前面拍的真的还不错 故事很流畅很温馨啦 兄妹戏也很可爱 镜头 画面都推进地很好虽然是爽文 但是拍摄手法完全不俗套呢看的很爽很燃！但演员表演方面我总觉得差一点儿 就是小易和哈琳妹妹都差一点儿 合格的水平 就是总觉得情绪都还没推到那个点。当然啦合格即不错。其次就是觉得这个底实在有点没接住呐！这个发布会实属出戏 我觉得这个篇幅用来接妹妹的手术更好一点 毕竟整部电影就是为了妹妹的病 然后可以带过全员happyending的镜头部分比直接以字幕 呈现的感觉更好。好啦 四星祝演员易烊千玺越来越好。
165$35312437$奇迹·笨小孩$私享史$2022-06-18 14:15:48$17$7分。大半部好戏。始于现实主义，卒于虚幻好景。易烊千玺演得很好，前途无量。作为《我不是药神》的姊妹篇，本片远不如《药神》在剧作上的深思熟虑和行云流水。本片前半程悲情基调和写实氛围，也似乎不适合合家欢的春节档，最终票房恐怕拿不到亚军。 前半程很有力道，夹着滤镜的现实主义营造得很好，本来期待导演进一步的发力，没想到一场突如其来的截车戏一下子把现实感给打破了，强行增设了一坨矛盾冲突，只因为“合伙人”的善意就一下子迎刃而解，明显感觉故事编不下去了生凑。知道结局一定是happy ending，但真没想到竟然是如此皆大欢喜的happy ending，像奇迹一样不可能发生在现实世界，实属粉饰性败笔。 【仙桃金逸】20220201
166$35312437$奇迹·笨小孩$不觉$2022-02-16 19:35:59$52$没看到奇迹 只看到奇观
167$35312437$奇迹·笨小孩$我睡在这里$2022-07-09 14:20:21$37$如果结局是不成功我觉得更好，世界上哪有那么多奇迹
168$35312437$奇迹·笨小孩$欧克$2022-02-11 18:35:18$31$除了演技好还有啥能说呢 最后一幕我愿称之为何同学的新品发布会
169$35312437$奇迹·笨小孩$Joyce$2022-02-02 19:07:21$264$易烊千玺以后将会成为中国新生代男演员中最优秀的 没有之一
170$35312437$奇迹·笨小孩$叶欢聚$2022-05-04 17:04:19$31$四字好像演来演去演的都是一个类型，倔强执着到偏执的不顾一切的年轻人。就是一个普通商业片吧
171$35312437$奇迹·笨小孩$诶诶诶你谁$2022-02-06 21:35:15$58$怎么会有四字这样没有短板的人？小女孩也演得极好。但这可能是一个没有经历过类似奋斗的人才会给高分的故事，因为经历过就知道人很难这么幸运。
172$35312437$奇迹·笨小孩$tyb$2022-04-16 20:53:18$24$深圳到温州的动车票52块钱一张，绿皮车都不够吧。
173$35312437$奇迹·笨小孩$草莓樱桃红丝绒$2022-02-01 10:17:10$3140$有笑有泪，致敬景浩，也致敬每一个普通人，生活太不容易了，但只要不放弃就一定有奇迹，哪怕狂风暴雨也击不倒顽强坚韧的蚂蚁。易烊千玺太厉害了，他让我相信那不是易烊千玺演的景浩，那就是景浩！
174$35312437$奇迹·笨小孩$单一$2022-02-01 14:51:46$1446$工厂一群人拍照，本来还觉得聪哥搞笑，我妈小声的给我说：老弱病残，瞬间一种心酸感涌上心头。
175$35312437$奇迹·笨小孩$徐徐和奇奇$2022-02-01 10:55:35$2183$体会到了什么叫幸福的泪水！笑着流泪！值得一看！
176$35312437$奇迹·笨小孩$K_$2022-02-01 10:13:18$3457$新年第一部戏看了《奇迹》希望来年也能像他们一样创造属于自己的奇迹，表扬下易烊千玺，真的是演什么像什么，以后他的电影一定会去看的！
177$35312437$奇迹·笨小孩$Emily$2022-05-02 11:06:01$26$国产电影什么时候可以把片尾的故事字幕删删掉？整个故事都很刻意啊哎
178$35312437$奇迹·笨小孩$tinypaper$2022-02-04 23:21:43$189$“好景”常常会与“不长” 相接，但这部电影组了另外一个四字词语：“好景常在”。这是一个双重意义的文字游戏，是祝福，也是预言。
179$35312437$奇迹·笨小孩$Infinitezoe$2022-04-18 00:51:05$31$挺平庸的，很难代入角色产生共情，像是交作业。
180$35312437$奇迹·笨小孩$BODI$2022-02-01 14:52:16$359$合格的类型片，说好听是编剧技巧，说白了就是套路。一份献礼的命题作文，一首理想主义的颂歌。但是题材很讨巧，小人物塑造也很真实，大过年的图一乐呵，非常适合带家里人去看。
181$35312437$奇迹·笨小孩$🤔$2022-02-01 10:17:22$2317$电影基调温暖明亮，剧情燃爽。
182$35312437$奇迹·笨小孩$杨多荤$2022-02-05 13:03:41$33$"我二十岁出头的时候，也在广东当厂长。睡在潮湿得要发霉的房间里，每天与各色人打交道，比如工商食药原料代理商投资人，还要和工人一起做巧克力打包发快递。可最后还是失败了。
看这样的电影，我没办法不带入自己，我也没办法不哭出来。我理解功成名就的结局，在这样晦暗的时代里，希望是比黄金还要珍贵的东西，只要熬过去，就有机会再见到光明。
可我衷心希望，大家能够不必去赌上一切，因为我们各自还会有一生的奇迹。"
183$35312437$奇迹·笨小孩$我们敏熙$2022-02-05 14:59:08$35$+，确实弱在群像刻画了，次要角色的形象甚至弱到需要在片尾写出来他们后来怎么样了。
184$35312437$奇迹·笨小孩$大卫秋$2022-02-20 15:52:38$25$我们一位电子厂老板说，这里面80%的情节他都经历过。“那你哭了吗？”“就眼泪它自己会留。”——来自深圳观众
185$35312437$奇迹·笨小孩$看头像就行$2022-02-01 10:10:49$2450$不但值回票价，而且充满惊喜，春节档首选
186$35312437$奇迹·笨小孩$皮厚不怕冷$2022-03-03 16:21:22$17$BGM太满了 就像剧情里面的情绪爆发点 一直上上下下 一直抒情 观感上很累 
187$35312437$奇迹·笨小孩$Adia$2022-02-05 16:44:38$125$"和女朋友一起看的这部电影，女朋友说这如果刚毕业身边有这样的小男生，肯定追他啊，追不成，也得和他一起创业啊。
从《爱情神话》和《奇迹》的评分能得出一结论，活跃在豆瓣上的人多数是70、80后，这部电影，最起码也得八分以上啊，别挑逻辑和合理性，不能自己没遇到过好人就说天下没那么多的好人，一个机遇在景昊面前是机遇，在别人面前就是浮云，自己没抓着别人抓着了说这肯定瞎扯，太坐井观天了。
我相信奇迹，因为遇到过很多好人，半夜打车的司机开启的大灯照亮回家的路，暴雨中打不到车私家车搭载，工作中萍水相逢的人不求回报的帮助，工作宴请喝得烂醉被客户送到酒店，托付酒店服务员照看又给小费……说我幸运么，我也有在公交车上被人揩油，工作中被女领导PUA，被女同事们建群说闲话，被同事抢功劳，被男客户性骚扰……
境由心生。"
188$35312437$奇迹·笨小孩$horsefaCe$2022-05-11 01:19:59$14$类型片了。给了许多深圳光鲜的特写，也没有回避深圳的现实。结尾过于理想了，但有时我们需要那一点美好，即便我们知道那很虚妄。
189$35312437$奇迹·笨小孩$Rachel Du$2022-02-01 10:21:10$2332$老天真的爱笨小孩！！不！是努力的笨小孩！！
190$35312437$奇迹·笨小孩$如露亦如电$2022-02-01 16:10:46$680$"不理解为什么一些人说是烂片。我真的觉得很好啊！
小人物在大城市里面打拼的故事，平凡人努力活下去的故事，亲情，友情，同事情，惺惺相惜的情感，我觉得都很真挚。
真的看不得先心病的妈妈和年幼的妹妹这种桥段，我一看就泪崩。
“我不是好高骛远的打工仔 我是能做实事的人。”那景浩活该发大财呀！希望我也能向大家证明，我不是空口无凭的人，我是能做实事的人。
笨小孩也会有晴天。
二十一了，我比景浩还大一岁，我也要勇敢地当大人了。"
191$35312437$奇迹·笨小孩$月夜恋风$2022-02-01 10:27:01$2035$身处深圳一大早看的热血沸腾热泪盈眶 不是打鸡血 奋斗嘛 明天一定会更好
192$35312437$奇迹·笨小孩$Practice$2022-04-20 16:56:19$23$"尽管电影里面经常出现“好景常在”，我的脑子里却经常出现“好景不常在，好花不常开”。邓丽君的歌曲太美了。
电影故事性强，引人入胜，明知结局一定是励志的，可还是会被过程感动。"
193$35312437$奇迹·笨小孩$斯坦利轰轰轰$2022-02-05 10:01:18$65$开头节奏好，后面太磨叽，过长篇幅用于煽情，为了煽而煽，不高级。结尾直接搞成了城市宣传片，最尴尬的是定格介绍各个人物。2.5吧。
194$35312437$奇迹·笨小孩$胖胖酱$2022-02-01 14:52:38$1356$好景常在
195$35312437$奇迹·笨小孩$爱蓝天和丫头$2022-02-01 17:09:44$1078$"在深圳待过，创业过
小女孩害怕哥哥不在
哥哥一直在想办法与命运斗争
很多细节满分，电影节奏，90分
真好，初一能看到这样的电影！"
196$35312437$奇迹·笨小孩$妙妙怪$2022-02-02 21:32:55$104$虽然结尾潦草，但是整个奋斗的过程是能让人感动的。年轻就是要野一点，执着一点。如果结局再现实主义一点就好了。P.S. 资本及权力的压制太强了，是绝对的强大。
197$35312437$奇迹·笨小孩$蘑菇帽子$2022-02-01 10:50:54$1414$呜呜呜呜呜呜呜呜呜呜呜好看好看！真好看！！！！做易烊千玺的影迷可真幸福！！！！
198$35312437$奇迹·笨小孩$流觞映水$2022-02-04 19:46:38$68$今天看了这部电影后，我妈说易烊千玺会成为刘德华一样的人物[强]
199$35312437$奇迹·笨小孩$跪求offer中$2022-02-01 15:25:41$1221$后半段让人在电影院狂哭不止…整个电影的叙事都非常让人感到舒适，一些小小的笑点也恰到好处。描述小人物的故事，重在细节，描绘出了一个年轻人的创业沉浮，其实也是在描绘每个人的浮浮沉沉。易烊千玺的演技我已经愿称一句“老戏骨”了，各种隐忍、挫败、倔强表现的淋漓尽致，爆发力足够好，演的也足够正确。
200$35312437$奇迹·笨小孩$Mutha$2022-02-02 21:31:02$196$现实过程，贺岁结局
201$35312437$奇迹·笨小孩$Cross_wisa$2022-04-19 17:23:49$23$没有真实人物的支撑，变成了官方爽文
202$35312437$奇迹·笨小孩$桥本环奈$2022-02-01 10:13:48$2837$又一部从平凡小人物视角描写奋斗者的影片。演员都很专业，影片塑造的兄妹亲情令人动容。平凡人之间的互帮互助，是除了亲情之外影片最温暖的底色，每个配角都活得那样艰难却有尊严！最喜欢众人对抗小混混一段戏，有笑有泪，扬眉吐气！很适合春节观看。
203$35312437$奇迹·笨小孩$椰子灰$2022-02-01 23:11:04$65$没有了药神的惊艳，较为平庸，但总体很扎实，弘扬“加油打工人”的正能量主题。四字演的有些放不开，演技还需再打磨
204$35312437$奇迹·笨小孩$lazybone$2022-02-01 17:10:19$1239$满满的惊喜，五星鼓励
205$35312437$奇迹·笨小孩$归途$2022-02-18 15:58:53$42$可以说，这是这个春节最好的电影了，男主奋勇前行，善良又不迂腐，聪慧却不狡诈，目标明确，一路不通立刻换一条路，希望虽然渺茫但被他死死抓住，如此之人，可谓强者
206$35312437$奇迹·笨小孩$橘子很甜$2022-02-01 13:37:25$1108$"药神班底，文牧野导演＋易烊千玺主演，值得期待。
刚看完，太好看了，有笑有泪，有人情冷暖，普通人创造的奇迹。"
207$35312437$奇迹·笨小孩$凸肚$2022-02-01 11:36:04$984$春节档现实题材影片，这是唯一的一部，也是最值得期待的一部，不仅有华丽的制作演出阵容，还有关注大时代视角和聚焦小人物的关怀，在当下的大环境中难能可贵，也值得影评人大书特书
208$35312437$奇迹·笨小孩$瞭望$2022-05-29 01:21:02$20$有些人在看创业，有些人在看拼搏。我在看不离不弃，相互依偎
209$35312437$奇迹·笨小孩$Hermoso$2022-02-01 15:25:06$421$剪辑太舒服了，简直如沐春风。
210$35312437$奇迹·笨小孩$Jake$2022-04-15 17:20:01$61$这世界还有一些努力活着的人呐
211$35312437$奇迹·笨小孩$蔡粘粘$2022-04-15 01:06:54$38$能把一个命题作文拍成这样真的挺厉害的！
212$35312437$奇迹·笨小孩$我是啊biu～呀$2022-02-01 10:13:51$2609$弟弟演技牛逼！燃爆春节！看得太爽了！
213$35312437$奇迹·笨小孩$一只路过的肥猫$2022-04-19 01:52:12$19$《奇迹笨小孩》本质是个温暖的故事，写实电影真的不适合全员恶人，矛盾冲突过多会失真狗血，我觉得《奇迹笨小孩》刚好，主角团都是善意满满的好人，最大的反派是命运，看起来温暖且治愈。
214$35312437$奇迹·笨小孩$小楫轻舟$2022-02-01 10:50:40$1209$我们每个努力生活的人都是笨小孩，新年一起期待和创造奇迹🎇
215$35312437$奇迹·笨小孩$胡须人$2022-02-01 10:20:50$2607$好哭又好笑，只要勇敢活着，好景常在！
216$35312437$奇迹·笨小孩$兮颜$2022-02-04 11:36:43$84$故事有点单薄，几处转折过于生硬，实话我没感动到
217$35312437$奇迹·笨小孩$D九$2022-02-18 14:33:27$55$一切的虚假不合理都可以用“奇迹”来掩盖
218$35312437$奇迹·笨小孩$毕竟是小瘦子$2022-02-01 10:13:08$2065$不愧是文牧野和易烊千玺 真是强强联合 太好看了 有笑有泪
219$35312437$奇迹·笨小孩$Gucci不会哭泣$2022-02-01 16:14:18$1366$致敬每一个努力奋斗不放弃的人，大家都能创造奇迹！
220$35312437$奇迹·笨小孩$莉莉华$2022-02-01 10:20:44$2576$第一场看完了，有笑有泪，不愧是文牧野，同时你永远可以相信易烊千玺！
221$35312437$奇迹·笨小孩$594249924919$2022-02-02 21:24:21$83$可怕的城市叙事
222$35312437$奇迹·笨小孩$Not today$2022-02-04 14:05:55$82$故事讲的很别扭 看完让你觉得这真的是在讲故事
223$35312437$奇迹·笨小孩$Shin$2022-02-07 07:29:23$23$镜头语言还行，强行he让人不适
224$35312437$奇迹·笨小孩$小吕$2022-07-08 16:54:29$15$"太过完美的结局显得不太真实
"
225$35312437$奇迹·笨小孩$kylegun$2022-02-24 20:56:55$32$更生拳王爱养狗，劳工纠纷斗流氓，三和大神讨媳妇，伤残老兵再就业，看更免费托儿，工头结款算多；硕士毕业臭老九欺负大学肄业打工人，但同样低学历出身的大老板深知打工艰辛，是个好人哦 : )……文牧野剧作节奏把控工整得可怕，依然是牛鬼蛇神小团队做任务的套路，感觉像周星驰的片子去除了无厘头搞笑后，严肃认真地玩起煽情；但这类题材一弄严肃，其实并不太经得起推敲？即便如此，能让主旋律任务电影重新将视点回归在小人物真实生活疾苦上，也不容易
226$35312437$奇迹·笨小孩$欧达可聂$2022-02-01 10:18:34$2532$看完被治愈了，有笑有泪，不得不说一句小人物真的好有共鸣感啊，虽然电影中困难重重，但是最后我感受到了幸福。最后说一句，千玺弟弟的演技又上了一个台阶，真的太好了，里面所有演员的演技都好好。
227$35312437$奇迹·笨小孩$你怎么不说话呢$2022-02-01 10:10:47$1791$完全超出预期 春节档最佳 
228$35312437$奇迹·笨小孩$颜色提拉岁$2022-02-01 11:41:58$683$现实主义中夹带点浪漫主义。故事讲的是小人物的风雨和无奈，刻画的人物也都像是现实生活中存在的，只有奋斗才有希望。易烊千玺的演技给人有很大的惊喜。
229$35312437$奇迹·笨小孩$长安未央$2022-04-16 21:04:50$43$普通人面临的困难，有时像座大山，需“赌”上一切，而结局却不会像剧本，终将迎来大美好。
230$35312437$奇迹·笨小孩$娜娜明$2022-02-01 13:31:53$1085$看完只有一个感受文牧野四字给我二搭！！！三提一定是你的，希望抱回家！
231$35312437$奇迹·笨小孩$花生芝麻糖$2022-02-01 10:17:20$1220$有笑有泪，节奏感超强，文牧野还是有功底的。你有没为了家人拼过命，为了生存不顾一切。当机会来临之际，你会选择退缩还是迎难直上。正是奇迹这些不起眼的小人物，让我看到了幸福与希望的可能。
232$35312437$奇迹·笨小孩$一瓶酸奶$2022-02-01 12:16:00$1262$只要努力，就没什么不可能的！咱就是说好景通讯CEO太帅了吧🤩
233$35312437$奇迹·笨小孩$笋醒者$2022-02-01 10:14:31$941$非常推荐，文牧野稳了
234$35312437$奇迹·笨小孩$在那以后$2022-02-01 10:13:40$737$看主创振容就知道稳了，文牧野有药神打底，易烊千玺有前面佳作，配角也各个出彩，好看！值回春节票价
235$35312437$奇迹·笨小孩$深夜的阿斯伯格$2022-07-04 14:07:39$9$新晋导演，日趋平庸
236$35312437$奇迹·笨小孩$观云如音$2022-02-01 17:10:24$834$呜呜呜太好哭了….哭透我口罩。
237$35312437$奇迹·笨小孩$已注销$2022-02-01 10:54:50$1758$呜呜呜，景厂长真棒
238$35312437$奇迹·笨小孩$鱼要丸子$2022-02-01 10:13:50$1047$新年档最好看的片子🤗🤗
239$35312437$奇迹·笨小孩$Goofy$2022-02-04 16:11:32$34$像是开心麻花出品，就是煽情的地方有点多。暴雨台风去接妹妹那场戏，不至于煽情到那地步，甚至都有点恐怖了。结局那里玺子哥问有没有定金的时候，我都快跟着流泪了，哈呀呀。
240$35312437$奇迹·笨小孩$冰盖扣头$2022-02-01 11:41:46$1445$小人物也可以创造大奇迹。
241$35312437$奇迹·笨小孩$许安$2022-02-02 21:30:24$39$艰苦的奋斗过程，理想化的结局
242$35312437$奇迹·笨小孩$曼特宁$2022-05-04 02:51:38$14$第一桶金总是最难赚的。
243$35312437$奇迹·笨小孩$梨J晚睡$2022-02-02 02:19:32$311$"老天爱笨小孩💪💕，
带着七岁的娃一起看也毫无障碍，并让她了解了一些她并不了解的生活。
"
244$35312437$奇迹·笨小孩$雾豹$2022-02-02 10:01:17$88$"一个狠而又幸运的人的故事，其实希望最后没有什么CEO的…
但是拍得很细腻，把苦难和羁绊拍得很动情，春节一个好结局也不错"
245$35312437$奇迹·笨小孩$妥善保管梦$2022-02-14 21:31:30$47$文牧野阅片量8000+，易烊千玺未来之星
246$35312437$奇迹·笨小孩$Erika$2022-02-06 19:30:36$46$小人物的奋斗总是如此令人感动
247$35312437$奇迹·笨小孩$一截儿小木炭$2022-02-01 10:10:03$1483$新年第一部电影，这个世界需要努力之后的奇迹！
248$35312437$奇迹·笨小孩$星星点灯$2022-02-01 10:13:23$2036$我在电影院里又笑又哭的像个傻子😭
249$35312437$奇迹·笨小孩$大V$2022-02-04 23:22:52$43$很不错的电影，关注的人群很接地气，整个奋斗的故事也相对真实了，几位演员（尤其是四字）演技都很棒，演出了小人员的真实感。四字又有进步了，台词也能说清楚了，和妹妹的感情戏很有泪点。扣一分在结局上，其实景浩设定为重回大学就好了，霸总有点狗尾续貂了。
250$35312437$奇迹·笨小孩$天香楼主$2022-05-07 17:29:57$29$四字弟弟演技牛逼 
251$35312437$奇迹·笨小孩$岛与陆$2022-03-06 22:41:44$14$这几年的国产片都太吵闹，安安静静地看电影很难，打鸡血式的励志片，只是个案，大多数的发展改革，心酸难言
252$35312437$奇迹·笨小孩$墨官儿$2022-02-01 17:09:58$331$是好看的电影，但是也太惨了，20岁的人呀，咬着牙生活
253$35312437$奇迹·笨小孩$摇星星的小马$2022-03-18 09:02:29$53$学校组织去看的，一点也不好看，最后没看完，走了好多人，替学校包场包的不值
254$35312437$奇迹·笨小孩$温度倒计时$2022-02-01 10:14:13$799$创业这条路不好走，但可以博一次，起码不让自己后悔。
255$35312437$奇迹·笨小孩$氓氓鲤$2022-02-07 18:21:01$69$楼有多高，电梯间有多长，我们就能欢呼多久。
256$35312437$奇迹·笨小孩$👏Ciro$2022-02-02 21:30:55$33$最后结尾有点拉胯，中间部分还是文牧野的风格
257$35312437$奇迹·笨小孩$空空$2022-07-08 01:50:18$11$0707。大部分人都死在台风天了。
258$35312437$奇迹·笨小孩$虚拟人物王真实$2022-02-05 12:40:28$37$"春节一天假没放，终于开幕式顺利结束了，上头赏了我半天的假期。半天也做不了啥，想看个电影吧，首页铺天盖地都是这一部，没犹豫就选择看他。

:-(我也不说是诈骗吧，到不了诈骗的程度，但的确配不上那些明星的站台和大V们的背书。

我真实会打三星，但这会儿在气头上，我就半天假期呀！给两星，等我气消了再来改分吧。
"
259$35312437$奇迹·笨小孩$飞翀昊苍$2022-02-02 21:33:24$207$励志感人！有我不是药神的风格，很不错的电影！
260$35312437$奇迹·笨小孩$KINGKO$2022-05-21 02:42:40$36$可是，我就是喜欢这种热血奋斗的鸡汤啊
261$35312437$奇迹·笨小孩$无言呀呀呀$2022-02-02 19:07:26$210$这次有定金吗 真的道出了景浩的心酸 结尾产品合格率成功之后景浩的眼神太棒了 文牧野导演好多镜头都太棒啦 这部片子有欢笑也有泪水 真的值得一看
262$35312437$奇迹·笨小孩$cherry$2022-02-01 10:27:14$1954$看完电影「奇迹·笨小孩」后，深深感受到那句话：只要咱们努力，就没有什么不可能，愿我们都能像影中景浩那样，逢山开路 遇水填桥！
263$35312437$奇迹·笨小孩$画中捧花$2022-02-01 10:13:12$1828$真的值回票价了。平凡的生活，不平凡的笨小孩，我们每个人都是没天赋的笨小孩，只要你愿意努力，总会收获奇迹。全场有笑有泪，完全被真实带动了，感叹于只有在这片热土上才能发生这样的奇迹。还有易烊千玺，一如既往的牛，把景浩那股倔强生长的劲演活了。
264$35312437$奇迹·笨小孩$思念我的月牙$2022-02-06 09:53:05$17$"文牧野是不是考虑大过年的结尾尽量喜庆点？通过质检已经很治愈了，后续的两年合约成为ceo人人大美满就有些强行成功了。我太喜欢章宇了"
265$35312437$奇迹·笨小孩$阿拉小半$2022-02-07 15:29:59$44$乏味至极
266$35312437$奇迹·笨小孩$小黑no-white$2022-04-15 00:03:21$21$对文牧野导演还原与塑造现实的能力深表关切
267$35312437$奇迹·笨小孩$露娜$2022-02-04 15:13:04$41$好像是看过的第一个成熟的中国梦电影。
268$35312437$奇迹·笨小孩$旋转木工$2022-02-01 17:10:09$87$挺好看的，感谢追风少年，确实笑出声了。
269$35312437$奇迹·笨小孩$daydreaming$2022-02-07 15:31:57$9$其实想给3.5也就是7.0，画面叙事调度技术纯熟，感觉像是扒了一个当幸福来敲门，流畅，任务片拍成这样可以了。
270$35312437$奇迹·笨小孩$星野$2022-02-23 19:13:57$32$文牧野真是一点才华也没有，煽得我直翻白眼，国产院线电影什么时候能把配乐用在该用的地方。。。（易洋千玺很帅～）
271$35312437$奇迹·笨小孩$😄+💧=😅$2022-04-15 09:11:06$7$額...有点假
272$35312437$奇迹·笨小孩$两只团子爱talk$2022-02-01 10:23:11$990$光影折入现实，奇迹点亮未来，谱写奋斗故事，盛开青春之花，青年演员易烊千玺主演新电影《奇迹》定档大年初一，期待精彩演绎。
