$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26790961$闪光少女$哪吒男$2017-06-30 16:22:47$2378$二次元少女看了想入党
112$26790961$闪光少女$啊么吸溜$2018-02-03 04:17:38$5$彭昱畅是真正的闪光少年啊！！！！！
113$26790961$闪光少女$喵尔摩丝$2017-07-17 22:07:29$21$我猜很大一部分从前“学过点什么”的小孩多少会被戳到泪点，即使在自己的小圈子里是太太，回到大世界，你依旧是格格不入的那一位。鲍鲸鲸说的每个人的闪光点都值得被尊重，可能比影片本身所要倡导的民乐复兴更“接地气”，所以即使影片的完成度只是在同类型片中刚刚过及格线，我也愿意给一个高的情感分
114$26790961$闪光少女$九尾黑猫$2017-09-24 21:26:37$11$好空洞，什么都没有
115$26790961$闪光少女$风间隼$2017-12-29 00:43:23$6$论圆熟，还不如《缝纫机乐队》吧？你们为啥对大叔就那么不宽容呢？怕人说自己跟不上二次元么？楼道中西斗乐一场精彩，千指大人有气场。至于其他，办法跟不上想法。
116$26790961$闪光少女$九命猫@victor-eyes$2017-07-17 17:14:22$2$靠一枚帅T撑完全场。后半截才入得戏。音乐西改中横竖逃不了“野蜂飞舞”，不太稀奇。
117$26790961$闪光少女$谢谢你们的鱼$2017-07-09 20:05:24$4$选题值得鼓励，但是手艺还得大大加强。
118$26790961$闪光少女$花衬衫$2018-03-17 22:02:14$10$可能期望太高了，没有想象中那么热血。但是宣扬传统民乐还是值得赞扬的。
119$26790961$闪光少女$搬砖侠$2017-07-08 19:41:21$10$只能认可编剧鲍鲸鲸在剧本创意和台词上的小趣味，借用民乐与西洋乐的交锋，讲述的依然是一个少女的怀春梦。尴尬的是导演几乎在本片的控制上显得束手无策，剧情基本上是东一榔头西一棒子，想往二次元靠拢却只是擦边球，靠着不断填充的音乐勉强拖完剧情，一旦回归主线则非常尴尬 ，真的是二点五次元啊！
120$26790961$闪光少女$AilsonAir$2017-07-19 21:01:07$14$少女心炸裂系列，我喜欢这样的青春电影！严格一点讲，爱情和音乐这两条线有些割离，特别是最后男女主角的告白比较多余。说真的，我特别欣赏影片传达的价值观，传统文化民族音乐的传承不能靠责任感的压制，而是应当去陈出新让年轻人爱上它。哥特小姐姐太帅了，千指大人一出手，琴弦波动间分分钟弯成蚊香
121$26790961$闪光少女$乔克得$2017-07-26 14:30:04$25$应该分级，25岁以上人群谨慎观看。
122$26790961$闪光少女$.$2018-03-16 23:11:43$19$"看名字一点都不想看，舍友说还行，就一起看了。内容不错，很好看啊。

青春就是用来放肆的。千指大人真帅啊。"
123$26790961$闪光少女$叶呀小白$2017-07-09 16:54:18$26$永远做个闪光少女，爱鯨鲸
124$26790961$闪光少女$翻滚吧！蛋堡$2017-07-12 15:04:14$13$剧作有不少可爱的地方，中二魂小小燃烧了一把，但对二次元形象的塑造依旧停留在浅显的刻板印象
125$26790961$闪光少女$本来老六$2017-10-03 09:44:21$14$说这个燃的是多缺燃。不怪宣发，和宣发一样是屎
126$26790961$闪光少女$张劳动$2017-09-24 08:50:30$9$剧本还是有很大问题。都讲二次元了，而编剧还在拿民乐和西洋乐的二元对立来作为矛盾冲突点，太牵强了。有一种编剧手法叫生编硬造。影片中民乐小孩在生活中都是被不理解和不重视的，只有一个妈说，你不能不学扬琴，因为是它带你来到世界上，拜托，带你来世界上的是医生好么，去学医好么，为啥学民乐。
127$26790961$闪光少女$诸葛若见$2017-09-30 22:09:53$6$青春感很强，选角也挺到位，千指和两个猫耳少女都很萌。剧情有点弱，7分。
128$26790961$闪光少女$坂口健大郎$2017-07-24 15:53:53$6$【B】哇靠 鲍鲸鲸写了一个…这几年国产片最规整的剧本吧？？？？虽说还是有没落地，台词小出戏的毛病，但真的很棒了，国产片要都能有这个剧本的水平那简直？？？所以该导演摄影想想怎么规范规范自身专业水平跟上吧。哇 真的好棒啊。（表白男主嘤嘤嘤没“变帅”之前就觉得好可爱取下眼镜后啧啧啧
129$26790961$闪光少女$萌特斯$2017-07-19 22:18:25$8$编剧偷换概念玩的太溜，但对很多元素的理解特别流于表面，其实这是在黑二次元吧……在什么场合做什么事不是最基本的吗，就音乐厅打call这种事观众居然不骂人？我是真的讨厌你弱你有理，你热血你就以为你逻辑通你占据道德制高点了？不过青春片往这种方向题材走是很好的，真是不想再看到狗血撕逼了
130$26790961$闪光少女$吴松张$2017-11-30 10:27:50$4$还是那句话，青春片里好好学习才是不务正业。
131$26790961$闪光少女$MonsterINSIDE$2017-07-16 19:15:47$11$很蠢
132$26790961$闪光少女$一只淇。$2017-07-20 22:57:42$17$很热血啊 斗琴那段蛮燃的
133$26790961$闪光少女$老阿飞—故园$2018-02-05 18:17:41$3$非常的漫画式！极其的中二到爆！但是非常非常的青春！！不是那种怀旧式的青春，而是就在当下的青春！非常干净！在国产青春片里几乎是前无古人！看了十分钟就高兴的不得了，高兴地不吝于给五星！这片儿有不足，但是没短板。另外，那些说这片儿对二次元有误解的人，你们是不是对电影这个东西有误解？
134$26790961$闪光少女$三和后浪える酱$2017-08-04 19:23:02$4$宣发该枪毙吧，老子看完电影这么多天、才知道 中岛美嘉献唱中文版插曲，还有主题曲Shine竟然是逃跑计划、狗耳已瞎。千指大人请操我，靴靴！
135$26790961$闪光少女$17950$2017-07-25 13:53:15$11$头三十分钟我差点退场…以为是个翻日本的热血青春电影…结果我操这个片子内核其实是讲“偏见、包容、自信”这种当下特需要的东西。好评支持！比如我喜欢漫画…但是我不喜欢二次元，接受不了萌即正义这些…但是这片子让我意识到我应该像拥抱lgbt一样去接受coser的审美，至少他们比我好看啊😂
136$26790961$闪光少女$子皿与舟$2017-07-17 11:20:31$10$陈奕迅是闪光大叔！！！！！给陈奕迅300颗星星！！！！！
137$26790961$闪光少女$DEPARTURES$2017-08-01 00:15:27$6$深深感受到了次元壁的尬和厚，可能我已经不年轻了
138$26790961$闪光少女$橘生淮北$2018-06-13 07:47:53$6$为民族乐器五星
139$26790961$闪光少女$南悠一$2017-07-01 14:14:40$9$斗琴那段真的不错。死了好几年的少男心又活了一下。
140$26790961$闪光少女$巴伐利亞酒神$2017-07-26 20:43:16$10$我果然是个少女。
141$26790961$闪光少女$妄想代理7$2017-09-24 00:45:51$2$小哥好评 又中二又热血
142$26790961$闪光少女$SleepWalker$2017-07-23 19:48:50$8$正因为有这样的片子存在，我才始终对国产电影抱有微弱的希望。本片最优秀的一点便是将传统民乐以二次元萌宅的外壳包装，用当下年轻人都能接受的方式呈现在大银幕上，这比《百鸟朝凤》不知道高明了多少。年轻演员的表演虽有着稚嫩的瑕疵，但并不是完全的缺点，它让这部影片更加青春逼人，活力四射。
143$26790961$闪光少女$乔小囧$2017-07-28 00:11:56$2$国产单薄版《摇摆少女》。加了次元矛盾、民族文化之争之后，虽然感觉过火，但一切都那样不理智的燃起来了。作为成年人或许会觉得幼稚，但青春可不就是这样的吗，莽撞、情绪、容易爱、急于表达、乱贴标签、容易被当枪使。音乐还挺好听。
144$26790961$闪光少女$思无邪$2018-06-29 14:35:30$11$不被认可，便用实力证明。中国的乐器是真的很好听啊，民族的才是世界的！还有二次元即使不喜欢但请尊重。
145$26790961$闪光少女$橙子换马甲$2017-07-23 15:56:10$4$槽点太多，只从“颜值即正义”的“二次元”逻辑出发，也就宅男闺蜜和山寨栗山千明偶尔可看，其他至少把吓死人的美瞳摘下来好吗。。音乐还好吧，结果决定胜利的是只出现了那一下的唢呐，最后高潮我也就被二胡打动了一下，“二次元”太大干扰。。女主和男闺蜜互动的不低俗程度在国产青春片里算是难能可贵
146$26790961$闪光少女$vigor绵绵熊$2017-09-23 23:05:45$10$校园版百鸟朝凤
147$26790961$闪光少女$团小纸$2017-07-16 17:57:20$13$非常“正确”的电影，正确的价值解读，正确的本土青春模样，正确的音乐燃点，正确的觉得国产电影真的有在变好。民乐器里唢呐称王不是没道理，一个百鸟朝凤就是厉害！
148$26790961$闪光少女$大海里的针$2017-09-28 14:42:01$5$除了女主傻白甜和结尾演奏疲软，总体上还挺好看的，有点后悔没贡献票房。
149$26790961$闪光少女$僕之花嫁$2017-07-20 23:03:36$22$猫眼电影邀请看的，本来没报太大期待。整个电影院加上我们就6个人看，结果超出预期太多！各种亮点不断，梗多又新。虽说剧情俗套了点，开头的剪辑也略混乱，但整体水平真心秒杀一票同款电影了！真心推荐！
150$26790961$闪光少女$脆弱社畜晴阳阳$2017-07-23 11:08:36$2$交响情人梦吗的痕迹还是挺明显的，位数不到的有趣镜头基本都来自那儿，剧情更不用说，而且一改就高下立判：中规中矩乐团VS个人风格乐团改成西洋民乐对立太牵强只好校园霸凌来凑，主线我为什么弹琴到这里只在乐团解散时提到，思考和深度差太多。斗琴一段的《野蜂飞舞》选曲极度不合音乐逻辑，不满。
151$26790961$闪光少女$豆友144045833$2018-06-30 19:19:35$9$一部让人开怀大笑的电影，女主角古灵精怪，活泼开郎，男主角英俊潇洒，这部电影逻辑清晰，男女主角演技在线，背景音乐也配得很好，是一部很好看的电影
152$26790961$闪光少女$阿五$2017-07-20 22:45:06$9$没有“高龄”演员扮嫩，没有狗血的N角恋，甚至连爱情戏部分的着墨都非常少，故事简单却诚意十足，比如B站、漫展、手办、“丧”、“请收下我的膝盖”这些台词和设定，就非常贴近我们的生活。PS：彭昱畅太可爱了要持续关注！
153$26790961$闪光少女$打工人(毒瘤版)$2018-04-05 21:09:34$7$其实有点尬，二次元真不是这么神经质的……
154$26790961$闪光少女$bird$2017-07-22 20:54:38$8$回想十七岁，谁会比谁更后悔呢。鲍的剧本学到了青春片的正确写法，不在剧情，在细节鲜活。二次元少女爆有型，音乐串得也很好听。b站，出国，西洋乐，能留下年轻人的怎么会是民乐呢，前途未来过眼云烟，青春的自由最珍爱。
155$26790961$闪光少女$张熊熊$2017-07-31 16:29:54$2$除去对二次元少女极为肤浅和不负责任的刻画，可以说是一部非常优秀的青春电影了。徐璐真好看啊，可撑住了别整啊！！！
156$26790961$闪光少女$o-o$2017-09-22 10:38:31$1$女主有点像白百合诶，是因为鲍鲸鲸喜欢这种长相的姑娘吗，eason费玉清。什么时候闪光的能不仅仅是少女啊，大家都能闪光，都做自己想做的。片尾还有周笔畅彩蛋。
157$26790961$闪光少女$梦里诗书$2017-07-20 21:53:11$5$音乐本是没有国界之分的，二次元的世界也并不是如同导演臆想的那般另类，但在《闪光少女》中，不论是将二次元刻意的划分为另类去编排也好，还是将民乐与西洋乐进行对立也罢，以此所矫揉造作呈现的故事，着点的燃情，又能拿什么去得见青春的真挚？！
158$26790961$闪光少女$风蚀蘑菇$2017-07-21 21:11:50$5$故事很顺畅也很套路，你完全猜得出下一秒会发生什么，也看得出硬凹的矛盾转折，比如漫展没人看，暑假家庭矛盾，跟西洋乐斗琴，人为痕迹太明显。古风在国内二刺猿里绝对不是小众，引以为傲的权御天下是抄袭自日漫，在这个扬我国威的故事里也很讽刺。死宅寝室的设定太像海月姬，东拼西凑出宅的刻板印象
159$26790961$闪光少女$Cherry Chi$2017-08-09 10:54:31$8$7.5？？？？？你们的良心不会痛么。脑残粉滤镜也救不了，尴尬死了。
160$26790961$闪光少女$Lynchman$2017-07-09 19:52:13$18$中国特色社会主义文艺观在二次元助攻下完美实现的青春中国梦，堪称目前大环境下既中二邪性又根正苗红还毫不丢范儿的一个奇诡范例。
161$26790961$闪光少女$自由意志$2017-09-29 11:31:56$7$故事简单地二元对立，人物脸谱化，总体幼稚、煽动性强
162$26790961$闪光少女$骑桶人$2017-07-20 20:57:13$8$本来没抱什么期待的，一开始确实也不太习惯那略带夸张的表演，但不久之后，不久之后，就发现——（大一号字）这是多少天以来我看过的最干净最单纯的一部国产片啊！！在资本游戏操纵一切的今天，竟然还有这种没有大牌、没有特效、老老实实干干净净的青春励志片，看完真的有一种清水出芙蓉的感觉。
163$26790961$闪光少女$柯诺$2017-12-28 15:47:54$4$彭昱畅，告别傻笑，命中有戏，那就是中国的池松壮亮呀。
164$26790961$闪光少女$科林$2017-07-25 14:11:24$11$【用尽我的一切奔向你】-周笔畅
165$26790961$闪光少女$老罗Lazzaro$2017-09-24 23:17:14$1$挺吃音乐题材这套，特别是华语青春片有这样的创新很难得。民乐与西洋乐文化碰撞，古风与日系结合，玩出真正的青春活力。台演与斗琴两段都不错，二次元文化在剧情里的融合其实有些生硬。
166$26790961$闪光少女$草威$2017-10-08 21:14:25$6$观念太落后了，即便是青春片也不喜欢这么落后的观念，简直是刻板印象的集合。但也有国产电影少见的可爱。
167$26790961$闪光少女$Envy Ryu$2017-07-12 12:21:29$15$看到海报和卡司名单，差点误以为这是一部非主流二次元闹剧，但片子远超预期的惊喜。热血不是嘴巴里喊出来的，不靠特效，不靠明星效应，认真讲故事，“小尘埃能炸出大宇宙”。
168$26790961$闪光少女$萤木C$2017-07-18 22:31:01$6$有点尬，感觉编剧对二次元的认知有偏差，强行矛盾，强行说教，本来音乐是很容易带动起情绪的，唉……
169$26790961$闪光少女$荔枝蜜薄荷苏打$2018-05-04 00:53:53$8$国乐是瑰宝，斗乐部分非常赞👍
170$26790961$闪光少女$肖恩恩恩恩肖$2017-07-20 21:37:22$6$"前半部7分，后半部5分。鲍鲸鲸组合讨喜加分。前半部分居然很燃！本来有成为失恋33天+初恋那件小事二合一，结果后半部分强行拔高+刻意制造矛盾对立，又不能令人信服地解决，最终整段垮掉。
PS，油渣好帅！梁翘柏请对了！"
171$26790961$闪光少女$mok53倩$2018-04-03 19:38:52$9$被片名所累的电影，看片名以为是烂片，但其实还不错。
172$26790961$闪光少女$林探惜$2017-09-26 06:57:26$4$印象分很高的鲍鲸鲸+印象分极低的徐璐，最后输出了一个形象惊艳的千指大人~ 我发现我的审美越来越能接受这种雌雄莫辨的美了23333
173$26790961$闪光少女$婴儿葛葛$2017-07-15 17:24:07$7$说人话的影视作品，在天朝太可贵了。单凭此就值4星。
174$26790961$闪光少女$颜落寒$2017-07-15 18:45:08$10$有不少日式青春片的影子，又中二又燃，斗琴一段还不错。相比《百鸟朝凤》的自怨自艾自怜，感觉这才是宣扬振兴民乐的正确方式。anyway，古风圈和二次元宅看这部片应该感觉很微妙😂😂
175$26790961$闪光少女$冰山的阴影$2017-11-09 14:19:29$6$音乐版小时代。生动诠释什么叫做五雷轰顶。
176$26790961$闪光少女$巽$2017-12-17 02:25:17$4$怎么说呢，有可爱之处。但仍然浮夸、老套、刻奇、stereotype、立不住脚且造作的戏剧冲突、刻意矮化西洋乐、B站式爱国意淫、日漫式古风，抱歉啊，我真的不吃这套，彭昱畅再可爱我也不吃。
177$26790961$闪光少女$天蝎小猪$2017-08-03 09:17:44$9$国内这类题材的电影太少了，看得很过瘾，大爱！
178$26790961$闪光少女$智$2017-07-19 16:01:37$13$意外的还不错
179$26790961$闪光少女$犯怵中的嫌疑喵$2017-07-01 16:06:41$13$千指大人！平胸差评！
180$26790961$闪光少女$赛珞璐$2017-07-16 18:14:57$9$民乐加二次元即正义，《百鸟朝凤》大胜《野蜂飞舞》，正能量闪闪发光炸裂次元壁。
181$26790961$闪光少女$momo$2017-07-02 22:36:53$7$青春梦想必须要包含进文化走出国门、扬我国威这个大梦想之下谈，说到底还是不够自信。燃点也夹的十分生硬。
182$26790961$闪光少女$Panda的影音$2017-07-22 16:31:17$3$开场学生打群架斗殴的戏份不仅让我对影片有坏的初印象，也成为了全片我最不喜欢的桥段：这里是学校？怎么大家都用武力解决问题？教育严重缺失？→抛开这点，电影推广民乐+二次元的心还是值得赞扬的，只是手法略笨拙，很多情节追求戏剧冲突/搞笑而丧失生活感就变得虚假让我难以置信……《北戴河之歌》。
183$26790961$闪光少女$疼疼（电动版$2017-07-09 18:38:18$15$终于有国产电影关照下中（nian）二（bi）病们的世界了，每次到了演奏段落都被燃到泪流满面！以至于后面《北戴河之歌》响起我都能哭个稀了哗啦。再加上B站、古风、洛天依这些元素，现在还激动到手抖…
184$26790961$闪光少女$Q这一切的一切$2017-07-12 22:05:58$27$看的我老泪纵横 下定决心要戴着脚链写好命题作文 二次元的部分觉得编剧真的明白这些孩子 设定可爱 演员选的也很棒 油炸好想嫁 打鼓灰t帅得哇地哭出来
185$26790961$闪光少女$游牧人·芳汀$2018-09-02 04:34:31$2$彭彭真可爱，可惜徐璐太丑了气质也不像校园里古灵精怪的少女，要是吴倩来演就好了。整体更像台式也像日式青春，有上野树里同题材的摇摆少女珠玉在前这部很难再给我更多的惊喜，二次元距离我的生活也太遥远，靠死宅漫痴们好难撑起票房啊。想起八年前王力宏的恋爱通告也试图宣传民乐原来那么多年过去民乐还是需要被拯救。
186$26790961$闪光少女$流风揽湖$2017-08-01 13:17:08$2$套路成熟剧情完整的类型片。彭昱畅啊啊啊啊啊为啥这么可爱，好好发展啊小墙头
187$26790961$闪光少女$Deepsea Baby$2017-07-02 19:07:33$2$@百美汇 挺喜欢斗琴那段，将二次元和与民乐结合也挺有想法的，现代民乐与西洋乐编曲棒，除了情感戏有点尬，Eason客串，插曲有杨宗纬唱的
188$26790961$闪光少女$木寸木寸$2018-10-03 16:21:04$2$最后好甜啊
189$26790961$闪光少女$有橘$2017-09-24 22:20:32$1$編劇怕是對古風有什麼誤會吧……不過，還是很高興能聽見二次元的聲音
190$26790961$闪光少女$望仔放弃减肥了$2017-09-22 20:23:53$1$这片子里出现的姑娘都好好看啊，除了主角的方脸…总觉得可以理解为什么票房不高，虽然很喜欢，但我暗搓搓的在家看都略觉羞耻⁄(⁄ ⁄ ⁄ω⁄ ⁄ ⁄)⁄ 虽然对古风和民乐有点理解偏差，不过这真是青春片的正确打开方式啊！
191$26790961$闪光少女$薇羅尼卡$2017-08-01 12:41:03$4$可以看出很多日式青春片的影子，但却是国内少见的青春电影。同是94年的出演高二学生，为啥徐璐看起来就是要比男主老一丢丢呢？民乐很燃，漫展很燃，是啊，这就是青春的模样啊！表白一下傻呵呵男主角彭昱畅，期待你接下来的发展哟！
192$26790961$闪光少女$唐小万$2017-07-23 22:47:34$1$燃+题材角度好，而且很青春啊，闪光的那种青春。
193$26790961$闪光少女$顾盼$2018-04-25 19:05:54$9$青春，音乐，是欢快的，无忧无虑的。
194$26790961$闪光少女$guxionchu$2017-07-24 19:38:06$5$超好看超燃！！！作为一个学民乐的人我简直觉得民乐找到了出路！！二次元啊！！
195$26790961$闪光少女$Tom$2017-08-03 23:36:18$2$完成度极高，各种元素的混搭做的非常巧妙，从选材到细节的把控、原声音乐的制作都处于水准之上，非常值得同类型国产电影学习借鉴。
196$26790961$闪光少女$waking王小心$2017-09-26 13:14:58$4$不说拍得怎么样，这种自卑又自负搞一堆反派衬托死撑大国面子的说教片调调真的好吗？民乐和西洋乐根本没有可比性嘛。要真斗起琴来，同样数量的乐器，民乐的共鸣恐怕还没有西洋乐一半大，气势上就输了……要不下次拍个中医vs.西医？
197$26790961$闪光少女$m89$2017-06-18 13:06:23$9$#siff#二次元向青春喜剧，人物和故事设定基本都来自日剧或漫画，从邦乐和洋乐对抗的角度切入，再掺杂些实用的民族主义，很适合低龄B站用户食用。陈医生的老干部形象闪瞎眼。不过毕竟是鲍鲸鲸老师的剧本，五光十色的傻白甜之外还是有些金句的，比如cos五四青年啥的。镜头剪得真不错，很藏拙。
198$26790961$闪光少女$塔拉胡$2017-07-28 00:02:25$2$满屏都是王导对鲍鲍的爱。然后为王文师哥鸣不平“我就是不喜欢你啊凭什么你喜欢我我就得喜欢你啊还上升到西洋乐和民乐之争爱国还是崇洋我也是太冤了！”
199$26790961$闪光少女$夢侠沈星丹$2017-07-22 04:09:36$10$爆裂民乐！暴走少年！二次元少女！一干素人秒杀张震悄无声息燃炸暑期票房~有点中国版爆裂鼓手的意思，具备被日韩翻拍的底子和气质~画面美得像新海诚现实版~哥居然还看出了大逃杀的士气和热血小马哥的英雄迟暮与不甘！好几个段落仿佛听见小马哥在怒吼：我失去嘅嘢窩一定要将钜亲手攞翻来！民乐翻身之作
200$26790961$闪光少女$恰好$2017-07-22 18:11:00$5$陈奕迅超级棒！！
201$26790961$闪光少女$喻鸣$2018-05-08 15:16:05$6$怪力少女逆流而上的戏真是百看不厌，二次元古风圈亚文化边缘人赛高！千指大人请收下我的膝盖。
202$26790961$闪光少女$河狸$2017-07-17 20:58:52$20$二次元的少女梦，还蛮对我这个大龄中二怪蜀黍胃口的。用二次元弘扬民乐，也是一个不错的思路。既励志又热血还主旋律，在现在这个浮躁的电影市场里，出现这样一部走心的作品真的是太难得了。
203$26790961$闪光少女$楚大刀$2017-07-09 17:38:17$8$终于有部像样的青春片了，几次泪目为民乐。
204$26790961$闪光少女$晓晓一$2017-12-31 23:24:06$1$少年可以充满空虚与迷茫，可以如此阳光闪亮，为信仰发声，加上一点点的孩子气还有不可少的那一点点对规则和权威的藐视，这就是酣畅淋漓的青春啊。以这样一部影片告别2017年，也算是期望明年活力满满吧。
205$26790961$闪光少女$Indecent time$2017-08-04 19:25:59$2$来自一个不喜欢青春片，也不是二次元粉，还不懂乐器的键盘侠的致意
206$26790961$闪光少女$朱熠$2017-08-01 01:17:56$6$鲍京京的剧本除了犯犯中二病，耍耍小聪明也就没别的了，没主题，没意义，没逻辑，没角色
207$26790961$闪光少女$饕餮暴血$2017-07-15 18:32:20$7$最近第三次提到纯粹这个词了，不过这次是赞扬。这部电影纯粹到甚至可以成为所有国产青春片的模版，好好的建立冲突并解决它们，虽然说在这部影片中这些冲突点设置的多多少少都有些生硬，但辅以青春电影中该有的纯粹热血和梦想，足以冲淡这些缺陷。不少分镜和剪辑非常赞，不完美却非常喜欢的一部电影
208$26790961$闪光少女$Miss RP$2017-09-25 20:52:05$2$尴尬的地方还是挺多的.....喜欢闫妮
209$26790961$闪光少女$谁$2017-07-17 21:25:31$18$该叫闪光少年，彭昱畅一上舞台就发光。
210$26790961$闪光少女$很好很会吃米$2017-07-24 22:55:29$3$本片主旨：流行乐都是垃圾。详情请听他们的所有画外插曲
211$26790961$闪光少女$紅豆生南京$2017-07-21 21:33:07$5$特效部分真的很尬，但还挺喜欢的。中二感和少年感都很自然。爱情线干脆温暖又不抢戏。导演新手痕迹特别重，但剧本里趣味和情绪都被体现得很好。鲍鲸鲸实力证明了，想让你的导演懂你，就把他变成老公。 OST好听！#以及，我从第一个长镜头就知道，唢呐绝对是民乐届的solo之王#
212$26790961$闪光少女$Jeannels$2017-09-24 16:18:29$6$以尬为荣。
213$26790961$闪光少女$盘子$2017-07-20 20:57:08$3$三星半，非常可爱，敢突破次元壁不容易。但是这个路数呢还是傻乎乎的造对立，音乐学院附中学生（含民乐方向）被黑得比较惨的一次。
214$26790961$闪光少女$小田切梨$2017-10-19 00:10:42$3$斗琴那段在电影院没get到燃点，民乐和西洋乐炫技纯粹是以卵击石，只能在音量和自由度上有点优势，更胜一筹纯粹是主角光环。民乐的优势是意境，但在电影里完全没有体现，只有炫技和二次元燃。女主向男神告白，男神诘问：我就要出国了，你不要害我。简直对总局早恋禁令的高级黑。
215$26790961$闪光少女$栗子侠$2017-06-30 16:14:52$8$三星半，虽然剧情一般般，但音乐太好太燃啦！看哭！我要回家把二胡拿出来~~~最不满意的是，为什么学民乐的男女主造型都非常土鳖，不要再故意扮丑了！
216$26790961$闪光少女$好事发生$2018-06-16 22:30:53$6$向来对这种中国乐器或是古风的东西没有抵抗力，看得我激情澎湃，中国乐器真的牛。本来对彭昱畅没有什么印象，也是向往的生活才知道他的，这小子，还不错啊，继续加油
217$26790961$闪光少女$忘我洗澡$2017-07-23 21:05:38$2$泪目了几次，看完还很有一种想为什么去努力一下的冲动。不管是爱情，还是梦想，还是别的已经被抛诸脑后的东西，真的很想努力一下啊。这就是这种电影存在的意义吧。
218$26790961$闪光少女$星尘战场$2017-09-24 21:39:49$1$作为导演的处女作还是成功的，野蜂斗琴那段很不错，不过片尾的高潮没掀起来，而且很多地方都略尬
219$26790961$闪光少女$K$2017-07-23 11:48:44$5$想表达什么呢？斗琴那段是劲舞团配乐么？最后想说，金属乐拯救全世界，哦耶。
220$26790961$闪光少女$ChrisKirk$2017-07-20 23:48:41$3$很台湾的青春，手托脑袋的温柔，约定萤火的浪漫，最后的合奏真是套路又热忱。而抛开这些往大了说，[闪光少女]解决了[百鸟朝凤]的悬而未决，把二次元和少女漫的青春当做表层标本，把广阔的历史遗留和沉默厚重藏匿在更深处的细节里，虽然只是一个纯理想化的框架，但也能从中窥见传统技艺的生存之道。
221$26790961$闪光少女$闲人$2017-07-20 23:36:27$3$可以给个四星，虽然剧情写得还是太随意了，但这个情境在国内居然显得不是很奇怪，这有点出乎我的意料。
222$26790961$闪光少女$D酱$2017-07-27 17:41:28$3$三观宇宙无敌中国第一正。真·华语片子的希望。
223$26790961$闪光少女$字母君$2017-07-16 00:00:50$7$"比较好看，不过也仅此而已。小提琴首席扮相很像栗山千明，男主从角色设置到演员长相都算得上是清流了。
对二刺螈的理解和呈现还很表面，但值得鼓励的是至少已经尝试过了。既然这么挺民乐，配乐也能试试用民乐嘛。
鲍鲸鲸笔下角色的台词都像是从她自己嘴里说出来的一样，这到底是她的缺点还是特色呢？"
224$26790961$闪光少女$Mickey$2017-07-16 23:05:07$6$二次元和中西乐器对决只是噱头，乐器本身没有谁高谁低，高低贵贱之分，矛盾点都是嫁接在乐器之上人赋予的附庸价值。最令人感动的是你对自己所学专业到底是家长逼迫、艺考走捷径考学还是自己真正喜爱，作为艺考走过来的深有共鸣，起初只是为了考个好大学，后知后觉的我才发现电影已成为生活中的一部分。
225$26790961$闪光少女$发条饺子$2017-09-28 20:54:24$1$小众的民乐以及更加小众的ACG，蛮好的买点，但不知道是年轻人太自我还是拍青春片的导演太自我，鸡血式中二看得好尴尬，幸亏有颜值弥补。无限可能的华彩青春，放到内地影人手里，偏偏拍来拍去绕不过小四、纯爱、葬爱家族三个风格。
226$26790961$闪光少女$黄悦_$2017-07-21 22:49:54$4$二次元和民乐跨界的结合使人想起了几年前太极和街舞合作的《狂舞派》 一样让人耳目一新 不经意撒出的“既然喜欢就要努力认真对待”的鸡汤也很是喜欢 不错 但如果不是梁翘柏 就导演这叙事能力会使电影分分钟跪得很难看 节奏略差 还有最后大合奏其实真不用得这么科幻 因为这场电影的核心——因为音乐——本身就很有魅力了。
227$26790961$闪光少女$内吧所$2017-07-09 20:42:57$16$只看了后半段依然尴尬 尤其二次元应援什么的 就没人说你们挡观众？图便宜的片 周围叽叽喳喳的大妈是最烦人的
228$26790961$闪光少女$cassetteman$2017-07-25 16:31:10$1$一切艺术都要低俗化段子化才能在电影中展示，刻板印象配合样板人物组成高高在上的虚伪文化宽容，民粹根子和反智主义与《百鸟朝凤》一脉相承。最后，人民需要传统文化美瞳。
229$26790961$闪光少女$葵$2017-09-24 15:20:43$2$满满的都是尴尬
230$26790961$闪光少女$kylegun$2017-07-19 22:27:13$12$尴尬组团，漫展开杀，告白散band，东西乐器走道斗法最高。这个民乐普及做的要比百鸟朝凤好，对下一代传统文化的输出还是要靠二次元啊。前半部分有点太低幼太难受，但后面热血起来感觉还成
231$26790961$闪光少女$张腾森$2017-07-20 17:55:47$8$很可爱的电影。和那些妖艳矫情的国产青春片根！本！不！一！样！
232$26790961$闪光少女$在风和日丽的…$2017-07-20 20:09:32$5$所謂民樂與西洋樂的對立在我看來是有些可笑的，甚至上升到意識形態的對立就更讓我尷尬了。而且所謂喜愛古風，說實話我在電影中完全沒看出來，幾場大段落的演奏根本跟古風沾不著邊的，全是流行音樂嘛⋯⋯所謂的好，還真只能說是同行襯的。
233$26790961$闪光少女$Insommniac$2017-07-11 09:11:47$27$【2017.07.10 百丽宫协信店 7号厅 19:30】几次泪奔，全程少女心被炸成了一朵烟花！近五年来除《那些年》和《少女时代》外最好的青春片！生机勃勃，让人觉得青春、梦想、友情、勇气这些都变得无比具象。什么叫天真莽撞情深意长啊，这就是啊！强推！从我私心角度来讲实在是太喜欢了！
