$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1307694$无间道3：终极无间$Yu-chia$2009-08-27 15:38:38$1296$鬼知道陈道明出来干嘛来了
183$1307694$无间道3：终极无间$Cobra$2011-07-09 02:42:25$0$这部多少有点差强人意了。
184$1307694$无间道3：终极无间$トランクス$2012-07-10 03:26:45$1$可能因为是最终部所以要交代的东西比较多，这种意识流的叙事很容易让人看的一头雾水。幸好影片节奏不错，不会觉得闷，并且结局收的干净。无间道拍成三部曲是很有必要的，单拿哪一部都称不上经典，放在一起却成了经典
185$1307694$无间道3：终极无间$世纪末日卢瑟王$2011-02-08 00:58:56$0$逊色于前两部太多太多
186$1307694$无间道3：终极无间$小葡萄$2009-10-06 17:36:40$1$有一点看不懂。。
187$1307694$无间道3：终极无间$烈焰红唇龙$2016-06-15 13:50:55$2$华仔的个人救赎之作。
188$1307694$无间道3：终极无间$甜春宝$2010-03-02 17:22:29$0$出来混的，总是要还的。
189$1307694$无间道3：终极无间$轩晢璘$2010-07-13 19:32:18$0$不知道是不是骗钱计划 有点拖泥带水
190$1307694$无间道3：终极无间$心有猛虎$2012-08-02 21:49:18$0$记得当年，看完了告诉友人，说没看懂
191$1307694$无间道3：终极无间$SASKIA$2009-10-21 12:24:08$0$無間道系列真是\(^o^)/~
192$1307694$无间道3：终极无间$inffun$2010-07-17 12:54:32$1$陈道明演得不错，黎明一般，有点装13的味道。
193$1307694$无间道3：终极无间$Fran$2012-10-19 15:17:15$0$差口气感觉。做二五仔的无间痛苦还是太赶了一点。。。还有。。等一下，那梁sir这个位子最高的内鬼还是没被捉出来么！
194$1307694$无间道3：终极无间$少年熊猫$2011-05-22 19:14:40$0$http://movie.douban.com/pics/nst.gif
195$1307694$无间道3：终极无间$想我说yes$2011-08-13 22:37:25$0$人物的增加，关系的复杂。剧情和前两部比起有点差了
196$1307694$无间道3：终极无间$kobie$2009-07-24 23:14:45$0$"香港的，也是中国的；商业的，也是热血的。这个系列是中国人对中国电影的一次救赎
"
197$1307694$无间道3：终极无间$柳晤首$2008-10-09 13:53:11$0$一般般，特别加了那些大陆人以后 ... 
198$1307694$无间道3：终极无间$cherry0592$2006-05-10 20:17:33$0$2003年底有幸在广州看了一场粤语原声的无间道
199$1307694$无间道3：终极无间$东学西读$2011-07-13 12:29:18$1$其实人都有两面性，并不是非黑即白，接受他的光环，也同样接受光环下的瑕疵
200$1307694$无间道3：终极无间$sin5409$2009-04-27 01:11:08$0$2003/12/20 嘉禾mk
201$1307694$无间道3：终极无间$圈圈叉叉圈圈$2009-10-07 08:55:39$0$太扯淡的片子了 忍着看完了 不过刘德华获得影帝了 哎
202$1307694$无间道3：终极无间$Aing$2011-03-08 21:57:46$0$这是扯淡啊
203$1307694$无间道3：终极无间$梦里诗书$2018-03-22 10:47:03$1$《无间道3：终极无间》真正意义上来说才是《无间道》的续作，因为第二部是其系列的前传，《终极无间》虽然总体来说自觉并不及前作，过大的野心，使电影在结构人物上出现了失衡，但错综复杂的悬疑构思下关乎人性的善恶着墨，无间地狱余味犹存。
204$1307694$无间道3：终极无间$夏天好好味🍉$2011-11-16 21:57:41$0$有点多余吧
205$1307694$无间道3：终极无间$USTCBao$2009-12-20 20:55:26$0$这部电影与其说是追忆阿仁，不如说是追忆梁朝伟！
206$1307694$无间道3：终极无间$容貌见附件$2011-06-28 10:02:17$0$有点长
207$1307694$无间道3：终极无间$阿尼塔$2010-12-14 19:57:59$0$再也没有警匪片可以超越无间道了。
208$1307694$无间道3：终极无间$兀$2013-07-01 11:30:03$0$看前两部是什么时候了？
209$1307694$无间道3：终极无间$葱油饼$2011-01-10 08:39:53$0$too many flashbacks and forwards, makes it pretentious. The shift from evil guy to good guy is not so convincing.
210$1307694$无间道3：终极无间$吧唧吧唧$2011-05-09 03:55:49$0$…两影帝的演技是我睡着又撑起来的唯一动力……P/s黎明看多了觉得演的有点木，不过一出场的时候杨锦荣绝对是我的型啊！！！！…………………
211$1307694$无间道3：终极无间$颜颜$2010-07-16 02:04:15$0$=。=额...记不得了 =。= 没意思吧 嗯
212$1307694$无间道3：终极无间$金属$2009-12-16 16:14:46$0$节奏，这个系列赢在节奏
213$1307694$无间道3：终极无间$[己注销]$2009-09-17 01:10:36$1$不如前两集，但还是比较有看头。
214$1307694$无间道3：终极无间$Milet$2012-05-04 14:53:45$0$导演可以将主线放在刘德华饰演的角色上，将整部电影突破警匪剧情的框架，揭露更深层次的人性问题。可惜为了取悦各方，发展出太多的视角，拍得不伦不类。
215$1307694$无间道3：终极无间$Bill$2009-03-04 08:59:51$0$略微拉低了整个三部曲的档次，但是可以看作是为加入更多明星演员而做的平衡。麦庄的编剧依然过硬，几位明星演员的刻画也各有特色，香港电影史上最好的三部曲。
216$1307694$无间道3：终极无间$战国客$2008-04-16 11:02:28$3$精神分裂，华仔演的很棒，金马影帝当之无愧；只是影片很多地方看不懂~~
217$1307694$无间道3：终极无间$Sunman$2011-12-02 09:03:40$0$点到为止，见好就收吧。《无间道》再也不需要续集了。三星半。
218$1307694$无间道3：终极无间$陈牛$2007-08-01 10:25:10$0$8.2/10
219$1307694$无间道3：终极无间$信电影得永生$2012-07-16 19:34:47$0$依旧精彩。
220$1307694$无间道3：终极无间$岚羽$2009-01-09 23:08:34$0$第一部珠玉在前，此番多了黎明囧啊～扣分扣分
221$1307694$无间道3：终极无间$一字$2013-05-20 16:04:50$0$单独出来的话，还是完胜其余大部分的香港警匪片， 只不过在整个系列看来就有点画蛇添足的味道。 更像是为了圈钱+凑齐一个三部曲。
222$1307694$无间道3：终极无间$草木有本心$2006-11-05 14:13:55$2$我喜欢的电影逻辑
223$1307694$无间道3：终极无间$W$2012-07-02 00:58:56$0$相较于1、2，逊色不少。靠着前两集搭好的架子，只填进去了一点点塞牙缝的新内容。
224$1307694$无间道3：终极无间$隐忍黄药师$2006-07-12 23:34:36$0$集合了六大影帝，却是三部中最令人失望的一部．．．．．
225$1307694$无间道3：终极无间$贝塔先生$2011-04-14 12:31:09$0$做个人都难，别说做个好人了。
226$1307694$无间道3：终极无间$Serena 1.0$2009-09-26 19:41:00$0$拍1主角死掉后，没人想到还能拍2前传，之后更难想象可以拍到3终极篇。故事线索很严密，拍摄手法出乎人意料，可是插叙的手法、虚实结合之间、事件发展的时间让人挺混乱。
227$1307694$无间道3：终极无间$&lt;A&gt;$2010-02-11 21:11:24$0$陈道明 每天 都 装深沉。。。
228$1307694$无间道3：终极无间$若存$2011-10-01 19:27:26$1$后两部是第一部的累赘，但第三部稍好
229$1307694$无间道3：终极无间$natapeng$2009-05-12 00:34:20$0$有点用力过猛
230$1307694$无间道3：终极无间$javanzhang$2017-04-14 15:43:49$4$相比于第一部的缜密刺激，第二部的宏大叙事阴谋交织，第三部只剩狗尾续貂故弄玄虚了。特别是给演技只会干瞪眼的两位天王强行加戏，刘建明强行精神分裂也很没有说服力。整部片子有种疲软的感觉，就当花絮来看了。
231$1307694$无间道3：终极无间$原地就有阳光$2011-09-02 21:27:53$1$思想状态的表达缺乏艺术的美感，表达生硬。类似的感情表达可以学学黑天鹅，都是善与恶感觉表达能力还是有一定差距的。后期抽丝剥茧一条一条的逻辑清晰引人入胜。还是不错的。
232$1307694$无间道3：终极无间$火残夜$2008-07-10 23:12:54$0$垭口
233$1307694$无间道3：终极无间$空心人$2008-04-25 17:42:40$1$过了明天就好了
234$1307694$无间道3：终极无间$冰点之1234$2009-04-18 16:43:48$0$当年看睡着的/
235$1307694$无间道3：终极无间$岬$2020-04-04 21:21:00$0$悲怆
236$1307694$无间道3：终极无间$lakeblur$2007-10-30 22:25:08$4$"影子！
从此陈道明在我心中毁了"
237$1307694$无间道3：终极无间$≧▽≦蚊米$2008-05-08 18:45:08$0$改头换面的刘建明
238$1307694$无间道3：终极无间$拣尽寒枝$2012-01-29 22:57:41$0$好混乱。。有点没看懂，找时间再看一遍。7/10
239$1307694$无间道3：终极无间$这个假了$2011-08-18 23:16:19$0$能够找到一些第一部的丝絮，刘梁二人还是颇有亮点的，最终，一切还是敌不过命运，即使我想做一个好人；影片缺陷和遗憾同样相当明显，不够从容，逻辑不够明确。
240$1307694$无间道3：终极无间$narcissus$2010-03-13 07:57:53$0$嗯，怎么戴眼镜的都不自觉的感觉BT
241$1307694$无间道3：终极无间$爱比死更冷$2011-01-29 06:56:56$0$第三集能拍成这样不错了！
242$1307694$无间道3：终极无间$偏执狂陆小优$2011-06-07 21:36:00$0$比起前两部，这部确实是有点逊色了。拍的有点混乱。
243$1307694$无间道3：终极无间$Lazy Designer$2011-06-20 00:12:40$0$看过
244$1307694$无间道3：终极无间$yadiel$2008-07-06 11:30:19$0$很喜欢梁朝伟的笑容，太有魅力了。
245$1307694$无间道3：终极无间$豆友1485565$2012-10-18 06:14:26$1$只在电视上看过这一部，现在完全无印象。。。
246$1307694$无间道3：终极无间$这个大叔不太冷$2011-09-01 23:12:38$0$2都看，3可能不看吗
247$1307694$无间道3：终极无间$尤嘉攀$2011-10-27 02:56:46$0$结构
248$1307694$无间道3：终极无间$薄荷糖$2012-06-16 14:28:31$0$还是第一部经典
249$1307694$无间道3：终极无间$格瓦拉$2010-05-06 22:28:14$0$是谁在敲打我窗 黎明和陈道明交代的突兀了 最为末集尚可
250$1307694$无间道3：终极无间$未来有限事务所$2010-08-02 00:26:02$0$故事其实很精彩，但支线太杂，浪费了这么多好演员。
251$1307694$无间道3：终极无间$NANA東$2012-06-12 04:37:13$0$"香港新老帅哥的交接。 
"
252$1307694$无间道3：终极无间$少年派的崛起$2013-10-25 16:58:51$0$无间道 三部曲讲述了一个完整充满智斗的故事 第三部给整个系列划上了一个比较令人满意的结局
253$1307694$无间道3：终极无间$小鱼$2011-02-20 17:27:20$0$一部不如一部
254$1307694$无间道3：终极无间$🍜 𝐋𝐨𝐮$2012-05-06 18:03:12$0$连续睇晒三出 有点凌乱了.不过总体思路都算清晰噶.第三部更加无聊了!!!夹硬加个杨sir同陈道明入去!!!
255$1307694$无间道3：终极无间$小千$2017-04-21 13:17:56$2$没有前两部经典，不过又看到梁朝伟了高兴
256$1307694$无间道3：终极无间$P$2012-12-11 10:54:00$1$相比于前两部弱爆了，黎明算是不错的了，陈道明的乱入是几个意思？陈慧琳是个啥？刘德华不就是疯了么，这么多警察抓不住一个疯子？
257$1307694$无间道3：终极无间$欺霜傲雪$2011-03-05 22:56:53$0$香港黑社会经典之作。三部都看过。VCD时代租碟看的。
258$1307694$无间道3：终极无间$Maya夜航西飞$2007-04-12 10:01:21$1$我个人认为，这个3是不错地
259$1307694$无间道3：终极无间$judecheng$2008-05-12 11:59:38$0$有点故弄玄虚
260$1307694$无间道3：终极无间$小岩井$2018-10-25 23:02:43$4$重新看无间道三部曲，才发现第三部忘了看。
261$1307694$无间道3：终极无间$djj$2010-10-21 17:02:34$0$看不懂——比第一部差远了——据说是因为版本不同？
262$1307694$无间道3：终极无间$尿水遥遥$2011-07-02 09:14:59$0$这片老是出现已经死掉的人的影子。。。跟看鬼片似地
263$1307694$无间道3：终极无间$逃之夭夭$2008-02-20 23:30:45$0$这第三部有点扯~~~~~而且扯的有点远~
264$1307694$无间道3：终极无间$蕉$2013-11-12 22:50:09$2$这你妈逼能叫系列?顺序打乱,嘴里喊着'好人''差人'就是弗洛伊德?还有一个技术问题,为什么两千年之后还要用后期配音而不用同期录?
265$1307694$无间道3：终极无间$celalian$2013-06-02 00:59:51$0$越往后越觉得没意思了
266$1307694$无间道3：终极无间$HULIN$2014-04-05 21:19:31$0$不及上两部
267$1307694$无间道3：终极无间$龙三$2012-03-11 19:07:37$1$阿仁死了，但他永远活在了我们心中。我们对着高山喊，差人，你在哪里；高山答道：他在人民的心里……
268$1307694$无间道3：终极无间$濛濛$2009-02-18 23:37:42$0$我看的是洁版。。
269$1307694$无间道3：终极无间$希夷子$2012-02-19 21:19:39$0$黎明演技太差，角色也不讨好
270$1307694$无间道3：终极无间$Gianna$2007-12-26 16:24:53$0$伟仔获奖了呀。
271$1307694$无间道3：终极无间$炜丶$2011-03-24 22:24:10$0$一样一样的
272$1307694$无间道3：终极无间$小野山猪$2012-03-14 23:01:23$1$集体面瘫
273$1307694$无间道3：终极无间$Le Samourai$2011-11-05 21:48:37$1$终极无间，很对的题
274$1307694$无间道3：终极无间$文wen$2011-03-11 22:55:42$0$故弄玄虚……看香港人演好莱坞警匪片。
275$1307694$无间道3：终极无间$黑暗骑士蝙蝠侠$2013-09-26 18:06:28$3$第三部实在是狗尾续貂，干嘛那么多人物那么多线索乱七八糟的，我很喜欢梁朝伟，但是第三部其实你没有出现的必要了，主角设置成刘德华和另一个决定调查他的警察就好。
276$1307694$无间道3：终极无间$YOUNG LEE$2012-11-10 23:20:31$0$今天终于有时间把这三部一口气重看一遍了~好看！
277$1307694$无间道3：终极无间$闲人$2010-02-26 04:03:07$3$"这一部能看明白的不多，4盘录影带太烧脑了，里面一些穿插叙事居然用上了舞台剧才用的""假定性”。可看度不如2，但深度挖掘是要超过2的。"
278$1307694$无间道3：终极无间$溺水小哈$2012-12-16 20:24:09$0$比不上1的经典比不上2的荡气回肠~硬要加个陈道明还要搞个心理战~陈慧琳演技渣成那样还要她演这么重要的角色眼瞎啦？最萌还是梁朝伟
279$1307694$无间道3：终极无间$苏柒念$2010-07-18 21:34:02$0$上集比狠，这集就比帅了。
280$1307694$无间道3：终极无间$fpxb$2013-10-01 20:01:38$0$有了第一集就够了，后面的内容完全是没有必要的。所以老美翻拍的也就是第一集。
281$1307694$无间道3：终极无间$St.Loki$2010-12-16 12:03:51$0$毛啊
282$1307694$无间道3：终极无间$凹凸曼|㍿$2011-08-09 01:00:38$0$意识流？系列最烂
283$1307694$无间道3：终极无间$扑朔迷离小马甲$2012-01-04 06:57:06$0$讲述刘德华精神分裂的故事……黎明这个角色总觉得阴阴的……陈道明这个角色也莫名其妙的
284$1307694$无间道3：终极无间$一颗负伤的豆子$2010-07-23 23:11:06$0$混乱的世界 混乱的情感 没有人能够控制。
285$1307694$无间道3：终极无间$你才尾巴掉了$2011-02-05 19:00:50$0$学校组织看的
286$1307694$无间道3：终极无间$jzp321$2008-02-20 23:19:22$0$有点拖沓
287$1307694$无间道3：终极无间$ah1$2008-10-20 14:15:55$0$最后一部,给个4星
288$1307694$无间道3：终极无间$裸奔的香蕉$2010-05-10 14:24:45$2$三部曲最好看一部  无间道的真正含义：开始=结束 发现陈慧琳真是漂亮啊
289$1307694$无间道3：终极无间$薏米$2008-01-03 17:57:10$0$还行，不过没有第一步震撼。
290$1307694$无间道3：终极无间$赱馬觀♣$2020-06-06 10:01:05$1$“有时候，你只有陌生人可以信任！”……来自某好莱坞著名“内鬼”片中塞缪尔杰克逊男主经典台词。同为内鬼题材的无间道系列，则是拖到第二部才用到这个近乎标配级的类型元素：韩琛在境外靠与泰国毒枭联手方才逃过了倪永孝的清理门户大开杀戒。可毒枭就是毒枭，值得信任却身处邪道，所以韩琛最终仍没能逃脱毁灭，等于倒接续上了第一部。本片呢，依然保留了“陌生人”的概念，只是这次由南转北来自大陆，身份也从黑帮换成了警方，警正与国内的双重身份加持，就使故事走势必然拐向男一转黑正义昭雪的主旋律倾向。不过导演还是不愿让刘建明彻底挂掉。可以理解。毕竟本系列具有强烈的黑色风格，而刘又刚好是系列的第一主人公。
291$1307694$无间道3：终极无间$mdr skywalker$2020-06-14 16:26:46$2$二刷，作为收尾个人还是非常满意的。第一遍其实没太理清故事，二刷好了许多，情节与第一部互为补充，这一部其实过分强调了一种心理层面上的映射，陈永仁与刘建明同为卧底，同在无间地狱之中，同听那首《被遗忘的时光》，像是镜面相对的两个人，而杨锦荣与沈澄两个角色塑造都不那么完美，散乱的故事让这两个人的角色行为很奇怪，虽然说结合情节可以说通，但是缺乏说服力。无论如何，这个系列的价值不可或缺，三部三个风格，是新千年香港警匪电影浓墨重彩的一笔。（8/10）
292$1307694$无间道3：终极无间$红袖刀$2010-02-20 14:08:42$0$还好，把故事说圆满了，可惜了陈道明
293$1307694$无间道3：终极无间$艾雅雅$2013-01-12 15:49:28$0$终极就是人神分裂，走火入魔。
294$1307694$无间道3：终极无间$Katrina$2011-08-05 22:21:51$0$我只是想做個好人
295$1307694$无间道3：终极无间$Yurikhan$2016-04-02 21:52:01$1$从此以后，再无港片。
296$1307694$无间道3：终极无间$烏滌非$2009-03-13 00:12:46$0$跟前两部相比，这部明显鸡肋，好像为了凑足一个三部曲而故意为之。不过八大影帝的阵容也算是小小弥补了弱点，毕竟日后再很难见到这样的聚齐了。
297$1307694$无间道3：终极无间$水红$2011-01-13 00:08:00$0$哈哈，国货精品
298$1307694$无间道3：终极无间$红桃小藕片$2007-04-16 10:52:53$0$  3部都是香港电影不能超越的经典
299$1307694$无间道3：终极无间$Lucas$2010-10-08 02:22:01$0$影片最后。黎明：对不起，我是傻逼。刘德华，打死我吧。
300$1307694$无间道3：终极无间$Ms.I$2013-12-19 14:03:40$0$好是好的，只是有的地方有点儿......怎么说呢，刻意。
301$1307694$无间道3：终极无间$橘兮。$2012-02-02 10:17:41$0$没有前两部好看
302$1307694$无间道3：终极无间$谢雀西$2012-09-24 20:04:30$0$！
303$1307694$无间道3：终极无间$静·生活每天都充满阳光$2007-02-21 16:36:05$0$完整的故事落幕了
304$1307694$无间道3：终极无间$卡莎$2017-09-02 08:56:18$5$黎明其实适合演斯文败类……以及梁朝伟真的太帅了啊！
305$1307694$无间道3：终极无间$烏龍3.3茶仔$2009-07-01 08:14:14$0$第三部总感觉没有前2部好了。忘记原来还有陈道明- -
306$1307694$无间道3：终极无间$Mathilda$2007-11-11 22:53:51$2$在三部里排最末也是最不喜欢的一部 剧情太多太乱 显然没了前两部的张力和悲剧感而沦为了一部一般意义上的警匪片了
307$1307694$无间道3：终极无间$数人的绵羊$2007-11-19 16:28:29$0$你知唔知自己喺做咩？！
308$1307694$无间道3：终极无间$Miss$2010-09-22 00:04:02$0$这个结尾不算圆满 不算精致 六大影帝也弥补不了剧情的缺陷
309$1307694$无间道3：终极无间$Cherieの烧$2007-09-01 15:22:14$0$是很深刻的灰暗
310$1307694$无间道3：终极无间$ypalefire$2008-02-12 07:11:55$0$无间道系列又一最爱 
311$1307694$无间道3：终极无间$Guruthosriel$2013-08-08 19:51:30$0$狗尾续貂
312$1307694$无间道3：终极无间$木子丹3.0$2009-12-27 17:10:19$0$梁朝伟啊梁朝伟！！！！帅毙了………………迷恋迷恋
313$1307694$无间道3：终极无间$桃桃桃乐丝$2011-10-15 04:42:06$0$和小冬一起看了第二遍以后我赞同了他的观点：这是最好的黑道警匪片。
314$1307694$无间道3：终极无间$我不是柏柏人$2010-01-21 14:51:34$0$还可以~~，不过同第一部比系无得比的
315$1307694$无间道3：终极无间$闲得一塌糊涂$2007-01-31 16:04:31$0$10——10分
316$1307694$无间道3：终极无间$爱智慧$2013-01-30 16:25:59$0$这一部感觉比上两部弱了些，略无感，也就是一个因果报应的故事，潜伏在警方的卧底终于暴露，通过同事制造的危机和心理医生的开导，心底的防线终于松懈下来，自投罗网，将自己送上了无间断受苦的终点。这系列电影真的很有佛教的精髓，有一种因果报应的深沉宿命论在里面，出来混，迟早要还的，要留余地吗
317$1307694$无间道3：终极无间$pandora刀刀$2012-02-29 00:04:17$0$虽然有几位爷 但是 。。
318$1307694$无间道3：终极无间$candy$2008-05-30 00:51:48$0$还是第一部好看
319$1307694$无间道3：终极无间$流言$2009-06-16 17:19:36$0$无边落木萧萧下……
320$1307694$无间道3：终极无间$影子熊揉着眼睛$2011-11-20 12:33:05$0$结构大胆，细节入力，双雄双空间拍得。陈道明减分……
321$1307694$无间道3：终极无间$辉少$2009-03-11 12:51:12$0$结局很囧,那么一枪,老刘居然还没死,可见其生命力之强大,直逼小强了! 所以说,他能在演艺圈屹立这么多年,也不是没有道理的~ 
322$1307694$无间道3：终极无间$van$2011-08-15 14:08:07$0$2008
323$1307694$无间道3：终极无间$zidane2311$2012-01-07 02:21:19$0$越来越看不懂…
324$1307694$无间道3：终极无间$fok$2009-04-28 00:31:43$0$这就是他的正常水平，真的！
325$1307694$无间道3：终极无间$Amber$2011-06-03 02:12:40$0$陈道明的角色生硬又奇怪……
326$1307694$无间道3：终极无间$Jiajiachan$2012-03-30 00:05:14$0$比前两部风格乱，总体素质跟第一部差不多
327$1307694$无间道3：终极无间$一期一会$2009-09-26 04:16:27$0$对 不如不拍
328$1307694$无间道3：终极无间$赫拉克利特葫芦$2008-06-15 14:03:50$0$欲速不达啊．．．
329$1307694$无间道3：终极无间$忧郁的迷星$2010-10-07 01:03:57$0$狗尾续貂
330$1307694$无间道3：终极无间$书中仙$2010-01-11 17:02:54$0$外国人都要好好学习借鉴的电影啊。
331$1307694$无间道3：终极无间$涂家公子叶十七$2012-02-11 23:02:30$0$结尾处算比较出彩，整个片子终于有个亮点
332$1307694$无间道3：终极无间$黑大头$2010-04-10 03:28:13$0$港首常说的：做好自己的野，我已经尽力了，实在。
333$1307694$无间道3：终极无间$陈剑山$2011-06-05 12:13:04$0$陈道明是败笔，太舞台剧。黄志忠演得都比你好
334$1307694$无间道3：终极无间$ccqb$2011-03-25 20:50:02$0$完美地诠释了所谓“无间地狱”的意义，来自心灵深处的自我惩罚，永远徘徊在心魔之中，不得自拔。
335$1307694$无间道3：终极无间$朱公子$2011-10-07 02:59:10$0$每一个人都有自己的楷模，最大的楷模或许不是别人，而是自己。所以不要在自欺欺人，自己一方面给自己干活，一方面又再为别人卖命，骗谁呢？其实所有东西都是自己给自己做了一个无间的选择。
336$1307694$无间道3：终极无间$捂眼睛$2012-11-11 21:02:15$0$虽然明叔乱入，但能圆上前两部近乎所有的细枝末节同时非线性叙事，也依然算是佳作一部，故弄玄虚什么的可以忽略不计
337$1307694$无间道3：终极无间$暂不留名$2009-07-04 23:07:09$0$有点玩意识流？
338$1307694$无间道3：终极无间$scofieldd$2010-09-14 22:19:54$2$虽说质量滑坡严重，但因为起点太高，仍不是是一部佳作，尤其道明叔的加盟特别加分
339$1307694$无间道3：终极无间$传说$2006-04-03 00:28:54$0$"又名: Infernal Affairs Ⅲ

导演: 麦兆辉 (Siu Fai Mak) / 刘伟强 (Wai Keung Lau)

官方网站: www.infernalaffairs.com/2004
上映年度: 2003
制片国家/地区: 香港
imdb链接: tt0374339

"
340$1307694$无间道3：终极无间$Edward$2010-12-08 11:17:45$0$这一部太乱了，黎明和陈道明的角色彻底失败，快看睡了
341$1307694$无间道3：终极无间$坦然$2011-11-22 08:37:24$0$被遗忘的时光
342$1307694$无间道3：终极无间$momo$2008-08-24 06:23:52$0$我觉得最后简直就是完美的结合，蔡琴的那首歌当时也是红极一时啊
343$1307694$无间道3：终极无间$Neil.尼爾$2012-11-29 18:01:26$0$隔了这么多年终于把这第三部给看了。因为刚刚重温过一和二，所以看得很入戏。只是在对于内地演员的掌控上，还是差
344$1307694$无间道3：终极无间$微微$2010-04-20 22:25:22$0$不管多么不如第一部，人死了总是会伤心的。
345$1307694$无间道3：终极无间$铭晓晓$2008-11-07 14:37:23$0$第一部的辉煌 永远盖不过
346$1307694$无间道3：终极无间$西西米$2009-08-06 21:56:56$0$看在道叔的份上
347$1307694$无间道3：终极无间$Sheldon$2010-02-01 11:21:52$0$准穿越啊。。。
348$1307694$无间道3：终极无间$熊熊$2010-05-29 08:46:47$0$帅滋滋，
349$1307694$无间道3：终极无间$超级小饼干$2012-10-03 14:57:35$0$越拍越没劲，无法超越第一部
350$1307694$无间道3：终极无间$樱桃梦$2013-03-10 20:52:53$0$太意识流了。。。
351$1307694$无间道3：终极无间$像一把刀子$2009-08-16 19:35:05$0$中国是没有黑社会的
352$1307694$无间道3：终极无间$堂本曦$2014-03-12 17:16:30$0$大致看懂了，有点乱，佛经出现是点睛之笔
353$1307694$无间道3：终极无间$脐橙是我$2009-09-27 07:30:41$0$豪华的草率
354$1307694$无间道3：终极无间$豆友2263547$2010-01-25 16:11:38$0$有點不太明白~
355$1307694$无间道3：终极无间$姓亚名蒙$2016-09-26 01:59:24$1$比不上前2集，赶工导致的急促和忙乱随处可见，最大目的只是圆了故事线。刘德华演精神分裂火候不够，曾志伟黄秋生沦为陪衬，陈道明存在目的不明，陈慧琳纯粹花瓶，梁朝伟还算保持水准，黎明木头脸最尴尬，整体戏剧冲突不够，悬念也牵强，许多桥段还没有直通地狱的电梯有创意，的确狗尾续貂。
356$1307694$无间道3：终极无间$Nomad_Sylvia$2010-07-21 23:34:26$0$玩心理玩得不错~
357$1307694$无间道3：终极无间$小湮婉姝$2011-10-23 17:21:27$0$三星半，三部曲的终结确实差了点儿意思，人格分裂拍的不够明了，各种卧底混迹一堂，每次都一定要牺牲个正义使者..有点儿扯了，但是不影响整个无间道在大家心中的地位。尤其是影片最后阿仁走向音响店，对着黄警司调侃说交跟毛给你，然后与刘建明的相遇，一切无间轮回的开始也终归画上了句号。
358$1307694$无间道3：终极无间$tinbo$2008-06-05 07:49:16$0$一部不如一部
359$1307694$无间道3：终极无间$喜悦之地$2018-10-08 21:40:25$0$花絮式电影无误，配乐真是天才之作
360$1307694$无间道3：终极无间$Memento Mori$2010-02-19 16:58:50$1$这里的陈道明。。唉。
361$1307694$无间道3：终极无间$Bob$2012-03-19 10:51:33$2$大半夜的我要疯了，梁朝伟和黎明一枪就崩死了，脑门正中间，刘德华自己崩自己，居然没死只是傻了，尼玛我第一次看到朝着脑袋开枪没死，子弹能留里面的！费因斯在杀手没有假期里都直接是吞子弹的，一点不含糊，丫是朝自己下巴开枪！还有就是我最讨厌出现幻觉人鬼情未了的梗！
362$1307694$无间道3：终极无间$Jennifer_r_r$2015-02-11 23:33:46$2$错乱，看出了穆赫兰道的感觉
363$1307694$无间道3：终极无间$朱大侠。$2011-04-10 11:28:42$0$没有陈道明和黎明两个明明的加入，感觉剧情不会这么生硬呀。- -。
364$1307694$无间道3：终极无间$半岛墨鱼干$2011-07-06 10:07:10$0$台词太装13，黎明像神
365$1307694$无间道3：终极无间$哦啦啊啦$2012-10-18 13:38:34$0$就，当年看跟如今看，道明叔的格格不入仍是最大感受……
366$1307694$无间道3：终极无间$鬼鬼$2008-04-27 22:00:54$0$还行。
367$1307694$无间道3：终极无间$海盗格格$2012-01-05 22:29:36$0$就是说黎明终究还是个警察？这部里面刘德华是得精神分裂症了吗？陈道明是来打酱油的吗？？
368$1307694$无间道3：终极无间$城南山人$2008-11-03 13:30:04$0$作为续集，无间道Ⅱ可以说是一部佳作。
369$1307694$无间道3：终极无间$释晓旭$2011-03-24 20:14:22$0$看了三部，哭了几回
370$1307694$无间道3：终极无间$VincentSakda$2012-07-15 05:33:42$0$11
371$1307694$无间道3：终极无间$细飞侠$2012-12-08 23:54:54$0$有点跑掉了
372$1307694$无间道3：终极无间$一贫$2008-06-04 11:43:11$0$第二部是前传，这才是第一部真正的后续。黎明在这里面演得很好，只是后面的便当也太突然了。出来混，真的是要还的。。。
373$1307694$无间道3：终极无间$盲的鱼$2009-06-19 17:37:18$0$因为你凭这部片子拿到金马奖
374$1307694$无间道3：终极无间$欣风$2008-01-21 01:07:06$0$一帮老男人 但怎么就真的这么有味道
375$1307694$无间道3：终极无间$卢子鱼酱$2010-03-13 21:53:11$0$各种影帝 第一编没看懂 三个人给我讲解 才懂了
376$1307694$无间道3：终极无间$su$2013-01-11 21:11:40$0$简直扯淡
377$1307694$无间道3：终极无间$小野$2012-05-15 23:17:07$0$陈道明亦正亦邪太帅了！就是有这种人不说话都能觉出他来头不小。梁朝伟低头抬眼的样子真是迷人 气质的痞气。
378$1307694$无间道3：终极无间$哦哦$2011-01-20 15:05:33$0$怎么所有人都是警察。。。“对不起，我是警察”对不起个头啊。。。梁朝伟你太帅了！！！
379$1307694$无间道3：终极无间$7天$2008-05-27 14:21:47$0$故事还是精彩，隐没在第一部的光环下了
